das,solute_uptake,all_solute_uptake
1,0.39500E-02,0.00395
2,0.39902E-02,0.007940200000000001
3,0.39785E-02,0.0119187
4,0.39883E-02,0.015907
5,0.39739E-02,0.0198809
6,0.39829E-02,0.0238638
7,0.39697E-02,0.0278335
8,0.39663E-02,0.0317998
9,0.39727E-02,0.035772500000000006
10,0.39620E-02,0.039734500000000006
11,0.39669E-02,0.04370140000000001
12,0.39662E-02,0.047667600000000004
13,0.39686E-02,0.05163620000000001
14,0.39565E-02,0.05559270000000001
15,0.39323E-02,0.05952500000000001
16,0.39495E-02,0.0634745
17,0.39451E-02,0.0674196
18,0.39456E-02,0.07136519999999999
19,0.39390E-02,0.07530419999999999
20,0.39349E-02,0.07923909999999999
21,0.39407E-02,0.0831798
22,0.39410E-02,0.0871208
23,0.39436E-02,0.0910644
24,0.39431E-02,0.09500750000000001
25,0.39223E-02,0.09892980000000001
26,0.39356E-02,0.10286540000000001
27,0.39361E-02,0.10680150000000001
28,0.39390E-02,0.1107405
29,0.39387E-02,0.11467920000000001
30,0.39375E-02,0.1186167
31,0.39093E-02,0.12252600000000001
32,0.39244E-02,0.12645040000000002
33,0.39287E-02,0.13037910000000003
34,0.39279E-02,0.13430700000000004
35,0.39203E-02,0.13822730000000003
36,0.39264E-02,0.14215370000000002
37,0.39268E-02,0.14608050000000003
38,0.39295E-02,0.15001000000000003
39,0.39308E-02,0.15394080000000004
40,0.39310E-02,0.15787180000000003
41,0.39327E-02,0.16180450000000005
42,0.39334E-02,0.16573790000000005
43,0.39234E-02,0.16966130000000004
44,0.39199E-02,0.17358120000000005
45,0.39243E-02,0.17750550000000004
46,0.39271E-02,0.18143260000000003
47,0.39267E-02,0.18535930000000003
48,0.39300E-02,0.18928930000000002
49,0.39298E-02,0.19321910000000003
50,0.39182E-02,0.19713730000000004
51,0.39179E-02,0.20105520000000004
52,0.39231E-02,0.20497830000000006
53,0.39247E-02,0.20890300000000006
54,0.39234E-02,0.21282640000000005
55,0.39187E-02,0.21674510000000005
56,0.39248E-02,0.22066990000000006
57,0.39254E-02,0.22459530000000005
58,0.39267E-02,0.22852200000000006
59,0.39227E-02,0.23244470000000006
60,0.39247E-02,0.23636940000000006
61,0.39223E-02,0.24029170000000005
62,0.39234E-02,0.24421510000000005
63,0.39241E-02,0.24813920000000006
64,0.39250E-02,0.25206420000000007
65,0.39229E-02,0.2559871000000001
66,0.39257E-02,0.25991280000000005
67,0.39261E-02,0.26383890000000004
68,0.39258E-02,0.2677647
69,0.39191E-02,0.27168380000000003
70,0.39193E-02,0.27560310000000005
71,0.39133E-02,0.27951640000000005
72,0.38999E-02,0.28341630000000007
73,0.39090E-02,0.28732530000000006
74,0.39097E-02,0.2912350000000001
75,0.39108E-02,0.29514580000000007
76,0.39121E-02,0.29905790000000004
77,0.39116E-02,0.30296950000000006
78,0.39132E-02,0.30688270000000006
79,0.39141E-02,0.31079680000000004
80,0.39151E-02,0.31471190000000004
81,0.39159E-02,0.3186278
82,0.39136E-02,0.32254140000000003
83,0.39078E-02,0.32644920000000005
84,0.39111E-02,0.33036030000000005
85,0.39069E-02,0.33426720000000004
86,0.39099E-02,0.33817710000000006
87,0.39037E-02,0.3420808000000001
88,0.38970E-02,0.34597780000000006
89,0.38944E-02,0.3498722000000001
90,0.38986E-02,0.35377080000000005
91,0.38983E-02,0.3576691000000001
92,0.38976E-02,0.3615667000000001
93,0.38976E-02,0.3654643000000001
94,0.38979E-02,0.3693622000000001
95,0.38932E-02,0.37325540000000007
96,0.38952E-02,0.37715060000000006
97,0.38953E-02,0.38104590000000005
98,0.38954E-02,0.38494130000000004
99,0.38955E-02,0.38883680000000004
100,0.38955E-02,0.39273230000000003
101,0.38956E-02,0.39662790000000003
102,0.38956E-02,0.40052350000000003
103,0.38956E-02,0.40441910000000003
104,0.38860E-02,0.40830510000000003
105,0.38905E-02,0.41219560000000005
106,0.38902E-02,0.41608580000000006
107,0.38898E-02,0.41997560000000006
108,0.38894E-02,0.42386500000000005
