 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  20. 2.2022    Time:   1:30:37
 Units: L = cm   , T = days , M = mmol 



                               Node(  1)                                 Node(  6)                                 Node( 11)                                 Node( 16)                                 Node( 21)                                 Node( 26)                                 Node( 36)                                 Node( 46)                                 Node( 56)                                 Node( 66)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0010      -14.64  0.3687  0.9856E-01  0.0000E+00         -6.29  0.3706 -0.2078E+02  0.0000E+00         -2.22  0.3712 -0.2647E+02  0.0000E+00          2.75  0.3713 -0.2689E+02  0.0000E+00          8.47  0.3713 -0.2689E+02  0.0000E+00         14.19  0.3713 -0.2689E+02  0.0000E+00         25.63  0.3713 -0.2689E+02  0.0000E+00         37.07  0.3713 -0.2689E+02  0.0000E+00         48.51  0.3713 -0.2689E+02  0.0000E+00         59.95  0.3713 -0.2689E+02  0.0000E+00
          0.0017      -18.93  0.3677  0.9817E-01  0.8820E-17         -9.32  0.3701 -0.1663E+02  0.8768E-17         -4.43  0.3709 -0.2409E+02  0.8752E-17          0.35  0.3713 -0.2648E+02  0.8746E-17          6.21  0.3713 -0.2648E+02  0.8746E-17         12.07  0.3713 -0.2648E+02  0.8746E-17         23.79  0.3713 -0.2648E+02  0.8746E-17         35.52  0.3713 -0.2648E+02  0.8746E-17         47.24  0.3713 -0.2648E+02  0.8746E-17         58.97  0.3713 -0.2648E+02  0.8746E-17
          0.0026      -21.78  0.3665  0.9741E-01  0.0000E+00        -11.63  0.3695 -0.1422E+02  0.0000E+00         -6.32  0.3706 -0.2178E+02  0.0000E+00         -2.20  0.3712 -0.2566E+02  0.0000E+00          3.49  0.3713 -0.2599E+02  0.0000E+00          9.52  0.3713 -0.2599E+02  0.0000E+00         21.58  0.3713 -0.2598E+02  0.0000E+00         33.65  0.3713 -0.2598E+02  0.0000E+00         45.71  0.3713 -0.2598E+02  0.0000E+00         57.78  0.3713 -0.2598E+02  0.0000E+00
          0.0038      -25.42  0.3654  0.9591E-01  0.7762E-10        -14.71  0.3687 -0.1202E+02  0.7684E-10         -8.75  0.3702 -0.1941E+02  0.7654E-10         -4.44  0.3709 -0.2398E+02  0.7638E-10          0.54  0.3713 -0.2545E+02  0.7633E-10          6.76  0.3713 -0.2545E+02  0.7633E-10         19.19  0.3713 -0.2545E+02  0.7633E-10         31.62  0.3713 -0.2545E+02  0.7633E-10         44.05  0.3713 -0.2545E+02  0.7633E-10         56.49  0.3713 -0.2545E+02  0.7633E-10
          0.0053      -28.76  0.3641  0.9314E-01  0.0000E+00        -17.70  0.3679 -0.1037E+02  0.0000E+00        -11.28  0.3696 -0.1734E+02  0.0000E+00         -6.70  0.3705 -0.2184E+02  0.0000E+00         -2.43  0.3712 -0.2462E+02  0.0000E+00          3.65  0.3713 -0.2485E+02  0.0000E+00         16.50  0.3713 -0.2485E+02  0.0000E+00         29.34  0.3713 -0.2485E+02  0.0000E+00         42.19  0.3713 -0.2485E+02  0.0000E+00         55.04  0.3713 -0.2485E+02  0.0000E+00
          0.0073      -32.40  0.3627  0.8814E-01  0.1228E-07        -21.03  0.3668 -0.8946E+01  0.1211E-07        -14.15  0.3689 -0.1540E+02  0.1204E-07         -9.25  0.3701 -0.1988E+02  0.1200E-07         -5.04  0.3709 -0.2303E+02  0.1197E-07          0.20  0.3713 -0.2419E+02  0.1197E-07         13.51  0.3713 -0.2418E+02  0.1197E-07         26.81  0.3713 -0.2418E+02  0.1197E-07         40.12  0.3713 -0.2418E+02  0.1197E-07         53.43  0.3713 -0.2418E+02  0.1197E-07
          0.0099      -36.13  0.3612  0.7928E-01  0.0000E+00        -24.53  0.3656 -0.7770E+01  0.0000E+00        -17.24  0.3680 -0.1365E+02  0.0000E+00        -12.01  0.3694 -0.1795E+02  0.0000E+00         -7.63  0.3704 -0.2106E+02  0.0000E+00         -3.16  0.3711 -0.2318E+02  0.0000E+00         10.15  0.3713 -0.2344E+02  0.0000E+00         23.98  0.3713 -0.2344E+02  0.0000E+00         37.80  0.3713 -0.2344E+02  0.0000E+00         51.62  0.3713 -0.2344E+02  0.0000E+00
          0.0133      -40.16  0.3595  0.6379E-01  0.1446E-06        -28.32  0.3643 -0.6715E+01  0.1424E-06        -20.65  0.3669 -0.1207E+02  0.1412E-06        -15.09  0.3686 -0.1613E+02  0.1405E-06        -10.52  0.3698 -0.1921E+02  0.1400E-06         -6.18  0.3707 -0.2157E+02  0.1397E-06          6.47  0.3713 -0.2262E+02  0.1395E-06         20.86  0.3713 -0.2262E+02  0.1395E-06         35.25  0.3713 -0.2262E+02  0.1395E-06         49.64  0.3713 -0.2262E+02  0.1395E-06
          0.0177      -44.39  0.3577  0.3695E-01  0.0000E+00        -32.38  0.3627 -0.5837E+01  0.0000E+00        -24.36  0.3657 -0.1062E+02  0.0000E+00        -18.46  0.3677 -0.1440E+02  0.0000E+00        -13.64  0.3690 -0.1736E+02  0.0000E+00         -9.19  0.3701 -0.1966E+02  0.0000E+00          2.33  0.3713 -0.2169E+02  0.0000E+00         17.35  0.3713 -0.2169E+02  0.0000E+00         32.38  0.3713 -0.2169E+02  0.0000E+00         47.41  0.3713 -0.2169E+02  0.0000E+00
          0.0234      -48.94  0.3556 -0.9248E-02  0.9044E-06        -36.78  0.3610 -0.5041E+01  0.8885E-06        -28.43  0.3642 -0.9291E+01  0.8792E-06        -22.19  0.3664 -0.1277E+02  0.8733E-06        -17.10  0.3680 -0.1558E+02  0.8692E-06        -12.49  0.3693 -0.1782E+02  0.8661E-06         -2.14  0.3712 -0.2063E+02  0.8622E-06         13.46  0.3713 -0.2067E+02  0.8621E-06         29.19  0.3713 -0.2067E+02  0.8621E-06         44.93  0.3713 -0.2067E+02  0.8621E-06
