 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  20. 2.2022    Time:   1:30:37
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0010  0.98543E-01  0.21260E-01  0.98564E-01  0.21260E-01 -0.26887E+02  0.98543E-04  0.21260E-04  0.98564E-04  0.21260E-04 -0.26887E-01 -0.14638E+02  0.36348E+01  0.10000E+03  0.00000E+00  0.00000E+00  0.11136E+03  0.19729E-06  0.98761E-04      1  0.00000E+00      0.000
       0.0017  0.98170E-01  0.21260E-01  0.98169E-01  0.21260E-01 -0.26477E+02  0.16726E-03  0.36142E-04  0.16728E-03  0.36142E-04 -0.45421E-01 -0.18935E+02  0.11250E+01  0.10000E+03  0.00000E+00  0.00000E+00  0.11134E+03  0.59658E-06  0.16788E-03      2  0.00000E+00      0.000
       0.0026  0.97395E-01  0.21260E-01  0.97408E-01  0.21260E-01 -0.25985E+02  0.25589E-03  0.55488E-04  0.25592E-03  0.55488E-04 -0.69067E-01 -0.21778E+02 -0.13109E+01  0.10000E+03  0.00000E+00  0.00000E+00  0.11132E+03  0.18202E-05  0.25774E-03      3  0.00000E+00      0.000
       0.0038  0.95901E-01  0.21260E-01  0.95912E-01  0.21260E-01 -0.25451E+02  0.36934E-03  0.80639E-04  0.36939E-03  0.80638E-04 -0.99175E-01 -0.25416E+02 -0.40731E+01  0.10000E+03  0.00000E+00  0.00000E+00  0.11129E+03  0.51794E-05  0.37457E-03      4  0.00000E+00      0.000
       0.0053  0.93131E-01  0.21260E-01  0.93143E-01  0.21260E-01 -0.24851E+02  0.51257E-03  0.11333E-03  0.51263E-03  0.11333E-03 -0.13739E+00 -0.28755E+02 -0.69046E+01  0.10000E+03  0.00000E+00  0.00000E+00  0.11125E+03  0.13805E-04  0.52644E-03      5  0.00000E+00      0.000
       0.0073  0.88136E-01  0.21260E-01  0.88141E-01  0.21260E-01 -0.24184E+02  0.68878E-03  0.15584E-03  0.68885E-03  0.15584E-03 -0.18574E+00 -0.32398E+02 -0.99489E+01  0.10000E+03  0.00000E+00  0.00000E+00  0.11120E+03  0.35006E-04  0.72386E-03      6  0.00000E+00      0.000
       0.0099  0.79286E-01  0.21260E-01  0.79283E-01  0.21259E-01 -0.23437E+02  0.89484E-03  0.21109E-03  0.89491E-03  0.21109E-03 -0.24666E+00 -0.36135E+02 -0.13125E+02  0.10000E+03  0.00000E+00  0.00000E+00  0.11114E+03  0.85569E-04  0.98048E-03      7  0.00000E+00      0.000
       0.0133  0.63802E-01  0.21260E-01  0.63794E-01  0.21259E-01 -0.22617E+02  0.11104E-02  0.28293E-03  0.11105E-02  0.28292E-03 -0.32308E+00 -0.40159E+02 -0.16494E+02  0.10000E+03  0.00000E+00  0.00000E+00  0.11107E+03  0.20362E-03  0.13141E-02      8  0.00000E+00      0.000
