 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 2.2022    Time:   2:43: 7
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100      -33.51  0.3623  0.1062E+00  0.5933E-02        -20.29  0.3671 -0.1277E+02  0.6439E-02        -14.87  0.3687 -0.1870E+02  0.5785E-02
          0.0170      -42.20  0.3586  0.8756E-01  0.6481E-02        -27.46  0.3646 -0.9277E+01  0.6804E-02        -20.57  0.3670 -0.1470E+02  0.5832E-02
          0.0240      -48.62  0.3558  0.5932E-01  0.6530E-02        -33.21  0.3624 -0.7486E+01  0.6424E-02        -25.47  0.3653 -0.1234E+02  0.5886E-02
          0.0331      -54.68  0.3529  0.8313E-02  0.6749E-02        -38.87  0.3600 -0.6167E+01  0.6204E-02        -30.53  0.3634 -0.1041E+02  0.5920E-02
          0.0449      -61.08  0.3499 -0.8186E-01  0.6995E-02        -44.98  0.3574 -0.5124E+01  0.6248E-02        -36.09  0.3612 -0.8797E+01  0.5910E-02
          0.0603      -67.41  0.3468 -0.2387E+00  0.7194E-02        -51.24  0.3545 -0.4355E+01  0.6085E-02        -41.94  0.3587 -0.7485E+01  0.5884E-02
          0.0803      -73.69  0.3437 -0.5070E+00  0.7327E-02        -57.74  0.3515 -0.3768E+01  0.6102E-02        -48.16  0.3560 -0.6394E+01  0.5859E-02
          0.1063      -79.43  0.3408 -0.9582E+00  0.7360E-02        -64.21  0.3483 -0.3431E+01  0.6039E-02        -54.59  0.3530 -0.5546E+01  0.5831E-02
          0.1401      -83.89  0.3386 -0.1699E+01  0.7288E-02        -70.26  0.3454 -0.3366E+01  0.6059E-02        -60.96  0.3499 -0.4981E+01  0.5810E-02
          0.1840      -85.76  0.3376 -0.2870E+01  0.7106E-02        -74.96  0.3430 -0.3709E+01  0.6079E-02        -66.67  0.3471 -0.4777E+01  0.5801E-02
          0.2340      -84.18  0.3384 -0.4382E+01  0.6874E-02        -77.02  0.3420 -0.4466E+01  0.6119E-02        -70.49  0.3452 -0.4997E+01  0.5806E-02
          0.2840      -80.75  0.3402 -0.5778E+01  0.6675E-02        -76.77  0.3422 -0.5376E+01  0.6133E-02        -72.12  0.3445 -0.5491E+01  0.5823E-02
          0.3340      -76.97  0.3421 -0.6848E+01  0.6529E-02        -75.24  0.3430 -0.6251E+01  0.6127E-02        -72.19  0.3445 -0.6098E+01  0.5839E-02
          0.3840      -73.32  0.3440 -0.7738E+01  0.6421E-02        -72.98  0.3441 -0.7078E+01  0.6115E-02        -71.20  0.3450 -0.6746E+01  0.5850E-02
          0.4340      -70.29  0.3455 -0.8359E+01  0.6342E-02        -70.65  0.3453 -0.7738E+01  0.6098E-02        -69.69  0.3457 -0.7333E+01  0.5857E-02
          0.4840      -68.18  0.3465 -0.8652E+01  0.6291E-02        -68.71  0.3462 -0.8158E+01  0.6087E-02        -68.16  0.3465 -0.7772E+01  0.5861E-02
          0.5340      -67.27  0.3470 -0.8587E+01  0.6267E-02        -67.53  0.3468 -0.8292E+01  0.6075E-02        -67.01  0.3471 -0.8002E+01  0.5863E-02
          0.5840      -67.75  0.3468 -0.8171E+01  0.6269E-02        -67.35  0.3469 -0.8126E+01  0.6073E-02        -66.54  0.3473 -0.7987E+01  0.5863E-02
          0.6340      -69.69  0.3458 -0.7444E+01  0.6298E-02        -68.31  0.3465 -0.7677E+01  0.6071E-02        -66.95  0.3471 -0.7727E+01  0.5862E-02
          0.6840      -73.05  0.3442 -0.6479E+01  0.6352E-02        -70.45  0.3454 -0.6993E+01  0.6078E-02        -68.32  0.3465 -0.7248E+01  0.5860E-02
          0.7340      -77.73  0.3419 -0.5368E+01  0.6432E-02        -73.66  0.3439 -0.6147E+01  0.6080E-02        -70.63  0.3453 -0.6602E+01  0.5856E-02
          0.7840      -85.09  0.3383 -0.3824E+01  0.6561E-02        -78.42  0.3415 -0.5044E+01  0.6089E-02        -74.10  0.3436 -0.5750E+01  0.5851E-02
          0.8340      -93.96  0.3338 -0.2366E+01  0.6743E-02        -84.46  0.3385 -0.3914E+01  0.6080E-02        -78.49  0.3415 -0.4837E+01  0.5842E-02
          0.8840     -103.84  0.3289 -0.1154E+01  0.6970E-02        -91.33  0.3351 -0.2873E+01  0.6070E-02        -83.68  0.3389 -0.3947E+01  0.5830E-02
          0.9340     -113.76  0.3240 -0.3077E+00  0.7249E-02        -98.39  0.3315 -0.2044E+01  0.6028E-02        -89.23  0.3361 -0.3170E+01  0.5816E-02
          0.9670     -119.77  0.3210  0.8978E-02  0.7445E-02       -102.97  0.3293 -0.1638E+01  0.6013E-02        -92.88  0.3342 -0.2739E+01  0.5806E-02
          1.0000     -124.92  0.3186  0.1161E+00  0.7619E-02       -107.26  0.3272 -0.1352E+01  0.5974E-02        -96.43  0.3325 -0.2396E+01  0.5798E-02
end
