 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 2.2022    Time:   2:43: 7
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.10619E+00  0.15941E-01  0.10620E+00  0.15940E-01 -0.27581E+02  0.10619E-02  0.15941E-03  0.10620E-02  0.15940E-03 -0.27581E+00 -0.33507E+02 -0.16584E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.11111E+03  0.98664E-04  0.11606E-02      1  0.00000E+00      0.000
       0.0170  0.87563E-01  0.15941E-01  0.87565E-01  0.15940E-01 -0.25997E+02  0.16749E-02  0.27099E-03  0.16749E-02  0.27098E-03 -0.45779E+00 -0.42196E+02 -0.22644E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.11093E+03  0.29814E-03  0.19731E-02      2  0.00000E+00      0.000
       0.0240  0.59318E-01  0.15941E-01  0.59315E-01  0.15940E-01 -0.24689E+02  0.20901E-02  0.38257E-03  0.20901E-02  0.38256E-03 -0.63062E+00 -0.48620E+02 -0.27715E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.11076E+03  0.69532E-03  0.27855E-02      3  0.00000E+00      0.000
       0.0331  0.83162E-02  0.15941E-01  0.83127E-02  0.15939E-01 -0.23190E+02  0.21658E-02  0.52763E-03  0.21658E-02  0.52761E-03 -0.84164E+00 -0.54678E+02 -0.32873E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.11055E+03  0.16758E-02  0.38416E-02      4  0.00000E+00      0.000
       0.0449 -0.81859E-01  0.15941E-01 -0.81864E-01  0.15938E-01 -0.21508E+02  0.11974E-02  0.71621E-03  0.11973E-02  0.71615E-03 -0.10961E+01 -0.61080E+02 -0.38508E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.11029E+03  0.40172E-02  0.52145E-02      5  0.00000E+00      0.000
       0.0603 -0.23864E+00  0.15941E-01 -0.23865E+00  0.15937E-01 -0.19757E+02 -0.24727E-02  0.96136E-03 -0.24729E-02  0.96125E-03 -0.13999E+01 -0.67406E+02 -0.44401E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.10999E+03  0.94723E-02  0.69994E-02      6  0.00000E+00      0.000
       0.0803 -0.50698E+00  0.15941E-01 -0.50697E+00  0.15935E-01 -0.17922E+02 -0.12609E-01  0.12801E-02 -0.12609E-01  0.12798E-02 -0.17582E+01 -0.73687E+02 -0.50612E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.10964E+03  0.21928E-01  0.93198E-02      7  0.00000E+00      0.000
       0.1063 -0.95818E+00  0.15941E-01 -0.95818E+00  0.15933E-01 -0.16055E+02 -0.37512E-01  0.16944E-02 -0.37512E-01  0.16940E-02 -0.21755E+01 -0.79435E+02 -0.56956E+02  0.65000E+02  0.00000E+00  0.00000E+00  0.10925E+03  0.49849E-01  0.12336E-01      8  0.00000E+00      0.000
