 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 2.2022    Time:  16:12:12
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.8998E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   2    -3.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.8708E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   3    -6.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.8418E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   4    -9.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.8127E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   5   -12.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.7837E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   6   -15.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.7547E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   7   -18.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.7257E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   8   -21.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.6966E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
   9   -24.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.6676E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  10   -27.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.6386E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  11   -30.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.6095E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  12   -33.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.5805E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  13   -36.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.5515E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  14   -39.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.5225E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  15   -42.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.4934E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  16   -45.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.4644E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  17   -48.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.4354E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  18   -51.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.4064E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  19   -54.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.3773E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  20   -57.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.3483E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  21   -60.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.3193E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  22   -63.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.2903E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  23   -66.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.2612E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  24   -69.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.2322E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  25   -72.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.2032E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  26   -75.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.1742E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  27   -78.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.1451E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  28   -81.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.1161E-04      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  29   -84.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.8708E-05      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  30   -87.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.5805E-05      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  31   -90.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.2903E-05      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  32   -93.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  33   -96.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  34   -99.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  35  -102.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  36  -105.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  37  -108.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  38  -111.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  39  -114.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  40  -117.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  41  -120.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  42  -123.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  43  -126.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  44  -129.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  45  -132.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  46  -135.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  47  -138.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  48  -141.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  49  -144.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  50  -147.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  51  -150.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  52  -153.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  53  -156.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  54  -159.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  55  -162.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  56  -165.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  57  -168.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  58  -171.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  59  -174.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  60  -177.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  61  -180.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  62  -183.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  63  -186.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  64  -189.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  65  -192.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  66  -195.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  67  -198.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  68  -201.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  69  -204.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
