 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 2.2022    Time:  16:12:14
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -235.186 0.2739   0.8423E+00  0.3390E-03  0.8613E-01  0.0000E+00      -1   0.198E-02   20.00  0.8408E-44  0.0000E+00
   2    -3.0000    -231.886 0.2751   0.8803E+00  0.3429E-03  0.8879E-01  0.0000E+00      -1   0.204E-02   20.00  0.8408E-44  0.0000E+00
   3    -6.0000    -228.581 0.2763   0.9184E+00  0.3470E-03  0.9306E-01  0.0000E+00      -1   0.214E-02   20.00  0.8408E-44  0.0000E+00
   4    -9.0000    -225.278 0.2774   0.9565E+00  0.3510E-03  0.9612E-01  0.1082E-02      -1   0.221E-02   20.00  0.8408E-44  0.0000E+00
   5   -12.0000    -221.978 0.2786   0.9945E+00  0.3550E-03  0.9725E-01  0.6767E-03      -1   0.224E-02   20.00  0.8408E-44  0.0000E+00
   6   -15.0000    -218.691 0.2798   0.1032E+01  0.3589E-03  0.9473E-01  0.0000E+00      -1   0.218E-02   20.00  0.8408E-44  0.0000E+00
   7   -18.0000    -215.427 0.2810   0.1070E+01  0.3629E-03  0.8944E-01  0.0000E+00      -1   0.206E-02   20.00  0.8408E-44  0.0000E+00
   8   -21.0000    -212.189 0.2822   0.1107E+01  0.3668E-03  0.8221E-01  0.0000E+00      -1   0.189E-02   20.00  0.8408E-44  0.0000E+00
   9   -24.0000    -208.981 0.2833   0.1144E+01  0.3707E-03  0.7294E-01  0.0000E+00      -1   0.168E-02   20.00  0.8408E-44  0.0000E+00
  10   -27.0000    -205.806 0.2845   0.1181E+01  0.3745E-03  0.6229E-01  0.0000E+00      -1   0.143E-02   20.00  0.8408E-44  0.0000E+00
  11   -30.0000    -202.664 0.2856   0.1217E+01  0.3783E-03  0.5061E-01  0.0000E+00      -1   0.116E-02   20.00  0.8408E-44  0.0000E+00
  12   -33.0000    -199.556 0.2867   0.1253E+01  0.3821E-03  0.3727E-01  0.0000E+00      -1   0.857E-03   20.00  0.8408E-44  0.0000E+00
  13   -36.0000    -196.485 0.2878   0.1288E+01  0.3858E-03  0.2309E-01  0.0000E+00      -1   0.531E-03   20.00  0.8408E-44  0.0000E+00
  14   -39.0000    -193.448 0.2889   0.1323E+01  0.3895E-03  0.7827E-02  0.0000E+00      -1   0.180E-03   20.00  0.8408E-44  0.0000E+00
  15   -42.0000    -190.449 0.2901   0.1372E+01  0.3933E-03 -0.9361E-02  0.0000E+00      -1  -0.215E-03   20.00  0.8408E-44  0.0000E+00
  16   -45.0000    -187.488 0.2913   0.1438E+01  0.3971E-03 -0.2752E-01  0.0000E+00      -1  -0.633E-03   20.00  0.8408E-44  0.0000E+00
  17   -48.0000    -184.563 0.2925   0.1503E+01  0.4009E-03 -0.4628E-01  0.0000E+00      -1  -0.106E-02   20.00  0.8408E-44  0.0000E+00
  18   -51.0000    -181.672 0.2937   0.1568E+01  0.4047E-03 -0.6549E-01  0.0000E+00      -1  -0.151E-02   20.00  0.8408E-44  0.0000E+00
  19   -54.0000    -178.813 0.2949   0.1632E+01  0.4084E-03 -0.8499E-01  0.0000E+00      -1  -0.196E-02   20.00  0.8408E-44  0.0000E+00
  20   -57.0000    -175.984 0.2961   0.1695E+01  0.4121E-03 -0.1044E+00  0.0000E+00      -1  -0.240E-02   20.00  0.8408E-44  0.0000E+00
  21   -60.0000    -173.182 0.2973   0.1757E+01  0.4157E-03 -0.1234E+00  0.0000E+00      -1  -0.284E-02   20.00  0.8408E-44  0.0000E+00
  22   -63.0000    -170.405 0.2984   0.1819E+01  0.4193E-03 -0.1429E+00  0.0000E+00      -1  -0.329E-02   20.00  0.8408E-44  0.0000E+00
  23   -66.0000    -167.653 0.2996   0.1880E+01  0.4229E-03 -0.1621E+00  0.0000E+00      -1  -0.373E-02   20.00  0.8408E-44  0.0000E+00
  24   -69.0000    -164.922 0.3007   0.1941E+01  0.4265E-03 -0.1809E+00  0.0000E+00      -1  -0.416E-02   20.00  0.8408E-44  0.0000E+00
  25   -72.0000    -162.212 0.3019   0.2001E+01  0.4300E-03 -0.1999E+00  0.0000E+00      -1  -0.460E-02   20.00  0.8408E-44  0.0000E+00
  26   -75.0000    -159.521 0.3030   0.2061E+01  0.4335E-03 -0.2186E+00  0.0000E+00      -1  -0.503E-02   20.00  0.8408E-44  0.0000E+00
  27   -78.0000    -156.848 0.3041   0.2121E+01  0.4370E-03 -0.2369E+00  0.0000E+00      -1  -0.545E-02   20.00  0.8408E-44  0.0000E+00
  28   -81.0000    -154.191 0.3052   0.2180E+01  0.4404E-03 -0.2546E+00  0.0000E+00      -1  -0.586E-02   20.00  0.8408E-44  0.0000E+00
  29   -84.0000    -151.548 0.3063   0.2247E+01  0.4438E-03 -0.2731E+00  0.0000E+00      -1  -0.628E-02   20.00  0.8408E-44  0.0000E+00
  30   -87.0000    -148.917 0.3076   0.2352E+01  0.4469E-03 -0.2925E+00  0.0000E+00      -1  -0.673E-02   20.00  0.8408E-44  0.0000E+00
  31   -90.0000    -146.294 0.3088   0.2456E+01  0.4499E-03 -0.3112E+00  0.0000E+00      -1  -0.716E-02   20.00  0.8408E-44  0.0000E+00
  32   -93.0000    -143.677 0.3100   0.2560E+01  0.4529E-03 -0.3291E+00  0.0000E+00      -1  -0.757E-02   20.00  0.8408E-44  0.0000E+00
  33   -96.0000    -141.065 0.3112   0.2665E+01  0.4559E-03 -0.3464E+00  0.0000E+00      -1  -0.797E-02   20.00  0.8408E-44  0.0000E+00
  34   -99.0000    -138.457 0.3124   0.2769E+01  0.4590E-03 -0.3636E+00  0.0000E+00      -1  -0.837E-02   20.00  0.8408E-44  0.0000E+00
  35  -102.0000    -135.853 0.3136   0.2872E+01  0.4620E-03 -0.3806E+00  0.0000E+00      -1  -0.876E-02   20.00  0.8408E-44  0.0000E+00
  36  -105.0000    -133.252 0.3148   0.2976E+01  0.4650E-03 -0.3968E+00  0.0000E+00      -1  -0.913E-02   20.00  0.8408E-44  0.0000E+00
  37  -108.0000    -130.653 0.3160   0.3080E+01  0.4680E-03 -0.4121E+00  0.0000E+00      -1  -0.948E-02   20.00  0.8408E-44  0.0000E+00
  38  -111.0000    -128.055 0.3172   0.3183E+01  0.4710E-03 -0.4271E+00  0.0000E+00      -1  -0.983E-02   20.00  0.8408E-44  0.0000E+00
  39  -114.0000    -125.458 0.3184   0.3287E+01  0.4740E-03 -0.4420E+00  0.0000E+00      -1  -0.102E-01   20.00  0.8408E-44  0.0000E+00
  40  -117.0000    -122.862 0.3196   0.3390E+01  0.4770E-03 -0.4567E+00  0.0000E+00      -1  -0.105E-01   20.00  0.8408E-44  0.0000E+00
  41  -120.0000    -120.266 0.3208   0.3498E+01  0.4799E-03 -0.4708E+00  0.0000E+00      -1  -0.108E-01   20.00  0.8408E-44  0.0000E+00
  42  -123.0000    -117.666 0.3221   0.3670E+01  0.4818E-03 -0.4849E+00  0.0000E+00      -1  -0.112E-01   20.00  0.8408E-44  0.0000E+00
  43  -126.0000    -115.059 0.3234   0.3842E+01  0.4836E-03 -0.4981E+00  0.0000E+00      -1  -0.115E-01   20.00  0.8408E-44  0.0000E+00
  44  -129.0000    -112.444 0.3246   0.4014E+01  0.4855E-03 -0.5111E+00  0.0000E+00      -1  -0.118E-01   20.00  0.8408E-44  0.0000E+00
  45  -132.0000    -109.823 0.3259   0.4187E+01  0.4873E-03 -0.5240E+00  0.0000E+00      -1  -0.121E-01   20.00  0.8408E-44  0.0000E+00
  46  -135.0000    -107.195 0.3272   0.4361E+01  0.4892E-03 -0.5355E+00  0.0000E+00      -1  -0.123E-01   20.00  0.8408E-44  0.0000E+00
  47  -138.0000    -104.560 0.3285   0.4534E+01  0.4911E-03 -0.5471E+00  0.0000E+00      -1  -0.126E-01   20.00  0.8408E-44  0.0000E+00
  48  -141.0000    -101.919 0.3298   0.4709E+01  0.4929E-03 -0.5579E+00  0.0000E+00      -1  -0.128E-01   20.00  0.8408E-44  0.0000E+00
  49  -144.0000     -99.271 0.3311   0.4883E+01  0.4948E-03 -0.5689E+00  0.0000E+00      -1  -0.131E-01   20.00  0.8408E-44  0.0000E+00
  50  -147.0000     -96.618 0.3324   0.5058E+01  0.4967E-03 -0.5798E+00  0.0000E+00      -1  -0.133E-01   20.00  0.8408E-44  0.0000E+00
  51  -150.0000     -93.957 0.3337   0.5287E+01  0.4975E-03 -0.5887E+00  0.0000E+00      -1  -0.135E-01   20.00  0.8408E-44  0.0000E+00
  52  -153.0000     -91.285 0.3350   0.5559E+01  0.4973E-03 -0.5974E+00  0.0000E+00      -1  -0.137E-01   20.00  0.8408E-44  0.0000E+00
  53  -156.0000     -88.602 0.3364   0.5832E+01  0.4972E-03 -0.6073E+00  0.0000E+00      -1  -0.140E-01   20.00  0.8408E-44  0.0000E+00
  54  -159.0000     -85.910 0.3377   0.6105E+01  0.4971E-03 -0.6164E+00  0.0000E+00      -1  -0.142E-01   20.00  0.8408E-44  0.0000E+00
  55  -162.0000     -83.208 0.3391   0.6380E+01  0.4970E-03 -0.6239E+00  0.0000E+00      -1  -0.144E-01   20.00  0.8408E-44  0.0000E+00
  56  -165.0000     -80.497 0.3404   0.6655E+01  0.4968E-03 -0.6309E+00  0.0000E+00      -1  -0.145E-01   20.00  0.8408E-44  0.0000E+00
  57  -168.0000     -77.777 0.3418   0.6931E+01  0.4967E-03 -0.6393E+00  0.0000E+00      -1  -0.147E-01   20.00  0.8408E-44  0.0000E+00
  58  -171.0000     -75.050 0.3431   0.7235E+01  0.4960E-03 -0.6458E+00  0.0000E+00      -1  -0.149E-01   20.00  0.8408E-44  0.0000E+00
  59  -174.0000     -72.311 0.3445   0.7637E+01  0.4931E-03 -0.6514E+00  0.0000E+00      -1  -0.150E-01   20.00  0.8408E-44  0.0000E+00
  60  -177.0000     -69.562 0.3458   0.8041E+01  0.4902E-03 -0.6590E+00  0.0000E+00      -1  -0.152E-01   20.00  0.8408E-44  0.0000E+00
  61  -180.0000     -66.803 0.3472   0.8445E+01  0.4873E-03 -0.6655E+00  0.0000E+00      -1  -0.153E-01   20.00  0.8408E-44  0.0000E+00
  62  -183.0000     -64.035 0.3485   0.8852E+01  0.4844E-03 -0.6695E+00  0.0000E+00      -1  -0.154E-01   20.00  0.8408E-44  0.0000E+00
  63  -186.0000     -61.257 0.3499   0.9259E+01  0.4814E-03 -0.6740E+00  0.0000E+00      -1  -0.155E-01   20.00  0.8408E-44  0.0000E+00
  64  -189.0000     -58.471 0.3512   0.9748E+01  0.4767E-03 -0.6799E+00  0.0000E+00      -1  -0.156E-01   20.00  0.8408E-44  0.0000E+00
  65  -192.0000     -55.675 0.3525   0.1031E+02  0.4705E-03 -0.6851E+00  0.0000E+00      -1  -0.158E-01   20.00  0.8408E-44  0.0000E+00
  66  -195.0000     -52.870 0.3538   0.1087E+02  0.4642E-03 -0.6899E+00  0.0000E+00      -1  -0.159E-01   20.00  0.8408E-44  0.0000E+00
  67  -198.0000     -50.056 0.3551   0.1144E+02  0.4579E-03 -0.6917E+00  0.0000E+00      -1  -0.159E-01   20.00  0.8408E-44  0.0000E+00
  68  -201.0000     -47.233 0.3565   0.1202E+02  0.4512E-03 -0.6950E+00  0.0000E+00      -1  -0.160E-01   20.00  0.8408E-44  0.0000E+00
  69  -204.0000     -44.402 0.3577   0.1276E+02  0.4413E-03 -0.6992E+00  0.0000E+00      -1  -0.161E-01   20.00  0.8408E-44  0.0000E+00
