 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 3.2022    Time:  23: 2: 4
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -204.90  0.2848  0.5378E-01  0.2992E-02       -186.96  0.2916 -0.4698E+00  0.2607E-02       -176.34  0.2960 -0.7859E+00  0.2528E-02
          0.0230     -205.64  0.2845  0.5345E-01  0.2989E-02       -187.60  0.2913 -0.4411E+00  0.2606E-02       -176.67  0.2958 -0.7545E+00  0.2528E-02
          0.0399     -206.70  0.2841  0.5261E-01  0.2987E-02       -188.51  0.2909 -0.4067E+00  0.2606E-02       -177.17  0.2956 -0.7126E+00  0.2528E-02
          0.0619     -207.96  0.2837  0.5088E-01  0.2986E-02       -189.56  0.2904 -0.3727E+00  0.2605E-02       -177.80  0.2954 -0.6666E+00  0.2528E-02
          0.0904     -209.47  0.2831  0.4757E-01  0.2985E-02       -190.86  0.2899 -0.3341E+00  0.2605E-02       -178.63  0.2950 -0.6142E+00  0.2528E-02
          0.1276     -211.21  0.2825  0.4169E-01  0.2985E-02       -192.38  0.2893 -0.2980E+00  0.2604E-02       -179.66  0.2946 -0.5584E+00  0.2528E-02
          0.1758     -213.16  0.2818  0.3183E-01  0.2984E-02       -194.15  0.2887 -0.2634E+00  0.2604E-02       -180.94  0.2940 -0.4999E+00  0.2528E-02
          0.2258     -214.90  0.2812  0.1991E-01  0.2983E-02       -195.81  0.2881 -0.2389E+00  0.2604E-02       -182.19  0.2935 -0.4506E+00  0.2528E-02
          0.2758     -216.95  0.2805  0.5326E-01  0.2985E-02       -197.39  0.2875 -0.2098E+00  0.2604E-02       -183.38  0.2930 -0.4077E+00  0.2528E-02
          0.3258     -220.66  0.2792  0.2247E+00  0.3001E-02       -199.26  0.2868 -0.1479E+00  0.2603E-02       -184.62  0.2925 -0.3592E+00  0.2528E-02
          0.3758     -224.89  0.2776  0.3702E+00  0.3020E-02       -201.43  0.2861 -0.6807E-01  0.2602E-02       -185.96  0.2920 -0.3020E+00  0.2528E-02
          0.4258     -229.29  0.2760  0.4756E+00  0.3030E-02       -203.84  0.2852  0.1611E-01  0.2601E-02       -187.42  0.2913 -0.2392E+00  0.2528E-02
          0.4758     -233.36  0.2745  0.5305E+00  0.3037E-02       -206.33  0.2843  0.8970E-01  0.2603E-02       -188.98  0.2907 -0.1761E+00  0.2528E-02
          0.5258     -236.70  0.2733  0.5296E+00  0.3038E-02       -208.74  0.2834  0.1441E+00  0.2604E-02       -190.59  0.2900 -0.1173E+00  0.2528E-02
          0.5758     -238.96  0.2725  0.4729E+00  0.3035E-02       -210.90  0.2826  0.1740E+00  0.2604E-02       -192.17  0.2894 -0.7071E-01  0.2528E-02
          0.6258     -239.93  0.2721  0.3660E+00  0.3029E-02       -212.69  0.2820  0.1763E+00  0.2604E-02       -193.65  0.2888 -0.3826E-01  0.2527E-02
          0.6758     -239.54  0.2723  0.2194E+00  0.3017E-02       -213.97  0.2815  0.1511E+00  0.2604E-02       -194.95  0.2884 -0.2237E-01  0.2527E-02
          0.7258     -237.92  0.2729  0.4732E-01  0.3000E-02       -214.69  0.2812  0.9981E-01  0.2603E-02       -196.02  0.2880 -0.2426E-01  0.2527E-02
          0.7758     -237.31  0.2731  0.2033E-01  0.2992E-02       -215.14  0.2811  0.5536E-01  0.2602E-02       -196.88  0.2877 -0.3371E-01  0.2528E-02
          0.8258     -237.25  0.2732  0.3221E-01  0.2993E-02       -215.50  0.2810  0.2533E-01  0.2602E-02       -197.58  0.2874 -0.4546E-01  0.2528E-02
          0.8758     -237.49  0.2731  0.4230E-01  0.2994E-02       -215.88  0.2808  0.8525E-02  0.2602E-02       -198.18  0.2872 -0.5576E-01  0.2528E-02
          0.9258     -237.86  0.2729  0.4960E-01  0.2995E-02       -216.28  0.2807 -0.4431E-03  0.2602E-02       -198.73  0.2870 -0.6258E-01  0.2528E-02
          0.9629     -238.17  0.2728  0.5278E-01  0.2996E-02       -216.60  0.2806 -0.4462E-02  0.2601E-02       -199.12  0.2869 -0.6614E-01  0.2528E-02
          1.0000     -238.49  0.2727  0.5386E-01  0.2996E-02       -216.94  0.2805 -0.6681E-02  0.2601E-02       -199.50  0.2867 -0.6817E-01  0.2528E-02
end
