 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 3.2022    Time:  23: 2:36
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -176.362 0.2960   0.1686E+01  0.4116E-03 -0.3781E-01  0.0000E+00      -1  -0.870E-03   20.00  0.2726E-02  0.1089E+00
   2    -3.0000    -173.428 0.2972   0.1752E+01  0.4154E-03 -0.8901E-01  0.0000E+00      -1  -0.205E-02   20.00  0.2808E-02  0.1123E+00
   3    -6.0000    -170.664 0.2983   0.1813E+01  0.4190E-03 -0.1899E+00  0.0000E+00      -1  -0.437E-02   20.00  0.2875E-02  0.1151E+00
   4    -9.0000    -168.054 0.2994   0.1871E+01  0.4224E-03 -0.2837E+00  0.1212E-02      -1  -0.653E-02   20.00  0.2899E-02  0.1160E+00
   5   -12.0000    -165.572 0.3005   0.1927E+01  0.4256E-03 -0.3690E+00  0.1212E-02      -1  -0.849E-02   20.00  0.2885E-02  0.1155E+00
   6   -15.0000    -163.202 0.3015   0.1979E+01  0.4287E-03 -0.4490E+00  0.1213E-02      -1  -0.103E-01   20.00  0.2840E-02  0.1137E+00
   7   -18.0000    -160.932 0.3024   0.2030E+01  0.4317E-03 -0.5229E+00  0.1213E-02      -1  -0.120E-01   20.00  0.2773E-02  0.1109E+00
   8   -21.0000    -158.747 0.3033   0.2079E+01  0.4345E-03 -0.5909E+00  0.1213E-02      -1  -0.136E-01   20.00  0.2706E-02  0.1082E+00
   9   -24.0000    -156.637 0.3042   0.2126E+01  0.4373E-03 -0.6527E+00  0.1201E-02      -1  -0.150E-01   20.00  0.2647E-02  0.1058E+00
  10   -27.0000    -154.589 0.3050   0.2171E+01  0.4399E-03 -0.7079E+00  0.1138E-02      -1  -0.163E-01   20.00  0.2600E-02  0.1039E+00
  11   -30.0000    -152.593 0.3059   0.2216E+01  0.4425E-03 -0.7596E+00  0.1075E-02      -1  -0.175E-01   20.00  0.2567E-02  0.1026E+00
  12   -33.0000    -150.640 0.3068   0.2283E+01  0.4449E-03 -0.8084E+00  0.1012E-02      -1  -0.186E-01   20.00  0.2547E-02  0.1018E+00
  13   -36.0000    -148.715 0.3076   0.2360E+01  0.4471E-03 -0.8519E+00  0.9492E-03      -1  -0.196E-01   20.00  0.2535E-02  0.1013E+00
  14   -39.0000    -146.806 0.3085   0.2436E+01  0.4493E-03 -0.8899E+00  0.8862E-03      -1  -0.205E-01   20.00  0.2529E-02  0.1011E+00
  15   -42.0000    -144.907 0.3094   0.2511E+01  0.4515E-03 -0.9230E+00  0.8230E-03      -1  -0.212E-01   20.00  0.2528E-02  0.1011E+00
  16   -45.0000    -143.011 0.3103   0.2587E+01  0.4537E-03 -0.9507E+00  0.7599E-03      -1  -0.219E-01   20.00  0.2528E-02  0.1011E+00
  17   -48.0000    -141.112 0.3112   0.2663E+01  0.4559E-03 -0.9736E+00  0.6967E-03      -1  -0.224E-01   20.00  0.2528E-02  0.1011E+00
  18   -51.0000    -139.205 0.3120   0.2739E+01  0.4581E-03 -0.9923E+00  0.6335E-03      -1  -0.228E-01   20.00  0.2528E-02  0.1011E+00
  19   -54.0000    -137.286 0.3129   0.2815E+01  0.4603E-03 -0.1007E+01  0.5703E-03      -1  -0.232E-01   20.00  0.2528E-02  0.1011E+00
  20   -57.0000    -135.352 0.3138   0.2892E+01  0.4625E-03 -0.1018E+01  0.5070E-03      -1  -0.234E-01   20.00  0.2528E-02  0.1011E+00
  21   -60.0000    -133.398 0.3147   0.2970E+01  0.4648E-03 -0.1026E+01  0.4438E-03      -1  -0.236E-01   20.00  0.2528E-02  0.1011E+00
  22   -63.0000    -131.424 0.3156   0.3049E+01  0.4671E-03 -0.1030E+01  0.3804E-03      -1  -0.237E-01   20.00  0.2528E-02  0.1011E+00
  23   -66.0000    -129.426 0.3166   0.3128E+01  0.4694E-03 -0.1032E+01  0.3171E-03      -1  -0.237E-01   20.00  0.2528E-02  0.1011E+00
  24   -69.0000    -127.403 0.3175   0.3209E+01  0.4717E-03 -0.1031E+01  0.2537E-03      -1  -0.237E-01   20.00  0.2528E-02  0.1011E+00
  25   -72.0000    -125.353 0.3184   0.3291E+01  0.4741E-03 -0.1028E+01  0.1903E-03      -1  -0.236E-01   20.00  0.2528E-02  0.1011E+00
  26   -75.0000    -123.277 0.3194   0.3373E+01  0.4765E-03 -0.1023E+01  0.1269E-03      -1  -0.235E-01   20.00  0.2528E-02  0.1011E+00
  27   -78.0000    -121.173 0.3204   0.3457E+01  0.4789E-03 -0.1016E+01  0.6347E-04      -1  -0.234E-01   20.00  0.2528E-02  0.1011E+00
  28   -81.0000    -119.036 0.3214   0.3579E+01  0.4808E-03 -0.1007E+01  0.0000E+00      -1  -0.232E-01   20.00  0.2528E-02  0.1011E+00
  29   -84.0000    -116.860 0.3225   0.3723E+01  0.4823E-03 -0.9974E+00  0.0000E+00      -1  -0.229E-01   20.00  0.2528E-02  0.1011E+00
  30   -87.0000    -114.644 0.3236   0.3869E+01  0.4839E-03 -0.9863E+00  0.0000E+00      -1  -0.227E-01   20.00  0.2528E-02  0.1011E+00
  31   -90.0000    -112.390 0.3247   0.4018E+01  0.4855E-03 -0.9740E+00  0.0000E+00      -1  -0.224E-01   20.00  0.2528E-02  0.1011E+00
  32   -93.0000    -110.099 0.3258   0.4169E+01  0.4871E-03 -0.9607E+00  0.0000E+00      -1  -0.221E-01   20.00  0.2528E-02  0.1011E+00
  33   -96.0000    -107.773 0.3269   0.4322E+01  0.4888E-03 -0.9463E+00  0.0000E+00      -1  -0.218E-01   20.00  0.2528E-02  0.1011E+00
  34   -99.0000    -105.413 0.3281   0.4478E+01  0.4905E-03 -0.9319E+00  0.0000E+00      -1  -0.214E-01   20.00  0.2528E-02  0.1011E+00
  35  -102.0000    -103.022 0.3293   0.4636E+01  0.4921E-03 -0.9168E+00  0.0000E+00      -1  -0.211E-01   20.00  0.2528E-02  0.1011E+00
  36  -105.0000    -100.600 0.3304   0.4796E+01  0.4939E-03 -0.9013E+00  0.0000E+00      -1  -0.207E-01   20.00  0.2528E-02  0.1011E+00
  37  -108.0000     -98.150 0.3316   0.4957E+01  0.4956E-03 -0.8863E+00  0.0000E+00      -1  -0.204E-01   20.00  0.2528E-02  0.1011E+00
  38  -111.0000     -95.673 0.3329   0.5121E+01  0.4974E-03 -0.8710E+00  0.0000E+00      -1  -0.200E-01   20.00  0.2528E-02  0.1011E+00
  39  -114.0000     -93.167 0.3341   0.5368E+01  0.4974E-03 -0.8559E+00  0.0000E+00      -1  -0.197E-01   20.00  0.2528E-02  0.1011E+00
  40  -117.0000     -90.630 0.3354   0.5625E+01  0.4973E-03 -0.8405E+00  0.0000E+00      -1  -0.193E-01   20.00  0.2528E-02  0.1011E+00
  41  -120.0000     -88.064 0.3366   0.5886E+01  0.4972E-03 -0.8246E+00  0.0000E+00      -1  -0.190E-01   20.00  0.2528E-02  0.1011E+00
  42  -123.0000     -85.471 0.3379   0.6150E+01  0.4971E-03 -0.8103E+00  0.0000E+00      -1  -0.186E-01   20.00  0.2528E-02  0.1011E+00
  43  -126.0000     -82.855 0.3392   0.6415E+01  0.4969E-03 -0.7961E+00  0.0000E+00      -1  -0.183E-01   20.00  0.2528E-02  0.1011E+00
  44  -129.0000     -80.216 0.3406   0.6684E+01  0.4968E-03 -0.7805E+00  0.0000E+00      -1  -0.180E-01   20.00  0.2528E-02  0.1011E+00
  45  -132.0000     -77.556 0.3419   0.6954E+01  0.4967E-03 -0.7666E+00  0.0000E+00      -1  -0.176E-01   20.00  0.2528E-02  0.1011E+00
  46  -135.0000     -74.877 0.3432   0.7261E+01  0.4958E-03 -0.7544E+00  0.0000E+00      -1  -0.174E-01   20.00  0.2528E-02  0.1011E+00
  47  -138.0000     -72.178 0.3445   0.7657E+01  0.4930E-03 -0.7408E+00  0.0000E+00      -1  -0.170E-01   20.00  0.2528E-02  0.1011E+00
  48  -141.0000     -69.458 0.3459   0.8056E+01  0.4901E-03 -0.7285E+00  0.0000E+00      -1  -0.168E-01   20.00  0.2528E-02  0.1011E+00
  49  -144.0000     -66.721 0.3472   0.8458E+01  0.4872E-03 -0.7170E+00  0.0000E+00      -1  -0.165E-01   20.00  0.2528E-02  0.1011E+00
  50  -147.0000     -63.967 0.3486   0.8862E+01  0.4843E-03 -0.7055E+00  0.0000E+00      -1  -0.162E-01   20.00  0.2528E-02  0.1011E+00
  51  -150.0000     -61.199 0.3499   0.9268E+01  0.4814E-03 -0.6946E+00  0.0000E+00      -1  -0.160E-01   20.00  0.2528E-02  0.1011E+00
  52  -153.0000     -58.416 0.3512   0.9759E+01  0.4766E-03 -0.6837E+00  0.0000E+00      -1  -0.157E-01   20.00  0.2528E-02  0.1011E+00
  53  -156.0000     -55.619 0.3525   0.1032E+02  0.4704E-03 -0.6754E+00  0.0000E+00      -1  -0.155E-01   20.00  0.2528E-02  0.1011E+00
  54  -159.0000     -52.809 0.3539   0.1088E+02  0.4641E-03 -0.6651E+00  0.0000E+00      -1  -0.153E-01   20.00  0.2528E-02  0.1011E+00
  55  -162.0000     -49.986 0.3552   0.1145E+02  0.4577E-03 -0.6563E+00  0.0000E+00      -1  -0.151E-01   20.00  0.2528E-02  0.1011E+00
  56  -165.0000     -47.153 0.3565   0.1204E+02  0.4510E-03 -0.6496E+00  0.0000E+00      -1  -0.149E-01   20.00  0.2528E-02  0.1011E+00
  57  -168.0000     -44.309 0.3577   0.1279E+02  0.4410E-03 -0.6408E+00  0.0000E+00      -1  -0.147E-01   20.00  0.2528E-02  0.1011E+00
  58  -171.0000     -41.454 0.3590   0.1354E+02  0.4309E-03 -0.6334E+00  0.0000E+00      -1  -0.146E-01   20.00  0.2528E-02  0.1011E+00
  59  -174.0000     -38.590 0.3602   0.1429E+02  0.4208E-03 -0.6271E+00  0.0000E+00      -1  -0.144E-01   20.00  0.2528E-02  0.1011E+00
  60  -177.0000     -35.717 0.3614   0.1517E+02  0.4082E-03 -0.6195E+00  0.0000E+00      -1  -0.143E-01   20.00  0.2528E-02  0.1011E+00
  61  -180.0000     -32.835 0.3626   0.1613E+02  0.3943E-03 -0.6150E+00  0.0000E+00      -1  -0.141E-01   20.00  0.2528E-02  0.1011E+00
  62  -183.0000     -29.946 0.3637   0.1708E+02  0.3803E-03 -0.6104E+00  0.0000E+00      -1  -0.140E-01   20.00  0.2528E-02  0.1011E+00
  63  -186.0000     -27.049 0.3648   0.1825E+02  0.3626E-03 -0.6047E+00  0.0000E+00      -1  -0.139E-01   20.00  0.2528E-02  0.1011E+00
  64  -189.0000     -24.145 0.3658   0.1943E+02  0.3447E-03 -0.5998E+00  0.0000E+00      -1  -0.138E-01   20.00  0.2528E-02  0.1011E+00
  65  -192.0000     -21.234 0.3668   0.2081E+02  0.3236E-03 -0.5963E+00  0.0000E+00      -1  -0.137E-01   20.00  0.2528E-02  0.1011E+00
  66  -195.0000     -18.317 0.3677   0.2227E+02  0.3012E-03 -0.5944E+00  0.0000E+00      -1  -0.137E-01   20.00  0.2528E-02  0.1011E+00
  67  -198.0000     -15.394 0.3685   0.2395E+02  0.2754E-03 -0.5912E+00  0.0000E+00      -1  -0.136E-01   20.00  0.2528E-02  0.1011E+00
  68  -201.0000     -12.465 0.3693   0.2586E+02  0.2462E-03 -0.5867E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2528E-02  0.1011E+00
  69  -204.0000      -9.530 0.3700   0.2806E+02  0.2131E-03 -0.5860E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2528E-02  0.1011E+00
