 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 3.2022    Time:  23: 2:48
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.28702E-01  0.34808E-01  0.28704E-01  0.34343E-01  0.42565E+00  0.28702E-03  0.34808E-03  0.28704E-03  0.34343E-03  0.42565E-02 -0.22161E+03 -0.17902E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10119E+03  0.98664E-06  0.28803E-03      1  0.00000E+00      0.000
       0.0230  0.28279E-01  0.34808E-01  0.28280E-01  0.34342E-01  0.33104E+00  0.65464E-03  0.80057E-03  0.65468E-03  0.78988E-03  0.85600E-02 -0.22174E+03 -0.17905E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10119E+03  0.77622E-05  0.66244E-03      2  0.00000E+00      0.000
       0.0399  0.27237E-01  0.34808E-01  0.27238E-01  0.34342E-01  0.24847E+00  0.11150E-02  0.13888E-02  0.11150E-02  0.13703E-02  0.12759E-01 -0.22191E+03 -0.17911E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10120E+03  0.34177E-04  0.11492E-02      3  0.00000E+00      0.000
       0.0619  0.25070E-01  0.34808E-01  0.25068E-01  0.34341E-01  0.19752E+00  0.16657E-02  0.21535E-02  0.16657E-02  0.21247E-02  0.17099E-01 -0.22209E+03 -0.17917E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10120E+03  0.11614E-03  0.17819E-02      4  0.00000E+00      0.000
       0.0904  0.20944E-01  0.34808E-01  0.20944E-01  0.34340E-01  0.15463E+00  0.22639E-02  0.31477E-02  0.22639E-02  0.31055E-02  0.21515E-01 -0.22227E+03 -0.17926E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10120E+03  0.34052E-03  0.26045E-02      5  0.00000E+00      0.000
       0.1276  0.13582E-01  0.34808E-01  0.13583E-01  0.34339E-01  0.12037E+00  0.27682E-02  0.44401E-02  0.27683E-02  0.43805E-02  0.25984E-01 -0.22242E+03 -0.17935E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10121E+03  0.90556E-03  0.36738E-02      6  0.00000E+00      0.000
       0.1758  0.12676E-02  0.34808E-01  0.12658E-02  0.34338E-01  0.91519E-01  0.28294E-02  0.61202E-02  0.28294E-02  0.60379E-02  0.30402E-01 -0.22251E+03 -0.17945E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10121E+03  0.22345E-02  0.50639E-02      7  0.00000E+00      0.000
       0.2258 -0.13635E-01  0.34808E-01 -0.13633E-01  0.34337E-01  0.71069E-01  0.21476E-02  0.78605E-02  0.21477E-02  0.77548E-02  0.33955E-01 -0.22249E+03 -0.17953E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10121E+03  0.43562E-02  0.65039E-02      8  0.00000E+00      0.000
