 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 3.2022    Time:  19:32: 5
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -201.27  0.2861  0.2686E-01  0.8828E-02       -182.17  0.2935 -0.2752E+00  0.9132E-02       -168.15  0.2994 -0.4792E+00  0.8863E-02
          0.0230     -201.76  0.2859  0.2592E-01  0.8839E-02       -182.57  0.2934 -0.2652E+00  0.9133E-02       -168.46  0.2993 -0.4688E+00  0.8863E-02
          0.0399     -202.42  0.2857  0.2363E-01  0.8850E-02       -183.15  0.2931 -0.2528E+00  0.9133E-02       -168.92  0.2991 -0.4543E+00  0.8863E-02
          0.0619     -203.18  0.2854  0.1886E-01  0.8861E-02       -183.85  0.2928 -0.2403E+00  0.9133E-02       -169.49  0.2988 -0.4377E+00  0.8863E-02
          0.0904     -204.09  0.2851  0.9789E-02  0.8867E-02       -184.74  0.2925 -0.2268E+00  0.9134E-02       -170.24  0.2985 -0.4182E+00  0.8862E-02
          0.1276     -205.10  0.2847 -0.6408E-02  0.8865E-02       -185.81  0.2920 -0.2162E+00  0.9134E-02       -171.17  0.2981 -0.3971E+00  0.8862E-02
          0.1758     -206.16  0.2843 -0.3350E-01  0.8848E-02       -187.07  0.2915 -0.2099E+00  0.9134E-02       -172.32  0.2976 -0.3758E+00  0.8862E-02
          0.2258     -207.03  0.2840 -0.6629E-01  0.8821E-02       -188.23  0.2910 -0.2101E+00  0.9134E-02       -173.44  0.2972 -0.3598E+00  0.8861E-02
          0.2758     -207.94  0.2837 -0.7766E-01  0.8795E-02       -189.30  0.2906 -0.2107E+00  0.9134E-02       -174.48  0.2967 -0.3475E+00  0.8861E-02
          0.3258     -209.67  0.2831 -0.1819E-01  0.8799E-02       -190.59  0.2900 -0.1922E+00  0.9136E-02       -175.61  0.2963 -0.3271E+00  0.8862E-02
          0.3758     -211.96  0.2823  0.3229E-01  0.8837E-02       -192.46  0.2893 -0.1614E+00  0.9143E-02       -177.11  0.2957 -0.2853E+00  0.8866E-02
          0.4258     -214.62  0.2813  0.6884E-01  0.8890E-02       -194.72  0.2885 -0.1243E+00  0.9150E-02       -178.86  0.2949 -0.2323E+00  0.8870E-02
          0.4758     -217.42  0.2803  0.8789E-01  0.8942E-02       -197.22  0.2876 -0.9117E-01  0.9158E-02       -180.80  0.2941 -0.1748E+00  0.8874E-02
          0.5258     -220.11  0.2793  0.8756E-01  0.8977E-02       -199.73  0.2867 -0.6340E-01  0.9164E-02       -182.79  0.2933 -0.1211E+00  0.8877E-02
          0.5758     -222.43  0.2785  0.6789E-01  0.8987E-02       -202.05  0.2858 -0.4420E-01  0.9167E-02       -184.70  0.2925 -0.7775E-01  0.8877E-02
          0.6258     -224.19  0.2778  0.3081E-01  0.8970E-02       -203.98  0.2851 -0.3558E-01  0.9167E-02       -186.40  0.2918 -0.5000E-01  0.8877E-02
          0.6758     -225.23  0.2774 -0.2005E-01  0.8926E-02       -205.37  0.2846 -0.3899E-01  0.9164E-02       -187.77  0.2912 -0.3997E-01  0.8874E-02
          0.7258     -225.49  0.2773 -0.7971E-01  0.8860E-02       -206.12  0.2843 -0.5381E-01  0.9157E-02       -188.72  0.2908 -0.5013E-01  0.8870E-02
          0.7758     -225.91  0.2772 -0.6516E-01  0.8815E-02       -206.37  0.2842 -0.6404E-01  0.9149E-02       -189.25  0.2906 -0.7313E-01  0.8865E-02
          0.8258     -226.54  0.2770 -0.3248E-01  0.8808E-02       -206.69  0.2842 -0.6690E-01  0.9144E-02       -189.74  0.2904 -0.8968E-01  0.8862E-02
          0.8758     -227.28  0.2767 -0.4743E-02  0.8821E-02       -207.11  0.2840 -0.6394E-01  0.9141E-02       -190.24  0.2902 -0.9873E-01  0.8861E-02
          0.9258     -228.08  0.2764  0.1534E-01  0.8844E-02       -207.64  0.2838 -0.5828E-01  0.9140E-02       -190.76  0.2899 -0.1020E+00  0.8861E-02
          0.9629     -228.65  0.2762  0.2410E-01  0.8863E-02       -208.06  0.2837 -0.5384E-01  0.9139E-02       -191.16  0.2898 -0.1024E+00  0.8861E-02
          1.0000     -229.18  0.2760  0.2707E-01  0.8879E-02       -208.50  0.2835 -0.4992E-01  0.9139E-02       -191.57  0.2896 -0.1012E+00  0.8861E-02
end
