 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 3.2022    Time:  19:32:13
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -189.922 0.2903   0.1384E+01  0.3939E-03 -0.2314E-01  0.0000E+00      -1  -0.532E-03   20.00  0.8331E-02  0.9447E-01
   2    -3.0000    -186.971 0.2915   0.1450E+01  0.3978E-03 -0.5428E-01  0.0000E+00      -1  -0.125E-02   20.00  0.8592E-02  0.9688E-01
   3    -6.0000    -184.144 0.2927   0.1513E+01  0.4015E-03 -0.1150E+00  0.0000E+00      -1  -0.265E-02   20.00  0.8795E-02  0.9934E-01
   4    -9.0000    -181.425 0.2938   0.1573E+01  0.4050E-03 -0.1708E+00  0.1256E-02      -1  -0.393E-02   20.00  0.8949E-02  0.1013E+00
   5   -12.0000    -178.794 0.2949   0.1632E+01  0.4084E-03 -0.2206E+00  0.1257E-02      -1  -0.508E-02   20.00  0.9045E-02  0.1024E+00
   6   -15.0000    -176.235 0.2960   0.1689E+01  0.4118E-03 -0.2660E+00  0.1257E-02      -1  -0.612E-02   20.00  0.9094E-02  0.1029E+00
   7   -18.0000    -173.738 0.2971   0.1745E+01  0.4150E-03 -0.3075E+00  0.1258E-02      -1  -0.708E-02   20.00  0.9101E-02  0.1029E+00
   8   -21.0000    -171.292 0.2981   0.1799E+01  0.4182E-03 -0.3441E+00  0.1258E-02      -1  -0.792E-02   20.00  0.9083E-02  0.1026E+00
   9   -24.0000    -168.885 0.2991   0.1853E+01  0.4213E-03 -0.3762E+00  0.1246E-02      -1  -0.866E-02   20.00  0.9049E-02  0.1022E+00
  10   -27.0000    -166.510 0.3001   0.1906E+01  0.4244E-03 -0.4041E+00  0.1181E-02      -1  -0.930E-02   20.00  0.9009E-02  0.1017E+00
  11   -30.0000    -164.157 0.3011   0.1958E+01  0.4275E-03 -0.4279E+00  0.1115E-02      -1  -0.985E-02   20.00  0.8966E-02  0.1011E+00
  12   -33.0000    -161.821 0.3020   0.2010E+01  0.4305E-03 -0.4476E+00  0.1050E-02      -1  -0.103E-01   20.00  0.8929E-02  0.1007E+00
  13   -36.0000    -159.493 0.3030   0.2062E+01  0.4335E-03 -0.4636E+00  0.9849E-03      -1  -0.107E-01   20.00  0.8897E-02  0.1003E+00
  14   -39.0000    -157.170 0.3040   0.2114E+01  0.4366E-03 -0.4763E+00  0.9195E-03      -1  -0.110E-01   20.00  0.8872E-02  0.1000E+00
  15   -42.0000    -154.845 0.3049   0.2166E+01  0.4396E-03 -0.4854E+00  0.8541E-03      -1  -0.112E-01   20.00  0.8856E-02  0.9991E-01
  16   -45.0000    -152.515 0.3059   0.2218E+01  0.4426E-03 -0.4918E+00  0.7887E-03      -1  -0.113E-01   20.00  0.8842E-02  0.9974E-01
  17   -48.0000    -150.171 0.3070   0.2302E+01  0.4454E-03 -0.4949E+00  0.7232E-03      -1  -0.114E-01   20.00  0.8829E-02  0.9958E-01
  18   -51.0000    -147.804 0.3081   0.2396E+01  0.4481E-03 -0.4958E+00  0.6576E-03      -1  -0.114E-01   20.00  0.8818E-02  0.9946E-01
  19   -54.0000    -145.413 0.3092   0.2491E+01  0.4509E-03 -0.4948E+00  0.5921E-03      -1  -0.114E-01   20.00  0.8810E-02  0.9936E-01
  20   -57.0000    -142.996 0.3103   0.2588E+01  0.4537E-03 -0.4906E+00  0.5264E-03      -1  -0.113E-01   20.00  0.8803E-02  0.9929E-01
  21   -60.0000    -140.551 0.3114   0.2685E+01  0.4565E-03 -0.4849E+00  0.4608E-03      -1  -0.112E-01   20.00  0.8798E-02  0.9923E-01
  22   -63.0000    -138.080 0.3126   0.2784E+01  0.4594E-03 -0.4781E+00  0.3950E-03      -1  -0.110E-01   20.00  0.8794E-02  0.9919E-01
  23   -66.0000    -135.582 0.3137   0.2883E+01  0.4623E-03 -0.4693E+00  0.3293E-03      -1  -0.108E-01   20.00  0.8791E-02  0.9916E-01
  24   -69.0000    -133.057 0.3149   0.2984E+01  0.4652E-03 -0.4593E+00  0.2635E-03      -1  -0.106E-01   20.00  0.8789E-02  0.9913E-01
  25   -72.0000    -130.506 0.3161   0.3085E+01  0.4682E-03 -0.4482E+00  0.1977E-03      -1  -0.103E-01   20.00  0.8788E-02  0.9911E-01
  26   -75.0000    -127.929 0.3173   0.3188E+01  0.4711E-03 -0.4366E+00  0.1318E-03      -1  -0.100E-01   20.00  0.8787E-02  0.9910E-01
  27   -78.0000    -125.328 0.3185   0.3292E+01  0.4741E-03 -0.4250E+00  0.6593E-04      -1  -0.978E-02   20.00  0.8787E-02  0.9910E-01
  28   -81.0000    -122.704 0.3197   0.3396E+01  0.4772E-03 -0.4122E+00  0.0000E+00      -1  -0.948E-02   20.00  0.8786E-02  0.9909E-01
  29   -84.0000    -120.056 0.3209   0.3512E+01  0.4801E-03 -0.3989E+00  0.0000E+00      -1  -0.918E-02   20.00  0.8786E-02  0.9909E-01
  30   -87.0000    -117.383 0.3222   0.3688E+01  0.4820E-03 -0.3845E+00  0.0000E+00      -1  -0.885E-02   20.00  0.8786E-02  0.9909E-01
  31   -90.0000    -114.682 0.3235   0.3867E+01  0.4839E-03 -0.3702E+00  0.0000E+00      -1  -0.852E-02   20.00  0.8786E-02  0.9909E-01
  32   -93.0000    -111.958 0.3249   0.4046E+01  0.4858E-03 -0.3564E+00  0.0000E+00      -1  -0.820E-02   20.00  0.8786E-02  0.9909E-01
  33   -96.0000    -109.211 0.3262   0.4228E+01  0.4878E-03 -0.3414E+00  0.0000E+00      -1  -0.786E-02   20.00  0.8786E-02  0.9909E-01
  34   -99.0000    -106.443 0.3276   0.4410E+01  0.4897E-03 -0.3276E+00  0.0000E+00      -1  -0.754E-02   20.00  0.8786E-02  0.9909E-01
  35  -102.0000    -103.657 0.3289   0.4594E+01  0.4917E-03 -0.3129E+00  0.0000E+00      -1  -0.720E-02   20.00  0.8786E-02  0.9909E-01
  36  -105.0000    -100.852 0.3303   0.4779E+01  0.4937E-03 -0.2985E+00  0.0000E+00      -1  -0.687E-02   20.00  0.8786E-02  0.9909E-01
  37  -108.0000     -98.032 0.3317   0.4965E+01  0.4957E-03 -0.2862E+00  0.0000E+00      -1  -0.659E-02   20.00  0.8786E-02  0.9909E-01
  38  -111.0000     -95.198 0.3331   0.5161E+01  0.4975E-03 -0.2727E+00  0.0000E+00      -1  -0.628E-02   20.00  0.8785E-02  0.9909E-01
  39  -114.0000     -92.348 0.3345   0.5451E+01  0.4974E-03 -0.2586E+00  0.0000E+00      -1  -0.595E-02   20.00  0.8785E-02  0.9909E-01
  40  -117.0000     -89.483 0.3359   0.5742E+01  0.4972E-03 -0.2457E+00  0.0000E+00      -1  -0.565E-02   20.00  0.8785E-02  0.9909E-01
  41  -120.0000     -86.605 0.3374   0.6034E+01  0.4971E-03 -0.2330E+00  0.0000E+00      -1  -0.536E-02   20.00  0.8785E-02  0.9909E-01
  42  -123.0000     -83.715 0.3388   0.6328E+01  0.4970E-03 -0.2212E+00  0.0000E+00      -1  -0.509E-02   20.00  0.8785E-02  0.9909E-01
  43  -126.0000     -80.815 0.3403   0.6623E+01  0.4969E-03 -0.2095E+00  0.0000E+00      -1  -0.482E-02   20.00  0.8785E-02  0.9909E-01
  44  -129.0000     -77.905 0.3417   0.6918E+01  0.4967E-03 -0.1983E+00  0.0000E+00      -1  -0.456E-02   20.00  0.8785E-02  0.9909E-01
  45  -132.0000     -74.987 0.3432   0.7245E+01  0.4959E-03 -0.1888E+00  0.0000E+00      -1  -0.434E-02   20.00  0.8785E-02  0.9909E-01
  46  -135.0000     -72.061 0.3446   0.7674E+01  0.4928E-03 -0.1775E+00  0.0000E+00      -1  -0.408E-02   20.00  0.8785E-02  0.9909E-01
  47  -138.0000     -69.126 0.3460   0.8105E+01  0.4897E-03 -0.1673E+00  0.0000E+00      -1  -0.385E-02   20.00  0.8785E-02  0.9909E-01
  48  -141.0000     -66.185 0.3475   0.8536E+01  0.4866E-03 -0.1591E+00  0.0000E+00      -1  -0.366E-02   20.00  0.8785E-02  0.9909E-01
  49  -144.0000     -63.238 0.3489   0.8969E+01  0.4835E-03 -0.1493E+00  0.0000E+00      -1  -0.343E-02   20.00  0.8785E-02  0.9909E-01
  50  -147.0000     -60.285 0.3504   0.9402E+01  0.4804E-03 -0.1414E+00  0.0000E+00      -1  -0.325E-02   20.00  0.8785E-02  0.9909E-01
  51  -150.0000     -57.328 0.3517   0.9977E+01  0.4742E-03 -0.1328E+00  0.0000E+00      -1  -0.306E-02   20.00  0.8785E-02  0.9909E-01
  52  -153.0000     -54.365 0.3531   0.1057E+02  0.4676E-03 -0.1249E+00  0.0000E+00      -1  -0.287E-02   20.00  0.8785E-02  0.9909E-01
  53  -156.0000     -51.399 0.3545   0.1117E+02  0.4609E-03 -0.1189E+00  0.0000E+00      -1  -0.274E-02   20.00  0.8785E-02  0.9909E-01
  54  -159.0000     -48.429 0.3559   0.1176E+02  0.4543E-03 -0.1119E+00  0.0000E+00      -1  -0.257E-02   20.00  0.8785E-02  0.9909E-01
  55  -162.0000     -45.456 0.3572   0.1249E+02  0.4450E-03 -0.1061E+00  0.0000E+00      -1  -0.244E-02   20.00  0.8785E-02  0.9909E-01
  56  -165.0000     -42.480 0.3585   0.1327E+02  0.4345E-03 -0.1016E+00  0.0000E+00      -1  -0.234E-02   20.00  0.8785E-02  0.9909E-01
  57  -168.0000     -39.502 0.3598   0.1405E+02  0.4240E-03 -0.9592E-01  0.0000E+00      -1  -0.221E-02   20.00  0.8785E-02  0.9909E-01
  58  -171.0000     -36.521 0.3611   0.1491E+02  0.4121E-03 -0.8947E-01  0.0000E+00      -1  -0.206E-02   20.00  0.8785E-02  0.9909E-01
  59  -174.0000     -33.538 0.3623   0.1589E+02  0.3977E-03 -0.8460E-01  0.0000E+00      -1  -0.195E-02   20.00  0.8785E-02  0.9909E-01
  60  -177.0000     -30.553 0.3635   0.1688E+02  0.3832E-03 -0.8171E-01  0.0000E+00      -1  -0.188E-02   20.00  0.8785E-02  0.9909E-01
  61  -180.0000     -27.567 0.3646   0.1804E+02  0.3658E-03 -0.7804E-01  0.0000E+00      -1  -0.180E-02   20.00  0.8785E-02  0.9909E-01
  62  -183.0000     -24.579 0.3657   0.1925E+02  0.3474E-03 -0.7386E-01  0.0000E+00      -1  -0.170E-02   20.00  0.8785E-02  0.9909E-01
  63  -186.0000     -21.590 0.3667   0.2063E+02  0.3262E-03 -0.7218E-01  0.0000E+00      -1  -0.166E-02   20.00  0.8785E-02  0.9909E-01
  64  -189.0000     -18.600 0.3676   0.2210E+02  0.3037E-03 -0.6623E-01  0.0000E+00      -1  -0.152E-02   20.00  0.8785E-02  0.9909E-01
  65  -192.0000     -15.608 0.3685   0.2382E+02  0.2772E-03 -0.6367E-01  0.0000E+00      -1  -0.146E-02   20.00  0.8785E-02  0.9909E-01
  66  -195.0000     -12.616 0.3693   0.2576E+02  0.2478E-03 -0.6441E-01  0.0000E+00      -1  -0.148E-02   20.00  0.8785E-02  0.9909E-01
  67  -198.0000      -9.623 0.3700   0.2798E+02  0.2142E-03 -0.6069E-01  0.0000E+00      -1  -0.140E-02   20.00  0.8785E-02  0.9909E-01
  68  -201.0000      -6.629 0.3706   0.3070E+02  0.1741E-03 -0.6177E-01  0.0000E+00      -1  -0.142E-02   20.00  0.8785E-02  0.9909E-01
  69  -204.0000      -3.635 0.3710   0.3416E+02  0.1244E-03 -0.6329E-01  0.0000E+00      -1  -0.146E-02   20.00  0.8785E-02  0.9909E-01
