 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 3.2022    Time:  19:32:20
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.13758E-01  0.67144E-01  0.13750E-01  0.66953E-01 -0.54875E+01  0.13758E-03  0.67144E-03  0.13750E-03  0.66953E-03 -0.54875E-01 -0.13615E+03 -0.10734E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10521E+03  0.57225E-05  0.14322E-03      1  0.00000E+00      0.000
       0.0200  0.12044E-01  0.67144E-01  0.12039E-01  0.66948E-01 -0.51913E+01  0.25802E-03  0.13429E-02  0.25789E-03  0.13390E-02 -0.10679E+00 -0.13724E+03 -0.10807E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10516E+03  0.28590E-04  0.28648E-03      2  0.00000E+00      0.000
       0.0330  0.81191E-02  0.67144E-01  0.81151E-02  0.66942E-01 -0.49152E+01  0.36357E-03  0.22158E-02  0.36339E-03  0.22093E-02 -0.17069E+00 -0.13880E+03 -0.10915E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10510E+03  0.10934E-03  0.47273E-03      3  0.00000E+00      0.000
       0.0499  0.19327E-03  0.67144E-01  0.18694E-03  0.66934E-01 -0.47272E+01  0.36684E-03  0.33505E-02  0.36655E-03  0.33404E-02 -0.25057E+00 -0.14059E+03 -0.11045E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10501E+03  0.34826E-03  0.71481E-03      4  0.00000E+00      0.000
       0.0719 -0.14738E-01  0.67144E-01 -0.14744E-01  0.66924E-01 -0.45485E+01  0.43034E-04  0.48256E-02  0.42612E-04  0.48107E-02 -0.35051E+00 -0.14274E+03 -0.11211E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10491E+03  0.98704E-03  0.10296E-02      5  0.00000E+00      0.000
       0.1004 -0.41517E-01  0.67144E-01 -0.41511E-01  0.66911E-01 -0.43770E+01 -0.11427E-02  0.67433E-02 -0.11430E-02  0.67218E-02 -0.47552E+00 -0.14520E+03 -0.11414E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10479E+03  0.25819E-02  0.14389E-02      6  0.00000E+00      0.000
       0.1376 -0.87413E-01  0.67144E-01 -0.87419E-01  0.66895E-01 -0.41864E+01 -0.43883E-02  0.92363E-02 -0.43888E-02  0.92056E-02 -0.63096E+00 -0.14796E+03 -0.11660E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10463E+03  0.63598E-02  0.19710E-02      7  0.00000E+00      0.000
       0.1858 -0.16188E+00  0.67144E-01 -0.16189E+00  0.66877E-01 -0.39636E+01 -0.12202E-01  0.12477E-01 -0.12203E-01  0.12434E-01 -0.82227E+00 -0.15088E+03 -0.11948E+03  0.65050E+02  0.00000E+00  0.00000E+00  0.10445E+03  0.14866E-01  0.26627E-02      8  0.00000E+00      0.000
