 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 3.2022    Time:  16:26:33
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -168.731 0.2991   0.1856E+01  0.4215E-03 -0.4911E-01  0.0000E+00      -1  -0.113E-02   20.00  0.1024E-02  0.1228E+00
   2    -3.0000    -165.809 0.3004   0.1921E+01  0.4253E-03 -0.1065E+00  0.0000E+00      -1  -0.245E-02   20.00  0.1042E-02  0.1250E+00
   3    -6.0000    -163.061 0.3015   0.1983E+01  0.4289E-03 -0.2191E+00  0.0000E+00      -1  -0.504E-02   20.00  0.1050E-02  0.1260E+00
   4    -9.0000    -160.470 0.3026   0.2040E+01  0.4323E-03 -0.3259E+00  0.1049E-02      -1  -0.750E-02   20.00  0.1050E-02  0.1261E+00
   5   -12.0000    -158.018 0.3036   0.2095E+01  0.4355E-03 -0.4264E+00  0.1049E-02      -1  -0.981E-02   20.00  0.1041E-02  0.1250E+00
   6   -15.0000    -155.690 0.3046   0.2147E+01  0.4385E-03 -0.5213E+00  0.1049E-02      -1  -0.120E-01   20.00  0.1023E-02  0.1229E+00
   7   -18.0000    -153.474 0.3055   0.2196E+01  0.4414E-03 -0.6123E+00  0.1050E-02      -1  -0.141E-01   20.00  0.9956E-03  0.1195E+00
   8   -21.0000    -151.360 0.3064   0.2254E+01  0.4440E-03 -0.7022E+00  0.1050E-02      -1  -0.162E-01   20.00  0.9633E-03  0.1156E+00
   9   -24.0000    -149.337 0.3074   0.2335E+01  0.4464E-03 -0.7891E+00  0.1039E-02      -1  -0.182E-01   20.00  0.9346E-03  0.1121E+00
  10   -27.0000    -147.387 0.3083   0.2413E+01  0.4486E-03 -0.8695E+00  0.9849E-03      -1  -0.200E-01   20.00  0.9123E-03  0.1094E+00
  11   -30.0000    -145.499 0.3091   0.2488E+01  0.4508E-03 -0.9443E+00  0.9304E-03      -1  -0.217E-01   20.00  0.8973E-03  0.1076E+00
  12   -33.0000    -143.664 0.3100   0.2561E+01  0.4529E-03 -0.1013E+01  0.8758E-03      -1  -0.233E-01   20.00  0.8891E-03  0.1066E+00
  13   -36.0000    -141.873 0.3108   0.2632E+01  0.4550E-03 -0.1077E+01  0.8213E-03      -1  -0.248E-01   20.00  0.8849E-03  0.1061E+00
  14   -39.0000    -140.118 0.3116   0.2702E+01  0.4570E-03 -0.1135E+01  0.7667E-03      -1  -0.261E-01   20.00  0.8835E-03  0.1060E+00
  15   -42.0000    -138.393 0.3124   0.2771E+01  0.4590E-03 -0.1187E+01  0.7121E-03      -1  -0.273E-01   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -136.689 0.3132   0.2839E+01  0.4610E-03 -0.1235E+01  0.6574E-03      -1  -0.284E-01   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -135.003 0.3140   0.2906E+01  0.4629E-03 -0.1278E+01  0.6027E-03      -1  -0.294E-01   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -133.328 0.3148   0.2973E+01  0.4649E-03 -0.1317E+01  0.5480E-03      -1  -0.303E-01   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -131.660 0.3155   0.3039E+01  0.4668E-03 -0.1350E+01  0.4933E-03      -1  -0.311E-01   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -129.994 0.3163   0.3106E+01  0.4687E-03 -0.1381E+01  0.4386E-03      -1  -0.318E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -128.327 0.3171   0.3172E+01  0.4707E-03 -0.1406E+01  0.3838E-03      -1  -0.324E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -126.654 0.3178   0.3239E+01  0.4726E-03 -0.1428E+01  0.3290E-03      -1  -0.329E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -124.973 0.3186   0.3306E+01  0.4746E-03 -0.1448E+01  0.2742E-03      -1  -0.333E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -123.282 0.3194   0.3373E+01  0.4765E-03 -0.1464E+01  0.2194E-03      -1  -0.337E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -121.577 0.3202   0.3441E+01  0.4785E-03 -0.1476E+01  0.1646E-03      -1  -0.340E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -119.853 0.3210   0.3525E+01  0.4802E-03 -0.1487E+01  0.1097E-03      -1  -0.342E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -118.102 0.3219   0.3641E+01  0.4814E-03 -0.1495E+01  0.5488E-04      -1  -0.344E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -116.317 0.3227   0.3759E+01  0.4827E-03 -0.1502E+01  0.0000E+00      -1  -0.345E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -114.499 0.3236   0.3879E+01  0.4840E-03 -0.1505E+01  0.0000E+00      -1  -0.346E-01   20.00  0.8834E-03  0.1060E+00
  30   -87.0000    -112.646 0.3245   0.4001E+01  0.4853E-03 -0.1507E+01  0.0000E+00      -1  -0.347E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -110.759 0.3255   0.4125E+01  0.4867E-03 -0.1507E+01  0.0000E+00      -1  -0.347E-01   20.00  0.8834E-03  0.1060E+00
  32   -93.0000    -108.838 0.3264   0.4252E+01  0.4880E-03 -0.1505E+01  0.0000E+00      -1  -0.346E-01   20.00  0.8834E-03  0.1060E+00
  33   -96.0000    -106.883 0.3274   0.4381E+01  0.4894E-03 -0.1503E+01  0.0000E+00      -1  -0.346E-01   20.00  0.8834E-03  0.1060E+00
  34   -99.0000    -104.896 0.3283   0.4512E+01  0.4908E-03 -0.1499E+01  0.0000E+00      -1  -0.345E-01   20.00  0.8834E-03  0.1060E+00
  35  -102.0000    -102.876 0.3293   0.4646E+01  0.4923E-03 -0.1493E+01  0.0000E+00      -1  -0.343E-01   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -100.824 0.3303   0.4781E+01  0.4937E-03 -0.1487E+01  0.0000E+00      -1  -0.342E-01   20.00  0.8833E-03  0.1060E+00
  37  -108.0000     -98.742 0.3313   0.4918E+01  0.4952E-03 -0.1481E+01  0.0000E+00      -1  -0.341E-01   20.00  0.8833E-03  0.1060E+00
  38  -111.0000     -96.631 0.3324   0.5058E+01  0.4967E-03 -0.1473E+01  0.0000E+00      -1  -0.339E-01   20.00  0.8833E-03  0.1060E+00
  39  -114.0000     -94.487 0.3334   0.5234E+01  0.4975E-03 -0.1464E+01  0.0000E+00      -1  -0.337E-01   20.00  0.8833E-03  0.1060E+00
  40  -117.0000     -92.307 0.3345   0.5455E+01  0.4974E-03 -0.1456E+01  0.0000E+00      -1  -0.335E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000     -90.089 0.3356   0.5680E+01  0.4973E-03 -0.1446E+01  0.0000E+00      -1  -0.333E-01   20.00  0.8833E-03  0.1060E+00
  42  -123.0000     -87.835 0.3368   0.5909E+01  0.4972E-03 -0.1438E+01  0.0000E+00      -1  -0.331E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -85.549 0.3379   0.6142E+01  0.4971E-03 -0.1429E+01  0.0000E+00      -1  -0.329E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -83.231 0.3391   0.6377E+01  0.4970E-03 -0.1419E+01  0.0000E+00      -1  -0.326E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -80.884 0.3402   0.6616E+01  0.4969E-03 -0.1409E+01  0.0000E+00      -1  -0.324E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -78.509 0.3414   0.6857E+01  0.4967E-03 -0.1400E+01  0.0000E+00      -1  -0.322E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -76.109 0.3426   0.7101E+01  0.4966E-03 -0.1391E+01  0.0000E+00      -1  -0.320E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -73.681 0.3438   0.7436E+01  0.4945E-03 -0.1381E+01  0.0000E+00      -1  -0.318E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -71.223 0.3450   0.7797E+01  0.4920E-03 -0.1373E+01  0.0000E+00      -1  -0.316E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -68.738 0.3462   0.8162E+01  0.4893E-03 -0.1364E+01  0.0000E+00      -1  -0.314E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -66.226 0.3474   0.8530E+01  0.4867E-03 -0.1354E+01  0.0000E+00      -1  -0.312E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -63.691 0.3487   0.8902E+01  0.4840E-03 -0.1347E+01  0.0000E+00      -1  -0.310E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -61.134 0.3499   0.9277E+01  0.4813E-03 -0.1338E+01  0.0000E+00      -1  -0.308E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -58.555 0.3512   0.9731E+01  0.4769E-03 -0.1331E+01  0.0000E+00      -1  -0.306E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -55.954 0.3524   0.1025E+02  0.4711E-03 -0.1323E+01  0.0000E+00      -1  -0.305E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -53.330 0.3536   0.1078E+02  0.4652E-03 -0.1316E+01  0.0000E+00      -1  -0.303E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -50.687 0.3549   0.1131E+02  0.4593E-03 -0.1311E+01  0.0000E+00      -1  -0.302E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -48.026 0.3561   0.1184E+02  0.4534E-03 -0.1304E+01  0.0000E+00      -1  -0.300E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -45.346 0.3573   0.1251E+02  0.4446E-03 -0.1297E+01  0.0000E+00      -1  -0.298E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -42.648 0.3585   0.1322E+02  0.4351E-03 -0.1293E+01  0.0000E+00      -1  -0.297E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -39.933 0.3596   0.1393E+02  0.4256E-03 -0.1286E+01  0.0000E+00      -1  -0.296E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -37.202 0.3608   0.1468E+02  0.4154E-03 -0.1282E+01  0.0000E+00      -1  -0.295E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -34.456 0.3619   0.1559E+02  0.4021E-03 -0.1280E+01  0.0000E+00      -1  -0.294E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -31.695 0.3630   0.1650E+02  0.3888E-03 -0.1274E+01  0.0000E+00      -1  -0.293E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -28.919 0.3641   0.1749E+02  0.3741E-03 -0.1270E+01  0.0000E+00      -1  -0.292E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -26.130 0.3651   0.1862E+02  0.3569E-03 -0.1266E+01  0.0000E+00      -1  -0.291E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -23.327 0.3661   0.1979E+02  0.3393E-03 -0.1262E+01  0.0000E+00      -1  -0.290E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -20.512 0.3670   0.2116E+02  0.3182E-03 -0.1263E+01  0.0000E+00      -1  -0.290E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -17.685 0.3679   0.2263E+02  0.2956E-03 -0.1260E+01  0.0000E+00      -1  -0.290E-01   20.00  0.8833E-03  0.1060E+00
