 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 3.2022    Time:  16:26:34
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -214.813 0.2812   0.1077E+01  0.3636E-03  0.4743E-02  0.0000E+00      -1   0.109E-03   20.00  0.1016E-02  0.1219E+00
   2    -3.0000    -211.800 0.2823   0.1112E+01  0.3673E-03 -0.3836E-02  0.0000E+00      -1  -0.883E-04   20.00  0.1036E-02  0.1243E+00
   3    -6.0000    -208.833 0.2834   0.1146E+01  0.3709E-03 -0.2094E-01  0.0000E+00      -1  -0.482E-03   20.00  0.1046E-02  0.1255E+00
   4    -9.0000    -205.909 0.2844   0.1180E+01  0.3744E-03 -0.3587E-01  0.2436E-02      -1  -0.825E-03   20.00  0.1047E-02  0.1256E+00
   5   -12.0000    -203.015 0.2855   0.1213E+01  0.3779E-03 -0.4839E-01  0.2438E-02      -1  -0.111E-02   20.00  0.1038E-02  0.1246E+00
   6   -15.0000    -200.148 0.2865   0.1246E+01  0.3814E-03 -0.6050E-01  0.2440E-02      -1  -0.139E-02   20.00  0.1020E-02  0.1224E+00
   7   -18.0000    -197.306 0.2875   0.1279E+01  0.3848E-03 -0.7275E-01  0.2441E-02      -1  -0.167E-02   20.00  0.9948E-03  0.1194E+00
   8   -21.0000    -194.489 0.2885   0.1311E+01  0.3882E-03 -0.8509E-01  0.2443E-02      -1  -0.196E-02   20.00  0.9642E-03  0.1157E+00
   9   -24.0000    -191.695 0.2896   0.1345E+01  0.3916E-03 -0.9832E-01  0.2419E-02      -1  -0.226E-02   20.00  0.9368E-03  0.1124E+00
  10   -27.0000    -188.925 0.2907   0.1406E+01  0.3952E-03 -0.1128E+00  0.2293E-02      -1  -0.260E-02   20.00  0.9151E-03  0.1098E+00
  11   -30.0000    -186.176 0.2919   0.1468E+01  0.3988E-03 -0.1275E+00  0.2167E-02      -1  -0.293E-02   20.00  0.8994E-03  0.1079E+00
  12   -33.0000    -183.446 0.2930   0.1528E+01  0.4024E-03 -0.1425E+00  0.2040E-02      -1  -0.328E-02   20.00  0.8902E-03  0.1068E+00
  13   -36.0000    -180.735 0.2941   0.1589E+01  0.4059E-03 -0.1574E+00  0.1914E-02      -1  -0.362E-02   20.00  0.8859E-03  0.1063E+00
  14   -39.0000    -178.040 0.2953   0.1649E+01  0.4094E-03 -0.1724E+00  0.1787E-02      -1  -0.397E-02   20.00  0.8842E-03  0.1061E+00
  15   -42.0000    -175.362 0.2964   0.1708E+01  0.4129E-03 -0.1880E+00  0.1660E-02      -1  -0.433E-02   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -172.700 0.2975   0.1768E+01  0.4164E-03 -0.2034E+00  0.1533E-02      -1  -0.468E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -170.052 0.2986   0.1827E+01  0.4198E-03 -0.2190E+00  0.1406E-02      -1  -0.504E-02   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -167.419 0.2997   0.1885E+01  0.4232E-03 -0.2348E+00  0.1279E-02      -1  -0.540E-02   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -164.799 0.3008   0.1944E+01  0.4266E-03 -0.2508E+00  0.1151E-02      -1  -0.577E-02   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -162.193 0.3019   0.2002E+01  0.4300E-03 -0.2670E+00  0.1024E-02      -1  -0.614E-02   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -159.599 0.3030   0.2060E+01  0.4334E-03 -0.2829E+00  0.8962E-03      -1  -0.651E-02   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -157.017 0.3040   0.2117E+01  0.4368E-03 -0.2993E+00  0.7685E-03      -1  -0.689E-02   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -154.447 0.3051   0.2174E+01  0.4401E-03 -0.3158E+00  0.6406E-03      -1  -0.727E-02   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -151.888 0.3062   0.2233E+01  0.4434E-03 -0.3329E+00  0.5127E-03      -1  -0.766E-02   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -149.337 0.3074   0.2335E+01  0.4464E-03 -0.3510E+00  0.3846E-03      -1  -0.808E-02   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -146.790 0.3085   0.2436E+01  0.4493E-03 -0.3695E+00  0.2565E-03      -1  -0.850E-02   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -144.247 0.3097   0.2538E+01  0.4523E-03 -0.3883E+00  0.1283E-03      -1  -0.893E-02   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -141.708 0.3109   0.2639E+01  0.4552E-03 -0.4069E+00  0.0000E+00      -1  -0.936E-02   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -139.172 0.3121   0.2740E+01  0.4581E-03 -0.4247E+00  0.0000E+00      -1  -0.977E-02   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -136.638 0.3132   0.2841E+01  0.4611E-03 -0.4427E+00  0.0000E+00      -1  -0.102E-01   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -134.107 0.3144   0.2942E+01  0.4640E-03 -0.4609E+00  0.0000E+00      -1  -0.106E-01   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -131.578 0.3156   0.3043E+01  0.4669E-03 -0.4782E+00  0.0000E+00      -1  -0.110E-01   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -129.050 0.3167   0.3143E+01  0.4698E-03 -0.4951E+00  0.0000E+00      -1  -0.114E-01   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -126.523 0.3179   0.3244E+01  0.4728E-03 -0.5120E+00  0.0000E+00      -1  -0.118E-01   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -123.997 0.3191   0.3345E+01  0.4757E-03 -0.5285E+00  0.0000E+00      -1  -0.122E-01   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -121.471 0.3202   0.3445E+01  0.4786E-03 -0.5442E+00  0.0000E+00      -1  -0.125E-01   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -118.942 0.3215   0.3586E+01  0.4809E-03 -0.5603E+00  0.0000E+00      -1  -0.129E-01   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -116.407 0.3227   0.3753E+01  0.4827E-03 -0.5766E+00  0.0000E+00      -1  -0.133E-01   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -113.864 0.3239   0.3921E+01  0.4845E-03 -0.5919E+00  0.0000E+00      -1  -0.136E-01   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -111.313 0.3252   0.4089E+01  0.4863E-03 -0.6071E+00  0.0000E+00      -1  -0.140E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -108.755 0.3264   0.4258E+01  0.4881E-03 -0.6215E+00  0.0000E+00      -1  -0.143E-01   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -106.189 0.3277   0.4427E+01  0.4899E-03 -0.6359E+00  0.0000E+00      -1  -0.146E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -103.617 0.3290   0.4597E+01  0.4917E-03 -0.6503E+00  0.0000E+00      -1  -0.150E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -101.038 0.3302   0.4767E+01  0.4936E-03 -0.6633E+00  0.0000E+00      -1  -0.153E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -98.452 0.3315   0.4937E+01  0.4954E-03 -0.6764E+00  0.0000E+00      -1  -0.156E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -95.860 0.3328   0.5108E+01  0.4972E-03 -0.6887E+00  0.0000E+00      -1  -0.158E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -93.258 0.3341   0.5358E+01  0.4974E-03 -0.7004E+00  0.0000E+00      -1  -0.161E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -90.644 0.3354   0.5624E+01  0.4973E-03 -0.7121E+00  0.0000E+00      -1  -0.164E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -88.018 0.3367   0.5891E+01  0.4972E-03 -0.7234E+00  0.0000E+00      -1  -0.166E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -85.381 0.3380   0.6159E+01  0.4971E-03 -0.7348E+00  0.0000E+00      -1  -0.169E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -82.734 0.3393   0.6428E+01  0.4969E-03 -0.7443E+00  0.0000E+00      -1  -0.171E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -80.076 0.3406   0.6698E+01  0.4968E-03 -0.7545E+00  0.0000E+00      -1  -0.174E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -77.410 0.3420   0.6969E+01  0.4967E-03 -0.7652E+00  0.0000E+00      -1  -0.176E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -74.734 0.3433   0.7282E+01  0.4957E-03 -0.7724E+00  0.0000E+00      -1  -0.178E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -72.045 0.3446   0.7676E+01  0.4928E-03 -0.7814E+00  0.0000E+00      -1  -0.180E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -69.345 0.3459   0.8072E+01  0.4900E-03 -0.7894E+00  0.0000E+00      -1  -0.182E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -66.632 0.3472   0.8471E+01  0.4871E-03 -0.7959E+00  0.0000E+00      -1  -0.183E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -63.909 0.3486   0.8870E+01  0.4842E-03 -0.8054E+00  0.0000E+00      -1  -0.185E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -61.177 0.3499   0.9271E+01  0.4813E-03 -0.8126E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -58.434 0.3512   0.9755E+01  0.4767E-03 -0.8171E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -55.679 0.3525   0.1031E+02  0.4705E-03 -0.8224E+00  0.0000E+00      -1  -0.189E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -52.913 0.3538   0.1086E+02  0.4643E-03 -0.8288E+00  0.0000E+00      -1  -0.191E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -50.137 0.3551   0.1142E+02  0.4581E-03 -0.8353E+00  0.0000E+00      -1  -0.192E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -47.352 0.3564   0.1199E+02  0.4517E-03 -0.8394E+00  0.0000E+00      -1  -0.193E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -44.556 0.3576   0.1272E+02  0.4418E-03 -0.8433E+00  0.0000E+00      -1  -0.194E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -41.750 0.3588   0.1346E+02  0.4320E-03 -0.8496E+00  0.0000E+00      -1  -0.195E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -38.935 0.3601   0.1420E+02  0.4221E-03 -0.8527E+00  0.0000E+00      -1  -0.196E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -36.110 0.3613   0.1504E+02  0.4101E-03 -0.8555E+00  0.0000E+00      -1  -0.197E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -33.276 0.3624   0.1598E+02  0.3964E-03 -0.8596E+00  0.0000E+00      -1  -0.198E-01   20.00  0.8833E-03  0.1060E+00
