 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 3.2022    Time:  16:25:58
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -202.05  0.2859  0.1425E+00  0.1061E-02       -184.25  0.2927 -0.5385E+00  0.9375E-03       -174.29  0.2968 -0.8782E+00  0.8833E-03
          0.0200     -202.83  0.2855  0.1307E+00  0.1061E-02       -184.79  0.2924 -0.5087E+00  0.9374E-03       -174.56  0.2967 -0.8516E+00  0.8833E-03
          0.0330     -203.82  0.2852  0.1036E+00  0.1061E-02       -185.60  0.2921 -0.4702E+00  0.9372E-03       -174.99  0.2965 -0.8137E+00  0.8833E-03
          0.0499     -204.70  0.2849  0.4898E-01  0.1060E-02       -186.54  0.2917 -0.4349E+00  0.9370E-03       -175.52  0.2963 -0.7704E+00  0.8833E-03
          0.0719     -205.28  0.2846 -0.5400E-01  0.1059E-02       -187.63  0.2913 -0.4094E+00  0.9369E-03       -176.23  0.2960 -0.7218E+00  0.8833E-03
          0.1004     -204.96  0.2847 -0.2387E+00  0.1058E-02       -188.69  0.2908 -0.4117E+00  0.9370E-03       -177.07  0.2957 -0.6763E+00  0.8833E-03
          0.1376     -202.76  0.2855 -0.5552E+00  0.1056E-02       -189.35  0.2905 -0.4743E+00  0.9376E-03       -177.94  0.2953 -0.6500E+00  0.8833E-03
          0.1858     -197.11  0.2875 -0.1069E+01  0.1053E-02       -188.77  0.2907 -0.6491E+00  0.9388E-03       -178.46  0.2951 -0.6758E+00  0.8833E-03
          0.2358     -189.31  0.2905 -0.1676E+01  0.1051E-02       -186.66  0.2916 -0.9152E+00  0.9404E-03       -178.22  0.2952 -0.7655E+00  0.8833E-03
          0.2858     -182.76  0.2933 -0.2072E+01  0.1049E-02       -183.60  0.2929 -0.1192E+01  0.9418E-03       -177.20  0.2956 -0.9001E+00  0.8833E-03
          0.3358     -178.26  0.2953 -0.2165E+01  0.1049E-02       -180.36  0.2943 -0.1410E+01  0.9428E-03       -175.62  0.2962 -0.1048E+01  0.8833E-03
          0.3858     -174.54  0.2968 -0.2242E+01  0.1048E-02       -177.25  0.2956 -0.1570E+01  0.9434E-03       -173.72  0.2970 -0.1188E+01  0.8833E-03
          0.4358     -171.51  0.2980 -0.2296E+01  0.1048E-02       -174.40  0.2968 -0.1685E+01  0.9438E-03       -171.69  0.2979 -0.1311E+01  0.8833E-03
          0.4858     -169.01  0.2991 -0.2320E+01  0.1048E-02       -171.83  0.2979 -0.1768E+01  0.9442E-03       -169.64  0.2988 -0.1414E+01  0.8833E-03
          0.5358     -167.03  0.2999 -0.2313E+01  0.1048E-02       -169.56  0.2988 -0.1824E+01  0.9445E-03       -167.66  0.2996 -0.1498E+01  0.8833E-03
          0.5858     -165.54  0.3005 -0.2276E+01  0.1047E-02       -167.58  0.2996 -0.1857E+01  0.9447E-03       -165.80  0.3004 -0.1563E+01  0.8833E-03
          0.6358     -164.50  0.3009 -0.2211E+01  0.1047E-02       -165.91  0.3003 -0.1870E+01  0.9448E-03       -164.10  0.3011 -0.1612E+01  0.8833E-03
          0.6858     -163.87  0.3012 -0.2126E+01  0.1048E-02       -164.52  0.3009 -0.1867E+01  0.9449E-03       -162.59  0.3017 -0.1644E+01  0.8833E-03
          0.7358     -163.56  0.3013 -0.2029E+01  0.1048E-02       -163.40  0.3014 -0.1850E+01  0.9450E-03       -161.26  0.3023 -0.1663E+01  0.8833E-03
          0.7858     -167.47  0.2998 -0.1407E+01  0.1050E-02       -163.68  0.3013 -0.1671E+01  0.9446E-03       -160.53  0.3026 -0.1616E+01  0.8834E-03
          0.8358     -172.96  0.2974 -0.8265E+00  0.1051E-02       -165.22  0.3007 -0.1404E+01  0.9437E-03       -160.54  0.3026 -0.1504E+01  0.8834E-03
          0.8858     -179.50  0.2947 -0.3464E+00  0.1054E-02       -167.80  0.2996 -0.1108E+01  0.9428E-03       -161.31  0.3023 -0.1346E+01  0.8834E-03
          0.9358     -186.01  0.2919 -0.1390E-01  0.1055E-02       -170.94  0.2982 -0.8402E+00  0.9418E-03       -162.65  0.3017 -0.1171E+01  0.8834E-03
          0.9679     -189.81  0.2903  0.1060E+00  0.1057E-02       -173.04  0.2973 -0.6930E+00  0.9412E-03       -163.67  0.3013 -0.1060E+01  0.8833E-03
          1.0000     -193.02  0.2891  0.1465E+00  0.1057E-02       -175.14  0.2965 -0.5779E+00  0.9408E-03       -164.84  0.3008 -0.9581E+00  0.8833E-03
end
