 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   9:27: 2
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -211.19  0.2825  0.5231E-01  0.1081E-02       -191.50  0.2897 -0.2013E+00  0.9675E-03       -176.99  0.2957 -0.3806E+00  0.8835E-03
          0.0230     -211.61  0.2824  0.5231E-01  0.1081E-02       -191.83  0.2895 -0.1927E+00  0.9675E-03       -177.24  0.2956 -0.3728E+00  0.8835E-03
          0.0399     -212.19  0.2822  0.5230E-01  0.1081E-02       -192.31  0.2893 -0.1829E+00  0.9675E-03       -177.60  0.2954 -0.3614E+00  0.8835E-03
          0.0619     -212.87  0.2819  0.5230E-01  0.1081E-02       -192.90  0.2891 -0.1718E+00  0.9675E-03       -178.05  0.2953 -0.3481E+00  0.8835E-03
          0.0904     -213.72  0.2816  0.5231E-01  0.1081E-02       -193.64  0.2888 -0.1600E+00  0.9675E-03       -178.65  0.2950 -0.3321E+00  0.8835E-03
          0.1276     -214.74  0.2812  0.5230E-01  0.1081E-02       -194.56  0.2885 -0.1477E+00  0.9675E-03       -179.41  0.2947 -0.3138E+00  0.8835E-03
          0.1758     -215.99  0.2808  0.5230E-01  0.1081E-02       -195.71  0.2881 -0.1359E+00  0.9675E-03       -180.37  0.2943 -0.2927E+00  0.8835E-03
          0.2386     -217.48  0.2803  0.5230E-01  0.1081E-02       -197.09  0.2876 -0.1222E+00  0.9675E-03       -181.57  0.2938 -0.2702E+00  0.8835E-03
          0.3232     -222.59  0.2785  0.2660E+00  0.1083E-02       -199.71  0.2867 -0.4145E-01  0.9674E-03       -183.40  0.2930 -0.2175E+00  0.8835E-03
          0.4360     -231.86  0.2752  0.5515E+00  0.1085E-02       -204.51  0.2850  0.1130E+00  0.9677E-03       -186.52  0.2917 -0.1113E+00  0.8834E-03
          0.5770     -238.69  0.2724  0.5306E+00  0.1085E-02       -209.84  0.2830  0.1958E+00  0.9677E-03       -190.50  0.2901 -0.1067E-01  0.8834E-03
          0.7885     -234.46  0.2736  0.5230E-01  0.1082E-02       -212.00  0.2820  0.5068E-01  0.9675E-03       -193.80  0.2887 -0.3216E-01  0.8834E-03
          1.0000     -236.23  0.2737  0.5230E-01  0.1082E-02       -214.26  0.2814  0.2310E-01  0.9676E-03       -196.35  0.2878 -0.4013E-01  0.8834E-03
end
