 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   9:26:29
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -264.29  0.2648  0.3650E-01  0.1046E-02       -240.63  0.2719  0.1534E+00  0.9592E-03       -218.67  0.2798  0.2366E+00  0.8834E-03
          0.0230     -264.12  0.2648  0.3651E-01  0.1046E-02       -240.48  0.2720  0.1505E+00  0.9592E-03       -218.60  0.2799  0.2331E+00  0.8834E-03
          0.0399     -263.87  0.2649  0.3651E-01  0.1046E-02       -240.28  0.2720  0.1470E+00  0.9592E-03       -218.49  0.2799  0.2281E+00  0.8834E-03
          0.0619     -263.56  0.2650  0.3650E-01  0.1046E-02       -240.04  0.2721  0.1430E+00  0.9592E-03       -218.36  0.2799  0.2224E+00  0.8834E-03
          0.0904     -263.18  0.2651  0.3651E-01  0.1046E-02       -239.74  0.2722  0.1383E+00  0.9592E-03       -218.19  0.2800  0.2155E+00  0.8834E-03
          0.1276     -262.72  0.2652  0.3651E-01  0.1046E-02       -239.37  0.2724  0.1328E+00  0.9592E-03       -217.97  0.2801  0.2076E+00  0.8834E-03
          0.1758     -262.18  0.2654  0.3651E-01  0.1046E-02       -238.93  0.2725  0.1268E+00  0.9592E-03       -217.70  0.2802  0.1984E+00  0.8834E-03
          0.2386     -261.55  0.2656  0.3651E-01  0.1046E-02       -238.41  0.2727  0.1203E+00  0.9592E-03       -217.37  0.2803  0.1879E+00  0.8834E-03
          0.3232     -263.93  0.2650  0.1856E+00  0.1048E-02       -238.46  0.2727  0.1522E+00  0.9593E-03       -217.16  0.2804  0.1887E+00  0.8834E-03
          0.4360     -271.03  0.2629  0.3849E+00  0.1050E-02       -241.54  0.2717  0.2469E+00  0.9595E-03       -218.58  0.2799  0.2525E+00  0.8834E-03
          0.5770     -277.88  0.2607  0.3703E+00  0.1050E-02       -247.32  0.2699  0.3190E+00  0.9595E-03       -222.08  0.2787  0.3561E+00  0.8835E-03
          0.7885     -274.42  0.2614  0.3651E-01  0.1047E-02       -249.99  0.2689  0.2376E+00  0.9593E-03       -224.98  0.2775  0.3723E+00  0.8834E-03
          1.0000     -270.85  0.2628  0.3650E-01  0.1047E-02       -246.44  0.2699  0.1860E+00  0.9592E-03       -223.35  0.2780  0.2797E+00  0.8834E-03
end
