 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   9:26: 9
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.12676E+00  0.71649E-02  0.12676E+00  0.70012E-02 -0.20844E+01  0.12676E-02  0.71649E-04  0.12676E-02  0.70012E-04 -0.20844E-01 -0.24088E+03 -0.22834E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99272E+02  0.39465E-04  0.13070E-02      1  0.00000E+00      0.000
       0.0200  0.11493E+00  0.71649E-02  0.11494E+00  0.70013E-02 -0.18129E+01  0.24169E-02  0.14330E-03  0.24169E-02  0.14003E-03 -0.38973E-01 -0.24066E+03 -0.22828E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99253E+02  0.19717E-03  0.26141E-02      2  0.00000E+00      0.000
       0.0330  0.87866E-01  0.71649E-02  0.87866E-01  0.70016E-02 -0.15621E+01  0.35592E-02  0.23644E-03  0.35592E-02  0.23105E-03 -0.59280E-01 -0.24026E+03 -0.22818E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99231E+02  0.75407E-03  0.43132E-02      3  0.00000E+00      0.000
       0.0499  0.33205E-01  0.71649E-02  0.33205E-01  0.70020E-02 -0.14155E+01  0.41203E-02  0.35753E-03  0.41203E-02  0.34938E-03 -0.83201E-01 -0.23958E+03 -0.22798E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99207E+02  0.24018E-02  0.65221E-02      4  0.00000E+00      0.000
       0.0719 -0.69772E-01  0.71649E-02 -0.69773E-01  0.70030E-02 -0.12872E+01  0.25875E-02  0.51494E-03  0.25874E-02  0.50323E-03 -0.11148E+00 -0.23822E+03 -0.22754E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99180E+02  0.68063E-02  0.93937E-02      5  0.00000E+00      0.000
       0.1004 -0.25445E+00  0.71649E-02 -0.25445E+00  0.70052E-02 -0.11811E+01 -0.46799E-02  0.71958E-03 -0.46800E-02  0.70331E-03 -0.14521E+00 -0.23557E+03 -0.22649E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99153E+02  0.17807E-01  0.13127E-01      6  0.00000E+00      0.000
       0.1376 -0.57098E+00  0.71649E-02 -0.57097E+00  0.70102E-02 -0.10828E+01 -0.25880E-01  0.98561E-03 -0.25880E-01  0.96360E-03 -0.18542E+00 -0.23050E+03 -0.22411E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99134E+02  0.43860E-01  0.17980E-01      7  0.00000E+00      0.000
       0.1858 -0.10846E+01  0.71649E-02 -0.10846E+01  0.70205E-02 -0.99046E+00 -0.78230E-01  0.13314E-02 -0.78230E-01  0.13025E-02 -0.23322E+00 -0.22138E+03 -0.21902E+03  0.41829E+02  0.00000E+00  0.00000E+00  0.99138E+02  0.10252E+00  0.24289E-01      8  0.00000E+00      0.000
