 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:14
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.17854E-01  0.25370E-01  0.17855E-01  0.24816E-01  0.14683E+01  0.17854E-03  0.25370E-03  0.17855E-03  0.24816E-03  0.14683E-01 -0.25946E+03 -0.21202E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98467E+02  0.39465E-06  0.17894E-03      1  0.00000E+00      0.000
       0.0230  0.17685E-01  0.25370E-01  0.17686E-01  0.24817E-01  0.11224E+01  0.40845E-03  0.58350E-03  0.40846E-03  0.57078E-03  0.29275E-01 -0.25933E+03 -0.21199E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98481E+02  0.31049E-05  0.41156E-03      2  0.00000E+00      0.000
       0.0399  0.17268E-01  0.25370E-01  0.17267E-01  0.24817E-01  0.84655E+00  0.70028E-03  0.10122E-02  0.70027E-03  0.99019E-03  0.43581E-01 -0.25915E+03 -0.21194E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98495E+02  0.13671E-04  0.71394E-03      3  0.00000E+00      0.000
       0.0619  0.16401E-01  0.25370E-01  0.16401E-01  0.24818E-01  0.69159E+00  0.10606E-02  0.15696E-02  0.10606E-02  0.15354E-02  0.58775E-01 -0.25895E+03 -0.21189E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98509E+02  0.46456E-04  0.11071E-02      4  0.00000E+00      0.000
       0.0904  0.14751E-01  0.25370E-01  0.14751E-01  0.24819E-01  0.56779E+00  0.14819E-02  0.22942E-02  0.14819E-02  0.22443E-02  0.74992E-01 -0.25870E+03 -0.21182E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98524E+02  0.13621E-03  0.16181E-02      5  0.00000E+00      0.000
       0.1276  0.11806E-01  0.25370E-01  0.11806E-01  0.24820E-01  0.47594E+00  0.19203E-02  0.32362E-02  0.19202E-02  0.31658E-02  0.92664E-01 -0.25838E+03 -0.21172E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98540E+02  0.36222E-03  0.22824E-02      6  0.00000E+00      0.000
       0.1758  0.68805E-02  0.25370E-01  0.68817E-02  0.24821E-01  0.40222E+00  0.22524E-02  0.44607E-02  0.22524E-02  0.43639E-02  0.11208E+00 -0.25796E+03 -0.21158E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98558E+02  0.89380E-03  0.31462E-02      7  0.00000E+00      0.000
       0.2258  0.91942E-03  0.25370E-01  0.91709E-03  0.24823E-01  0.35160E+00  0.22984E-02  0.57292E-02  0.22982E-02  0.56051E-02  0.12966E+00 -0.25752E+03 -0.21143E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98574E+02  0.17425E-02  0.40408E-02      8  0.00000E+00      0.000
