 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:26: 0
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -179.17  0.2948  0.7481E-01  0.8590E-03       -160.68  0.3025 -0.4918E+00  0.8834E-03       -148.12  0.3079 -0.8197E+00  0.8834E-03
          0.0230     -179.98  0.2944  0.7482E-01  0.8594E-03       -161.29  0.3022 -0.4633E+00  0.8833E-03       -148.51  0.3077 -0.7868E+00  0.8833E-03
          0.0399     -181.08  0.2940  0.7482E-01  0.8593E-03       -162.16  0.3019 -0.4271E+00  0.8833E-03       -149.09  0.3075 -0.7452E+00  0.8833E-03
          0.0619     -182.33  0.2935  0.7482E-01  0.8594E-03       -163.20  0.3014 -0.3900E+00  0.8833E-03       -149.81  0.3071 -0.6979E+00  0.8833E-03
          0.0904     -183.83  0.2928  0.7482E-01  0.8594E-03       -164.48  0.3009 -0.3511E+00  0.8833E-03       -150.75  0.3067 -0.6426E+00  0.8833E-03
          0.1276     -185.57  0.2921  0.7482E-01  0.8594E-03       -166.01  0.3003 -0.3112E+00  0.8833E-03       -151.91  0.3062 -0.5839E+00  0.8833E-03
          0.1758     -187.61  0.2913  0.7482E-01  0.8595E-03       -167.83  0.2995 -0.2713E+00  0.8833E-03       -153.34  0.3056 -0.5217E+00  0.8833E-03
          0.2386     -189.94  0.2903  0.7481E-01  0.8595E-03       -169.93  0.2986 -0.2313E+00  0.8833E-03       -155.05  0.3049 -0.4580E+00  0.8833E-03
          0.3232     -196.49  0.2879  0.3804E+00  0.8631E-03       -173.55  0.2972 -0.8304E-01  0.8834E-03       -157.57  0.3038 -0.3434E+00  0.8833E-03
          0.4360     -208.41  0.2836  0.7888E+00  0.8673E-03       -180.04  0.2945  0.1914E+00  0.8834E-03       -161.78  0.3021 -0.1344E+00  0.8834E-03
          0.5770     -217.70  0.2800  0.7589E+00  0.8674E-03       -187.28  0.2914  0.3543E+00  0.8834E-03       -167.00  0.2999  0.5623E-01  0.8833E-03
          0.7885     -213.64  0.2816  0.7481E-01  0.8618E-03       -190.57  0.2900  0.1510E+00  0.8833E-03       -171.27  0.2981  0.4810E-01  0.8833E-03
          1.0000     -214.11  0.2816  0.7482E-01  0.8618E-03       -191.87  0.2894  0.6081E-01  0.8834E-03       -173.48  0.2971 -0.5902E-02  0.8833E-03
end
