 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:32
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.24185E-01  0.15594E-02  0.24186E-01  0.15584E-02  0.36033E+00  0.24185E-03  0.15594E-04  0.24186E-03  0.15584E-04  0.36033E-02 -0.96490E+02 -0.52612E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10981E+03  0.39465E-06  0.24226E-03      1  0.00000E+00      0.000
       0.0230  0.24016E-01  0.15594E-02  0.24022E-01  0.15584E-02  0.33071E+00  0.55405E-03  0.35865E-04  0.55414E-03  0.35844E-04  0.79025E-02 -0.96440E+02 -0.52516E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10981E+03  0.31049E-05  0.55725E-03      2  0.00000E+00      0.000
       0.0399  0.23599E-01  0.15594E-02  0.23595E-01  0.15584E-02  0.29932E+00  0.95287E-03  0.62218E-04  0.95290E-03  0.62181E-04  0.12961E-01 -0.96353E+02 -0.52386E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10981E+03  0.13671E-04  0.96657E-03      3  0.00000E+00      0.000
       0.0619  0.22732E-01  0.15594E-02  0.22727E-01  0.15584E-02  0.27323E+00  0.14523E-02  0.96478E-04  0.14522E-02  0.96420E-04  0.18964E-01 -0.96227E+02 -0.52242E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10982E+03  0.46456E-04  0.14987E-02      4  0.00000E+00      0.000
       0.0904  0.21082E-01  0.15594E-02  0.21089E-01  0.15584E-02  0.24582E+00  0.20544E-02  0.14101E-03  0.20545E-02  0.14093E-03  0.25985E-01 -0.96051E+02 -0.52074E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10983E+03  0.13621E-03  0.21907E-02      5  0.00000E+00      0.000
       0.1276  0.18137E-01  0.15594E-02  0.18142E-01  0.15585E-02  0.21752E+00  0.27278E-02  0.19891E-03  0.27281E-02  0.19880E-03  0.34061E-01 -0.95825E+02 -0.51884E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10983E+03  0.36222E-03  0.30903E-02      6  0.00000E+00      0.000
       0.1758  0.13211E-01  0.15594E-02  0.13213E-01  0.15585E-02  0.18702E+00  0.33655E-02  0.27418E-03  0.33659E-02  0.27402E-03  0.43088E-01 -0.95550E+02 -0.51671E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.89380E-03  0.42597E-02      7  0.00000E+00      0.000
       0.2258  0.72499E-02  0.15594E-02  0.72451E-02  0.15585E-02  0.16005E+00  0.37280E-02  0.35215E-03  0.37282E-02  0.35194E-03  0.51091E-01 -0.95290E+02 -0.51477E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10985E+03  0.17425E-02  0.54707E-02      8  0.00000E+00      0.000
