 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:12
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.16473E-01  0.41639E-01  0.16476E-01  0.41364E-01 -0.14933E+01  0.16473E-03  0.41639E-03  0.16476E-03  0.41364E-03 -0.14933E-01 -0.17132E+03 -0.14559E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10154E+03  0.69064E-05  0.17166E-03      1  0.00000E+00      0.000
       0.0200  0.14404E-01  0.41639E-01  0.14404E-01  0.41361E-01 -0.13746E+01  0.30877E-03  0.83278E-03  0.30880E-03  0.82725E-03 -0.28679E-01 -0.17227E+03 -0.14602E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10153E+03  0.34505E-04  0.34330E-03      2  0.00000E+00      0.000
       0.0330  0.96671E-02  0.41639E-01  0.96667E-02  0.41356E-01 -0.12781E+01  0.43444E-03  0.13741E-02  0.43447E-03  0.13649E-02 -0.45295E-01 -0.17360E+03 -0.14666E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10151E+03  0.13196E-03  0.56643E-03      3  0.00000E+00      0.000
       0.0499  0.10145E-03  0.41639E-01  0.10068E-03  0.41350E-01 -0.12400E+01  0.43616E-03  0.20778E-02  0.43617E-03  0.20637E-02 -0.66251E-01 -0.17510E+03 -0.14744E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10149E+03  0.42031E-03  0.85648E-03      4  0.00000E+00      0.000
       0.0719 -0.17920E-01  0.41639E-01 -0.17917E-01  0.41342E-01 -0.12223E+01  0.42464E-04  0.29926E-02  0.42540E-04  0.29720E-02 -0.93104E-01 -0.17686E+03 -0.14845E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10146E+03  0.11910E-02  0.12336E-02      5  0.00000E+00      0.000
       0.1004 -0.50238E-01  0.41639E-01 -0.50235E-01  0.41333E-01 -0.12273E+01 -0.13924E-02  0.41819E-02 -0.13922E-02  0.41525E-02 -0.12816E+00 -0.17878E+03 -0.14968E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10143E+03  0.31160E-02  0.17238E-02      6  0.00000E+00      0.000
       0.1376 -0.10563E+00  0.41639E-01 -0.10563E+00  0.41323E-01 -0.12478E+01 -0.53144E-02  0.57279E-02 -0.53141E-02  0.56868E-02 -0.17449E+00 -0.18076E+03 -0.15116E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10138E+03  0.76751E-02  0.23611E-02      7  0.00000E+00      0.000
       0.1858 -0.19551E+00  0.41639E-01 -0.19551E+00  0.41310E-01 -0.12791E+01 -0.14751E-01  0.77377E-02 -0.14751E-01  0.76807E-02 -0.23623E+00 -0.18256E+03 -0.15286E+03  0.49038E+02  0.00000E+00  0.00000E+00  0.10133E+03  0.17941E-01  0.31895E-02      8  0.00000E+00      0.000
