 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27: 4
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -250.743 0.2688   0.7153E+00  0.3220E-03  0.2509E-01  0.0000E+00      -1   0.577E-03   20.00  0.9060E-03  0.1087E+00
   2    -3.0000    -247.639 0.2697   0.7325E+00  0.3251E-03  0.2626E-01  0.0000E+00      -1   0.604E-03   20.00  0.9054E-03  0.1087E+00
   3    -6.0000    -244.528 0.2707   0.7497E+00  0.3282E-03  0.2828E-01  0.0000E+00      -1   0.651E-03   20.00  0.8886E-03  0.1066E+00
   4    -9.0000    -241.413 0.2716   0.7705E+00  0.3314E-03  0.3152E-01  0.8939E-03      -1   0.725E-03   20.00  0.8817E-03  0.1058E+00
   5   -12.0000    -238.284 0.2728   0.8066E+00  0.3352E-03  0.3633E-01  0.8948E-03      -1   0.836E-03   20.00  0.8817E-03  0.1058E+00
   6   -15.0000    -235.143 0.2739   0.8428E+00  0.3390E-03  0.4105E-01  0.8957E-03      -1   0.944E-03   20.00  0.8825E-03  0.1059E+00
   7   -18.0000    -231.992 0.2750   0.8791E+00  0.3428E-03  0.4545E-01  0.8966E-03      -1   0.105E-02   20.00  0.8833E-03  0.1060E+00
   8   -21.0000    -228.833 0.2762   0.9155E+00  0.3466E-03  0.4930E-01  0.8974E-03      -1   0.113E-02   20.00  0.8834E-03  0.1060E+00
   9   -24.0000    -225.669 0.2773   0.9520E+00  0.3505E-03  0.5285E-01  0.8889E-03      -1   0.122E-02   20.00  0.8833E-03  0.1060E+00
  10   -27.0000    -222.500 0.2785   0.9885E+00  0.3543E-03  0.5585E-01  0.8429E-03      -1   0.129E-02   20.00  0.8833E-03  0.1060E+00
  11   -30.0000    -219.330 0.2796   0.1025E+01  0.3582E-03  0.5809E-01  0.7968E-03      -1   0.134E-02   20.00  0.8833E-03  0.1060E+00
  12   -33.0000    -216.160 0.2807   0.1062E+01  0.3620E-03  0.5980E-01  0.7505E-03      -1   0.138E-02   20.00  0.8833E-03  0.1060E+00
  13   -36.0000    -212.992 0.2819   0.1098E+01  0.3658E-03  0.6075E-01  0.7042E-03      -1   0.140E-02   20.00  0.8833E-03  0.1060E+00
  14   -39.0000    -209.828 0.2830   0.1135E+01  0.3697E-03  0.6106E-01  0.6578E-03      -1   0.140E-02   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -206.669 0.2842   0.1171E+01  0.3735E-03  0.6087E-01  0.6113E-03      -1   0.140E-02   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -203.516 0.2853   0.1207E+01  0.3773E-03  0.5974E-01  0.5647E-03      -1   0.137E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -200.372 0.2864   0.1244E+01  0.3811E-03  0.5822E-01  0.5180E-03      -1   0.134E-02   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -197.235 0.2876   0.1280E+01  0.3849E-03  0.5606E-01  0.4713E-03      -1   0.129E-02   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -194.109 0.2887   0.1316E+01  0.3887E-03  0.5312E-01  0.4244E-03      -1   0.122E-02   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -190.993 0.2899   0.1360E+01  0.3926E-03  0.4958E-01  0.3775E-03      -1   0.114E-02   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -187.891 0.2911   0.1429E+01  0.3966E-03  0.4493E-01  0.3306E-03      -1   0.103E-02   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -184.804 0.2924   0.1498E+01  0.4006E-03  0.3961E-01  0.2835E-03      -1   0.911E-03   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -181.732 0.2937   0.1567E+01  0.4046E-03  0.3386E-01  0.2364E-03      -1   0.779E-03   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -178.674 0.2950   0.1635E+01  0.4086E-03  0.2771E-01  0.1892E-03      -1   0.637E-03   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -175.630 0.2963   0.1702E+01  0.4125E-03  0.2091E-01  0.1420E-03      -1   0.481E-03   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -172.600 0.2975   0.1770E+01  0.4165E-03  0.1409E-01  0.9472E-04      -1   0.324E-03   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -169.582 0.2988   0.1837E+01  0.4204E-03  0.7282E-02  0.4738E-04      -1   0.168E-03   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -166.576 0.3000   0.1904E+01  0.4243E-03 -0.6680E-04  0.0000E+00      -1  -0.154E-05   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -163.582 0.3013   0.1971E+01  0.4282E-03 -0.7283E-02  0.0000E+00      -1  -0.168E-03   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -160.598 0.3025   0.2037E+01  0.4321E-03 -0.1466E-01  0.0000E+00      -1  -0.337E-03   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -157.625 0.3038   0.2104E+01  0.4360E-03 -0.2249E-01  0.0000E+00      -1  -0.518E-03   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -154.662 0.3050   0.2170E+01  0.4398E-03 -0.2934E-01  0.0000E+00      -1  -0.675E-03   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -151.706 0.3063   0.2241E+01  0.4436E-03 -0.3686E-01  0.0000E+00      -1  -0.848E-03   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -148.760 0.3076   0.2358E+01  0.4470E-03 -0.4486E-01  0.0000E+00      -1  -0.103E-02   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -145.820 0.3090   0.2475E+01  0.4504E-03 -0.5204E-01  0.0000E+00      -1  -0.120E-02   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -142.886 0.3103   0.2592E+01  0.4538E-03 -0.5923E-01  0.0000E+00      -1  -0.136E-02   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -139.957 0.3117   0.2709E+01  0.4572E-03 -0.6595E-01  0.0000E+00      -1  -0.152E-02   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -137.032 0.3130   0.2825E+01  0.4606E-03 -0.7303E-01  0.0000E+00      -1  -0.168E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -134.112 0.3144   0.2942E+01  0.4640E-03 -0.7995E-01  0.0000E+00      -1  -0.184E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -131.195 0.3157   0.3058E+01  0.4674E-03 -0.8616E-01  0.0000E+00      -1  -0.198E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -128.281 0.3171   0.3174E+01  0.4707E-03 -0.9206E-01  0.0000E+00      -1  -0.212E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -125.369 0.3184   0.3290E+01  0.4741E-03 -0.9762E-01  0.0000E+00      -1  -0.225E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -122.459 0.3198   0.3406E+01  0.4775E-03 -0.1035E+00  0.0000E+00      -1  -0.238E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -119.551 0.3212   0.3545E+01  0.4804E-03 -0.1097E+00  0.0000E+00      -1  -0.252E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -116.644 0.3226   0.3737E+01  0.4825E-03 -0.1146E+00  0.0000E+00      -1  -0.264E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -113.735 0.3240   0.3929E+01  0.4845E-03 -0.1199E+00  0.0000E+00      -1  -0.276E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000    -110.827 0.3254   0.4121E+01  0.4866E-03 -0.1250E+00  0.0000E+00      -1  -0.288E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000    -107.917 0.3269   0.4313E+01  0.4887E-03 -0.1294E+00  0.0000E+00      -1  -0.298E-02   20.00  0.8833E-03  0.1060E+00
  49  -144.0000    -105.007 0.3283   0.4505E+01  0.4907E-03 -0.1344E+00  0.0000E+00      -1  -0.309E-02   20.00  0.8833E-03  0.1060E+00
  50  -147.0000    -102.096 0.3297   0.4697E+01  0.4928E-03 -0.1385E+00  0.0000E+00      -1  -0.319E-02   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -99.184 0.3311   0.4889E+01  0.4949E-03 -0.1426E+00  0.0000E+00      -1  -0.328E-02   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -96.271 0.3326   0.5081E+01  0.4969E-03 -0.1462E+00  0.0000E+00      -1  -0.336E-02   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -93.356 0.3340   0.5348E+01  0.4974E-03 -0.1499E+00  0.0000E+00      -1  -0.345E-02   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -90.439 0.3355   0.5645E+01  0.4973E-03 -0.1542E+00  0.0000E+00      -1  -0.355E-02   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -87.520 0.3369   0.5941E+01  0.4972E-03 -0.1574E+00  0.0000E+00      -1  -0.362E-02   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -84.598 0.3384   0.6238E+01  0.4970E-03 -0.1601E+00  0.0000E+00      -1  -0.368E-02   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -81.674 0.3398   0.6535E+01  0.4969E-03 -0.1633E+00  0.0000E+00      -1  -0.376E-02   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -78.748 0.3413   0.6833E+01  0.4968E-03 -0.1662E+00  0.0000E+00      -1  -0.382E-02   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -75.820 0.3427   0.7130E+01  0.4966E-03 -0.1694E+00  0.0000E+00      -1  -0.390E-02   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -72.890 0.3442   0.7552E+01  0.4937E-03 -0.1724E+00  0.0000E+00      -1  -0.397E-02   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -69.957 0.3456   0.7983E+01  0.4906E-03 -0.1742E+00  0.0000E+00      -1  -0.401E-02   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -67.021 0.3471   0.8413E+01  0.4875E-03 -0.1752E+00  0.0000E+00      -1  -0.403E-02   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -64.082 0.3485   0.8845E+01  0.4844E-03 -0.1783E+00  0.0000E+00      -1  -0.410E-02   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -61.142 0.3499   0.9276E+01  0.4813E-03 -0.1812E+00  0.0000E+00      -1  -0.417E-02   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -58.199 0.3513   0.9802E+01  0.4761E-03 -0.1815E+00  0.0000E+00      -1  -0.418E-02   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -55.253 0.3527   0.1039E+02  0.4695E-03 -0.1835E+00  0.0000E+00      -1  -0.422E-02   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -52.305 0.3541   0.1098E+02  0.4629E-03 -0.1848E+00  0.0000E+00      -1  -0.425E-02   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -49.354 0.3555   0.1158E+02  0.4563E-03 -0.1854E+00  0.0000E+00      -1  -0.427E-02   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -46.401 0.3568   0.1224E+02  0.4483E-03 -0.1880E+00  0.0000E+00      -1  -0.432E-02   20.00  0.8833E-03  0.1060E+00
