 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57: 8
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -239.91  0.2722  0.2746E-01  0.9130E-03       -217.35  0.2803  0.1247E+00  0.8834E-03       -196.75  0.2877  0.2071E+00  0.8834E-03
          0.0230     -239.81  0.2722  0.2713E-01  0.9130E-03       -217.25  0.2803  0.1235E+00  0.8834E-03       -196.70  0.2878  0.2030E+00  0.8834E-03
          0.0399     -239.65  0.2723  0.2629E-01  0.9130E-03       -217.11  0.2804  0.1213E+00  0.8834E-03       -196.62  0.2878  0.1975E+00  0.8834E-03
          0.0619     -239.45  0.2723  0.2456E-01  0.9130E-03       -216.95  0.2804  0.1184E+00  0.8834E-03       -196.54  0.2878  0.1912E+00  0.8834E-03
          0.0904     -239.17  0.2724  0.2126E-01  0.9130E-03       -216.76  0.2805  0.1139E+00  0.8834E-03       -196.44  0.2878  0.1836E+00  0.8834E-03
          0.1276     -238.80  0.2726  0.1537E-01  0.9129E-03       -216.52  0.2806  0.1076E+00  0.8834E-03       -196.32  0.2879  0.1745E+00  0.8834E-03
          0.1758     -238.28  0.2728  0.5516E-02  0.9128E-03       -216.21  0.2807  0.9828E-01  0.8834E-03       -196.18  0.2879  0.1631E+00  0.8834E-03
          0.2258     -237.72  0.2730 -0.6407E-02  0.9126E-03       -215.91  0.2808  0.8775E-01  0.8834E-03       -196.04  0.2880  0.1515E+00  0.8834E-03
          0.2758     -237.46  0.2731  0.4526E-02  0.9127E-03       -215.65  0.2809  0.8087E-01  0.8834E-03       -195.92  0.2880  0.1410E+00  0.8834E-03
          0.3258     -238.37  0.2728  0.8639E-01  0.9137E-03       -215.81  0.2809  0.8933E-01  0.8834E-03       -196.04  0.2880  0.1409E+00  0.8834E-03
          0.3758     -240.18  0.2721  0.1559E+00  0.9146E-03       -217.00  0.2805  0.1058E+00  0.8835E-03       -196.90  0.2877  0.1644E+00  0.8834E-03
          0.4258     -242.65  0.2712  0.2062E+00  0.9151E-03       -218.86  0.2798  0.1280E+00  0.8835E-03       -198.26  0.2872  0.2010E+00  0.8835E-03
          0.4758     -245.48  0.2704  0.2324E+00  0.9154E-03       -221.20  0.2789  0.1514E+00  0.8836E-03       -200.01  0.2866  0.2431E+00  0.8835E-03
          0.5258     -248.29  0.2695  0.2320E+00  0.9156E-03       -223.68  0.2780  0.1732E+00  0.8836E-03       -201.89  0.2859  0.2838E+00  0.8835E-03
          0.5758     -250.63  0.2688  0.2049E+00  0.9154E-03       -225.98  0.2772  0.1895E+00  0.8836E-03       -203.67  0.2852  0.3172E+00  0.8835E-03
          0.6258     -252.14  0.2684  0.1539E+00  0.9149E-03       -227.78  0.2765  0.1970E+00  0.8835E-03       -205.14  0.2847  0.3378E+00  0.8835E-03
          0.6758     -252.56  0.2682  0.8383E-01  0.9142E-03       -228.83  0.2761  0.1945E+00  0.8835E-03       -206.10  0.2843  0.3435E+00  0.8835E-03
          0.7258     -251.73  0.2685  0.1693E-02  0.9133E-03       -228.92  0.2761  0.1795E+00  0.8834E-03       -206.41  0.2842  0.3314E+00  0.8834E-03
          0.7758     -250.89  0.2688 -0.5996E-02  0.9131E-03       -228.15  0.2764  0.1669E+00  0.8834E-03       -206.02  0.2844  0.3044E+00  0.8834E-03
          0.8258     -250.17  0.2690  0.5888E-02  0.9133E-03       -227.39  0.2767  0.1570E+00  0.8834E-03       -205.60  0.2845  0.2802E+00  0.8834E-03
          0.8758     -249.52  0.2692  0.1597E-01  0.9134E-03       -226.68  0.2769  0.1489E+00  0.8834E-03       -205.18  0.2847  0.2593E+00  0.8834E-03
          0.9258     -248.94  0.2694  0.2328E-01  0.9136E-03       -226.08  0.2772  0.1421E+00  0.8834E-03       -204.80  0.2848  0.2423E+00  0.8834E-03
          0.9629     -248.53  0.2695  0.2646E-01  0.9136E-03       -225.67  0.2773  0.1375E+00  0.8834E-03       -204.54  0.2849  0.2313E+00  0.8834E-03
          1.0000     -248.13  0.2696  0.2754E-01  0.9136E-03       -225.31  0.2774  0.1332E+00  0.8834E-03       -204.30  0.2850  0.2220E+00  0.8834E-03
end
