 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:35
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -195.16  0.2883  0.7900E-01  0.1047E-02       -174.26  0.2968 -0.8375E-01  0.9559E-03       -157.57  0.3038 -0.2003E+00  0.8833E-03
          0.0230     -195.44  0.2882  0.7883E-01  0.1047E-02       -174.47  0.2967 -0.8063E-01  0.9559E-03       -157.76  0.3037 -0.1981E+00  0.8833E-03
          0.0399     -195.81  0.2881  0.7842E-01  0.1047E-02       -174.78  0.2966 -0.7604E-01  0.9559E-03       -158.04  0.3036 -0.1947E+00  0.8833E-03
          0.0619     -196.24  0.2879  0.7755E-01  0.1047E-02       -175.17  0.2965 -0.7124E-01  0.9559E-03       -158.39  0.3035 -0.1898E+00  0.8833E-03
          0.0904     -196.77  0.2877  0.7590E-01  0.1047E-02       -175.67  0.2962 -0.6622E-01  0.9559E-03       -158.84  0.3033 -0.1831E+00  0.8833E-03
          0.1276     -197.42  0.2875  0.7295E-01  0.1047E-02       -176.30  0.2960 -0.6138E-01  0.9559E-03       -159.41  0.3030 -0.1747E+00  0.8833E-03
          0.1758     -198.19  0.2872  0.6803E-01  0.1047E-02       -177.07  0.2957 -0.5664E-01  0.9559E-03       -160.13  0.3027 -0.1645E+00  0.8833E-03
          0.2258     -198.95  0.2869  0.6207E-01  0.1047E-02       -177.84  0.2953 -0.5274E-01  0.9559E-03       -160.84  0.3024 -0.1552E+00  0.8833E-03
          0.2758     -200.33  0.2865  0.1231E+00  0.1048E-02       -178.70  0.2950 -0.3355E-01  0.9558E-03       -161.55  0.3021 -0.1411E+00  0.8833E-03
          0.3258     -204.13  0.2851  0.3862E+00  0.1051E-02       -180.14  0.2944  0.4630E-01  0.9561E-03       -162.44  0.3018 -0.1022E+00  0.8833E-03
          0.3758     -208.89  0.2834  0.6095E+00  0.1053E-02       -182.25  0.2935  0.1600E+00  0.9563E-03       -163.63  0.3013 -0.3240E-01  0.8834E-03
          0.4258     -214.07  0.2815  0.7712E+00  0.1054E-02       -184.87  0.2924  0.2838E+00  0.9565E-03       -165.11  0.3007  0.5449E-01  0.8834E-03
          0.4758     -218.96  0.2797  0.8555E+00  0.1055E-02       -187.73  0.2912  0.3932E+00  0.9566E-03       -166.80  0.3000  0.1455E+00  0.8833E-03
          0.5258     -222.94  0.2783  0.8541E+00  0.1055E-02       -190.56  0.2900  0.4736E+00  0.9567E-03       -168.59  0.2992  0.2272E+00  0.8833E-03
          0.5758     -225.47  0.2773  0.7671E+00  0.1055E-02       -193.05  0.2891  0.5097E+00  0.9567E-03       -170.34  0.2985  0.2892E+00  0.8833E-03
          0.6258     -226.17  0.2771  0.6030E+00  0.1054E-02       -194.95  0.2884  0.5008E+00  0.9566E-03       -171.91  0.2978  0.3246E+00  0.8833E-03
          0.6758     -224.94  0.2775  0.3780E+00  0.1052E-02       -196.04  0.2880  0.4456E+00  0.9565E-03       -173.19  0.2973  0.3287E+00  0.8833E-03
          0.7258     -221.93  0.2786  0.1140E+00  0.1049E-02       -196.20  0.2879  0.3479E+00  0.9563E-03       -174.07  0.2969  0.3006E+00  0.8833E-03
          0.7758     -220.15  0.2793  0.6227E-01  0.1049E-02       -195.90  0.2880  0.2640E+00  0.9562E-03       -174.58  0.2967  0.2552E+00  0.8833E-03
          0.8258     -219.08  0.2797  0.6822E-01  0.1049E-02       -195.54  0.2882  0.2042E+00  0.9562E-03       -174.90  0.2966  0.2130E+00  0.8833E-03
          0.8758     -218.43  0.2799  0.7326E-01  0.1049E-02       -195.27  0.2883  0.1659E+00  0.9562E-03       -175.10  0.2965  0.1784E+00  0.8833E-03
          0.9258     -218.02  0.2801  0.7691E-01  0.1049E-02       -195.08  0.2883  0.1409E+00  0.9562E-03       -175.24  0.2964  0.1518E+00  0.8833E-03
          0.9629     -217.80  0.2801  0.7850E-01  0.1049E-02       -194.98  0.2884  0.1271E+00  0.9562E-03       -175.33  0.2964  0.1358E+00  0.8833E-03
          1.0000     -217.65  0.2802  0.7905E-01  0.1049E-02       -194.92  0.2884  0.1171E+00  0.9562E-03       -175.42  0.2964  0.1232E+00  0.8833E-03
end
