 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:38
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -214.304 0.2814   0.1083E+01  0.3642E-03  0.2972E-01  0.0000E+00      -1   0.684E-03   20.00  0.1052E-02  0.1261E+00
   2    -3.0000    -211.223 0.2825   0.1118E+01  0.3680E-03  0.2111E-01  0.0000E+00      -1   0.486E-03   20.00  0.1056E-02  0.1267E+00
   3    -6.0000    -208.190 0.2836   0.1153E+01  0.3717E-03  0.4299E-02  0.0000E+00      -1   0.989E-04   20.00  0.1064E-02  0.1277E+00
   4    -9.0000    -205.200 0.2847   0.1188E+01  0.3753E-03 -0.1039E-01  0.6690E-03      -1  -0.239E-03   20.00  0.1065E-02  0.1278E+00
   5   -12.0000    -202.242 0.2858   0.1222E+01  0.3789E-03 -0.2206E-01  0.6695E-03      -1  -0.508E-03   20.00  0.1057E-02  0.1269E+00
   6   -15.0000    -199.308 0.2868   0.1256E+01  0.3824E-03 -0.3208E-01  0.6700E-03      -1  -0.738E-03   20.00  0.1037E-02  0.1245E+00
   7   -18.0000    -196.395 0.2879   0.1289E+01  0.3859E-03 -0.4065E-01  0.6446E-03      -1  -0.935E-03   20.00  0.1001E-02  0.1202E+00
   8   -21.0000    -193.497 0.2889   0.1323E+01  0.3894E-03 -0.4732E-01  0.5805E-03      -1  -0.109E-02   20.00  0.9561E-03  0.1147E+00
   9   -24.0000    -190.609 0.2900   0.1369E+01  0.3931E-03 -0.5291E-01  0.5163E-03      -1  -0.122E-02   20.00  0.9195E-03  0.1103E+00
  10   -27.0000    -187.728 0.2912   0.1433E+01  0.3968E-03 -0.5758E-01  0.4521E-03      -1  -0.132E-02   20.00  0.8977E-03  0.1077E+00
  11   -30.0000    -184.850 0.2924   0.1497E+01  0.4005E-03 -0.6063E-01  0.3877E-03      -1  -0.139E-02   20.00  0.8877E-03  0.1065E+00
  12   -33.0000    -181.971 0.2936   0.1561E+01  0.4043E-03 -0.6244E-01  0.3233E-03      -1  -0.144E-02   20.00  0.8850E-03  0.1062E+00
  13   -36.0000    -179.090 0.2948   0.1625E+01  0.4080E-03 -0.6337E-01  0.2588E-03      -1  -0.146E-02   20.00  0.8834E-03  0.1060E+00
  14   -39.0000    -176.205 0.2960   0.1690E+01  0.4118E-03 -0.6305E-01  0.1942E-03      -1  -0.145E-02   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -173.314 0.2972   0.1754E+01  0.4156E-03 -0.6195E-01  0.1295E-03      -1  -0.143E-02   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -170.417 0.2984   0.1819E+01  0.4193E-03 -0.6028E-01  0.6479E-04      -1  -0.139E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -167.513 0.2997   0.1883E+01  0.4231E-03 -0.5771E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -164.601 0.3009   0.1948E+01  0.4269E-03 -0.5484E-01  0.0000E+00      -1  -0.126E-02   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -161.682 0.3021   0.2013E+01  0.4307E-03 -0.5163E-01  0.0000E+00      -1  -0.119E-02   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -158.755 0.3033   0.2078E+01  0.4345E-03 -0.4741E-01  0.0000E+00      -1  -0.109E-02   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -155.819 0.3045   0.2144E+01  0.4383E-03 -0.4320E-01  0.0000E+00      -1  -0.994E-03   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -152.876 0.3058   0.2209E+01  0.4421E-03 -0.3914E-01  0.0000E+00      -1  -0.901E-03   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -149.925 0.3071   0.2312E+01  0.4457E-03 -0.3387E-01  0.0000E+00      -1  -0.779E-03   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -146.964 0.3085   0.2430E+01  0.4491E-03 -0.2868E-01  0.0000E+00      -1  -0.660E-03   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -143.996 0.3098   0.2548E+01  0.4525E-03 -0.2370E-01  0.0000E+00      -1  -0.545E-03   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -141.020 0.3112   0.2666E+01  0.4560E-03 -0.1815E-01  0.0000E+00      -1  -0.418E-03   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -138.037 0.3126   0.2785E+01  0.4594E-03 -0.1246E-01  0.0000E+00      -1  -0.287E-03   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -135.047 0.3140   0.2904E+01  0.4629E-03 -0.7211E-02  0.0000E+00      -1  -0.166E-03   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -132.052 0.3153   0.3024E+01  0.4664E-03 -0.2472E-02  0.0000E+00      -1  -0.569E-04   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -129.052 0.3167   0.3143E+01  0.4698E-03  0.2672E-02  0.0000E+00      -1   0.615E-04   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -126.047 0.3181   0.3263E+01  0.4733E-03  0.7654E-02  0.0000E+00      -1   0.176E-03   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -123.038 0.3195   0.3383E+01  0.4768E-03  0.1245E-01  0.0000E+00      -1   0.287E-03   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -120.025 0.3209   0.3514E+01  0.4801E-03  0.1771E-01  0.0000E+00      -1   0.407E-03   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -117.008 0.3224   0.3713E+01  0.4822E-03  0.2231E-01  0.0000E+00      -1   0.513E-03   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -113.989 0.3239   0.3912E+01  0.4844E-03  0.2678E-01  0.0000E+00      -1   0.616E-03   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -110.967 0.3254   0.4112E+01  0.4865E-03  0.3085E-01  0.0000E+00      -1   0.710E-03   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -107.944 0.3268   0.4311E+01  0.4887E-03  0.3526E-01  0.0000E+00      -1   0.811E-03   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -104.918 0.3283   0.4511E+01  0.4908E-03  0.3986E-01  0.0000E+00      -1   0.917E-03   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -101.891 0.3298   0.4711E+01  0.4930E-03  0.4320E-01  0.0000E+00      -1   0.994E-03   20.00  0.8833E-03  0.1060E+00
  40  -117.0000     -98.863 0.3313   0.4910E+01  0.4951E-03  0.4666E-01  0.0000E+00      -1   0.107E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000     -95.834 0.3328   0.5110E+01  0.4973E-03  0.5050E-01  0.0000E+00      -1   0.116E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000     -92.804 0.3343   0.5405E+01  0.4974E-03  0.5408E-01  0.0000E+00      -1   0.124E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -89.774 0.3358   0.5712E+01  0.4973E-03  0.5712E-01  0.0000E+00      -1   0.131E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -86.744 0.3373   0.6020E+01  0.4971E-03  0.6021E-01  0.0000E+00      -1   0.139E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -83.714 0.3388   0.6328E+01  0.4970E-03  0.6329E-01  0.0000E+00      -1   0.146E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -80.684 0.3403   0.6636E+01  0.4968E-03  0.6523E-01  0.0000E+00      -1   0.150E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -77.655 0.3418   0.6944E+01  0.4967E-03  0.6842E-01  0.0000E+00      -1   0.157E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -74.625 0.3433   0.7298E+01  0.4955E-03  0.7195E-01  0.0000E+00      -1   0.166E-02   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -71.596 0.3448   0.7742E+01  0.4923E-03  0.7351E-01  0.0000E+00      -1   0.169E-02   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -68.568 0.3463   0.8186E+01  0.4891E-03  0.7501E-01  0.0000E+00      -1   0.173E-02   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -65.541 0.3478   0.8631E+01  0.4860E-03  0.7768E-01  0.0000E+00      -1   0.179E-02   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -62.514 0.3493   0.9075E+01  0.4828E-03  0.8018E-01  0.0000E+00      -1   0.184E-02   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -59.488 0.3507   0.9544E+01  0.4790E-03  0.8137E-01  0.0000E+00      -1   0.187E-02   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -56.463 0.3522   0.1015E+02  0.4722E-03  0.8285E-01  0.0000E+00      -1   0.191E-02   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -53.439 0.3536   0.1076E+02  0.4655E-03  0.8422E-01  0.0000E+00      -1   0.194E-02   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -50.416 0.3550   0.1136E+02  0.4587E-03  0.8713E-01  0.0000E+00      -1   0.200E-02   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -47.393 0.3564   0.1198E+02  0.4518E-03  0.8804E-01  0.0000E+00      -1   0.203E-02   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -44.372 0.3577   0.1277E+02  0.4412E-03  0.8939E-01  0.0000E+00      -1   0.206E-02   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -41.351 0.3590   0.1356E+02  0.4306E-03  0.9028E-01  0.0000E+00      -1   0.208E-02   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -38.332 0.3603   0.1435E+02  0.4199E-03  0.9117E-01  0.0000E+00      -1   0.210E-02   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -35.313 0.3616   0.1531E+02  0.4062E-03  0.9174E-01  0.0000E+00      -1   0.211E-02   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -32.296 0.3628   0.1630E+02  0.3917E-03  0.9245E-01  0.0000E+00      -1   0.213E-02   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -29.279 0.3640   0.1734E+02  0.3763E-03  0.9556E-01  0.0000E+00      -1   0.220E-02   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -26.263 0.3650   0.1857E+02  0.3578E-03  0.9588E-01  0.0000E+00      -1   0.221E-02   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -23.248 0.3661   0.1983E+02  0.3387E-03  0.9597E-01  0.0000E+00      -1   0.221E-02   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -20.234 0.3671   0.2129E+02  0.3161E-03  0.9584E-01  0.0000E+00      -1   0.221E-02   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -17.221 0.3680   0.2290E+02  0.2915E-03  0.9546E-01  0.0000E+00      -1   0.220E-02   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -14.209 0.3689   0.2469E+02  0.2640E-03  0.9475E-01  0.0000E+00      -1   0.218E-02   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -11.198 0.3696   0.2677E+02  0.2325E-03  0.9849E-01  0.0000E+00      -1   0.227E-02   20.00  0.8833E-03  0.1060E+00
  70  -207.0000      -8.187 0.3703   0.2922E+02  0.1958E-03  0.9743E-01  0.0000E+00      -1   0.224E-02   20.00  0.8833E-03  0.1060E+00
