 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:47
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -163.995 0.3011   0.1962E+01  0.4277E-03 -0.4587E-01  0.0000E+00      -1  -0.106E-02   20.00  0.1038E-02  0.1245E+00
   2    -3.0000    -161.064 0.3023   0.2027E+01  0.4315E-03 -0.1162E+00  0.0000E+00      -1  -0.267E-02   20.00  0.1049E-02  0.1259E+00
   3    -6.0000    -158.336 0.3035   0.2088E+01  0.4350E-03 -0.2541E+00  0.0000E+00      -1  -0.585E-02   20.00  0.1057E-02  0.1268E+00
   4    -9.0000    -155.792 0.3045   0.2144E+01  0.4384E-03 -0.3855E+00  0.9070E-03      -1  -0.887E-02   20.00  0.1057E-02  0.1268E+00
   5   -12.0000    -153.413 0.3055   0.2197E+01  0.4415E-03 -0.5138E+00  0.9073E-03      -1  -0.118E-01   20.00  0.1048E-02  0.1258E+00
   6   -15.0000    -151.191 0.3065   0.2261E+01  0.4442E-03 -0.6425E+00  0.9075E-03      -1  -0.148E-01   20.00  0.1028E-02  0.1235E+00
   7   -18.0000    -149.112 0.3075   0.2344E+01  0.4466E-03 -0.7673E+00  0.9078E-03      -1  -0.177E-01   20.00  0.9969E-03  0.1197E+00
   8   -21.0000    -147.154 0.3084   0.2422E+01  0.4489E-03 -0.8855E+00  0.8828E-03      -1  -0.204E-01   20.00  0.9609E-03  0.1153E+00
   9   -24.0000    -145.305 0.3092   0.2496E+01  0.4510E-03 -0.9972E+00  0.8199E-03      -1  -0.229E-01   20.00  0.9291E-03  0.1114E+00
  10   -27.0000    -143.551 0.3100   0.2566E+01  0.4531E-03 -0.1102E+01  0.7570E-03      -1  -0.254E-01   20.00  0.9068E-03  0.1087E+00
  11   -30.0000    -141.882 0.3108   0.2632E+01  0.4550E-03 -0.1201E+01  0.6941E-03      -1  -0.276E-01   20.00  0.8941E-03  0.1072E+00
  12   -33.0000    -140.288 0.3115   0.2696E+01  0.4568E-03 -0.1293E+01  0.6311E-03      -1  -0.298E-01   20.00  0.8877E-03  0.1065E+00
  13   -36.0000    -138.761 0.3122   0.2756E+01  0.4586E-03 -0.1380E+01  0.5681E-03      -1  -0.318E-01   20.00  0.8847E-03  0.1061E+00
  14   -39.0000    -137.292 0.3129   0.2815E+01  0.4603E-03 -0.1460E+01  0.5050E-03      -1  -0.336E-01   20.00  0.8836E-03  0.1060E+00
  15   -42.0000    -135.874 0.3136   0.2871E+01  0.4619E-03 -0.1535E+01  0.4420E-03      -1  -0.353E-01   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -134.500 0.3142   0.2926E+01  0.4635E-03 -0.1604E+01  0.3789E-03      -1  -0.369E-01   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -133.164 0.3148   0.2979E+01  0.4651E-03 -0.1668E+01  0.3158E-03      -1  -0.384E-01   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -131.859 0.3154   0.3031E+01  0.4666E-03 -0.1726E+01  0.2527E-03      -1  -0.397E-01   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -130.581 0.3160   0.3082E+01  0.4681E-03 -0.1780E+01  0.1895E-03      -1  -0.409E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -129.323 0.3166   0.3133E+01  0.4695E-03 -0.1828E+01  0.1264E-03      -1  -0.421E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -128.082 0.3172   0.3182E+01  0.4710E-03 -0.1872E+01  0.6319E-04      -1  -0.431E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -126.852 0.3178   0.3231E+01  0.4724E-03 -0.1911E+01  0.0000E+00      -1  -0.440E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -125.630 0.3183   0.3280E+01  0.4738E-03 -0.1946E+01  0.0000E+00      -1  -0.448E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -124.412 0.3189   0.3328E+01  0.4752E-03 -0.1976E+01  0.0000E+00      -1  -0.455E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -123.193 0.3194   0.3377E+01  0.4766E-03 -0.2003E+01  0.0000E+00      -1  -0.461E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -121.971 0.3200   0.3425E+01  0.4780E-03 -0.2026E+01  0.0000E+00      -1  -0.466E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -120.741 0.3206   0.3474E+01  0.4794E-03 -0.2045E+01  0.0000E+00      -1  -0.471E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -119.496 0.3212   0.3549E+01  0.4805E-03 -0.2061E+01  0.0000E+00      -1  -0.474E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -118.224 0.3218   0.3633E+01  0.4814E-03 -0.2074E+01  0.0000E+00      -1  -0.477E-01   20.00  0.8834E-03  0.1060E+00
  30   -87.0000    -116.922 0.3224   0.3719E+01  0.4823E-03 -0.2086E+01  0.0000E+00      -1  -0.480E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -115.589 0.3231   0.3807E+01  0.4832E-03 -0.2094E+01  0.0000E+00      -1  -0.482E-01   20.00  0.8834E-03  0.1060E+00
  32   -93.0000    -114.222 0.3238   0.3897E+01  0.4842E-03 -0.2099E+01  0.0000E+00      -1  -0.483E-01   20.00  0.8834E-03  0.1060E+00
  33   -96.0000    -112.821 0.3245   0.3989E+01  0.4852E-03 -0.2103E+01  0.0000E+00      -1  -0.484E-01   20.00  0.8834E-03  0.1060E+00
  34   -99.0000    -111.385 0.3252   0.4084E+01  0.4862E-03 -0.2105E+01  0.0000E+00      -1  -0.484E-01   20.00  0.8834E-03  0.1060E+00
  35  -102.0000    -109.913 0.3259   0.4181E+01  0.4873E-03 -0.2104E+01  0.0000E+00      -1  -0.484E-01   20.00  0.8834E-03  0.1060E+00
  36  -105.0000    -108.404 0.3266   0.4281E+01  0.4883E-03 -0.2101E+01  0.0000E+00      -1  -0.483E-01   20.00  0.8834E-03  0.1060E+00
  37  -108.0000    -106.858 0.3274   0.4383E+01  0.4894E-03 -0.2097E+01  0.0000E+00      -1  -0.483E-01   20.00  0.8834E-03  0.1060E+00
  38  -111.0000    -105.275 0.3281   0.4487E+01  0.4906E-03 -0.2092E+01  0.0000E+00      -1  -0.481E-01   20.00  0.8834E-03  0.1060E+00
  39  -114.0000    -103.655 0.3289   0.4594E+01  0.4917E-03 -0.2086E+01  0.0000E+00      -1  -0.480E-01   20.00  0.8834E-03  0.1060E+00
  40  -117.0000    -101.999 0.3298   0.4703E+01  0.4929E-03 -0.2079E+01  0.0000E+00      -1  -0.478E-01   20.00  0.8834E-03  0.1060E+00
  41  -120.0000    -100.307 0.3306   0.4815E+01  0.4941E-03 -0.2070E+01  0.0000E+00      -1  -0.476E-01   20.00  0.8834E-03  0.1060E+00
  42  -123.0000     -98.579 0.3314   0.4929E+01  0.4953E-03 -0.2062E+01  0.0000E+00      -1  -0.474E-01   20.00  0.8834E-03  0.1060E+00
  43  -126.0000     -96.817 0.3323   0.5045E+01  0.4966E-03 -0.2052E+01  0.0000E+00      -1  -0.472E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -95.018 0.3332   0.5180E+01  0.4975E-03 -0.2041E+01  0.0000E+00      -1  -0.470E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -93.176 0.3341   0.5367E+01  0.4974E-03 -0.2031E+01  0.0000E+00      -1  -0.467E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -91.289 0.3350   0.5558E+01  0.4973E-03 -0.2020E+01  0.0000E+00      -1  -0.465E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -89.357 0.3360   0.5755E+01  0.4972E-03 -0.2008E+01  0.0000E+00      -1  -0.462E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -87.383 0.3370   0.5955E+01  0.4972E-03 -0.1998E+01  0.0000E+00      -1  -0.460E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -85.370 0.3380   0.6160E+01  0.4971E-03 -0.1986E+01  0.0000E+00      -1  -0.457E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -83.318 0.3390   0.6368E+01  0.4970E-03 -0.1975E+01  0.0000E+00      -1  -0.454E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -81.231 0.3401   0.6580E+01  0.4969E-03 -0.1964E+01  0.0000E+00      -1  -0.452E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -79.109 0.3411   0.6796E+01  0.4968E-03 -0.1951E+01  0.0000E+00      -1  -0.449E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -76.954 0.3422   0.7015E+01  0.4967E-03 -0.1941E+01  0.0000E+00      -1  -0.447E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -74.767 0.3433   0.7277E+01  0.4957E-03 -0.1931E+01  0.0000E+00      -1  -0.444E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -72.543 0.3444   0.7603E+01  0.4933E-03 -0.1919E+01  0.0000E+00      -1  -0.442E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -70.282 0.3455   0.7935E+01  0.4910E-03 -0.1910E+01  0.0000E+00      -1  -0.440E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -67.988 0.3466   0.8272E+01  0.4885E-03 -0.1900E+01  0.0000E+00      -1  -0.437E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -65.661 0.3477   0.8613E+01  0.4861E-03 -0.1890E+01  0.0000E+00      -1  -0.435E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -63.305 0.3489   0.8959E+01  0.4836E-03 -0.1881E+01  0.0000E+00      -1  -0.433E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -60.921 0.3500   0.9309E+01  0.4811E-03 -0.1871E+01  0.0000E+00      -1  -0.431E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -58.509 0.3512   0.9740E+01  0.4768E-03 -0.1864E+01  0.0000E+00      -1  -0.429E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -56.068 0.3523   0.1023E+02  0.4714E-03 -0.1858E+01  0.0000E+00      -1  -0.427E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -53.599 0.3535   0.1073E+02  0.4658E-03 -0.1849E+01  0.0000E+00      -1  -0.425E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -51.103 0.3547   0.1123E+02  0.4602E-03 -0.1840E+01  0.0000E+00      -1  -0.423E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -48.583 0.3558   0.1173E+02  0.4546E-03 -0.1835E+01  0.0000E+00      -1  -0.422E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -46.040 0.3570   0.1233E+02  0.4470E-03 -0.1829E+01  0.0000E+00      -1  -0.421E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -43.472 0.3581   0.1301E+02  0.4380E-03 -0.1822E+01  0.0000E+00      -1  -0.419E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -40.881 0.3592   0.1369E+02  0.4289E-03 -0.1817E+01  0.0000E+00      -1  -0.418E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -38.269 0.3604   0.1437E+02  0.4197E-03 -0.1811E+01  0.0000E+00      -1  -0.417E-01   20.00  0.8833E-03  0.1060E+00
