 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:37
 Units: L = cm   , T = days , M = mg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
    2      3.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
    3      6.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
    4      9.00     0.056     0.371       0.0   0.435E+02     1.000     0.027     1.000     1.000     1.000
    5     12.00     0.056     0.371       0.0   0.435E+02     1.000     0.027     1.000     1.000     1.000
    6     15.00     0.056     0.371       0.0   0.435E+02     1.000     0.027     1.000     1.000     1.000
    7     18.00     0.056     0.371       0.0   0.435E+02     1.000     0.027     1.000     1.000     1.000
    8     21.00     0.056     0.371       0.0   0.435E+02     1.000     0.027     1.000     1.000     1.000
    9     24.00     0.056     0.371       0.0   0.435E+02     1.000     0.025     1.000     1.000     1.000
   10     27.00     0.056     0.371       0.0   0.435E+02     1.000     0.023     1.000     1.000     1.000
   11     30.00     0.056     0.371       0.0   0.435E+02     1.000     0.022     1.000     1.000     1.000
   12     33.00     0.056     0.371       0.0   0.435E+02     1.000     0.020     1.000     1.000     1.000
   13     36.00     0.056     0.371       0.0   0.435E+02     1.000     0.018     1.000     1.000     1.000
   14     39.00     0.056     0.371       0.0   0.435E+02     1.000     0.017     1.000     1.000     1.000
   15     42.00     0.056     0.371       0.0   0.435E+02     1.000     0.015     1.000     1.000     1.000
   16     45.00     0.056     0.371       0.0   0.435E+02     1.000     0.013     1.000     1.000     1.000
   17     48.00     0.056     0.371       0.0   0.435E+02     1.000     0.012     1.000     1.000     1.000
   18     51.00     0.056     0.371       0.0   0.435E+02     1.000     0.010     1.000     1.000     1.000
   19     54.00     0.056     0.371       0.0   0.435E+02     1.000     0.008     1.000     1.000     1.000
   20     57.00     0.056     0.371       0.0   0.435E+02     1.000     0.007     1.000     1.000     1.000
   21     60.00     0.056     0.371       0.0   0.435E+02     1.000     0.005     1.000     1.000     1.000
   22     63.00     0.056     0.371       0.0   0.435E+02     1.000     0.003     1.000     1.000     1.000
   23     66.00     0.056     0.371       0.0   0.435E+02     1.000     0.002     1.000     1.000     1.000
   24     69.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   25     72.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   26     75.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   27     78.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   28     81.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   29     84.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   30     87.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   31     90.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   32     93.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   33     96.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   34     99.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   35    102.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   36    105.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   37    108.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   38    111.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   39    114.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   40    117.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   41    120.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   42    123.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   43    126.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   44    129.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   45    132.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   46    135.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   47    138.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   48    141.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   49    144.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   50    147.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   51    150.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   52    153.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   53    156.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   54    159.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   55    162.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   56    165.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   57    168.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   58    171.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   59    174.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   60    177.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   61    180.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   62    183.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   63    186.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   64    189.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   65    192.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   66    195.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   67    198.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   68    201.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   69    204.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   70    207.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   71    210.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   72    213.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   73    216.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   74    219.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   75    222.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   76    225.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   77    228.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   78    231.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   79    234.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   80    237.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   81    240.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   82    243.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   83    246.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   84    249.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   85    252.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   86    255.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   87    258.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   88    261.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   89    264.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   90    267.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   91    270.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   92    273.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   93    276.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   94    279.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   95    282.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   96    285.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   97    288.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   98    291.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
   99    294.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
  100    297.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
  101    300.00     0.056     0.371       0.0   0.435E+02     1.000     0.000     1.000     1.000     1.000
end
