 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:58
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.27255E-01  0.10178E+00  0.27256E-01  0.10069E+00  0.15375E+00  0.27255E-03  0.10178E-02  0.27256E-03  0.10069E-02  0.15375E-02 -0.21031E+03 -0.16351E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10298E+03  0.21706E-05  0.27473E-03      1  0.00000E+00      0.000
       0.0230  0.26326E-01  0.10178E+00  0.26326E-01  0.10069E+00  0.16502E+00  0.61479E-03  0.23410E-02  0.61479E-03  0.23160E-02  0.36828E-02 -0.21022E+03 -0.16347E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10298E+03  0.17077E-04  0.63187E-03      2  0.00000E+00      0.000
       0.0399  0.24034E-01  0.10178E+00  0.24033E-01  0.10070E+00  0.17652E+00  0.10210E-02  0.40612E-02  0.10210E-02  0.40177E-02  0.66659E-02 -0.21008E+03 -0.16341E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10298E+03  0.75190E-04  0.10961E-02      3  0.00000E+00      0.000
       0.0619  0.19265E-01  0.10178E+00  0.19266E-01  0.10070E+00  0.18514E+00  0.14442E-02  0.62973E-02  0.14442E-02  0.62300E-02  0.10733E-01 -0.20989E+03 -0.16333E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10298E+03  0.25551E-03  0.16997E-02      4  0.00000E+00      0.000
       0.0904  0.10189E-01  0.10178E+00  0.10190E-01  0.10070E+00  0.19332E+00  0.17352E-02  0.92044E-02  0.17353E-02  0.91061E-02  0.16255E-01 -0.20960E+03 -0.16323E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10298E+03  0.74915E-03  0.24844E-02      5  0.00000E+00      0.000
       0.1276 -0.60071E-02  0.10178E+00 -0.60075E-02  0.10070E+00  0.20061E+00  0.15122E-02  0.12984E-01  0.15122E-02  0.12845E-01  0.23703E-01 -0.20916E+03 -0.16309E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10299E+03  0.19922E-02  0.35044E-02      6  0.00000E+00      0.000
       0.1758 -0.33099E-01  0.10178E+00 -0.33100E-01  0.10071E+00  0.20680E+00 -0.85475E-04  0.17896E-01 -0.85485E-04  0.17706E-01  0.33685E-01 -0.20847E+03 -0.16288E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10299E+03  0.49160E-02  0.48305E-02      7  0.00000E+00      0.000
       0.2258 -0.65885E-01  0.10178E+00 -0.65889E-01  0.10072E+00  0.21078E+00 -0.33797E-02  0.22986E-01 -0.33799E-02  0.22742E-01  0.44224E-01 -0.20763E+03 -0.16264E+03  0.10022E+03  0.00000E+00  0.00000E+00  0.10300E+03  0.95840E-02  0.62041E-02      8  0.00000E+00      0.000
