 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:28: 0
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -201.979 0.2858   0.1225E+01  0.3792E-03 -0.2691E-01  0.0000E+00      -1  -0.619E-03   20.00  0.1071E-02  0.1284E+00
   2    -3.0000    -199.044 0.2869   0.1259E+01  0.3827E-03 -0.7951E-01  0.0000E+00      -1  -0.183E-02   20.00  0.1076E-02  0.1293E+00
   3    -6.0000    -196.355 0.2879   0.1290E+01  0.3860E-03 -0.1815E+00  0.0000E+00      -1  -0.418E-02   20.00  0.1037E-02  0.1243E+00
   4    -9.0000    -193.886 0.2888   0.1318E+01  0.3890E-03 -0.2749E+00  0.2846E-02      -1  -0.632E-02   20.00  0.1038E-02  0.1246E+00
   5   -12.0000    -191.604 0.2896   0.1347E+01  0.3918E-03 -0.3643E+00  0.2848E-02      -1  -0.838E-02   20.00  0.1029E-02  0.1235E+00
   6   -15.0000    -189.501 0.2905   0.1393E+01  0.3945E-03 -0.4504E+00  0.2849E-02      -1  -0.104E-01   20.00  0.1013E-02  0.1216E+00
   7   -18.0000    -187.542 0.2913   0.1437E+01  0.3970E-03 -0.5273E+00  0.2850E-02      -1  -0.121E-01   20.00  0.9901E-03  0.1189E+00
   8   -21.0000    -185.702 0.2921   0.1478E+01  0.3994E-03 -0.5958E+00  0.2851E-02      -1  -0.137E-01   20.00  0.9622E-03  0.1155E+00
   9   -24.0000    -183.960 0.2928   0.1517E+01  0.4017E-03 -0.6554E+00  0.2822E-02      -1  -0.151E-01   20.00  0.9360E-03  0.1123E+00
  10   -27.0000    -182.294 0.2935   0.1554E+01  0.4039E-03 -0.7066E+00  0.2675E-02      -1  -0.163E-01   20.00  0.9153E-03  0.1098E+00
  11   -30.0000    -180.688 0.2942   0.1590E+01  0.4060E-03 -0.7504E+00  0.2527E-02      -1  -0.173E-01   20.00  0.9008E-03  0.1081E+00
  12   -33.0000    -179.126 0.2948   0.1625E+01  0.4080E-03 -0.7866E+00  0.2379E-02      -1  -0.181E-01   20.00  0.8910E-03  0.1069E+00
  13   -36.0000    -177.593 0.2954   0.1659E+01  0.4100E-03 -0.8153E+00  0.2231E-02      -1  -0.188E-01   20.00  0.8863E-03  0.1063E+00
  14   -39.0000    -176.075 0.2961   0.1693E+01  0.4120E-03 -0.8373E+00  0.2083E-02      -1  -0.193E-01   20.00  0.8844E-03  0.1061E+00
  15   -42.0000    -174.561 0.2967   0.1726E+01  0.4139E-03 -0.8531E+00  0.1934E-02      -1  -0.196E-01   20.00  0.8835E-03  0.1060E+00
  16   -45.0000    -173.040 0.2973   0.1760E+01  0.4159E-03 -0.8631E+00  0.1786E-02      -1  -0.199E-01   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -171.503 0.2980   0.1794E+01  0.4179E-03 -0.8673E+00  0.1638E-02      -1  -0.200E-01   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -169.940 0.2986   0.1829E+01  0.4199E-03 -0.8668E+00  0.1489E-02      -1  -0.199E-01   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -168.346 0.2993   0.1865E+01  0.4220E-03 -0.8621E+00  0.1341E-02      -1  -0.198E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -166.714 0.3000   0.1901E+01  0.4241E-03 -0.8533E+00  0.1192E-02      -1  -0.196E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -165.039 0.3007   0.1938E+01  0.4263E-03 -0.8413E+00  0.1043E-02      -1  -0.194E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -163.318 0.3014   0.1977E+01  0.4286E-03 -0.8259E+00  0.8945E-03      -1  -0.190E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -161.546 0.3021   0.2016E+01  0.4309E-03 -0.8081E+00  0.7456E-03      -1  -0.186E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -159.723 0.3029   0.2057E+01  0.4332E-03 -0.7888E+00  0.5966E-03      -1  -0.181E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -157.847 0.3037   0.2099E+01  0.4357E-03 -0.7677E+00  0.4476E-03      -1  -0.177E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -155.918 0.3045   0.2142E+01  0.4382E-03 -0.7452E+00  0.2985E-03      -1  -0.171E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -153.935 0.3053   0.2186E+01  0.4408E-03 -0.7217E+00  0.1493E-03      -1  -0.166E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -151.899 0.3062   0.2233E+01  0.4434E-03 -0.6973E+00  0.0000E+00      -1  -0.160E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -149.802 0.3071   0.2316E+01  0.4458E-03 -0.6715E+00  0.0000E+00      -1  -0.154E-01   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -147.639 0.3081   0.2403E+01  0.4483E-03 -0.6444E+00  0.0000E+00      -1  -0.148E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -145.412 0.3092   0.2491E+01  0.4509E-03 -0.6163E+00  0.0000E+00      -1  -0.142E-01   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -143.124 0.3102   0.2583E+01  0.4536E-03 -0.5885E+00  0.0000E+00      -1  -0.135E-01   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -140.780 0.3113   0.2676E+01  0.4563E-03 -0.5607E+00  0.0000E+00      -1  -0.129E-01   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -138.382 0.3124   0.2771E+01  0.4590E-03 -0.5332E+00  0.0000E+00      -1  -0.123E-01   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -135.935 0.3136   0.2869E+01  0.4619E-03 -0.5066E+00  0.0000E+00      -1  -0.117E-01   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -133.442 0.3147   0.2968E+01  0.4648E-03 -0.4806E+00  0.0000E+00      -1  -0.111E-01   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -130.907 0.3159   0.3069E+01  0.4677E-03 -0.4550E+00  0.0000E+00      -1  -0.105E-01   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -128.332 0.3171   0.3172E+01  0.4707E-03 -0.4301E+00  0.0000E+00      -1  -0.990E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -125.721 0.3183   0.3276E+01  0.4737E-03 -0.4065E+00  0.0000E+00      -1  -0.935E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -123.077 0.3195   0.3381E+01  0.4767E-03 -0.3842E+00  0.0000E+00      -1  -0.884E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -120.403 0.3207   0.3489E+01  0.4798E-03 -0.3620E+00  0.0000E+00      -1  -0.833E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -117.697 0.3221   0.3668E+01  0.4817E-03 -0.3401E+00  0.0000E+00      -1  -0.782E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -114.960 0.3234   0.3848E+01  0.4837E-03 -0.3197E+00  0.0000E+00      -1  -0.736E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -112.196 0.3248   0.4031E+01  0.4856E-03 -0.2992E+00  0.0000E+00      -1  -0.689E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -109.406 0.3261   0.4215E+01  0.4876E-03 -0.2800E+00  0.0000E+00      -1  -0.644E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -106.595 0.3275   0.4400E+01  0.4896E-03 -0.2623E+00  0.0000E+00      -1  -0.603E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000    -103.764 0.3289   0.4587E+01  0.4916E-03 -0.2444E+00  0.0000E+00      -1  -0.562E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000    -100.915 0.3303   0.4775E+01  0.4936E-03 -0.2282E+00  0.0000E+00      -1  -0.525E-02   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -98.051 0.3317   0.4964E+01  0.4957E-03 -0.2125E+00  0.0000E+00      -1  -0.489E-02   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -95.172 0.3331   0.5164E+01  0.4975E-03 -0.1977E+00  0.0000E+00      -1  -0.455E-02   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -92.280 0.3345   0.5458E+01  0.4974E-03 -0.1843E+00  0.0000E+00      -1  -0.424E-02   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -89.375 0.3360   0.5753E+01  0.4972E-03 -0.1714E+00  0.0000E+00      -1  -0.394E-02   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -86.459 0.3374   0.6049E+01  0.4971E-03 -0.1591E+00  0.0000E+00      -1  -0.366E-02   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -83.533 0.3389   0.6347E+01  0.4970E-03 -0.1468E+00  0.0000E+00      -1  -0.338E-02   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -80.598 0.3404   0.6645E+01  0.4968E-03 -0.1360E+00  0.0000E+00      -1  -0.313E-02   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -77.656 0.3418   0.6944E+01  0.4967E-03 -0.1262E+00  0.0000E+00      -1  -0.290E-02   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -74.707 0.3433   0.7286E+01  0.4956E-03 -0.1155E+00  0.0000E+00      -1  -0.266E-02   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -71.751 0.3447   0.7719E+01  0.4925E-03 -0.1066E+00  0.0000E+00      -1  -0.245E-02   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -68.790 0.3462   0.8154E+01  0.4894E-03 -0.9902E-01  0.0000E+00      -1  -0.228E-02   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -65.824 0.3476   0.8589E+01  0.4863E-03 -0.9147E-01  0.0000E+00      -1  -0.210E-02   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -62.854 0.3491   0.9025E+01  0.4831E-03 -0.8410E-01  0.0000E+00      -1  -0.194E-02   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -59.880 0.3506   0.9465E+01  0.4799E-03 -0.7586E-01  0.0000E+00      -1  -0.175E-02   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -56.902 0.3519   0.1006E+02  0.4732E-03 -0.7034E-01  0.0000E+00      -1  -0.162E-02   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -53.922 0.3533   0.1066E+02  0.4666E-03 -0.6376E-01  0.0000E+00      -1  -0.147E-02   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -50.938 0.3547   0.1126E+02  0.4599E-03 -0.5812E-01  0.0000E+00      -1  -0.134E-02   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -47.953 0.3561   0.1186E+02  0.4532E-03 -0.5541E-01  0.0000E+00      -1  -0.127E-02   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -44.966 0.3574   0.1261E+02  0.4433E-03 -0.5036E-01  0.0000E+00      -1  -0.116E-02   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -41.977 0.3587   0.1340E+02  0.4328E-03 -0.4453E-01  0.0000E+00      -1  -0.102E-02   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -38.986 0.3601   0.1418E+02  0.4222E-03 -0.4019E-01  0.0000E+00      -1  -0.925E-03   20.00  0.8833E-03  0.1060E+00
