 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27: 8
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -199.01  0.2869  0.1497E+00  0.1053E-02       -180.86  0.2941 -0.5227E+00  0.9296E-03       -170.36  0.2985 -0.8673E+00  0.8833E-03
          0.0230     -200.06  0.2865  0.1497E+00  0.1054E-02       -181.57  0.2938 -0.4859E+00  0.9293E-03       -170.74  0.2983 -0.8331E+00  0.8833E-03
          0.0399     -201.46  0.2860  0.1497E+00  0.1054E-02       -182.60  0.2934 -0.4394E+00  0.9290E-03       -171.32  0.2981 -0.7865E+00  0.8833E-03
          0.0619     -203.06  0.2854  0.1497E+00  0.1054E-02       -183.83  0.2928 -0.3912E+00  0.9286E-03       -172.07  0.2977 -0.7334E+00  0.8833E-03
          0.0904     -204.97  0.2848  0.1497E+00  0.1054E-02       -185.37  0.2922 -0.3397E+00  0.9283E-03       -173.06  0.2973 -0.6716E+00  0.8833E-03
          0.1276     -207.19  0.2840  0.1497E+00  0.1054E-02       -187.21  0.2914 -0.2879E+00  0.9279E-03       -174.32  0.2968 -0.6042E+00  0.8833E-03
          0.1758     -209.77  0.2830  0.1497E+00  0.1054E-02       -189.40  0.2905 -0.2359E+00  0.9275E-03       -175.92  0.2961 -0.5322E+00  0.8833E-03
          0.2386     -212.72  0.2820  0.1497E+00  0.1054E-02       -191.98  0.2894 -0.1854E+00  0.9272E-03       -177.87  0.2953 -0.4584E+00  0.8833E-03
          0.3232     -225.49  0.2777  0.7610E+00  0.1060E-02       -197.54  0.2875  0.5570E-01  0.9271E-03       -181.19  0.2940 -0.3039E+00  0.8834E-03
          0.4360     -251.81  0.2685  0.1578E+01  0.1065E-02       -208.27  0.2836  0.4772E+00  0.9308E-03       -187.19  0.2914 -0.2174E-01  0.8834E-03
          0.5770     -273.32  0.2621  0.1518E+01  0.1065E-02       -221.19  0.2789  0.7402E+00  0.9328E-03       -195.56  0.2882  0.2520E+00  0.8833E-03
          0.7885     -253.93  0.2679  0.1497E+00  0.1057E-02       -224.85  0.2777  0.3681E+00  0.9303E-03       -201.98  0.2859  0.2029E+00  0.8833E-03
          1.0000     -251.56  0.2691  0.1497E+00  0.1057E-02       -225.78  0.2772  0.1936E+00  0.9297E-03       -205.05  0.2846  0.1142E+00  0.8834E-03
end
