 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:58: 1
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -221.44  0.2788  0.2376E-01  0.1029E-02       -198.63  0.2870  0.1865E+00  0.9625E-03       -177.42  0.2955  0.3217E+00  0.8834E-03
          0.0230     -221.23  0.2789  0.2376E-01  0.1029E-02       -198.44  0.2871  0.1835E+00  0.9625E-03       -177.30  0.2956  0.3148E+00  0.8834E-03
          0.0399     -220.93  0.2790  0.2376E-01  0.1029E-02       -198.18  0.2872  0.1792E+00  0.9625E-03       -177.14  0.2956  0.3050E+00  0.8834E-03
          0.0619     -220.57  0.2791  0.2376E-01  0.1029E-02       -197.87  0.2873  0.1735E+00  0.9625E-03       -176.95  0.2957  0.2938E+00  0.8834E-03
          0.0904     -220.13  0.2793  0.2377E-01  0.1029E-02       -197.50  0.2875  0.1661E+00  0.9625E-03       -176.72  0.2958  0.2799E+00  0.8834E-03
          0.1276     -219.59  0.2795  0.2376E-01  0.1029E-02       -197.06  0.2876  0.1569E+00  0.9625E-03       -176.45  0.2959  0.2634E+00  0.8834E-03
          0.1758     -218.98  0.2797  0.2376E-01  0.1029E-02       -196.55  0.2878  0.1457E+00  0.9625E-03       -176.14  0.2961  0.2438E+00  0.8834E-03
          0.2386     -218.29  0.2800  0.2376E-01  0.1029E-02       -195.98  0.2880  0.1328E+00  0.9625E-03       -175.81  0.2962  0.2217E+00  0.8834E-03
          0.3232     -218.98  0.2798  0.1208E+00  0.1030E-02       -195.76  0.2881  0.1495E+00  0.9626E-03       -175.57  0.2963  0.2101E+00  0.8834E-03
          0.4360     -222.92  0.2784  0.2505E+00  0.1032E-02       -198.31  0.2873  0.2093E+00  0.9627E-03       -177.30  0.2956  0.2712E+00  0.8835E-03
          0.5770     -228.60  0.2763  0.2410E+00  0.1032E-02       -203.91  0.2852  0.2529E+00  0.9628E-03       -181.58  0.2939  0.3859E+00  0.8835E-03
          0.7885     -230.14  0.2755  0.2376E-01  0.1030E-02       -207.94  0.2836  0.2003E+00  0.9626E-03       -185.46  0.2921  0.4207E+00  0.8835E-03
          1.0000     -226.99  0.2767  0.2376E-01  0.1030E-02       -204.15  0.2848  0.1790E+00  0.9625E-03       -182.80  0.2930  0.3096E+00  0.8833E-03
end
