 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:28: 2
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -194.960 0.2884   0.1306E+01  0.3877E-03  0.1326E-02  0.0000E+00      -1   0.305E-04   20.00  0.1051E-02  0.1260E+00
   2    -3.0000    -191.957 0.2895   0.1341E+01  0.3913E-03 -0.1534E-01  0.0000E+00      -1  -0.353E-03   20.00  0.1060E-02  0.1272E+00
   3    -6.0000    -189.027 0.2907   0.1404E+01  0.3951E-03 -0.4856E-01  0.0000E+00      -1  -0.112E-02   20.00  0.1041E-02  0.1249E+00
   4    -9.0000    -186.163 0.2919   0.1468E+01  0.3988E-03 -0.7977E-01  0.1015E-02      -1  -0.184E-02   20.00  0.1036E-02  0.1243E+00
   5   -12.0000    -183.352 0.2930   0.1530E+01  0.4025E-03 -0.1086E+00  0.1015E-02      -1  -0.250E-02   20.00  0.1026E-02  0.1232E+00
   6   -15.0000    -180.588 0.2942   0.1592E+01  0.4061E-03 -0.1371E+00  0.1016E-02      -1  -0.315E-02   20.00  0.1011E-02  0.1213E+00
   7   -18.0000    -177.868 0.2953   0.1653E+01  0.4096E-03 -0.1652E+00  0.1016E-02      -1  -0.380E-02   20.00  0.9889E-03  0.1187E+00
   8   -21.0000    -175.187 0.2964   0.1712E+01  0.4131E-03 -0.1925E+00  0.1017E-02      -1  -0.443E-02   20.00  0.9633E-03  0.1156E+00
   9   -24.0000    -172.542 0.2976   0.1771E+01  0.4166E-03 -0.2195E+00  0.1007E-02      -1  -0.505E-02   20.00  0.9386E-03  0.1126E+00
  10   -27.0000    -169.930 0.2986   0.1829E+01  0.4200E-03 -0.2462E+00  0.9543E-03      -1  -0.566E-02   20.00  0.9186E-03  0.1102E+00
  11   -30.0000    -167.349 0.2997   0.1887E+01  0.4233E-03 -0.2725E+00  0.9016E-03      -1  -0.627E-02   20.00  0.9037E-03  0.1084E+00
  12   -33.0000    -164.796 0.3008   0.1944E+01  0.4266E-03 -0.2985E+00  0.8489E-03      -1  -0.687E-02   20.00  0.8936E-03  0.1072E+00
  13   -36.0000    -162.270 0.3018   0.2000E+01  0.4299E-03 -0.3245E+00  0.7962E-03      -1  -0.747E-02   20.00  0.8878E-03  0.1065E+00
  14   -39.0000    -159.769 0.3029   0.2056E+01  0.4332E-03 -0.3503E+00  0.7434E-03      -1  -0.806E-02   20.00  0.8851E-03  0.1062E+00
  15   -42.0000    -157.292 0.3039   0.2111E+01  0.4364E-03 -0.3759E+00  0.6906E-03      -1  -0.865E-02   20.00  0.8835E-03  0.1060E+00
  16   -45.0000    -154.837 0.3049   0.2166E+01  0.4396E-03 -0.4007E+00  0.6377E-03      -1  -0.922E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -152.402 0.3060   0.2220E+01  0.4428E-03 -0.4262E+00  0.5847E-03      -1  -0.981E-02   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -149.984 0.3071   0.2309E+01  0.4456E-03 -0.4530E+00  0.5317E-03      -1  -0.104E-01   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -147.578 0.3082   0.2405E+01  0.4484E-03 -0.4803E+00  0.4787E-03      -1  -0.111E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -145.182 0.3093   0.2501E+01  0.4512E-03 -0.5072E+00  0.4256E-03      -1  -0.117E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -142.795 0.3104   0.2596E+01  0.4539E-03 -0.5343E+00  0.3725E-03      -1  -0.123E-01   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -140.417 0.3115   0.2690E+01  0.4567E-03 -0.5610E+00  0.3194E-03      -1  -0.129E-01   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -138.046 0.3126   0.2785E+01  0.4594E-03 -0.5872E+00  0.2662E-03      -1  -0.135E-01   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -135.682 0.3137   0.2879E+01  0.4622E-03 -0.6133E+00  0.2131E-03      -1  -0.141E-01   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -133.324 0.3148   0.2973E+01  0.4649E-03 -0.6387E+00  0.1598E-03      -1  -0.147E-01   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -130.971 0.3158   0.3067E+01  0.4676E-03 -0.6645E+00  0.1066E-03      -1  -0.153E-01   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -128.624 0.3169   0.3160E+01  0.4703E-03 -0.6895E+00  0.5330E-04      -1  -0.159E-01   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -126.280 0.3180   0.3254E+01  0.4730E-03 -0.7142E+00  0.0000E+00      -1  -0.164E-01   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -123.941 0.3191   0.3347E+01  0.4757E-03 -0.7391E+00  0.0000E+00      -1  -0.170E-01   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -121.605 0.3202   0.3440E+01  0.4784E-03 -0.7625E+00  0.0000E+00      -1  -0.175E-01   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -119.268 0.3213   0.3564E+01  0.4806E-03 -0.7863E+00  0.0000E+00      -1  -0.181E-01   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -116.926 0.3224   0.3719E+01  0.4823E-03 -0.8106E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -114.576 0.3236   0.3874E+01  0.4840E-03 -0.8341E+00  0.0000E+00      -1  -0.192E-01   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -112.218 0.3247   0.4029E+01  0.4856E-03 -0.8568E+00  0.0000E+00      -1  -0.197E-01   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -109.852 0.3259   0.4185E+01  0.4873E-03 -0.8788E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -107.478 0.3271   0.4342E+01  0.4890E-03 -0.9009E+00  0.0000E+00      -1  -0.207E-01   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -105.097 0.3282   0.4499E+01  0.4907E-03 -0.9222E+00  0.0000E+00      -1  -0.212E-01   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -102.708 0.3294   0.4657E+01  0.4924E-03 -0.9421E+00  0.0000E+00      -1  -0.217E-01   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -100.311 0.3306   0.4815E+01  0.4941E-03 -0.9621E+00  0.0000E+00      -1  -0.221E-01   20.00  0.8833E-03  0.1060E+00
  40  -117.0000     -97.907 0.3318   0.4973E+01  0.4958E-03 -0.9822E+00  0.0000E+00      -1  -0.226E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000     -95.496 0.3329   0.5132E+01  0.4975E-03 -0.1001E+01  0.0000E+00      -1  -0.230E-01   20.00  0.8833E-03  0.1060E+00
  42  -123.0000     -93.072 0.3341   0.5377E+01  0.4974E-03 -0.1018E+01  0.0000E+00      -1  -0.234E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -90.632 0.3354   0.5625E+01  0.4973E-03 -0.1037E+01  0.0000E+00      -1  -0.239E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -88.178 0.3366   0.5875E+01  0.4972E-03 -0.1053E+01  0.0000E+00      -1  -0.242E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -85.708 0.3378   0.6126E+01  0.4971E-03 -0.1070E+01  0.0000E+00      -1  -0.246E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -83.226 0.3391   0.6378E+01  0.4970E-03 -0.1086E+01  0.0000E+00      -1  -0.250E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -80.730 0.3403   0.6631E+01  0.4968E-03 -0.1101E+01  0.0000E+00      -1  -0.253E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -78.222 0.3416   0.6886E+01  0.4967E-03 -0.1115E+01  0.0000E+00      -1  -0.257E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -75.702 0.3428   0.7142E+01  0.4966E-03 -0.1129E+01  0.0000E+00      -1  -0.260E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -73.167 0.3440   0.7512E+01  0.4940E-03 -0.1143E+01  0.0000E+00      -1  -0.263E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -70.615 0.3453   0.7886E+01  0.4913E-03 -0.1155E+01  0.0000E+00      -1  -0.266E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -68.046 0.3466   0.8263E+01  0.4886E-03 -0.1167E+01  0.0000E+00      -1  -0.269E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -65.463 0.3478   0.8642E+01  0.4859E-03 -0.1179E+01  0.0000E+00      -1  -0.271E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -62.865 0.3491   0.9023E+01  0.4831E-03 -0.1189E+01  0.0000E+00      -1  -0.274E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -60.254 0.3504   0.9406E+01  0.4804E-03 -0.1201E+01  0.0000E+00      -1  -0.276E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -57.629 0.3516   0.9917E+01  0.4749E-03 -0.1211E+01  0.0000E+00      -1  -0.279E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -54.987 0.3528   0.1045E+02  0.4689E-03 -0.1220E+01  0.0000E+00      -1  -0.281E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -52.330 0.3541   0.1098E+02  0.4630E-03 -0.1227E+01  0.0000E+00      -1  -0.282E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -49.658 0.3553   0.1152E+02  0.4570E-03 -0.1236E+01  0.0000E+00      -1  -0.284E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -46.974 0.3566   0.1209E+02  0.4503E-03 -0.1246E+01  0.0000E+00      -1  -0.287E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -44.275 0.3577   0.1280E+02  0.4408E-03 -0.1251E+01  0.0000E+00      -1  -0.288E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -41.561 0.3589   0.1351E+02  0.4313E-03 -0.1258E+01  0.0000E+00      -1  -0.289E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -38.834 0.3601   0.1422E+02  0.4217E-03 -0.1263E+01  0.0000E+00      -1  -0.291E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -36.093 0.3613   0.1505E+02  0.4100E-03 -0.1270E+01  0.0000E+00      -1  -0.292E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -33.340 0.3624   0.1596E+02  0.3967E-03 -0.1276E+01  0.0000E+00      -1  -0.294E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -30.573 0.3635   0.1687E+02  0.3833E-03 -0.1279E+01  0.0000E+00      -1  -0.294E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -27.794 0.3645   0.1795E+02  0.3672E-03 -0.1286E+01  0.0000E+00      -1  -0.296E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -25.003 0.3655   0.1908E+02  0.3500E-03 -0.1289E+01  0.0000E+00      -1  -0.297E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -22.199 0.3665   0.2034E+02  0.3308E-03 -0.1292E+01  0.0000E+00      -1  -0.297E-01   20.00  0.8833E-03  0.1060E+00
