 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:28: 4
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.17189E-01  0.58259E-01  0.17188E-01  0.57495E-01  0.38144E+00  0.17189E-03  0.58259E-03  0.17188E-03  0.57495E-03  0.38144E-02 -0.22019E+03 -0.17798E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10125E+03  0.98664E-06  0.17287E-03      1  0.00000E+00      0.000
       0.0230  0.16766E-01  0.58259E-01  0.16766E-01  0.57494E-01  0.28771E+00  0.38985E-03  0.13400E-02  0.38985E-03  0.13224E-02  0.75546E-02 -0.22033E+03 -0.17803E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10125E+03  0.77622E-05  0.39761E-03      2  0.00000E+00      0.000
       0.0399  0.15725E-01  0.58259E-01  0.15722E-01  0.57493E-01  0.20570E+00  0.65560E-03  0.23245E-02  0.65554E-03  0.22940E-02  0.11031E-01 -0.22051E+03 -0.17810E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10125E+03  0.34177E-04  0.68972E-03      3  0.00000E+00      0.000
       0.0619  0.13557E-01  0.58259E-01  0.13558E-01  0.57491E-01  0.15596E+00  0.95345E-03  0.36045E-02  0.95341E-03  0.35571E-02  0.14457E-01 -0.22070E+03 -0.17818E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10125E+03  0.11614E-03  0.10695E-02      4  0.00000E+00      0.000
       0.0904  0.94313E-02  0.58259E-01  0.94300E-02  0.57490E-01  0.11418E+00  0.12228E-02  0.52684E-02  0.12227E-02  0.51990E-02  0.17718E-01 -0.22091E+03 -0.17829E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10126E+03  0.34052E-03  0.15633E-02      5  0.00000E+00      0.000
       0.1276  0.20697E-02  0.58259E-01  0.20677E-02  0.57487E-01  0.81571E-01  0.12997E-02  0.74316E-02  0.12995E-02  0.73335E-02  0.20747E-01 -0.22110E+03 -0.17842E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10126E+03  0.90556E-03  0.22051E-02      6  0.00000E+00      0.000
       0.1758 -0.10245E-01  0.58259E-01 -0.10248E-01  0.57485E-01  0.54821E-01  0.80515E-03  0.10244E-01  0.80488E-03  0.10108E-01  0.23393E-01 -0.22123E+03 -0.17857E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10126E+03  0.22346E-02  0.30395E-02      7  0.00000E+00      0.000
       0.2258 -0.25148E-01  0.58259E-01 -0.25149E-01  0.57484E-01  0.36143E-01 -0.45224E-03  0.13157E-01 -0.45255E-03  0.12982E-01  0.25200E-01 -0.22125E+03 -0.17868E+03  0.76850E+02  0.00000E+00  0.00000E+00  0.10126E+03  0.43564E-02  0.39039E-02      8  0.00000E+00      0.000
