 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:39
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -177.706 0.2954   0.1656E+01  0.4098E-03 -0.5516E-01  0.0000E+00      -1  -0.127E-02   20.00  0.1026E-02  0.1231E+00
   2    -3.0000    -174.804 0.2966   0.1721E+01  0.4136E-03 -0.1300E+00  0.0000E+00      -1  -0.299E-02   20.00  0.1039E-02  0.1246E+00
   3    -6.0000    -172.155 0.2977   0.1780E+01  0.4171E-03 -0.2762E+00  0.0000E+00      -1  -0.635E-02   20.00  0.1047E-02  0.1256E+00
   4    -9.0000    -169.732 0.2987   0.1834E+01  0.4202E-03 -0.4142E+00  0.8291E-03      -1  -0.953E-02   20.00  0.1047E-02  0.1257E+00
   5   -12.0000    -167.508 0.2997   0.1883E+01  0.4231E-03 -0.5441E+00  0.8294E-03      -1  -0.125E-01   20.00  0.1039E-02  0.1247E+00
   6   -15.0000    -165.464 0.3005   0.1929E+01  0.4258E-03 -0.6661E+00  0.8297E-03      -1  -0.153E-01   20.00  0.1020E-02  0.1225E+00
   7   -18.0000    -163.579 0.3013   0.1971E+01  0.4282E-03 -0.7800E+00  0.8299E-03      -1  -0.179E-01   20.00  0.9913E-03  0.1191E+00
   8   -21.0000    -161.838 0.3020   0.2010E+01  0.4305E-03 -0.8857E+00  0.8302E-03      -1  -0.204E-01   20.00  0.9585E-03  0.1150E+00
   9   -24.0000    -160.223 0.3027   0.2046E+01  0.4326E-03 -0.9827E+00  0.7908E-03      -1  -0.226E-01   20.00  0.9294E-03  0.1114E+00
  10   -27.0000    -158.720 0.3033   0.2079E+01  0.4345E-03 -0.1072E+01  0.7416E-03      -1  -0.247E-01   20.00  0.9080E-03  0.1088E+00
  11   -30.0000    -157.316 0.3039   0.2111E+01  0.4364E-03 -0.1153E+01  0.6923E-03      -1  -0.265E-01   20.00  0.8948E-03  0.1073E+00
  12   -33.0000    -155.997 0.3045   0.2140E+01  0.4381E-03 -0.1225E+01  0.6429E-03      -1  -0.282E-01   20.00  0.8877E-03  0.1065E+00
  13   -36.0000    -154.752 0.3050   0.2168E+01  0.4397E-03 -0.1289E+01  0.5936E-03      -1  -0.297E-01   20.00  0.8846E-03  0.1061E+00
  14   -39.0000    -153.566 0.3055   0.2194E+01  0.4413E-03 -0.1345E+01  0.5442E-03      -1  -0.310E-01   20.00  0.8836E-03  0.1060E+00
  15   -42.0000    -152.431 0.3059   0.2219E+01  0.4427E-03 -0.1396E+01  0.4948E-03      -1  -0.321E-01   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -151.334 0.3064   0.2255E+01  0.4441E-03 -0.1440E+01  0.4454E-03      -1  -0.331E-01   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -150.258 0.3069   0.2298E+01  0.4453E-03 -0.1477E+01  0.3960E-03      -1  -0.340E-01   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -149.191 0.3074   0.2341E+01  0.4465E-03 -0.1507E+01  0.3465E-03      -1  -0.347E-01   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -148.122 0.3079   0.2383E+01  0.4478E-03 -0.1530E+01  0.2971E-03      -1  -0.352E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -147.043 0.3084   0.2426E+01  0.4490E-03 -0.1546E+01  0.2476E-03      -1  -0.356E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -145.946 0.3089   0.2470E+01  0.4503E-03 -0.1557E+01  0.1981E-03      -1  -0.358E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -144.824 0.3094   0.2515E+01  0.4516E-03 -0.1561E+01  0.1486E-03      -1  -0.359E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -143.669 0.3100   0.2561E+01  0.4529E-03 -0.1558E+01  0.9907E-04      -1  -0.359E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -142.475 0.3105   0.2608E+01  0.4543E-03 -0.1552E+01  0.4954E-04      -1  -0.357E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -141.238 0.3111   0.2658E+01  0.4557E-03 -0.1540E+01  0.0000E+00      -1  -0.354E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -139.952 0.3117   0.2709E+01  0.4572E-03 -0.1524E+01  0.0000E+00      -1  -0.351E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -138.614 0.3123   0.2762E+01  0.4588E-03 -0.1505E+01  0.0000E+00      -1  -0.346E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -137.220 0.3130   0.2818E+01  0.4604E-03 -0.1481E+01  0.0000E+00      -1  -0.341E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -135.768 0.3136   0.2876E+01  0.4621E-03 -0.1455E+01  0.0000E+00      -1  -0.335E-01   20.00  0.8834E-03  0.1060E+00
  30   -87.0000    -134.256 0.3143   0.2936E+01  0.4638E-03 -0.1426E+01  0.0000E+00      -1  -0.328E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -132.683 0.3151   0.2999E+01  0.4656E-03 -0.1395E+01  0.0000E+00      -1  -0.321E-01   20.00  0.8834E-03  0.1060E+00
  32   -93.0000    -131.048 0.3158   0.3064E+01  0.4675E-03 -0.1362E+01  0.0000E+00      -1  -0.313E-01   20.00  0.8834E-03  0.1060E+00
  33   -96.0000    -129.351 0.3166   0.3131E+01  0.4695E-03 -0.1329E+01  0.0000E+00      -1  -0.306E-01   20.00  0.8834E-03  0.1060E+00
  34   -99.0000    -127.594 0.3174   0.3201E+01  0.4715E-03 -0.1294E+01  0.0000E+00      -1  -0.298E-01   20.00  0.8834E-03  0.1060E+00
  35  -102.0000    -125.776 0.3183   0.3274E+01  0.4736E-03 -0.1258E+01  0.0000E+00      -1  -0.289E-01   20.00  0.8834E-03  0.1060E+00
  36  -105.0000    -123.899 0.3191   0.3349E+01  0.4758E-03 -0.1222E+01  0.0000E+00      -1  -0.281E-01   20.00  0.8834E-03  0.1060E+00
  37  -108.0000    -121.966 0.3200   0.3426E+01  0.4780E-03 -0.1186E+01  0.0000E+00      -1  -0.273E-01   20.00  0.8834E-03  0.1060E+00
  38  -111.0000    -119.975 0.3209   0.3517E+01  0.4801E-03 -0.1149E+01  0.0000E+00      -1  -0.264E-01   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -117.921 0.3220   0.3653E+01  0.4816E-03 -0.1111E+01  0.0000E+00      -1  -0.256E-01   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -115.801 0.3230   0.3793E+01  0.4831E-03 -0.1074E+01  0.0000E+00      -1  -0.247E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -113.621 0.3241   0.3937E+01  0.4846E-03 -0.1038E+01  0.0000E+00      -1  -0.239E-01   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -111.383 0.3252   0.4084E+01  0.4862E-03 -0.1001E+01  0.0000E+00      -1  -0.230E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -109.092 0.3263   0.4235E+01  0.4878E-03 -0.9652E+00  0.0000E+00      -1  -0.222E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -106.751 0.3274   0.4390E+01  0.4895E-03 -0.9310E+00  0.0000E+00      -1  -0.214E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -104.365 0.3286   0.4547E+01  0.4912E-03 -0.8977E+00  0.0000E+00      -1  -0.207E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -101.936 0.3298   0.4708E+01  0.4929E-03 -0.8650E+00  0.0000E+00      -1  -0.199E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -99.468 0.3310   0.4870E+01  0.4947E-03 -0.8341E+00  0.0000E+00      -1  -0.192E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -96.964 0.3322   0.5036E+01  0.4964E-03 -0.8042E+00  0.0000E+00      -1  -0.185E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -94.425 0.3335   0.5240E+01  0.4975E-03 -0.7752E+00  0.0000E+00      -1  -0.178E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -91.850 0.3348   0.5501E+01  0.4974E-03 -0.7476E+00  0.0000E+00      -1  -0.172E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -89.241 0.3361   0.5767E+01  0.4972E-03 -0.7212E+00  0.0000E+00      -1  -0.166E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -86.601 0.3374   0.6035E+01  0.4971E-03 -0.6955E+00  0.0000E+00      -1  -0.160E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -83.933 0.3387   0.6306E+01  0.4970E-03 -0.6711E+00  0.0000E+00      -1  -0.154E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -81.240 0.3400   0.6580E+01  0.4969E-03 -0.6476E+00  0.0000E+00      -1  -0.149E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -78.524 0.3414   0.6855E+01  0.4967E-03 -0.6257E+00  0.0000E+00      -1  -0.144E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -75.788 0.3428   0.7133E+01  0.4966E-03 -0.6059E+00  0.0000E+00      -1  -0.139E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -73.032 0.3441   0.7531E+01  0.4939E-03 -0.5857E+00  0.0000E+00      -1  -0.135E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -70.255 0.3455   0.7939E+01  0.4909E-03 -0.5671E+00  0.0000E+00      -1  -0.130E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -67.461 0.3468   0.8349E+01  0.4880E-03 -0.5505E+00  0.0000E+00      -1  -0.127E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -64.651 0.3482   0.8761E+01  0.4850E-03 -0.5340E+00  0.0000E+00      -1  -0.123E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -61.827 0.3496   0.9176E+01  0.4820E-03 -0.5187E+00  0.0000E+00      -1  -0.119E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -58.990 0.3510   0.9644E+01  0.4779E-03 -0.5055E+00  0.0000E+00      -1  -0.116E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -56.141 0.3523   0.1022E+02  0.4715E-03 -0.4914E+00  0.0000E+00      -1  -0.113E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -53.279 0.3536   0.1079E+02  0.4651E-03 -0.4797E+00  0.0000E+00      -1  -0.110E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -50.408 0.3550   0.1137E+02  0.4587E-03 -0.4693E+00  0.0000E+00      -1  -0.108E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -47.527 0.3563   0.1194E+02  0.4522E-03 -0.4570E+00  0.0000E+00      -1  -0.105E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -44.637 0.3576   0.1270E+02  0.4421E-03 -0.4461E+00  0.0000E+00      -1  -0.103E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -41.738 0.3589   0.1346E+02  0.4319E-03 -0.4393E+00  0.0000E+00      -1  -0.101E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -38.833 0.3601   0.1422E+02  0.4217E-03 -0.4318E+00  0.0000E+00      -1  -0.993E-02   20.00  0.8833E-03  0.1060E+00
