 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:58: 5
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.13293E-01  0.65386E-01  0.13296E-01  0.64910E-01 -0.36641E+01  0.13293E-03  0.65386E-03  0.13296E-03  0.64910E-03 -0.36641E-01 -0.18238E+03 -0.14643E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10267E+03  0.78931E-06  0.13375E-03      1  0.00000E+00      0.000
       0.0230  0.12955E-01  0.65386E-01  0.12957E-01  0.64906E-01 -0.32755E+01  0.30135E-03  0.15039E-02  0.30140E-03  0.14929E-02 -0.79223E-01 -0.18287E+03 -0.14682E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10263E+03  0.62097E-05  0.30761E-03      2  0.00000E+00      0.000
       0.0399  0.12122E-01  0.65386E-01  0.12124E-01  0.64901E-01 -0.29354E+01  0.50622E-03  0.26089E-02  0.50629E-03  0.25897E-02 -0.12883E+00 -0.18356E+03 -0.14740E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10258E+03  0.27342E-04  0.53363E-03      3  0.00000E+00      0.000
       0.0619  0.10388E-01  0.65386E-01  0.10389E-01  0.64894E-01 -0.27134E+01  0.73444E-03  0.40454E-02  0.73454E-03  0.40154E-02 -0.18844E+00 -0.18440E+03 -0.14810E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10252E+03  0.92912E-04  0.82745E-03      4  0.00000E+00      0.000
       0.0904  0.70873E-02  0.65386E-01  0.70852E-02  0.64885E-01 -0.25100E+01  0.93686E-03  0.59129E-02  0.93690E-03  0.58686E-02 -0.26013E+00 -0.18545E+03 -0.14902E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10244E+03  0.27242E-03  0.12093E-02      5  0.00000E+00      0.000
       0.1276  0.11980E-02  0.65386E-01  0.11983E-02  0.64873E-01 -0.23296E+01  0.98134E-03  0.83406E-02  0.98139E-03  0.82773E-02 -0.34663E+00 -0.18672E+03 -0.15016E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10235E+03  0.72444E-03  0.17058E-02      6  0.00000E+00      0.000
       0.1758 -0.86538E-02  0.65386E-01 -0.86504E-02  0.64859E-01 -0.21541E+01  0.56364E-03  0.11497E-01  0.56385E-03  0.11408E-01 -0.45060E+00 -0.18825E+03 -0.15160E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10225E+03  0.17874E-02  0.23513E-02      7  0.00000E+00      0.000
       0.2258 -0.20576E-01  0.65386E-01 -0.20574E-01  0.64844E-01 -0.20097E+01 -0.46516E-03  0.14766E-01 -0.46485E-03  0.14650E-01 -0.55109E+00 -0.18971E+03 -0.15303E+03  0.60178E+02  0.00000E+00  0.00000E+00  0.10214E+03  0.34848E-02  0.30199E-02      8  0.00000E+00      0.000
