 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57: 0
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -166.623 0.3000   0.1903E+01  0.4243E-03 -0.4130E-01  0.0000E+00      -1  -0.950E-03   20.00  0.1085E-02  0.1301E+00
   2    -3.0000    -163.687 0.3012   0.1969E+01  0.4281E-03 -0.1109E+00  0.0000E+00      -1  -0.255E-02   20.00  0.1088E-02  0.1308E+00
   3    -6.0000    -160.958 0.3024   0.2029E+01  0.4316E-03 -0.2477E+00  0.0000E+00      -1  -0.570E-02   20.00  0.1053E-02  0.1263E+00
   4    -9.0000    -158.417 0.3034   0.2086E+01  0.4349E-03 -0.3771E+00  0.7638E-03      -1  -0.868E-02   20.00  0.1045E-02  0.1255E+00
   5   -12.0000    -156.041 0.3044   0.2139E+01  0.4380E-03 -0.4985E+00  0.7640E-03      -1  -0.115E-01   20.00  0.1035E-02  0.1242E+00
   6   -15.0000    -153.814 0.3054   0.2189E+01  0.4409E-03 -0.6153E+00  0.7643E-03      -1  -0.142E-01   20.00  0.1018E-02  0.1222E+00
   7   -18.0000    -151.726 0.3063   0.2240E+01  0.4436E-03 -0.7315E+00  0.7645E-03      -1  -0.168E-01   20.00  0.9941E-03  0.1194E+00
   8   -21.0000    -149.766 0.3072   0.2318E+01  0.4459E-03 -0.8440E+00  0.7647E-03      -1  -0.194E-01   20.00  0.9670E-03  0.1160E+00
   9   -24.0000    -147.910 0.3080   0.2392E+01  0.4480E-03 -0.9489E+00  0.7569E-03      -1  -0.218E-01   20.00  0.9410E-03  0.1129E+00
  10   -27.0000    -146.146 0.3088   0.2462E+01  0.4501E-03 -0.1047E+01  0.7172E-03      -1  -0.241E-01   20.00  0.9191E-03  0.1102E+00
  11   -30.0000    -144.460 0.3096   0.2529E+01  0.4520E-03 -0.1137E+01  0.6775E-03      -1  -0.262E-01   20.00  0.9030E-03  0.1083E+00
  12   -33.0000    -142.843 0.3104   0.2594E+01  0.4539E-03 -0.1221E+01  0.6378E-03      -1  -0.281E-01   20.00  0.8922E-03  0.1070E+00
  13   -36.0000    -141.284 0.3111   0.2656E+01  0.4557E-03 -0.1297E+01  0.5980E-03      -1  -0.299E-01   20.00  0.8861E-03  0.1063E+00
  14   -39.0000    -139.774 0.3118   0.2716E+01  0.4574E-03 -0.1368E+01  0.5582E-03      -1  -0.315E-01   20.00  0.8839E-03  0.1060E+00
  15   -42.0000    -138.306 0.3125   0.2775E+01  0.4591E-03 -0.1432E+01  0.5185E-03      -1  -0.330E-01   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -136.871 0.3131   0.2832E+01  0.4608E-03 -0.1490E+01  0.4787E-03      -1  -0.343E-01   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -135.463 0.3138   0.2888E+01  0.4624E-03 -0.1542E+01  0.4388E-03      -1  -0.355E-01   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -134.075 0.3144   0.2943E+01  0.4640E-03 -0.1588E+01  0.3990E-03      -1  -0.365E-01   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -132.700 0.3151   0.2998E+01  0.4656E-03 -0.1628E+01  0.3591E-03      -1  -0.375E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -131.334 0.3157   0.3052E+01  0.4672E-03 -0.1665E+01  0.3193E-03      -1  -0.383E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -129.972 0.3163   0.3107E+01  0.4688E-03 -0.1695E+01  0.2794E-03      -1  -0.390E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -128.608 0.3169   0.3161E+01  0.4703E-03 -0.1721E+01  0.2395E-03      -1  -0.396E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -127.238 0.3176   0.3216E+01  0.4719E-03 -0.1742E+01  0.1996E-03      -1  -0.401E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -125.859 0.3182   0.3271E+01  0.4735E-03 -0.1760E+01  0.1597E-03      -1  -0.405E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -124.466 0.3189   0.3326E+01  0.4751E-03 -0.1773E+01  0.1198E-03      -1  -0.408E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -123.058 0.3195   0.3382E+01  0.4768E-03 -0.1784E+01  0.7988E-04      -1  -0.410E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -121.630 0.3202   0.3439E+01  0.4784E-03 -0.1790E+01  0.3995E-04      -1  -0.412E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -120.179 0.3208   0.3504E+01  0.4800E-03 -0.1793E+01  0.0000E+00      -1  -0.413E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -118.694 0.3216   0.3602E+01  0.4810E-03 -0.1794E+01  0.0000E+00      -1  -0.413E-01   20.00  0.8834E-03  0.1060E+00
  30   -87.0000    -117.168 0.3223   0.3703E+01  0.4821E-03 -0.1793E+01  0.0000E+00      -1  -0.412E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -115.599 0.3231   0.3806E+01  0.4832E-03 -0.1788E+01  0.0000E+00      -1  -0.411E-01   20.00  0.8834E-03  0.1060E+00
  32   -93.0000    -113.986 0.3239   0.3913E+01  0.4844E-03 -0.1781E+01  0.0000E+00      -1  -0.410E-01   20.00  0.8834E-03  0.1060E+00
  33   -96.0000    -112.330 0.3247   0.4022E+01  0.4855E-03 -0.1772E+01  0.0000E+00      -1  -0.408E-01   20.00  0.8834E-03  0.1060E+00
  34   -99.0000    -110.630 0.3255   0.4134E+01  0.4868E-03 -0.1762E+01  0.0000E+00      -1  -0.405E-01   20.00  0.8834E-03  0.1060E+00
  35  -102.0000    -108.887 0.3264   0.4249E+01  0.4880E-03 -0.1750E+01  0.0000E+00      -1  -0.403E-01   20.00  0.8834E-03  0.1060E+00
  36  -105.0000    -107.101 0.3273   0.4367E+01  0.4893E-03 -0.1736E+01  0.0000E+00      -1  -0.400E-01   20.00  0.8834E-03  0.1060E+00
  37  -108.0000    -105.273 0.3281   0.4487E+01  0.4906E-03 -0.1722E+01  0.0000E+00      -1  -0.396E-01   20.00  0.8834E-03  0.1060E+00
  38  -111.0000    -103.404 0.3291   0.4611E+01  0.4919E-03 -0.1707E+01  0.0000E+00      -1  -0.393E-01   20.00  0.8834E-03  0.1060E+00
  39  -114.0000    -101.494 0.3300   0.4737E+01  0.4932E-03 -0.1690E+01  0.0000E+00      -1  -0.389E-01   20.00  0.8834E-03  0.1060E+00
  40  -117.0000     -99.545 0.3310   0.4865E+01  0.4946E-03 -0.1673E+01  0.0000E+00      -1  -0.385E-01   20.00  0.8834E-03  0.1060E+00
  41  -120.0000     -97.558 0.3319   0.4996E+01  0.4960E-03 -0.1656E+01  0.0000E+00      -1  -0.381E-01   20.00  0.8834E-03  0.1060E+00
  42  -123.0000     -95.534 0.3329   0.5130E+01  0.4975E-03 -0.1639E+01  0.0000E+00      -1  -0.377E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -93.469 0.3339   0.5337E+01  0.4974E-03 -0.1621E+01  0.0000E+00      -1  -0.373E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -91.357 0.3350   0.5552E+01  0.4973E-03 -0.1603E+01  0.0000E+00      -1  -0.369E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -89.202 0.3361   0.5771E+01  0.4972E-03 -0.1586E+01  0.0000E+00      -1  -0.365E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -87.007 0.3372   0.5994E+01  0.4971E-03 -0.1569E+01  0.0000E+00      -1  -0.361E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -84.773 0.3383   0.6221E+01  0.4970E-03 -0.1551E+01  0.0000E+00      -1  -0.357E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -82.503 0.3394   0.6451E+01  0.4969E-03 -0.1533E+01  0.0000E+00      -1  -0.353E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -80.199 0.3406   0.6685E+01  0.4968E-03 -0.1516E+01  0.0000E+00      -1  -0.349E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -77.864 0.3417   0.6923E+01  0.4967E-03 -0.1500E+01  0.0000E+00      -1  -0.345E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -75.499 0.3429   0.7170E+01  0.4965E-03 -0.1483E+01  0.0000E+00      -1  -0.341E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -73.101 0.3441   0.7521E+01  0.4939E-03 -0.1467E+01  0.0000E+00      -1  -0.338E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -70.670 0.3453   0.7878E+01  0.4914E-03 -0.1454E+01  0.0000E+00      -1  -0.335E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -68.209 0.3465   0.8239E+01  0.4888E-03 -0.1440E+01  0.0000E+00      -1  -0.331E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -65.719 0.3477   0.8605E+01  0.4861E-03 -0.1425E+01  0.0000E+00      -1  -0.328E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -63.203 0.3489   0.8974E+01  0.4835E-03 -0.1411E+01  0.0000E+00      -1  -0.325E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -60.663 0.3502   0.9346E+01  0.4808E-03 -0.1399E+01  0.0000E+00      -1  -0.322E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -58.099 0.3514   0.9822E+01  0.4759E-03 -0.1387E+01  0.0000E+00      -1  -0.319E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -55.510 0.3526   0.1034E+02  0.4701E-03 -0.1375E+01  0.0000E+00      -1  -0.316E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -52.897 0.3538   0.1087E+02  0.4643E-03 -0.1365E+01  0.0000E+00      -1  -0.314E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -50.264 0.3550   0.1139E+02  0.4584E-03 -0.1355E+01  0.0000E+00      -1  -0.312E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -47.611 0.3563   0.1193E+02  0.4524E-03 -0.1345E+01  0.0000E+00      -1  -0.310E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -44.939 0.3575   0.1262E+02  0.4432E-03 -0.1337E+01  0.0000E+00      -1  -0.308E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -42.247 0.3586   0.1333E+02  0.4337E-03 -0.1327E+01  0.0000E+00      -1  -0.305E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -39.537 0.3598   0.1404E+02  0.4242E-03 -0.1320E+01  0.0000E+00      -1  -0.304E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -36.811 0.3610   0.1481E+02  0.4135E-03 -0.1313E+01  0.0000E+00      -1  -0.302E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -34.068 0.3621   0.1572E+02  0.4002E-03 -0.1306E+01  0.0000E+00      -1  -0.301E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -31.310 0.3632   0.1663E+02  0.3869E-03 -0.1301E+01  0.0000E+00      -1  -0.299E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -28.537 0.3642   0.1765E+02  0.3718E-03 -0.1295E+01  0.0000E+00      -1  -0.298E-01   20.00  0.8833E-03  0.1060E+00
