 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:56: 0
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.14146E+00  0.10541E-01  0.14146E+00  0.10400E-01 -0.44969E+00  0.14146E-02  0.10541E-03  0.14146E-02  0.10400E-03 -0.44969E-02 -0.20205E+03 -0.18964E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99481E+02  0.39465E-04  0.14541E-02      1  0.00000E+00      0.000
       0.0200  0.12964E+00  0.10541E-01  0.12964E+00  0.10399E-01 -0.47235E+00  0.27110E-02  0.21082E-03  0.27110E-02  0.20799E-03 -0.92204E-02 -0.20284E+03 -0.19030E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99474E+02  0.19717E-03  0.29082E-02      2  0.00000E+00      0.000
       0.0330  0.10257E+00  0.10541E-01  0.10258E+00  0.10397E-01 -0.49512E+00  0.40444E-02  0.34785E-03  0.40445E-02  0.34315E-03 -0.15657E-01 -0.20383E+03 -0.19126E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99467E+02  0.75407E-03  0.47985E-02      3  0.00000E+00      0.000
       0.0499  0.47910E-01  0.10541E-01  0.47912E-01  0.10394E-01 -0.51281E+00  0.48541E-02  0.52600E-03  0.48542E-02  0.51881E-03 -0.24323E-01 -0.20470E+03 -0.19230E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99457E+02  0.24018E-02  0.72560E-02      4  0.00000E+00      0.000
       0.0719 -0.55068E-01  0.10541E-01 -0.55069E-01  0.10392E-01 -0.53204E+00  0.36443E-02  0.75758E-03  0.36443E-02  0.74712E-03 -0.36012E-01 -0.20528E+03 -0.19341E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99446E+02  0.68063E-02  0.10451E-01      5  0.00000E+00      0.000
       0.1004 -0.23975E+00  0.10541E-01 -0.23975E+00  0.10390E-01 -0.55315E+00 -0.32032E-02  0.10586E-02 -0.32031E-02  0.10439E-02 -0.51811E-01 -0.20496E+03 -0.19427E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99437E+02  0.17807E-01  0.14604E-01      6  0.00000E+00      0.000
       0.1376 -0.55627E+00  0.10541E-01 -0.55627E+00  0.10390E-01 -0.57763E+00 -0.23857E-01  0.14500E-02 -0.23857E-01  0.14296E-02 -0.73258E-01 -0.20276E+03 -0.19433E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99436E+02  0.43860E-01  0.20003E-01      7  0.00000E+00      0.000
       0.1858 -0.10699E+01  0.10541E-01 -0.10699E+01  0.10395E-01 -0.60543E+00 -0.75497E-01  0.19588E-02 -0.75497E-01  0.19314E-02 -0.10248E+00 -0.19711E+03 -0.19249E+03  0.39411E+02  0.00000E+00  0.00000E+00  0.99458E+02  0.10252E+00  0.27021E-01      8  0.00000E+00      0.000
