 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:26:15
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -164.079 0.3011   0.1960E+01  0.4276E-03 -0.5313E-01  0.0000E+00      -1  -0.122E-02   20.00  0.8548E-03  0.1025E+00
   2    -3.0000    -161.159 0.3023   0.2025E+01  0.4314E-03 -0.1232E+00  0.0000E+00      -1  -0.283E-02   20.00  0.8660E-03  0.1039E+00
   3    -6.0000    -158.441 0.3034   0.2085E+01  0.4349E-03 -0.2608E+00  0.0000E+00      -1  -0.600E-02   20.00  0.8750E-03  0.1050E+00
   4    -9.0000    -155.907 0.3045   0.2142E+01  0.4382E-03 -0.3922E+00  0.1182E-02      -1  -0.902E-02   20.00  0.8796E-03  0.1056E+00
   5   -12.0000    -153.538 0.3055   0.2195E+01  0.4413E-03 -0.5195E+00  0.1182E-02      -1  -0.120E-01   20.00  0.8821E-03  0.1059E+00
   6   -15.0000    -151.324 0.3064   0.2256E+01  0.4441E-03 -0.6468E+00  0.1182E-02      -1  -0.149E-01   20.00  0.8831E-03  0.1060E+00
   7   -18.0000    -149.252 0.3074   0.2338E+01  0.4465E-03 -0.7705E+00  0.1183E-02      -1  -0.177E-01   20.00  0.8833E-03  0.1060E+00
   8   -21.0000    -147.300 0.3083   0.2416E+01  0.4487E-03 -0.8878E+00  0.1150E-02      -1  -0.204E-01   20.00  0.8833E-03  0.1060E+00
   9   -24.0000    -145.456 0.3092   0.2490E+01  0.4509E-03 -0.9989E+00  0.1068E-02      -1  -0.230E-01   20.00  0.8833E-03  0.1060E+00
  10   -27.0000    -143.707 0.3100   0.2559E+01  0.4529E-03 -0.1104E+01  0.9862E-03      -1  -0.254E-01   20.00  0.8833E-03  0.1060E+00
  11   -30.0000    -142.043 0.3107   0.2626E+01  0.4548E-03 -0.1202E+01  0.9042E-03      -1  -0.276E-01   20.00  0.8833E-03  0.1060E+00
  12   -33.0000    -140.453 0.3115   0.2689E+01  0.4566E-03 -0.1293E+01  0.8222E-03      -1  -0.297E-01   20.00  0.8833E-03  0.1060E+00
  13   -36.0000    -138.928 0.3122   0.2750E+01  0.4584E-03 -0.1379E+01  0.7401E-03      -1  -0.317E-01   20.00  0.8833E-03  0.1060E+00
  14   -39.0000    -137.462 0.3128   0.2808E+01  0.4601E-03 -0.1459E+01  0.6580E-03      -1  -0.336E-01   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -136.046 0.3135   0.2865E+01  0.4617E-03 -0.1533E+01  0.5758E-03      -1  -0.353E-01   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -134.674 0.3141   0.2919E+01  0.4633E-03 -0.1602E+01  0.4936E-03      -1  -0.369E-01   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -133.339 0.3148   0.2972E+01  0.4649E-03 -0.1665E+01  0.4114E-03      -1  -0.383E-01   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -132.035 0.3154   0.3024E+01  0.4664E-03 -0.1723E+01  0.3292E-03      -1  -0.396E-01   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -130.757 0.3159   0.3075E+01  0.4679E-03 -0.1775E+01  0.2469E-03      -1  -0.409E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -129.499 0.3165   0.3125E+01  0.4693E-03 -0.1824E+01  0.1646E-03      -1  -0.420E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -128.258 0.3171   0.3175E+01  0.4708E-03 -0.1867E+01  0.8232E-04      -1  -0.430E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -127.028 0.3177   0.3224E+01  0.4722E-03 -0.1906E+01  0.0000E+00      -1  -0.439E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -125.805 0.3182   0.3273E+01  0.4736E-03 -0.1941E+01  0.0000E+00      -1  -0.447E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -124.586 0.3188   0.3321E+01  0.4750E-03 -0.1971E+01  0.0000E+00      -1  -0.454E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -123.366 0.3194   0.3370E+01  0.4764E-03 -0.1997E+01  0.0000E+00      -1  -0.460E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -122.142 0.3199   0.3419E+01  0.4778E-03 -0.2020E+01  0.0000E+00      -1  -0.465E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -120.911 0.3205   0.3468E+01  0.4792E-03 -0.2039E+01  0.0000E+00      -1  -0.469E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -119.664 0.3211   0.3538E+01  0.4803E-03 -0.2055E+01  0.0000E+00      -1  -0.473E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -118.393 0.3217   0.3622E+01  0.4812E-03 -0.2068E+01  0.0000E+00      -1  -0.476E-01   20.00  0.8834E-03  0.1060E+00
  30   -87.0000    -117.090 0.3224   0.3708E+01  0.4822E-03 -0.2078E+01  0.0000E+00      -1  -0.478E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -115.756 0.3230   0.3796E+01  0.4831E-03 -0.2086E+01  0.0000E+00      -1  -0.480E-01   20.00  0.8834E-03  0.1060E+00
  32   -93.0000    -114.388 0.3237   0.3886E+01  0.4841E-03 -0.2092E+01  0.0000E+00      -1  -0.481E-01   20.00  0.8834E-03  0.1060E+00
  33   -96.0000    -112.986 0.3244   0.3979E+01  0.4851E-03 -0.2095E+01  0.0000E+00      -1  -0.482E-01   20.00  0.8834E-03  0.1060E+00
  34   -99.0000    -111.547 0.3251   0.4073E+01  0.4861E-03 -0.2095E+01  0.0000E+00      -1  -0.482E-01   20.00  0.8834E-03  0.1060E+00
  35  -102.0000    -110.072 0.3258   0.4171E+01  0.4871E-03 -0.2095E+01  0.0000E+00      -1  -0.482E-01   20.00  0.8834E-03  0.1060E+00
  36  -105.0000    -108.561 0.3265   0.4271E+01  0.4882E-03 -0.2093E+01  0.0000E+00      -1  -0.481E-01   20.00  0.8834E-03  0.1060E+00
  37  -108.0000    -107.012 0.3273   0.4373E+01  0.4893E-03 -0.2088E+01  0.0000E+00      -1  -0.480E-01   20.00  0.8834E-03  0.1060E+00
  38  -111.0000    -105.426 0.3281   0.4477E+01  0.4904E-03 -0.2083E+01  0.0000E+00      -1  -0.479E-01   20.00  0.8834E-03  0.1060E+00
  39  -114.0000    -103.803 0.3289   0.4584E+01  0.4916E-03 -0.2076E+01  0.0000E+00      -1  -0.478E-01   20.00  0.8834E-03  0.1060E+00
  40  -117.0000    -102.143 0.3297   0.4694E+01  0.4928E-03 -0.2068E+01  0.0000E+00      -1  -0.476E-01   20.00  0.8834E-03  0.1060E+00
  41  -120.0000    -100.447 0.3305   0.4806E+01  0.4940E-03 -0.2061E+01  0.0000E+00      -1  -0.474E-01   20.00  0.8834E-03  0.1060E+00
  42  -123.0000     -98.716 0.3314   0.4920E+01  0.4952E-03 -0.2052E+01  0.0000E+00      -1  -0.472E-01   20.00  0.8834E-03  0.1060E+00
  43  -126.0000     -96.949 0.3322   0.5037E+01  0.4965E-03 -0.2041E+01  0.0000E+00      -1  -0.470E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -95.146 0.3331   0.5167E+01  0.4975E-03 -0.2030E+01  0.0000E+00      -1  -0.467E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -93.301 0.3340   0.5354E+01  0.4974E-03 -0.2020E+01  0.0000E+00      -1  -0.465E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -91.410 0.3350   0.5546E+01  0.4973E-03 -0.2008E+01  0.0000E+00      -1  -0.462E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -89.474 0.3359   0.5743E+01  0.4972E-03 -0.1997E+01  0.0000E+00      -1  -0.460E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -87.497 0.3369   0.5944E+01  0.4972E-03 -0.1986E+01  0.0000E+00      -1  -0.457E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -85.479 0.3379   0.6149E+01  0.4971E-03 -0.1974E+01  0.0000E+00      -1  -0.454E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -83.424 0.3390   0.6358E+01  0.4970E-03 -0.1963E+01  0.0000E+00      -1  -0.452E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -81.332 0.3400   0.6570E+01  0.4969E-03 -0.1951E+01  0.0000E+00      -1  -0.449E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -79.206 0.3411   0.6786E+01  0.4968E-03 -0.1941E+01  0.0000E+00      -1  -0.446E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -77.048 0.3421   0.7005E+01  0.4967E-03 -0.1929E+01  0.0000E+00      -1  -0.444E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -74.856 0.3432   0.7264E+01  0.4958E-03 -0.1918E+01  0.0000E+00      -1  -0.441E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -72.629 0.3443   0.7591E+01  0.4934E-03 -0.1907E+01  0.0000E+00      -1  -0.439E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -70.364 0.3454   0.7923E+01  0.4910E-03 -0.1897E+01  0.0000E+00      -1  -0.436E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -68.066 0.3465   0.8260E+01  0.4886E-03 -0.1888E+01  0.0000E+00      -1  -0.434E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -65.736 0.3477   0.8602E+01  0.4862E-03 -0.1877E+01  0.0000E+00      -1  -0.432E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -63.376 0.3488   0.8948E+01  0.4837E-03 -0.1868E+01  0.0000E+00      -1  -0.430E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -60.989 0.3500   0.9299E+01  0.4811E-03 -0.1858E+01  0.0000E+00      -1  -0.428E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -58.573 0.3512   0.9727E+01  0.4770E-03 -0.1850E+01  0.0000E+00      -1  -0.426E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -56.129 0.3523   0.1022E+02  0.4715E-03 -0.1843E+01  0.0000E+00      -1  -0.424E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -53.656 0.3535   0.1071E+02  0.4660E-03 -0.1835E+01  0.0000E+00      -1  -0.422E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -51.157 0.3546   0.1122E+02  0.4604E-03 -0.1829E+01  0.0000E+00      -1  -0.421E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -48.635 0.3558   0.1172E+02  0.4547E-03 -0.1821E+01  0.0000E+00      -1  -0.419E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -46.088 0.3570   0.1232E+02  0.4472E-03 -0.1815E+01  0.0000E+00      -1  -0.418E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -43.518 0.3581   0.1299E+02  0.4382E-03 -0.1809E+01  0.0000E+00      -1  -0.416E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -40.924 0.3592   0.1367E+02  0.4290E-03 -0.1804E+01  0.0000E+00      -1  -0.415E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -38.310 0.3603   0.1436E+02  0.4199E-03 -0.1800E+01  0.0000E+00      -1  -0.414E-01   20.00  0.8833E-03  0.1060E+00
