 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:26:21
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -216.09  0.2808  0.1363E-01  0.9070E-03       -195.42  0.2882 -0.4670E-01  0.9084E-03       -178.34  0.2951 -0.1101E+00  0.8833E-03
          0.0200     -216.18  0.2807  0.1322E-01  0.9069E-03       -195.51  0.2882 -0.4728E-01  0.9083E-03       -178.45  0.2951 -0.1116E+00  0.8833E-03
          0.0330     -216.31  0.2807  0.1227E-01  0.9069E-03       -195.66  0.2881 -0.4850E-01  0.9083E-03       -178.62  0.2950 -0.1135E+00  0.8833E-03
          0.0499     -216.47  0.2806  0.1036E-01  0.9069E-03       -195.85  0.2881 -0.4997E-01  0.9083E-03       -178.83  0.2949 -0.1155E+00  0.8833E-03
          0.0719     -216.67  0.2806  0.6751E-02  0.9068E-03       -196.09  0.2880 -0.5216E-01  0.9083E-03       -179.10  0.2948 -0.1175E+00  0.8833E-03
          0.1004     -216.90  0.2805  0.2930E-03  0.9068E-03       -196.40  0.2879 -0.5533E-01  0.9084E-03       -179.45  0.2947 -0.1195E+00  0.8833E-03
          0.1376     -217.15  0.2804 -0.1079E-01  0.9067E-03       -196.79  0.2877 -0.6024E-01  0.9084E-03       -179.89  0.2945 -0.1213E+00  0.8833E-03
          0.1858     -217.38  0.2803 -0.2877E-01  0.9067E-03       -197.25  0.2875 -0.6806E-01  0.9084E-03       -180.42  0.2943 -0.1232E+00  0.8833E-03
          0.2358     -217.52  0.2802 -0.5001E-01  0.9066E-03       -197.67  0.2874 -0.7788E-01  0.9084E-03       -180.93  0.2941 -0.1250E+00  0.8833E-03
          0.2858     -217.83  0.2801 -0.5040E-01  0.9066E-03       -198.08  0.2873 -0.8398E-01  0.9084E-03       -181.39  0.2939 -0.1259E+00  0.8833E-03
          0.3358     -218.63  0.2799 -0.2491E-01  0.9067E-03       -198.76  0.2870 -0.8118E-01  0.9084E-03       -182.01  0.2936 -0.1175E+00  0.8833E-03
          0.3858     -219.84  0.2794 -0.3839E-02  0.9068E-03       -199.90  0.2866 -0.7173E-01  0.9084E-03       -182.94  0.2932 -0.9497E-01  0.8834E-03
          0.4358     -221.36  0.2789  0.1076E-01  0.9069E-03       -201.34  0.2861 -0.5876E-01  0.9085E-03       -184.09  0.2927 -0.6406E-01  0.8834E-03
          0.4858     -223.04  0.2783  0.1745E-01  0.9070E-03       -202.96  0.2855 -0.4443E-01  0.9085E-03       -185.38  0.2922 -0.3041E-01  0.8834E-03
          0.5358     -224.70  0.2777  0.1559E-01  0.9070E-03       -204.58  0.2849 -0.3120E-01  0.9085E-03       -186.69  0.2916  0.1417E-02  0.8834E-03
          0.5858     -226.16  0.2771  0.5341E-02  0.9069E-03       -206.05  0.2844 -0.2060E-01  0.9085E-03       -187.91  0.2911  0.2633E-01  0.8834E-03
          0.6358     -227.28  0.2767 -0.1228E-01  0.9068E-03       -207.21  0.2840 -0.1403E-01  0.9085E-03       -188.93  0.2907  0.4136E-01  0.8834E-03
          0.6858     -227.95  0.2765 -0.3555E-01  0.9067E-03       -207.95  0.2837 -0.1265E-01  0.9084E-03       -189.65  0.2904  0.4528E-01  0.8834E-03
          0.7358     -228.10  0.2764 -0.6219E-01  0.9065E-03       -208.20  0.2836 -0.1649E-01  0.9084E-03       -190.01  0.2902  0.3591E-01  0.8834E-03
          0.7858     -228.31  0.2764 -0.4060E-01  0.9066E-03       -208.05  0.2836 -0.1590E-01  0.9084E-03       -190.01  0.2902  0.1767E-01  0.8833E-03
          0.8358     -228.57  0.2763 -0.2028E-01  0.9067E-03       -208.07  0.2837 -0.1361E-01  0.9084E-03       -190.09  0.2902  0.7900E-02  0.8833E-03
          0.8858     -228.87  0.2762 -0.3480E-02  0.9068E-03       -208.13  0.2836 -0.9575E-02  0.9084E-03       -190.18  0.2902  0.1843E-02  0.8833E-03
          0.9358     -229.19  0.2760  0.8156E-02  0.9069E-03       -208.27  0.2836 -0.5346E-02  0.9084E-03       -190.31  0.2901 -0.7263E-03  0.8833E-03
          0.9679     -229.37  0.2760  0.1235E-01  0.9069E-03       -208.37  0.2835 -0.2842E-02  0.9084E-03       -190.39  0.2901 -0.1620E-02  0.8833E-03
          1.0000     -229.53  0.2759  0.1377E-01  0.9070E-03       -208.49  0.2835 -0.8555E-03  0.9084E-03       -190.50  0.2901 -0.1761E-02  0.8833E-03
end
