 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27: 3
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -170.046 0.2986   0.1827E+01  0.4198E-03 -0.6693E-01  0.0000E+00      -1  -0.154E-02   20.00  0.8373E-03  0.1004E+00
   2    -3.0000    -167.154 0.2998   0.1891E+01  0.4236E-03 -0.1442E+00  0.0000E+00      -1  -0.332E-02   20.00  0.8525E-03  0.1023E+00
   3    -6.0000    -164.500 0.3009   0.1950E+01  0.4270E-03 -0.2963E+00  0.0000E+00      -1  -0.682E-02   20.00  0.8650E-03  0.1038E+00
   4    -9.0000    -162.063 0.3019   0.2005E+01  0.4302E-03 -0.4417E+00  0.9241E-03      -1  -0.102E-01   20.00  0.8735E-03  0.1048E+00
   5   -12.0000    -159.820 0.3029   0.2055E+01  0.4331E-03 -0.5788E+00  0.9244E-03      -1  -0.133E-01   20.00  0.8792E-03  0.1055E+00
   6   -15.0000    -157.752 0.3037   0.2101E+01  0.4358E-03 -0.7083E+00  0.9247E-03      -1  -0.163E-01   20.00  0.8815E-03  0.1058E+00
   7   -18.0000    -155.842 0.3045   0.2143E+01  0.4383E-03 -0.8304E+00  0.9249E-03      -1  -0.191E-01   20.00  0.8829E-03  0.1060E+00
   8   -21.0000    -154.076 0.3053   0.2183E+01  0.4406E-03 -0.9459E+00  0.9252E-03      -1  -0.218E-01   20.00  0.8833E-03  0.1060E+00
   9   -24.0000    -152.442 0.3059   0.2219E+01  0.4427E-03 -0.1058E+01  0.9157E-03      -1  -0.243E-01   20.00  0.8833E-03  0.1060E+00
  10   -27.0000    -150.930 0.3066   0.2271E+01  0.4445E-03 -0.1165E+01  0.8677E-03      -1  -0.268E-01   20.00  0.8833E-03  0.1060E+00
  11   -30.0000    -149.518 0.3073   0.2328E+01  0.4462E-03 -0.1265E+01  0.8197E-03      -1  -0.291E-01   20.00  0.8834E-03  0.1060E+00
  12   -33.0000    -148.191 0.3079   0.2381E+01  0.4477E-03 -0.1356E+01  0.7716E-03      -1  -0.312E-01   20.00  0.8834E-03  0.1060E+00
  13   -36.0000    -146.937 0.3085   0.2431E+01  0.4491E-03 -0.1440E+01  0.7235E-03      -1  -0.331E-01   20.00  0.8834E-03  0.1060E+00
  14   -39.0000    -145.745 0.3090   0.2478E+01  0.4505E-03 -0.1515E+01  0.6753E-03      -1  -0.349E-01   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -144.605 0.3095   0.2524E+01  0.4518E-03 -0.1582E+01  0.6272E-03      -1  -0.364E-01   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -143.507 0.3101   0.2567E+01  0.4531E-03 -0.1642E+01  0.5790E-03      -1  -0.378E-01   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -142.443 0.3105   0.2610E+01  0.4543E-03 -0.1694E+01  0.5308E-03      -1  -0.390E-01   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -141.402 0.3110   0.2651E+01  0.4555E-03 -0.1739E+01  0.4826E-03      -1  -0.400E-01   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -140.378 0.3115   0.2692E+01  0.4567E-03 -0.1777E+01  0.4344E-03      -1  -0.409E-01   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -139.363 0.3120   0.2732E+01  0.4579E-03 -0.1808E+01  0.3862E-03      -1  -0.416E-01   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -138.349 0.3124   0.2773E+01  0.4591E-03 -0.1833E+01  0.3380E-03      -1  -0.422E-01   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -137.329 0.3129   0.2813E+01  0.4603E-03 -0.1852E+01  0.2897E-03      -1  -0.426E-01   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -136.298 0.3134   0.2855E+01  0.4615E-03 -0.1865E+01  0.2415E-03      -1  -0.429E-01   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -135.249 0.3139   0.2896E+01  0.4627E-03 -0.1873E+01  0.1932E-03      -1  -0.431E-01   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -134.177 0.3144   0.2939E+01  0.4639E-03 -0.1875E+01  0.1449E-03      -1  -0.431E-01   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -133.077 0.3149   0.2983E+01  0.4652E-03 -0.1873E+01  0.9662E-04      -1  -0.431E-01   20.00  0.8834E-03  0.1060E+00
  27   -78.0000    -131.945 0.3154   0.3028E+01  0.4665E-03 -0.1867E+01  0.4831E-04      -1  -0.430E-01   20.00  0.8834E-03  0.1060E+00
  28   -81.0000    -130.777 0.3159   0.3075E+01  0.4678E-03 -0.1857E+01  0.0000E+00      -1  -0.427E-01   20.00  0.8834E-03  0.1060E+00
  29   -84.0000    -129.569 0.3165   0.3123E+01  0.4692E-03 -0.1844E+01  0.0000E+00      -1  -0.424E-01   20.00  0.8834E-03  0.1060E+00
  30   -87.0000    -128.319 0.3171   0.3173E+01  0.4707E-03 -0.1827E+01  0.0000E+00      -1  -0.420E-01   20.00  0.8834E-03  0.1060E+00
  31   -90.0000    -127.024 0.3177   0.3224E+01  0.4722E-03 -0.1807E+01  0.0000E+00      -1  -0.416E-01   20.00  0.8834E-03  0.1060E+00
  32   -93.0000    -125.682 0.3183   0.3278E+01  0.4737E-03 -0.1785E+01  0.0000E+00      -1  -0.411E-01   20.00  0.8834E-03  0.1060E+00
  33   -96.0000    -124.292 0.3189   0.3333E+01  0.4753E-03 -0.1761E+01  0.0000E+00      -1  -0.405E-01   20.00  0.8834E-03  0.1060E+00
  34   -99.0000    -122.852 0.3196   0.3390E+01  0.4770E-03 -0.1735E+01  0.0000E+00      -1  -0.399E-01   20.00  0.8834E-03  0.1060E+00
  35  -102.0000    -121.362 0.3203   0.3450E+01  0.4787E-03 -0.1707E+01  0.0000E+00      -1  -0.393E-01   20.00  0.8834E-03  0.1060E+00
  36  -105.0000    -119.817 0.3210   0.3528E+01  0.4802E-03 -0.1677E+01  0.0000E+00      -1  -0.386E-01   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -118.210 0.3218   0.3634E+01  0.4814E-03 -0.1646E+01  0.0000E+00      -1  -0.379E-01   20.00  0.8834E-03  0.1060E+00
  38  -111.0000    -116.535 0.3226   0.3744E+01  0.4826E-03 -0.1613E+01  0.0000E+00      -1  -0.371E-01   20.00  0.8834E-03  0.1060E+00
  39  -114.0000    -114.795 0.3235   0.3859E+01  0.4838E-03 -0.1580E+01  0.0000E+00      -1  -0.364E-01   20.00  0.8834E-03  0.1060E+00
  40  -117.0000    -112.992 0.3244   0.3978E+01  0.4851E-03 -0.1547E+01  0.0000E+00      -1  -0.356E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -111.128 0.3253   0.4101E+01  0.4864E-03 -0.1512E+01  0.0000E+00      -1  -0.348E-01   20.00  0.8834E-03  0.1060E+00
  42  -123.0000    -109.205 0.3262   0.4228E+01  0.4878E-03 -0.1479E+01  0.0000E+00      -1  -0.340E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -107.227 0.3272   0.4359E+01  0.4892E-03 -0.1445E+01  0.0000E+00      -1  -0.333E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -105.195 0.3282   0.4493E+01  0.4906E-03 -0.1412E+01  0.0000E+00      -1  -0.325E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -103.113 0.3292   0.4630E+01  0.4921E-03 -0.1380E+01  0.0000E+00      -1  -0.318E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -100.984 0.3303   0.4770E+01  0.4936E-03 -0.1348E+01  0.0000E+00      -1  -0.310E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -98.809 0.3313   0.4914E+01  0.4951E-03 -0.1317E+01  0.0000E+00      -1  -0.303E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -96.592 0.3324   0.5060E+01  0.4967E-03 -0.1287E+01  0.0000E+00      -1  -0.296E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -94.332 0.3335   0.5249E+01  0.4975E-03 -0.1257E+01  0.0000E+00      -1  -0.289E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -92.027 0.3347   0.5483E+01  0.4974E-03 -0.1229E+01  0.0000E+00      -1  -0.283E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -89.677 0.3358   0.5722E+01  0.4973E-03 -0.1201E+01  0.0000E+00      -1  -0.276E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -87.287 0.3370   0.5965E+01  0.4971E-03 -0.1175E+01  0.0000E+00      -1  -0.270E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -84.859 0.3382   0.6212E+01  0.4970E-03 -0.1149E+01  0.0000E+00      -1  -0.264E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -82.397 0.3395   0.6462E+01  0.4969E-03 -0.1124E+01  0.0000E+00      -1  -0.259E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -79.903 0.3407   0.6715E+01  0.4968E-03 -0.1100E+01  0.0000E+00      -1  -0.253E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -77.380 0.3420   0.6972E+01  0.4967E-03 -0.1077E+01  0.0000E+00      -1  -0.248E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -74.829 0.3432   0.7268E+01  0.4958E-03 -0.1056E+01  0.0000E+00      -1  -0.243E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -72.250 0.3445   0.7646E+01  0.4930E-03 -0.1037E+01  0.0000E+00      -1  -0.239E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -69.643 0.3458   0.8029E+01  0.4903E-03 -0.1018E+01  0.0000E+00      -1  -0.234E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -67.011 0.3471   0.8415E+01  0.4875E-03 -0.9993E+00  0.0000E+00      -1  -0.230E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -64.356 0.3484   0.8805E+01  0.4847E-03 -0.9826E+00  0.0000E+00      -1  -0.226E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -61.681 0.3497   0.9197E+01  0.4819E-03 -0.9664E+00  0.0000E+00      -1  -0.222E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -58.986 0.3510   0.9644E+01  0.4779E-03 -0.9499E+00  0.0000E+00      -1  -0.219E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -56.271 0.3522   0.1019E+02  0.4718E-03 -0.9367E+00  0.0000E+00      -1  -0.216E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -53.538 0.3535   0.1074E+02  0.4657E-03 -0.9245E+00  0.0000E+00      -1  -0.213E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -50.788 0.3548   0.1129E+02  0.4595E-03 -0.9119E+00  0.0000E+00      -1  -0.210E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -48.023 0.3561   0.1184E+02  0.4534E-03 -0.9001E+00  0.0000E+00      -1  -0.207E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -45.243 0.3573   0.1254E+02  0.4442E-03 -0.8902E+00  0.0000E+00      -1  -0.205E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -42.449 0.3585   0.1327E+02  0.4344E-03 -0.8820E+00  0.0000E+00      -1  -0.203E-01   20.00  0.8833E-03  0.1060E+00
