 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27: 7
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.16520E-01  0.26528E-01  0.16520E-01  0.25950E-01  0.14681E+01  0.16520E-03  0.26528E-03  0.16520E-03  0.25950E-03  0.14681E-01 -0.25932E+03 -0.21198E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98468E+02  0.39465E-06  0.16560E-03      1  0.00000E+00      0.000
       0.0230  0.16351E-01  0.26528E-01  0.16349E-01  0.25950E-01  0.11223E+01  0.37776E-03  0.61015E-03  0.37775E-03  0.59685E-03  0.29271E-01 -0.25919E+03 -0.21195E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98482E+02  0.31049E-05  0.38085E-03      2  0.00000E+00      0.000
       0.0399  0.15934E-01  0.26528E-01  0.15932E-01  0.25951E-01  0.84644E+00  0.64705E-03  0.10585E-02  0.64700E-03  0.10354E-02  0.43576E-01 -0.25902E+03 -0.21191E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98496E+02  0.13671E-04  0.66067E-03      3  0.00000E+00      0.000
       0.0619  0.15067E-01  0.26528E-01  0.15066E-01  0.25952E-01  0.69148E+00  0.97807E-03  0.16413E-02  0.97800E-03  0.16056E-02  0.58767E-01 -0.25883E+03 -0.21185E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98510E+02  0.46456E-04  0.10245E-02      4  0.00000E+00      0.000
       0.0904  0.13417E-01  0.26528E-01  0.13417E-01  0.25953E-01  0.56768E+00  0.13613E-02  0.23990E-02  0.13612E-02  0.23468E-02  0.74981E-01 -0.25858E+03 -0.21178E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98525E+02  0.13621E-03  0.14974E-02      5  0.00000E+00      0.000
       0.1276  0.10472E-01  0.26528E-01  0.10471E-01  0.25954E-01  0.47589E+00  0.17501E-02  0.33839E-02  0.17500E-02  0.33105E-02  0.92651E-01 -0.25826E+03 -0.21168E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98541E+02  0.36222E-03  0.21122E-02      6  0.00000E+00      0.000
       0.1758  0.55463E-02  0.26528E-01  0.55452E-02  0.25955E-01  0.40211E+00  0.20178E-02  0.46644E-02  0.20177E-02  0.45633E-02  0.11206E+00 -0.25785E+03 -0.21155E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98559E+02  0.89380E-03  0.29115E-02      7  0.00000E+00      0.000
       0.2258 -0.41481E-03  0.26528E-01 -0.41565E-03  0.25957E-01  0.35149E+00  0.19971E-02  0.59908E-02  0.19969E-02  0.58611E-02  0.12963E+00 -0.25741E+03 -0.21139E+03  0.54598E+02  0.00000E+00  0.00000E+00  0.98576E+02  0.17426E-02  0.37394E-02      8  0.00000E+00      0.000
