 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:56:51
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -181.808 0.2937   0.1565E+01  0.4045E-03 -0.1864E-01  0.0000E+00      -1  -0.429E-03   20.00  0.1136E-01  0.1214E+00
   2    -3.0000    -178.843 0.2949   0.1631E+01  0.4084E-03 -0.4646E-01  0.0000E+00      -1  -0.107E-02   20.00  0.1138E-01  0.1239E+00
   3    -6.0000    -175.977 0.2961   0.1695E+01  0.4121E-03 -0.1016E+00  0.0000E+00      -1  -0.234E-02   20.00  0.1043E-02  0.1252E+00
   4    -9.0000    -173.201 0.2973   0.1757E+01  0.4157E-03 -0.1532E+00  0.1550E-02      -1  -0.352E-02   20.00  0.1045E-02  0.1254E+00
   5   -12.0000    -170.499 0.2984   0.1817E+01  0.4192E-03 -0.2017E+00  0.1551E-02      -1  -0.464E-02   20.00  0.1037E-02  0.1245E+00
   6   -15.0000    -167.866 0.2995   0.1875E+01  0.4226E-03 -0.2494E+00  0.1552E-02      -1  -0.574E-02   20.00  0.1020E-02  0.1224E+00
   7   -18.0000    -165.296 0.3006   0.1933E+01  0.4260E-03 -0.2959E+00  0.1552E-02      -1  -0.681E-02   20.00  0.9945E-03  0.1194E+00
   8   -21.0000    -162.784 0.3016   0.1989E+01  0.4293E-03 -0.3413E+00  0.1553E-02      -1  -0.785E-02   20.00  0.9651E-03  0.1158E+00
   9   -24.0000    -160.325 0.3027   0.2043E+01  0.4325E-03 -0.3857E+00  0.1537E-02      -1  -0.887E-02   20.00  0.9379E-03  0.1125E+00
  10   -27.0000    -157.916 0.3037   0.2097E+01  0.4356E-03 -0.4294E+00  0.1457E-02      -1  -0.988E-02   20.00  0.9156E-03  0.1098E+00
  11   -30.0000    -155.553 0.3046   0.2150E+01  0.4387E-03 -0.4724E+00  0.1377E-02      -1  -0.109E-01   20.00  0.8999E-03  0.1080E+00
  12   -33.0000    -153.234 0.3056   0.2201E+01  0.4417E-03 -0.5141E+00  0.1296E-02      -1  -0.118E-01   20.00  0.8906E-03  0.1068E+00
  13   -36.0000    -150.951 0.3066   0.2271E+01  0.4445E-03 -0.5574E+00  0.1215E-02      -1  -0.128E-01   20.00  0.8862E-03  0.1063E+00
  14   -39.0000    -148.703 0.3077   0.2360E+01  0.4471E-03 -0.6028E+00  0.1135E-02      -1  -0.139E-01   20.00  0.8843E-03  0.1061E+00
  15   -42.0000    -146.483 0.3087   0.2449E+01  0.4497E-03 -0.6474E+00  0.1054E-02      -1  -0.149E-01   20.00  0.8835E-03  0.1060E+00
  16   -45.0000    -144.289 0.3097   0.2536E+01  0.4522E-03 -0.6912E+00  0.9731E-03      -1  -0.159E-01   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -142.118 0.3107   0.2623E+01  0.4547E-03 -0.7340E+00  0.8923E-03      -1  -0.169E-01   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -139.968 0.3117   0.2708E+01  0.4572E-03 -0.7760E+00  0.8114E-03      -1  -0.179E-01   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -137.837 0.3127   0.2793E+01  0.4597E-03 -0.8176E+00  0.7304E-03      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -135.724 0.3137   0.2877E+01  0.4621E-03 -0.8585E+00  0.6494E-03      -1  -0.198E-01   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -133.627 0.3146   0.2961E+01  0.4645E-03 -0.8987E+00  0.5684E-03      -1  -0.207E-01   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -131.545 0.3156   0.3044E+01  0.4669E-03 -0.9386E+00  0.4873E-03      -1  -0.216E-01   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -129.477 0.3165   0.3126E+01  0.4693E-03 -0.9776E+00  0.4061E-03      -1  -0.225E-01   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -127.421 0.3175   0.3208E+01  0.4717E-03 -0.1016E+01  0.3250E-03      -1  -0.234E-01   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -125.377 0.3184   0.3290E+01  0.4741E-03 -0.1054E+01  0.2438E-03      -1  -0.242E-01   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -123.343 0.3194   0.3371E+01  0.4764E-03 -0.1091E+01  0.1625E-03      -1  -0.251E-01   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -121.319 0.3203   0.3451E+01  0.4788E-03 -0.1128E+01  0.8129E-04      -1  -0.259E-01   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -119.299 0.3213   0.3562E+01  0.4806E-03 -0.1164E+01  0.0000E+00      -1  -0.268E-01   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -117.277 0.3223   0.3695E+01  0.4820E-03 -0.1202E+01  0.0000E+00      -1  -0.276E-01   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -115.250 0.3233   0.3829E+01  0.4835E-03 -0.1239E+01  0.0000E+00      -1  -0.285E-01   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -113.218 0.3243   0.3963E+01  0.4849E-03 -0.1275E+01  0.0000E+00      -1  -0.293E-01   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -111.180 0.3253   0.4098E+01  0.4864E-03 -0.1310E+01  0.0000E+00      -1  -0.301E-01   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -109.136 0.3263   0.4233E+01  0.4878E-03 -0.1345E+01  0.0000E+00      -1  -0.309E-01   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -107.086 0.3273   0.4368E+01  0.4893E-03 -0.1378E+01  0.0000E+00      -1  -0.317E-01   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -105.029 0.3283   0.4504E+01  0.4907E-03 -0.1410E+01  0.0000E+00      -1  -0.324E-01   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -102.965 0.3293   0.4640E+01  0.4922E-03 -0.1442E+01  0.0000E+00      -1  -0.332E-01   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -100.894 0.3303   0.4776E+01  0.4937E-03 -0.1473E+01  0.0000E+00      -1  -0.339E-01   20.00  0.8833E-03  0.1060E+00
  38  -111.0000     -98.816 0.3313   0.4913E+01  0.4951E-03 -0.1503E+01  0.0000E+00      -1  -0.346E-01   20.00  0.8833E-03  0.1060E+00
  39  -114.0000     -96.730 0.3323   0.5051E+01  0.4966E-03 -0.1533E+01  0.0000E+00      -1  -0.353E-01   20.00  0.8833E-03  0.1060E+00
  40  -117.0000     -94.634 0.3334   0.5219E+01  0.4975E-03 -0.1562E+01  0.0000E+00      -1  -0.359E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000     -92.522 0.3344   0.5433E+01  0.4974E-03 -0.1589E+01  0.0000E+00      -1  -0.366E-01   20.00  0.8833E-03  0.1060E+00
  42  -123.0000     -90.389 0.3355   0.5650E+01  0.4973E-03 -0.1616E+01  0.0000E+00      -1  -0.372E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -88.238 0.3366   0.5868E+01  0.4972E-03 -0.1643E+01  0.0000E+00      -1  -0.378E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -86.069 0.3376   0.6089E+01  0.4971E-03 -0.1669E+01  0.0000E+00      -1  -0.384E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -83.883 0.3387   0.6311E+01  0.4970E-03 -0.1693E+01  0.0000E+00      -1  -0.390E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -81.679 0.3398   0.6535E+01  0.4969E-03 -0.1716E+01  0.0000E+00      -1  -0.395E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -79.459 0.3409   0.6760E+01  0.4968E-03 -0.1741E+01  0.0000E+00      -1  -0.400E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -77.224 0.3420   0.6988E+01  0.4967E-03 -0.1763E+01  0.0000E+00      -1  -0.406E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -74.971 0.3432   0.7247E+01  0.4959E-03 -0.1783E+01  0.0000E+00      -1  -0.410E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -72.697 0.3443   0.7581E+01  0.4935E-03 -0.1804E+01  0.0000E+00      -1  -0.415E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -70.399 0.3454   0.7918E+01  0.4911E-03 -0.1823E+01  0.0000E+00      -1  -0.420E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -68.079 0.3465   0.8258E+01  0.4886E-03 -0.1841E+01  0.0000E+00      -1  -0.424E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -65.737 0.3477   0.8602E+01  0.4862E-03 -0.1859E+01  0.0000E+00      -1  -0.428E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -63.376 0.3488   0.8948E+01  0.4837E-03 -0.1877E+01  0.0000E+00      -1  -0.432E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -60.996 0.3500   0.9298E+01  0.4812E-03 -0.1894E+01  0.0000E+00      -1  -0.436E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -58.596 0.3512   0.9723E+01  0.4770E-03 -0.1909E+01  0.0000E+00      -1  -0.439E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -56.173 0.3523   0.1021E+02  0.4716E-03 -0.1922E+01  0.0000E+00      -1  -0.442E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -53.726 0.3534   0.1070E+02  0.4661E-03 -0.1936E+01  0.0000E+00      -1  -0.445E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -51.259 0.3546   0.1119E+02  0.4606E-03 -0.1951E+01  0.0000E+00      -1  -0.449E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -48.772 0.3557   0.1169E+02  0.4550E-03 -0.1963E+01  0.0000E+00      -1  -0.452E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -46.265 0.3569   0.1227E+02  0.4478E-03 -0.1972E+01  0.0000E+00      -1  -0.454E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -43.735 0.3580   0.1294E+02  0.4389E-03 -0.1983E+01  0.0000E+00      -1  -0.456E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -41.185 0.3591   0.1361E+02  0.4300E-03 -0.1995E+01  0.0000E+00      -1  -0.459E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -38.615 0.3602   0.1428E+02  0.4209E-03 -0.2004E+01  0.0000E+00      -1  -0.461E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -36.026 0.3613   0.1507E+02  0.4097E-03 -0.2013E+01  0.0000E+00      -1  -0.463E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -33.416 0.3623   0.1593E+02  0.3971E-03 -0.2020E+01  0.0000E+00      -1  -0.465E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -30.787 0.3634   0.1680E+02  0.3844E-03 -0.2027E+01  0.0000E+00      -1  -0.466E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -28.139 0.3644   0.1781E+02  0.3693E-03 -0.2034E+01  0.0000E+00      -1  -0.468E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -25.472 0.3653   0.1889E+02  0.3529E-03 -0.2041E+01  0.0000E+00      -1  -0.469E-01   20.00  0.8833E-03  0.1060E+00
