 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:25:57
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.58697E-01  0.83796E-02  0.58693E-01  0.83429E-02 -0.13641E+01  0.58697E-03  0.83796E-04  0.58693E-03  0.83429E-04 -0.13641E-01 -0.14394E+03 -0.12921E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10398E+03  0.10853E-04  0.59779E-03      1  0.00000E+00      0.000
       0.0200  0.55445E-01  0.83796E-02  0.55445E-01  0.83421E-02 -0.16633E+01  0.11414E-02  0.16759E-03  0.11414E-02  0.16685E-03 -0.30274E-01 -0.14505E+03 -0.13020E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10396E+03  0.54222E-04  0.11956E-02      2  0.00000E+00      0.000
       0.0330  0.48002E-01  0.83796E-02  0.48010E-01  0.83408E-02 -0.19365E+01  0.17654E-02  0.27653E-03  0.17655E-02  0.27528E-03 -0.55449E-01 -0.14665E+03 -0.13165E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10394E+03  0.20737E-03  0.19729E-02      3  0.00000E+00      0.000
       0.0499  0.32970E-01  0.83796E-02  0.32975E-01  0.83393E-02 -0.21263E+01  0.23226E-02  0.41814E-03  0.23228E-02  0.41621E-03 -0.91384E-01 -0.14843E+03 -0.13333E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10390E+03  0.66049E-03  0.29833E-02      4  0.00000E+00      0.000
       0.0719  0.46515E-02  0.83796E-02  0.46477E-02  0.83374E-02 -0.22947E+01  0.24248E-02  0.60224E-03  0.24249E-02  0.59939E-03 -0.14180E+00 -0.15053E+03 -0.13538E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10385E+03  0.18717E-02  0.42966E-02      5  0.00000E+00      0.000
       0.1004 -0.46135E-01  0.83796E-02 -0.46134E-01  0.83351E-02 -0.24327E+01  0.11072E-02  0.84157E-03  0.11073E-02  0.83745E-03 -0.21128E+00 -0.15284E+03 -0.13775E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10378E+03  0.48968E-02  0.60041E-02      6  0.00000E+00      0.000
       0.1376 -0.13318E+00  0.83796E-02 -0.13318E+00  0.83326E-02 -0.25395E+01 -0.38377E-02  0.11527E-02 -0.38375E-02  0.11468E-02 -0.30557E+00 -0.15523E+03 -0.14041E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10369E+03  0.12061E-01  0.82237E-02      7  0.00000E+00      0.000
       0.1858 -0.27442E+00  0.83796E-02 -0.27441E+00  0.83298E-02 -0.26008E+01 -0.17083E-01  0.15572E-02 -0.17083E-01  0.15489E-02 -0.43111E+00 -0.15740E+03 -0.14320E+03  0.61450E+02  0.00000E+00  0.00000E+00  0.10358E+03  0.28192E-01  0.11109E-01      8  0.00000E+00      0.000
