 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57: 9
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -222.494 0.2785   0.9886E+00  0.3543E-03  0.1610E-01  0.0000E+00      -1   0.370E-03   20.00  0.1020E-02  0.1224E+00
   2    -3.0000    -219.446 0.2796   0.1024E+01  0.3580E-03  0.1464E-01  0.0000E+00      -1   0.337E-03   20.00  0.1026E-02  0.1232E+00
   3    -6.0000    -216.408 0.2806   0.1059E+01  0.3617E-03  0.1180E-01  0.0000E+00      -1   0.271E-03   20.00  0.9921E-03  0.1190E+00
   4    -9.0000    -213.379 0.2817   0.1094E+01  0.3654E-03  0.1150E-01  0.2212E-02      -1   0.265E-03   20.00  0.9899E-03  0.1188E+00
   5   -12.0000    -210.345 0.2828   0.1129E+01  0.3690E-03  0.1355E-01  0.2213E-02      -1   0.312E-03   20.00  0.9834E-03  0.1180E+00
   6   -15.0000    -207.307 0.2839   0.1164E+01  0.3727E-03  0.1553E-01  0.2215E-02      -1   0.357E-03   20.00  0.9733E-03  0.1168E+00
   7   -18.0000    -204.265 0.2850   0.1199E+01  0.3764E-03  0.1759E-01  0.2217E-02      -1   0.405E-03   20.00  0.9575E-03  0.1149E+00
   8   -21.0000    -201.219 0.2861   0.1234E+01  0.3801E-03  0.1975E-01  0.2218E-02      -1   0.454E-03   20.00  0.9392E-03  0.1127E+00
   9   -24.0000    -198.169 0.2872   0.1269E+01  0.3838E-03  0.2158E-01  0.2197E-02      -1   0.496E-03   20.00  0.9218E-03  0.1106E+00
  10   -27.0000    -195.117 0.2883   0.1304E+01  0.3875E-03  0.2327E-01  0.2083E-02      -1   0.535E-03   20.00  0.9076E-03  0.1089E+00
  11   -30.0000    -192.062 0.2894   0.1339E+01  0.3912E-03  0.2492E-01  0.1968E-02      -1   0.573E-03   20.00  0.8968E-03  0.1076E+00
  12   -33.0000    -189.006 0.2907   0.1404E+01  0.3951E-03  0.2575E-01  0.1854E-02      -1   0.592E-03   20.00  0.8893E-03  0.1067E+00
  13   -36.0000    -185.952 0.2920   0.1473E+01  0.3991E-03  0.2575E-01  0.1739E-02      -1   0.592E-03   20.00  0.8859E-03  0.1063E+00
  14   -39.0000    -182.901 0.2932   0.1540E+01  0.4031E-03  0.2540E-01  0.1624E-02      -1   0.584E-03   20.00  0.8834E-03  0.1060E+00
  15   -42.0000    -179.853 0.2945   0.1608E+01  0.4070E-03  0.2464E-01  0.1509E-02      -1   0.567E-03   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -176.809 0.2958   0.1676E+01  0.4110E-03  0.2344E-01  0.1393E-02      -1   0.539E-03   20.00  0.8834E-03  0.1060E+00
  17   -48.0000    -173.769 0.2970   0.1744E+01  0.4150E-03  0.2207E-01  0.1278E-02      -1   0.508E-03   20.00  0.8834E-03  0.1060E+00
  18   -51.0000    -170.733 0.2983   0.1812E+01  0.4189E-03  0.1989E-01  0.1162E-02      -1   0.458E-03   20.00  0.8834E-03  0.1060E+00
  19   -54.0000    -167.703 0.2996   0.1879E+01  0.4229E-03  0.1752E-01  0.1047E-02      -1   0.403E-03   20.00  0.8834E-03  0.1060E+00
  20   -57.0000    -164.677 0.3008   0.1947E+01  0.4268E-03  0.1489E-01  0.9309E-03      -1   0.343E-03   20.00  0.8834E-03  0.1060E+00
  21   -60.0000    -161.657 0.3021   0.2014E+01  0.4307E-03  0.1138E-01  0.8149E-03      -1   0.262E-03   20.00  0.8834E-03  0.1060E+00
  22   -63.0000    -158.643 0.3034   0.2081E+01  0.4346E-03  0.7598E-02  0.6988E-03      -1   0.175E-03   20.00  0.8834E-03  0.1060E+00
  23   -66.0000    -155.635 0.3046   0.2148E+01  0.4386E-03  0.3911E-02  0.5826E-03      -1   0.900E-04   20.00  0.8834E-03  0.1060E+00
  24   -69.0000    -152.632 0.3059   0.2215E+01  0.4425E-03 -0.4244E-03  0.4663E-03      -1  -0.976E-05   20.00  0.8834E-03  0.1060E+00
  25   -72.0000    -149.636 0.3072   0.2323E+01  0.4460E-03 -0.5481E-02  0.3498E-03      -1  -0.126E-03   20.00  0.8834E-03  0.1060E+00
  26   -75.0000    -146.646 0.3086   0.2442E+01  0.4495E-03 -0.1106E-01  0.2333E-03      -1  -0.254E-03   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -143.663 0.3100   0.2561E+01  0.4529E-03 -0.1714E-01  0.1167E-03      -1  -0.394E-03   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -140.686 0.3114   0.2680E+01  0.4564E-03 -0.2283E-01  0.0000E+00      -1  -0.525E-03   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -137.714 0.3127   0.2798E+01  0.4598E-03 -0.2897E-01  0.0000E+00      -1  -0.667E-03   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -134.748 0.3141   0.2916E+01  0.4632E-03 -0.3553E-01  0.0000E+00      -1  -0.817E-03   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -131.787 0.3155   0.3034E+01  0.4667E-03 -0.4202E-01  0.0000E+00      -1  -0.967E-03   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -128.831 0.3168   0.3152E+01  0.4701E-03 -0.4783E-01  0.0000E+00      -1  -0.110E-02   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -125.878 0.3182   0.3270E+01  0.4735E-03 -0.5400E-01  0.0000E+00      -1  -0.124E-02   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -122.930 0.3196   0.3387E+01  0.4769E-03 -0.5992E-01  0.0000E+00      -1  -0.138E-02   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -119.984 0.3209   0.3517E+01  0.4801E-03 -0.6600E-01  0.0000E+00      -1  -0.152E-02   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -117.042 0.3224   0.3711E+01  0.4822E-03 -0.7238E-01  0.0000E+00      -1  -0.167E-02   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -114.101 0.3238   0.3905E+01  0.4843E-03 -0.7747E-01  0.0000E+00      -1  -0.178E-02   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -111.161 0.3253   0.4099E+01  0.4864E-03 -0.8338E-01  0.0000E+00      -1  -0.192E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -108.223 0.3267   0.4293E+01  0.4885E-03 -0.8945E-01  0.0000E+00      -1  -0.206E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -105.286 0.3281   0.4487E+01  0.4905E-03 -0.9498E-01  0.0000E+00      -1  -0.219E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -102.350 0.3296   0.4680E+01  0.4926E-03 -0.1006E+00  0.0000E+00      -1  -0.232E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000     -99.415 0.3310   0.4874E+01  0.4947E-03 -0.1056E+00  0.0000E+00      -1  -0.243E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -96.480 0.3325   0.5068E+01  0.4968E-03 -0.1102E+00  0.0000E+00      -1  -0.253E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -93.545 0.3339   0.5329E+01  0.4974E-03 -0.1148E+00  0.0000E+00      -1  -0.264E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -90.609 0.3354   0.5628E+01  0.4973E-03 -0.1191E+00  0.0000E+00      -1  -0.274E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -87.672 0.3368   0.5926E+01  0.4972E-03 -0.1244E+00  0.0000E+00      -1  -0.286E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -84.735 0.3383   0.6224E+01  0.4970E-03 -0.1286E+00  0.0000E+00      -1  -0.296E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -81.796 0.3398   0.6523E+01  0.4969E-03 -0.1326E+00  0.0000E+00      -1  -0.305E-02   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -78.857 0.3412   0.6822E+01  0.4968E-03 -0.1364E+00  0.0000E+00      -1  -0.314E-02   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -75.916 0.3427   0.7120E+01  0.4966E-03 -0.1406E+00  0.0000E+00      -1  -0.324E-02   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -72.975 0.3441   0.7540E+01  0.4938E-03 -0.1445E+00  0.0000E+00      -1  -0.332E-02   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -70.031 0.3456   0.7972E+01  0.4907E-03 -0.1474E+00  0.0000E+00      -1  -0.339E-02   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -67.086 0.3470   0.8404E+01  0.4876E-03 -0.1512E+00  0.0000E+00      -1  -0.348E-02   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -64.139 0.3485   0.8836E+01  0.4845E-03 -0.1531E+00  0.0000E+00      -1  -0.352E-02   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -61.190 0.3499   0.9269E+01  0.4814E-03 -0.1564E+00  0.0000E+00      -1  -0.360E-02   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -58.240 0.3513   0.9794E+01  0.4762E-03 -0.1601E+00  0.0000E+00      -1  -0.368E-02   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -55.288 0.3527   0.1039E+02  0.4696E-03 -0.1608E+00  0.0000E+00      -1  -0.370E-02   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -52.333 0.3541   0.1098E+02  0.4630E-03 -0.1628E+00  0.0000E+00      -1  -0.375E-02   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -49.377 0.3555   0.1157E+02  0.4564E-03 -0.1680E+00  0.0000E+00      -1  -0.387E-02   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -46.420 0.3568   0.1223E+02  0.4484E-03 -0.1694E+00  0.0000E+00      -1  -0.390E-02   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -43.460 0.3581   0.1301E+02  0.4380E-03 -0.1690E+00  0.0000E+00      -1  -0.389E-02   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -40.498 0.3594   0.1379E+02  0.4276E-03 -0.1723E+00  0.0000E+00      -1  -0.396E-02   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -37.535 0.3607   0.1457E+02  0.4170E-03 -0.1753E+00  0.0000E+00      -1  -0.403E-02   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -34.570 0.3619   0.1555E+02  0.4027E-03 -0.1761E+00  0.0000E+00      -1  -0.405E-02   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -31.603 0.3631   0.1653E+02  0.3883E-03 -0.1764E+00  0.0000E+00      -1  -0.406E-02   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -28.634 0.3642   0.1761E+02  0.3724E-03 -0.1762E+00  0.0000E+00      -1  -0.405E-02   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -25.663 0.3653   0.1881E+02  0.3541E-03 -0.1788E+00  0.0000E+00      -1  -0.411E-02   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -22.691 0.3663   0.2010E+02  0.3345E-03 -0.1810E+00  0.0000E+00      -1  -0.416E-02   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -19.717 0.3673   0.2155E+02  0.3122E-03 -0.1834E+00  0.0000E+00      -1  -0.422E-02   20.00  0.8833E-03  0.1060E+00
