Prec,pET,hCritA,LAI,GWL,cTop,croot
0.74,0.500060016,100000,0.091017526,61.6177092,0,0.001
0.12,0.226884083,100000,0.095573797,54.7566558,0,0.001
0,0.36007878,100000,0.103340827,49.1185171,0,0.001
0,0.521155332,100000,0.112761286,44.8307756,0,0.001
0,0.725894417,100000,0.123833794,41.8288068,0,0.001
0,0.574454813,100000,0.134886884,39.9999593,0,0.001
0,0.657259808,100000,0.148068221,39.2315819,0,0.001
0,0.495051328,100000,0.160655567,39.4110234,0,0.001
0,0.649789514,100000,0.179454198,40.4256324,0,0.001
0,0.636907043,100000,0.19910909,42.1627577,0,0.001
0.04,0.691795701,100000,0.22199521,44.509748,0,0.001
0,0.247229371,100000,0.233462376,47.3539521,0,0.001
0,0.264176173,100000,0.246167766,50.5827186,0,0.001
4.09,0.422029761,100000,0.267095611,54.0833964,0,0.001
4.65,0.205260543,100000,0.281542637,57.743334,0,0.001
0.55,0.216913828,100000,0.296942912,61.4498804,0,0.001
1.16,0.284008257,100000,0.315749337,65.0903841,0,0.001
0.85,0.351975066,100000,0.340410912,68.5521939,0,0.001
1.44,0.234907519,100000,0.359926789,71.7399489,0,0.001
3.44,0.170737118,100000,0.381580673,74.6274498,0,0.001
0,0.200544155,100000,0.404451913,77.2057874,0,0.001
0,0.364992705,100000,0.443763062,79.4660526,0,0.001
0,0.464772266,100000,0.491754885,81.3993366,0,0.001
0,0.476766726,100000,0.545569675,82.9967302,0,0.001
5.93,0.257953698,100000,0.580644042,84.2493243,0,0.001
0.02,0.200382495,100000,0.613502075,85.14821,0,0.001
0.02,0.245067548,100000,0.647694924,85.6844781,0,0.001
0,0.423986042,100000,0.712824315,85.8492197,0,0.001
0,0.513725087,100000,0.788807679,85.6335257,0,0.001
0.42,0.276033948,100000,0.833528023,85.028487,0,0.001
11.44,0.227715528,100000,0.876287705,84.0251946,0,0.001
0.79,0.244258828,100000,0.921449582,82.6147395,0,0.001
0.02,0.265810899,100000,0.97883547,80.7882126,0,0.001
0,0.557122573,100000,1.082024505,78.5527387,0,0.001
1.87,0.265607805,100000,1.131825973,75.9795779,0,0.001
0,0.198751702,100000,1.184112432,73.1560242,0,0.001
0,0.287278645,100000,1.248396985,70.1693716,0,0.001
0,0.401925553,100000,1.333753704,67.106914,0,0.001
0,0.443941782,100000,1.424435238,64.0559453,0,0.001
0,0.596726857,100000,1.539890965,61.1037597,0,0.001
0,0.408902759,100000,1.620049486,58.3376509,0,0.001
0,0.285832875,100000,1.682307889,55.8449131,0,0.001
3.08,0.389080953,100000,1.780149698,53.71284,0,0.001
2.58,0.233752148,100000,1.848983528,52.0287258,0,0.001
0.43,0.221238776,100000,1.915645413,50.8798644,0,0.001
0.11,0.245783548,100000,1.988038169,50.3535497,0,0.001
0.49,0.354598444,100000,2.09821982,50.5370757,0,0.001
0,0.508819551,100000,2.256482764,51.5177364,0,0.001
0.14,0.557860727,100000,2.424693302,53.3470277,0,0.001
2.89,0.380942235,100000,2.552358526,55.9332536,0,0.001
4.21,0.248209287,100000,2.638468805,59.1489201,0,0.001
0,0.213838209,100000,2.715882788,62.8665331,0,0.001
0.07,0.378730878,100000,2.841164121,66.9585986,0,0.001
0.39,0.283583763,100000,2.928502905,71.2976226,0,0.001
1.62,0.209545917,100000,3.007286339,75.756111,0,0.001
0,0.377437584,100000,3.131037695,80.2065697,0,0.001
0,0.542049254,100000,3.300426092,84.5215048,0,0.001
0.09,0.477494717,100000,3.448874424,88.5734223,0,0.001
1.18,0.265897668,100000,3.532788082,92.234828,0,0.001
0.01,0.230040459,100000,3.620007071,95.3782279,0,0.001
0.85,0.271793387,100000,3.699508951,97.8761281,0,0.001
0.12,0.328784212,100000,3.79275326,99.6010344,0,0.001
0,0.298967572,100000,3.882194661,100.4254528,0,0.001
0.11,0.379302496,100000,3.970799144,100.2218894,0,0.001
0.74,0.540100911,100000,4.090041113,98.9094294,0,0.001
0,0.452894284,100000,4.191541878,96.5934757,0,0.001
0,0.738919633,100000,4.308168847,93.4260106,0,0.001
0.02,0.532824615,100000,4.412623843,89.5590163,0,0.001
0,0.36970767,100000,4.402025661,85.1444751,0,0.001
0.97,0.394295773,100000,4.453966965,80.3343692,0,0.001
2.1,0.271528192,100000,4.47497013,75.2806809,0,0.001
7.55,0.231628021,100000,4.495980196,70.1353925,0,0.001
0.29,0.238720041,100000,4.519732843,65.0504862,0,0.001
0.04,0.339477342,100000,4.54664202,60.1779442,0,0.001
0,0.328158454,100000,4.566858808,55.6697488,0,0.001
0,0.554810018,100000,4.596885065,51.6778823,0,0.001
0,0.726546002,100000,4.624333525,48.3543269,0,0.001
0,0.362284131,100000,4.610960383,45.8510648,0,0.001
0,0.713906274,100000,4.612341394,44.3200784,0,0.001
0,0.732825708,100000,4.568528389,43.8647947,0,0.001
0,0.738199009,100000,4.541801391,44.3944202,0,0.001
0,0.733042152,100000,4.495437574,45.7696063,0,0.001
0.08,0.685435984,100000,4.457841731,47.8510041,0,0.001
0.07,0.579365234,100000,4.401966763,50.4992652,0,0.001
0,0.340768318,100000,4.361050283,53.5750407,0,0.001
0,0.544529401,100000,4.263889572,56.938982,0,0.001
0,0.600577646,100000,4.195448139,60.4517405,0,0.001
6.72,0.6674639,100000,4.144760093,63.9739674,0,0.001
3.13,0.429468255,100000,4.064141512,67.3663141,0,0.001
0.1,0.256952795,100000,3.985502979,70.4894319,0,0.001
0,0.308131589,100000,3.900353671,73.2039721,0,0.001
0.22,0.243424649,100000,3.840945961,75.3705861,0,0.001
0.05,0.242677571,100000,3.781438292,76.8499251,0,0.001
0,0.312948121,100000,3.718065993,77.5026405,0,0.001
1.39,0.474778386,100000,3.643826611,77.1893836,0,0.001
0.03,0.272245658,100000,3.492447195,75.8295726,0,0.001
0,0.382706982,100000,3.426651374,73.5776931,0,0.001
0.04,0.525442643,100000,3.354883638,70.6469977,0,0.001
0,0.534523297,100000,3.264818115,67.2507389,0,0.001
0,0.565176319,100000,3.169369894,63.6021692,0,0.001
0,0.48656504,100000,3.055233928,59.9145411,0,0.001
0,0.494410268,100000,2.967238741,56.4011071,0,0.001
0,0.494208876,100000,2.892469454,53.2751198,0,0.001
