"field","day","observed_lai","observed_DVS","observed_TAGP","observed_TWSO","observed_WLV","observed_TWST"
"1",2020-06-12,0.288512217,0.3316,366.029333333333,0,289.821333333333,76.208
"1",2020-06-21,0.708043329,0.4228,720.512,0,364.874666666667,355.637333333333
"1",2020-06-26,0.845108859,0.4734,847.525333333333,0,462.444,385.081333333333
"1",2020-07-01,1.689090615,0.5241,1395.70333333333,0,707.522,688.181333333333
"1",2020-07-06,2.532977061,0.5747,2484.26533333333,0,1273.02,1211.24533333333
"1",2020-07-13,2.069787469,0.6456,2242.94,0,1212.4,1030.54
"1",2020-07-20,2.903079972,0.7165,3427.628,0,1721.03066666667,1706.59733333333
"1",2020-08-02,6.344891322,0.8481,5578.19466666667,0,2660.352,2917.84266666667
"1",2020-08-14,5.41278529,0.9696,8291.66133333333,792.678666666667,3224.40666666667,4274.576
"1",2020-08-25,1.657751121,1.1194,8888.624,1641.936,2651.692,4594.996
"1",2020-09-17,NA,1.4627,14403.6006666667,6911.546,2476.76,5015.29466666667
"1",2020-10-23,NA,2,13918.0633333333,8328.322,382.772,5206.96933333333
"10",2020-06-12,0.288512217,0.3316,246.734,0,183.552666666667,63.1813333333333
"10",2020-06-21,0.401616484,0.4228,519.067333333333,0,271.788666666667,247.278666666667
"10",2020-06-26,0.632435526,0.4734,732.032,0,360.024666666667,372.007333333333
"10",2020-07-01,0.972528969,0.5241,965.694,0,498.37,467.324
"10",2020-07-06,1.953900222,0.5747,1898.16333333333,0,1015.80333333333,882.36
"10",2020-07-13,1.636100078,0.6456,3100.24266666667,0,1714.61066666667,1385.632
"10",2020-07-20,1.423215605,0.7165,3558.852,0,1706.44066666667,1852.41133333333
"10",2020-08-02,3.107481338,0.8481,4590.45066666667,0,1922.12866666667,2668.322
"10",2020-08-14,4.609075256,0.9696,7815.422,607.031,3197.738,4010.653
"10",2020-08-25,3.577294989,1.1194,7801.533,1166.676,2324.365,4310.492
"10",2020-09-17,NA,1.4627,11367.4656666667,4758.208,2119.84266666667,4489.415
"10",2020-10-23,NA,2,11665.126,5598.084,937.916,5129.126
"13_1",2020-06-12,0.076960532,0.3316,189.295333333333,0,134.515333333333,54.78
"13_1",2020-06-21,0.44147814,0.4228,530.148666666667,0,272.074,258.074666666667
"13_1",2020-06-26,0.683178666,0.4734,793.092666666667,0,384.677333333333,408.415333333333
"13_1",2020-07-01,0.645587968,0.5241,1116.29466666667,0,513.106,603.188666666667
"13_1",2020-07-06,0.973594812,0.5747,1527.75333333333,0,754.138,773.615333333333
"13_1",2020-07-13,1.280042813,0.6456,3546.092,0,1727.396,1818.696
"13_1",2020-07-20,4.126332488,0.7165,4203.452,0,2238.676,1964.776
"13_1",2020-08-02,4.307366477,0.8481,6005.10533333333,0,3001.944,3003.16133333333
"13_1",2020-08-14,7.35410343,0.9696,9331.773,833.569,3600.872,4897.332
"13_1",2020-08-25,3.316683743,1.1194,10840.049,1784.002,2846.734,6209.313
"13_1",2020-09-17,NA,1.4627,10766.7046666667,5494.434,1847.30333333333,3424.96733333333
"13_1",2020-10-23,NA,2,15949.5013333333,7963.186,1352.45733333333,6633.858
"13_2",2020-06-12,0.170754277,0.3316,267.873333333333,0,218.957333333333,48.916
"13_2",2020-06-21,0.42288361,0.4228,574.763,0,244.58,330.183
"13_2",2020-06-26,0.743779191,0.4734,737.234,0,376.769666666667,360.464333333333
"13_2",2020-07-01,1.110533494,0.5241,1295.69166666667,0,667.936333333333,627.755333333333
"13_2",2020-07-06,1.064076495,0.5747,1900.736,0,948.038666666667,952.697333333333
"13_2",2020-07-13,1.064113063,0.6456,3146.347,0,1462.239,1684.108
"13_2",2020-07-20,3.756088824,0.7165,4620.815,0,2299.63433333333,2321.18066666667
"13_2",2020-08-02,3.419065021,0.8481,6307.25233333333,0,2898.273,3408.97933333333
"13_2",2020-08-14,2.355323607,0.9696,7516.75866666667,531.088,3225.54433333333,3760.12633333333
"13_2",2020-08-25,3.241815506,1.1194,8691.325,1389.44733333333,2775.983,4525.89466666667
"13_2",2020-09-17,NA,1.4627,13145.5926666667,5882.73133333333,2416.68333333333,4846.178
"13_2",2020-10-23,NA,2,14961.8903333333,7360.111,1758.64666666667,5843.13266666667
"13_3",2020-06-12,0.13122472,0.3316,257.247333333333,0,203.09,54.1573333333333
"13_3",2020-06-21,0.392770232,0.4228,510.374,0,247.828666666667,262.545333333333
"13_3",2020-06-26,1.013375656,0.4734,1073.13933333333,0,520.97,552.169333333333
"13_3",2020-07-01,1.144074037,0.5241,1164.38266666667,0,606.326666666667,558.056
"13_3",2020-07-06,0.733493277,0.5747,1678.28866666667,0,738.776666666667,939.512
"13_3",2020-07-13,1.484414809,0.6456,3268.866,0,1446.354,1822.512
"13_3",2020-07-20,3.178997587,0.7165,4539.79733333333,0,2202.79066666667,2337.00666666667
"13_3",2020-08-02,5.399634211,0.8481,5701.82533333333,0,2906.24733333333,2795.578
"13_3",2020-08-14,3.199484031,0.9696,7492.255,784.104,2718.757,3989.394
"13_3",2020-08-25,2.037164403,1.1194,7712.71066666667,1370.416,1978.50866666667,4363.786
"13_3",2020-09-17,NA,1.4627,13238.2303333333,6118.01266666667,2404.11466666667,4716.103
"13_3",2020-10-23,NA,2,12435.5833333333,6547.73933333333,918.32,4969.524
"13_4",2020-06-12,0.186908789,0.3316,246.507,0,199.923,46.584
"13_4",2020-06-21,0.648948978,0.4228,619.179,0,256.212,362.967
"13_4",2020-06-26,1.014284891,0.4734,984.087,0,488.485,495.602
"13_4",2020-07-01,1.437171222,0.5241,1437.634,0,741.462,696.172
"13_4",2020-07-06,1.387299031,0.5747,2188.801,0,989.263,1199.538
"13_4",2020-07-13,1.761401846,0.6456,3387.692,0,1885.358,1502.334
"13_4",2020-07-20,2.000528764,0.7165,2960.672,0,1294,1666.672
"13_4",2020-08-02,3.898640139,0.8481,5322.222,0,2430.132,2892.09
"13_4",2020-08-14,4.301787815,0.9696,7374.8295,637.6185,2529.123,4208.088
"13_4",2020-08-25,2.951258439,1.1194,8185.197,1228.006,2191.389,4765.802
"13_4",2020-09-17,NA,1.4627,13734.516,5725.303,2401.664,5607.549
"13_4",2020-10-23,NA,2,13473.128,6294.663,1297.882,5880.583
"14",2020-06-12,0.123354291,0.3316,188.1,0,160.17,27.93
"14",2020-06-21,0.338017864,0.4228,409.83,0,201.78,208.05
"14",2020-06-26,0.410308919,0.4734,484.5,0,233.7,250.8
"14",2020-07-01,0.520622004,0.5241,771.21,0,383.04,388.17
"14",2020-07-06,0.572149451,0.5747,1202.13,0,570,632.13
"14",2020-07-13,1.192208022,0.6456,2558.16,0,1436.4,1121.76
"14",2020-07-20,3.301768777,0.7165,4182.66,0,2058.27,2124.39
"14",2020-08-02,3.430085571,0.8481,5125.44,0,2334.15,2791.29
"14",2020-08-14,1.813714063,0.9696,6724.575,795.15,2308.5,3620.925
"14",2020-08-25,1.603360213,1.1194,7841.775,1521.33,1869.885,4450.56
"14",2020-09-17,NA,1.4627,15138.06,7754.85,2315.34,5067.87
"14",2020-10-23,NA,2,15265.17,8377.29,1164.51,5723.37
