field,cmr,cgl,depth10conc,depth20conc
1,31.30805222404448,60.308042416778335,73.86291803448276,73.31418486896553
2,19.574249396898146,58.57797676737407,87.02233848275861,79.9065859586207
3,19.51319201040618,58.25070917577712,82.59872422068966,77.55641787586207
4,16.700742961681108,43.175982274610746,71.81593122758622,73.27074595862071
5,19.451313054827693,57.91903797387644,78.31328234482757,75.34446489655173
6,19.389364523009828,57.58699384333268,73.82046121379311,73.27074595862071
7,15.442824296594114,41.866400652105,71.64981175862069,73.31418486896553
8,28.011496706386485,52.54977220042851,86.72671206896553,79.95398251724137
9,27.76483734014823,52.340111739125994,82.3695817586207,77.60238006206895
10,25.47454202862046,42.165825709009624,71.64981175862069,73.31418486896553
11,27.602574863807085,52.20218863423602,78.28915393103449,75.45827053793106
12,27.29752536162845,51.942896557384174,73.86291803448276,73.31418486896553
13_1,25.962318538481554,43.682810654677624,84.79030827586206,79.95395866206894
13_2,31.696226009550937,61.51526288970341,86.93407551724138,79.95398251724137
13_3,31.696226009550937,61.51526288970341,86.93407551724138,79.95398251724137
13_4,35.819366022619114,74.33822833034544,86.65751310344825,79.95398251724137
14,31.566048018662762,61.11040933804118,82.78454210344827,77.60238006206895
