das,solute_uptake,all_solute_uptake
1,3.3556e-06,3.3556e-06
2,3.4543e-06,6.809900000000001e-06
3,3.6556e-06,1.04655e-05
4,3.9114e-06,1.4376900000000001e-05
5,4.2145e-06,1.85914e-05
6,4.4997e-06,2.30911e-05
7,4.8472e-06,2.79383e-05
8,5.132e-06,3.30703e-05
9,5.7122e-06,3.8782500000000003e-05
10,6.3036e-06,4.50861e-05
11,6.939e-06,5.2025100000000004e-05
12,7.2389e-06,5.926400000000001e-05
13,7.4909e-06,6.675490000000001e-05
14,8.0804e-06,7.483530000000002e-05
15,8.4326e-06,8.326790000000002e-05
16,8.7519e-06,9.201980000000002e-05
17,9.2518e-06,0.00010127160000000001
18,9.8372e-06,0.00011110880000000001
19,1.0334e-05,0.00012144280000000001
20,1.0891e-05,0.0001323338
21,1.1389e-05,0.0001437228
22,1.2484e-05,0.0001562068
23,1.3732e-05,0.00016993879999999999
24,1.523e-05,0.0001851688
25,1.6111e-05,0.00020127979999999998
26,1.6809e-05,0.0002180888
27,1.7642e-05,0.0002357308
28,1.9282e-05,0.0002550128
29,2.1119e-05,0.0002761318
30,2.1985e-05,0.0002981168
31,2.2653e-05,0.0003207698
32,2.3532e-05,0.0003443018
33,2.4678e-05,0.00036897979999999997
34,2.7408e-05,0.00039638779999999995
35,2.8375e-05,0.0004247627999999999
36,2.9306e-05,0.0004540687999999999
37,3.0762e-05,0.0004848307999999999
38,3.2806e-05,0.0005176367999999999
39,3.5125e-05,0.0005527617999999999
40,3.819e-05,0.0005909517999999999
41,3.9813e-05,0.0006307647999999999
42,4.0912e-05,0.0006716767999999999
43,4.2984e-05,0.0007146607999999999
44,4.4166e-05,0.0007588267999999999
45,4.5228e-05,0.0008040548
46,4.633e-05,0.0008503848
47,4.8783e-05,0.0008991678
48,5.2649e-05,0.0009518168
49,5.6943e-05,0.0010087598
50,5.9851e-05,0.0010686108
51,6.1184e-05,0.0011297948
52,6.2376e-05,0.0011921708
53,6.5083e-05,0.0012572538000000001
54,6.659e-05,0.0013238438000000002
55,6.7796e-05,0.0013916398000000001
56,7.0462e-05,0.0014621018000000002
57,7.4913e-05,0.0015370148000000002
58,7.8411e-05,0.0016154258000000003
59,7.9661e-05,0.0016950868000000002
60,8.103e-05,0.0017761168000000002
61,8.2113e-05,0.0018582298000000001
62,8.3728e-05,0.0019419578
63,8.5208e-05,0.0020271658
64,8.6666e-05,0.0021138318
65,8.9366e-05,0.0022031978
66,9.1378e-05,0.0022945758
67,9.4116e-05,0.0023886918
68,9.7229e-05,0.0024859208
69,9.7015e-05,0.0025829358
70,9.777e-05,0.0026807058
71,9.7516e-05,0.0027782218000000003
72,9.74e-05,0.0028756218000000004
73,9.7527e-05,0.0029731488000000004
74,9.8168e-05,0.0030713168000000004
75,9.8631e-05,0.0031699478000000005
76,0.00010027,0.0032702178000000004
77,0.00010204,0.0033722578000000003
78,0.00010137,0.0034736278000000002
79,0.0001025,0.0035761278000000004
80,0.00010306,0.0036791878000000003
81,0.00010247,0.0037816578
82,0.00010187,0.0038835278
83,0.00010127,0.0039847978
84,0.00010086,0.004085657800000001
85,9.9853e-05,0.0041855108
86,9.9039e-05,0.004284549800000001
87,9.8562e-05,0.004383111800000001
88,9.8128e-05,0.004481239800000001
89,9.7437e-05,0.0045786768000000005
90,9.5982e-05,0.0046746588
91,9.4841e-05,0.0047694998
92,9.3249e-05,0.0048627488
93,9.1506e-05,0.0049542548
94,9.025e-05,0.0050445048
95,9.025e-05,0.0051347548
96,8.8009e-05,0.0052227638
97,8.7631e-05,0.005310394800000001
98,8.816e-05,0.005398554800000001
99,8.8307e-05,0.005486861800000001
100,8.8382e-05,0.005575243800000001
101,8.8092e-05,0.0056633358000000005
102,8.7762e-05,0.0057510978
103,8.7598e-05,0.005838695800000001
104,8.6945e-05,0.0059256408000000005
105,8.6883e-05,0.006012523800000001
106,8.5494e-05,0.006098017800000001
107,8.4334e-05,0.006182351800000001
108,8.3132e-05,0.006265483800000001
109,8.1684e-05,0.006347167800000001
110,7.8944e-05,0.006426111800000001
111,7.7544e-05,0.006503655800000001
112,7.5284e-05,0.006578939800000001
113,7.4092e-05,0.0066530318000000005
114,7.3995e-05,0.006727026800000001
115,7.2782e-05,0.006799808800000001
116,7.0959e-05,0.006870767800000001
117,6.9575e-05,0.006940342800000001
118,6.8019e-05,0.0070083618000000006
119,6.7031e-05,0.007075392800000001
120,6.529e-05,0.007140682800000001
121,6.4659e-05,0.007205341800000001
122,6.3677e-05,0.007269018800000001
123,6.2482e-05,0.007331500800000001
124,6.0808e-05,0.0073923088000000005
125,5.9382e-05,0.007451690800000001
126,5.878e-05,0.0075104708
127,5.7468e-05,0.0075679388
128,5.5446e-05,0.0076233848
129,5.4315e-05,0.0076776998
130,5.2848e-05,0.0077305478
131,5.1737e-05,0.0077822848
132,5.066e-05,0.0078329448
133,4.9373e-05,0.0078823178
134,4.8802e-05,0.0079311198
135,4.7515e-05,0.0079786348
136,4.6774e-05,0.0080254088
137,4.5147e-05,0.0080705558
138,4.4054e-05,0.0081146098
139,4.2674e-05,0.0081572838
140,4.1458e-05,0.0081987418
141,4.0507e-05,0.0082392488
142,3.947e-05,0.0082787188
143,3.8521e-05,0.008317239799999999
144,3.7725e-05,0.0083549648
145,3.6754e-05,0.0083917188
146,3.596e-05,0.0084276788
147,3.4578e-05,0.0084622568
