day,ZRTC,ZSTC,ZLFC,ZERC,ZART,ZAST,ZALF,ZAER,TZDMI,TZDMX,ZU
2,1.257817631912659,1.257817631912659,3.1445440797816473,0.0,77.45816486755164,35.89987030915741,219.731964823291,0.0,2648.158139534884,28506.139534883725,333.09000000000003
3,2.613871231745353,2.6138712317453536,5.841594048416165,0.0,169.0236703496493,78.33813072005955,428.6281989302912,0.0,2650.4207335490923,29600.046124661592,342.90000000000003
4,3.977033188766816,3.9725891433439227,7.975139391828782,0.0,277.67453977844707,128.82339465215915,632.4320655693938,0.0,2767.200820246311,31668.593414834162,362.94
5,5.337446497343903,5.318214088126641,9.643766185049225,0.0,405.27561032506514,188.48617727957657,833.5382123953582,0.0,2951.57822535141,34200.44737402566,388.37
6,6.675165014952594,6.623165671320408,10.914053289628606,0.0,553.3804498158881,258.5249397192125,1033.9346104648992,0.0,3205.5601148973346,37169.80266196393,418.53999999999996
7,8.047695825224652,7.946643676689427,11.972003175417239,0.0,721.315640171674,339.12003475925644,1232.2943250690694,0.0,3468.040991291242,40054.802327748024,446.89
8,9.351455115675382,9.173387352356132,12.713266673353562,0.0,910.7517325421927,431.9081035705347,1431.5501638872722,0.0,3824.6082849032473,43492.53349485017,481.48
9,10.724446438737681,10.463627225357879,13.351652640882847,0.0,1121.3911386577397,537.3490878625878,1625.469773479672,0.0,4167.314336189229,46670.83646449757,510.00000000000006
10,11.815114146573187,11.43556456681309,13.549053626764202,0.0,1358.0013096102114,661.2410728204877,1832.5976175693006,0.0,4416.223824566173,52131.12361656898,567.63
11,12.891431845903357,12.489859151060822,13.755965794510194,0.0,1617.3784210646072,807.7905707191336,2053.131008216259,0.0,4632.93698901607,57818.29789084896,626.46
12,13.612608812525979,13.770924899731488,13.887453678887335,0.0,1869.2811725683782,1002.0673543148616,2296.83147311676,0.0,4908.5919537998725,64407.185301913065,689.88
13,15.250779929214978,14.825306729948517,14.799616939513351,0.0,2182.034258281305,1139.694585397436,2566.201156321259,0.0,4665.527389812207,67693.19414683159,719.75
14,16.837405900522928,15.736542528578628,15.574048811478635,0.0,2513.4615136806647,1282.2109407804542,2837.4975455388812,0.0,4435.875571699095,71324.77757597588,745.24
15,17.927103958942446,16.193868729884176,15.972062511928335,0.0,2853.888176876344,1443.8015191008121,3139.4303040228438,0.0,4489.5535027881615,77296.55925029793,803.9499999999999
16,19.350280731602062,17.07550457403648,16.73635211040603,0.0,3208.611661879622,1615.3786768840057,3452.369661236372,0.0,4230.3580396379875,81392.32555551858,839.2399999999999
17,20.6672546217382,17.894665047145164,17.46255593151818,0.0,3568.775432957208,1799.7939806304385,3779.330586412353,0.0,3965.6329796333985,85745.45344515817,871.54
18,21.73621691705272,18.56109868392299,18.08183292690412,0.0,3930.363116254848,2006.185052848246,4132.701830896905,0.0,3788.6469134788517,91053.64396459944,921.3500000000001
19,22.436089873219263,18.970121460113436,18.505913109297662,0.0,4288.894576075215,2243.3248176577536,4517.050606267031,0.0,3768.3272541303763,97985.04992681087,980.02
20,23.354641772186618,19.77224095258442,19.23861111438569,0.0,4649.563783553569,2502.5001546850585,4926.806061761372,0.0,3494.255941962603,103444.14975889643,1029.6
21,24.114323682196225,20.51042746665597,19.93748406852868,0.0,5007.588935161682,2789.878076410157,5366.402988428161,0.0,3242.2367465638386,109491.53039552807,1085.0
22,24.7481839981846,21.240540655078192,20.633504245724783,0.0,5358.7951940328185,3105.770595845778,5834.304210121403,0.0,2973.8957767789834,115874.95413632173,1135.0
23,24.707714583683476,21.226330504494847,20.73637193438073,0.0,5718.790134472016,3483.8600805949504,6340.319784933034,0.0,3234.761028499037,126884.29565958807,1244.1
24,24.468883196089205,21.04607731614079,20.661676206638372,0.0,6098.559250867522,3925.952931228615,6887.157817903863,0.0,3684.7359343834837,140304.97452208656,1368.7
25,24.21642681112917,20.923550907060545,20.58011085676088,0.0,6504.179319899464,4430.907614429402,7494.483065671134,0.0,4201.165038704338,155269.771784748,1517.9
26,24.646330253977908,21.72374180479915,21.226463162400147,0.0,6921.3474841786465,4957.523673936985,8156.398841884367,0.0,3902.691737128852,164885.9859268607,1605.6999999999998
27,25.115822586894073,22.60442661416376,22.004323523681588,0.0,7334.983386052724,5506.660635904734,8869.52597804254,0.0,3433.160117212906,173842.28627805738,1675.9
28,25.493423958967835,23.456285761007653,22.81615904221437,0.0,7736.311007864532,6090.136856201054,9643.722135934411,0.0,2933.116156117064,183138.5691084665,1759.0
29,25.219726005333953,23.28019457236823,22.71690294311379,0.0,8188.501147185165,6755.147355892493,10449.42149692234,0.0,3400.7780582587156,200966.829744053,1922.8999999999999
30,25.038213338510392,23.000150097359477,22.311096470590687,0.0,8744.06946122759,7505.856440783277,11249.14409798913,0.0,4295.892042041519,219787.96456260758,2106.0
31,25.636316760834855,23.793073030599693,22.760043645775276,0.0,9322.80189672144,8284.889135366957,12083.7789679116,0.0,3981.1875532339227,229856.04150271905,2192.4
32,26.24687457749184,24.603641196328883,23.241581599518064,0.0,9906.58002650626,9095.278178169832,12949.211795323905,0.0,3561.7575412724673,239440.85524664697,2259.6
33,26.773546394359215,25.328566483352517,23.65661536861759,0.0,10494.890688988857,9951.607677130132,13852.071633881009,0.0,3215.453691717057,249805.25274797587,2347.5
34,27.080737730387156,25.682720983771784,23.73908742408572,0.0,11115.801832551906,10867.357412509828,14777.710754938264,0.0,3306.5798755615124,263852.88589812233,2462.3
35,26.66233175058266,24.860664026233966,22.835139929886914,0.0,11829.311046955303,11919.822621926163,15746.136331118532,0.0,5154.209023789204,291688.9239392639,2734.4
36,27.26385989527139,25.627128457235766,23.234387147452097,0.0,12532.407635656846,13015.959127663244,16777.90323667991,0.0,4700.572415598848,303442.4709161109,2831.0
37,27.774027297038852,26.29803742970508,23.58378070754381,0.0,13232.647335200569,14176.989685405315,17841.032979394116,0.0,4317.877698435215,316078.6557845713,2924.4
38,28.089410262226,26.6626322294541,23.681394404221837,0.0,13960.92218056393,15438.267530426421,18921.08028900965,0.0,4418.519353378508,332592.50456086727,3069.6
39,28.124248351296256,26.538746026455456,23.391941826911,0.0,14744.984672209008,16833.02545362317,20016.25987416782,0.0,5378.0246438024715,355945.75980054843,3274.0
40,28.15452905434145,26.42972906061217,23.109352305627528,0.0,15566.48794508707,18361.670304374893,21171.511750538033,0.0,6458.927573838608,380952.9334112004,3505.4
41,27.942448978501275,25.990443278417747,22.575076347521822,0.0,16434.137909301735,20056.979894444154,22419.652196254112,0.0,8431.586003341212,413192.4925456035,3811.1000000000004
42,28.31343130367889,26.445028954943705,22.68621082570854,0.0,17321.137051767735,21820.98265727888,23742.350290953385,0.0,8564.218151572339,433548.6233139464,3973.7000000000003
43,28.931189793998563,27.266646191085233,23.091088008373653,0.0,18212.729737092082,23630.654539447256,25124.48572346066,0.0,7763.48486508914,447863.3215924753,4083.4
44,29.13174108616314,27.440321834903212,23.02971910101257,0.0,19127.63326329317,25571.04446401274,26559.892272694087,0.0,8449.238502299322,472744.2606928228,4290.7
45,29.691880615696764,28.197185216331107,23.39443649394689,0.0,20043.005236466015,27570.295963316592,28054.068800217392,0.0,7669.186910038883,488232.58880068304,4408.8
46,30.25322422349325,28.991926592628126,23.802057898889622,0.0,20945.991594010862,29635.80604402903,29600.67236196011,0.0,6695.16101906601,502695.473513022,4515.1
47,30.721247503806993,29.666486716547617,24.127542372547296,0.0,21837.132264720014,31812.889387752268,31158.54834752772,0.0,5940.686657781822,518892.5000603466,4626.1
48,30.858186486907755,29.699493466726178,23.969115185650896,0.0,22788.736628312563,34213.12021600789,32677.61315567955,0.0,6897.616701915373,546727.8167449825,4870.9
49,30.599328606699043,29.041013002237577,23.351682587949572,0.0,23795.48924511193,36922.75949320436,34218.42126168372,0.0,10001.945236980144,589517.7442420754,5257.2
50,30.329166161912635,28.454397230607363,22.798446626464813,0.0,24827.246321478022,39946.84350083596,35848.38017768602,0.0,13398.638827312956,635529.4602509798,5685.799999999999
51,30.48625720519242,28.60789955628769,22.720820497030488,0.0,25887.79549346495,43162.91257616324,37547.76193037182,0.0,14604.109859197055,668808.948781105,5976.0
52,31.02142851982818,29.35592718121715,23.026171814896884,0.0,26971.15253371017,46456.94443484212,39280.07303144771,0.0,13616.073336187754,688897.3378848553,6109.7
53,31.617914662020393,30.181339783139382,23.401835163296234,0.0,28055.094048360676,49857.67378859934,41024.602163039985,0.0,12178.87950560161,706376.7424839968,6229.200000000001
54,31.81035486609823,30.30124890470843,23.36295042752072,0.0,29128.194104967635,53578.40515541389,42730.87073961848,0.0,13239.380392137318,739789.5657359416,6500.099999999999
55,32.30301962439742,31.004451502680165,23.63025134705299,0.0,30204.522104202802,57412.36262058074,44471.18527521647,0.0,12181.971625639879,760667.8079328842,6650.6
56,32.83964575299707,31.799338698940485,23.959615433684096,0.0,31266.27445173935,61357.45803750994,46235.437510750715,0.0,10638.555043013432,778802.6572560195,6771.1
57,33.033690380323954,31.938128352814275,23.912013711049823,0.0,32314.98780841495,65645.44032161988,47936.74186996517,0.0,11602.065082121168,812426.6480209946,7038.0
58,32.92585054727338,31.523126680039017,23.55016473855314,0.0,33357.439421093724,70395.53328715538,49626.497291750886,0.0,15096.804807144585,861992.8465256938,7482.3
59,32.995222933842484,31.509761137586487,23.384403884819697,0.0,34408.13432634321,75427.34899130513,51376.18668235165,0.0,17200.99815740557,904400.8609217881,7832.2
60,33.516935832011725,32.347076523290546,23.671184413636965,0.0,35497.644377478384,80465.92494894918,53205.10067357243,0.0,15362.517868150288,924186.0580740848,7957.0
61,34.01369768074217,33.084083462802106,23.937704465082298,0.0,36582.04369115895,85619.3832410509,55061.64306779014,0.0,13738.906291817359,945325.9203361063,8094.400000000001
62,34.53835263086376,33.89023771937716,24.24858996790767,0.0,37649.54070652495,90880.64640499103,56935.482888484,0.0,11632.778635446732,963779.2971490396,8202.6
63,34.94857441413442,34.4899314831816,24.444777471467223,0.0,38672.93164575486,96394.7613095216,58761.97704472353,0.0,10430.884421775932,987469.717068957,8364.0
64,35.35716139269005,35.12586366495094,24.6478464407714,0.0,39661.36970402548,102114.11098545669,60565.98931051782,0.0,8997.979811183563,1010001.1410955787,8511.8
65,35.94622813773906,35.70254776885307,24.809893630520328,0.0,40838.40406067803,107890.37103494594,62270.29490437601,0.0,7535.933572735674,1032475.9445059284,8657.6
66,36.0673751121482,35.93720599711969,24.777667168704593,0.0,41635.74282584269,114356.10075567079,63934.4264184865,0.0,8205.230360224334,1066987.7697820885,8927.199999999999
67,36.51143726795988,36.33956564559862,24.844825446990388,21.858477144449058,42690.17518493572,120730.9084032581,65584.58413123604,48.80228057011813,7634.799367974174,1095148.8774627876,9128.199999999999
68,36.66018192941551,36.58354362958118,24.82041388014236,18.194761483496233,43464.025729376444,127557.92859848104,67190.29903616893,243.9166359735563,8262.756734283708,1130529.5010642533,9401.7
69,36.66285533519836,36.70664109192257,24.773947260167446,13.812752771759886,43984.38939383738,133495.32861962097,68537.00211543933,420.8155731587851,9781.295378036113,1169751.3316021336,9712.5
70,37.934015003045744,37.6344559298686,25.044895178967636,13.215694052568507,45858.939274869845,140849.3181699022,68541.6399504274,642.5344731943544,5536.835762099464,1175705.4094561934,9690.9
71,39.2066707366324,38.25691839756339,25.25329991298869,13.001450238884773,47713.023361776184,147032.97526725105,69794.41144668924,938.3048698568135,3328.264064453064,1192416.3190861286,9766.400000000001
72,41.03022002891992,39.12031629215308,25.481918950146937,12.190372433934385,50129.01972282263,152936.14503986965,70823.10388052542,1119.2108423876525,897.9160470236274,1199585.0575357366,9740.300000000001
73,42.664760981811234,39.936404436640636,25.715761688955965,12.441906197874665,52319.04855207851,158907.56987090933,71840.4895792148,1458.1769796970284,1224.765967124246,1207996.0977849606,9728.6
74,44.14716775560151,40.7009634293315,25.930822207509344,12.278453344909279,54328.907256190265,165022.80636328194,72827.0529427505,1838.0279927329425,1535.7310331472763,1218809.2510039753,9742.300000000001
75,45.43435671955096,41.30918752948852,26.1227267338875,12.56717334442461,56120.702367147045,171227.62366264118,73792.58801726792,2443.716007482759,2051.0183990189566,1234465.4738740458,9806.6
76,46.662527702146974,42.031261702502114,26.317525195708825,12.176961209118609,57798.535992657584,177669.12034823306,74674.49831523288,2939.832498650751,2384.7998236250605,1248440.6376164122,9853.0
77,47.62777025590349,42.37918391081899,26.449828373344623,12.746474297811213,59177.12812990599,184068.01275477745,75434.54759094585,4049.070969150648,3413.4082086183066,1273608.1384979766,10017.0
78,48.58280336679851,42.79024155939877,26.605729340164526,12.054635630750381,60499.3482986283,190916.67161706998,76186.55068893086,4890.9028581118555,4065.488455002441,1300327.015381369,10194.0
79,49.5270872281612,43.87042815490395,26.996254072454846,12.72038035470834,61712.651132542705,197756.7538643102,77100.03946387736,5834.856459800492,4283.1254289287435,1303576.1730087656,10127.0
80,50.274679208560556,44.84988318373558,27.167805952868196,12.46340228140909,62663.622650830934,204232.3632558146,77491.98864909873,7627.088901515703,6404.3198570749955,1324370.2506991567,10240.0
81,52.28624015033359,46.77965544396196,73.6891178570643,12.894883344767987,65170.88272247654,214399.52958211393,208480.15260329566,10046.085850688143,7954.41824684369,1339300.2701966453,10298.0
82,54.181198575250036,48.713496481677474,70.56504365671852,13.631734905422826,67532.8064890186,224619.40519414443,198955.5283466652,12816.719884148039,8758.152895253772,1207662.2820649787,7399.700000000001
83,55.69427196661965,50.44065592064513,68.21140537892532,14.35431185361089,69418.7391599456,234070.46927004308,190800.0706173794,15995.06154140331,9469.352349094803,1215362.2501979829,7419.3
84,56.897833852799145,52.01662987019128,65.73038074298756,15.26790597294897,70918.88891842744,242793.9969835779,182839.29472754046,19514.496116437575,9567.70541696352,1222820.563882326,7430.5
85,57.85109177283786,53.39794923761501,63.95910171495743,15.963569375980681,72107.05352794027,250857.32361328093,176308.45644146675,23389.07379296958,9788.566678730978,1231907.03921152,7464.9
86,58.60966050645783,54.744340440628015,61.33052737563272,17.24418632567246,73052.55264651419,258268.8341717426,168228.64994519047,27438.70637163691,8434.644477561116,1234942.7957731267,7428.4
87,59.9992236691481,56.56096815236309,108.309845495528,18.56785839178838,74784.539066857,268368.4552079078,291614.7945419388,32817.61119497415,7910.131930024974,1239850.429337334,7436.0
88,61.14195888903674,58.187299859517104,104.25781975368051,19.984833921024745,76208.87294100976,277679.69328501215,277490.65577464213,38997.34951857208,6209.3326091927665,1136030.8317000442,4886.2
89,62.052190857790386,59.64387926768026,99.40330598098438,21.41059840067107,77343.40892438385,286086.1260469707,262572.49450673745,45390.60700422513,3402.7797583401043,1133714.3580824852,4834.6
90,62.81977511589898,60.94357607240299,95.53438030314078,22.903651764707057,78300.145219076,293628.9445940199,248682.8674859362,52050.03669224025,60.6924016152625,1134680.0342260888,4834.099999999999
91,63.46252187659421,62.15326175775728,91.68310934335899,24.68909404974423,79101.28092210386,300363.25551075867,235236.69473372764,58741.29633589678,0.0,1135999.9102331137,4833.9
92,63.991471295165226,63.158920345074975,88.94634088023781,26.040674433569954,79760.57676025745,306372.9591251601,224282.43617800032,65525.1028649163,0.0,1140792.4500095379,4875.7
93,65.00445874455004,64.67861942715632,138.0081700260087,28.21564322204578,81023.18975506038,314567.02407407714,344305.8118658787,73770.21812740593,0.0,1140365.4665996335,4846.0
94,65.69808474455373,65.85754419641916,132.84097156798285,30.402723234246743,81887.74261962913,321021.2195612179,327929.30907093757,82128.96390502351,0.0,1108153.6313869357,3072.4
95,66.27161016260068,66.84756393185143,127.62476482621838,32.19941516139909,82602.59910291099,326736.87713209045,311429.33778241964,90486.27248189262,0.0,1100950.8708503856,3004.6
96,66.72686879432023,67.62844851553554,120.0433488636774,33.41542406179516,83170.04489382812,331753.4973220987,288492.6478598402,98910.51027363559,0.0,1101580.1318766722,3029.1
97,67.06845383178255,68.33704125393999,119.12603361187146,34.94760591543189,83595.80506231995,336069.3433327417,274422.00905383984,107203.30412219693,0.0,1095563.7270507948,3059.4
98,67.31841799738885,68.8583861512634,114.68419016319474,35.842056947569375,83907.3666753698,339823.2462316255,260246.73125452088,115543.28059513924,0.0,1098694.548070331,3103.0
99,67.4809087727893,69.20562808874051,110.18407200678891,36.15597007768765,84109.89925825699,343062.1987582026,245353.22204045116,123993.98011718108,0.0,1110707.4058475536,3246.7
100,67.56762008409936,69.48345677950064,106.4192508558609,36.570455148950884,84217.9784141468,345835.2244942629,230935.33870887698,132481.9512645135,0.0,1120928.3691792067,3384.7000000000003
101,67.590469444449,69.69885983557184,102.25004604590137,37.03311509359169,84246.45843067407,348195.9575941139,215706.48557587358,140961.3557205537,0.0,1129888.8564172825,3510.0
102,67.55756435373422,69.84284929312733,100.17867212781034,37.40878804490874,84205.44469930268,350186.5441298435,203625.9185370783,149397.50043246002,0.0,1139772.7353551462,3658.6
103,67.48214350194169,69.94922800447125,97.69593966138821,37.85208850026749,84111.43825567875,351868.2133339152,193358.6736371037,157783.05383077054,0.0,1147884.4919281006,3760.8999999999996
104,67.3733072665202,70.02445701137744,93.65903619680186,38.34208761254866,83975.78203878083,353284.058780822,181481.50636398856,166103.25215332615,0.0,1154418.286374244,3832.4
105,67.23523012287691,70.06163767192007,91.84528050310986,38.7896531028987,83803.67921958484,354457.32631624193,171976.15080305046,174316.9347412727,0.0,1160851.036226771,3924.2000000000003
106,66.78100416835372,68.84643362727729,89.29907971708998,39.907461287947854,83237.52058345756,348722.2718560147,163110.6394289609,182205.12265923043,0.0,1171029.6751729036,4032.7999999999997
107,65.64220102658903,68.9388008982126,86.65791009964519,40.55434320090904,81456.04100596008,342859.22286353307,154435.1830445147,189918.26881052298,0.0,1162629.2641964236,4021.0000000000005
108,65.53031210698946,68.97149846169519,83.18204890961533,40.925502087224054,79690.8530260737,336927.91564285517,144265.3497032148,197489.4613982379,0.0,1153826.7555280533,4019.0
109,65.4025399356568,68.98394408226508,79.6261877401352,41.29926566443874,77944.76097190237,330947.6377165803,132372.2506620133,204861.4390613876,0.0,1146945.0316256024,4054.6
110,65.26283185982476,68.97578953024299,77.39647842396083,41.63290731374658,76222.69590714118,324946.69617195864,120768.78835189337,211995.28844513578,0.0,1140617.016098441,4116.3
111,65.11162763807205,69.01017792127209,76.82802658489096,42.43249027908017,74525.17733298555,318921.4033353613,111657.1038996923,218845.24314247654,0.0,1121401.1722869745,4043.4
112,64.96142543142456,68.96353745078505,76.40593920985388,42.6134054124465,72866.19436778846,312951.6775115029,104918.49578564604,225494.93376125136,0.0,1114161.6247078874,4072.5
113,64.80698376270234,68.97037092353128,74.98281499325235,43.30212766132031,71239.10042004188,307005.5066298393,98966.40995847809,231902.7138670981,0.0,1097991.3672494031,3983.7
114,64.66379760310326,68.90277562477237,75.98831791831473,43.32954897041478,69660.06892249658,301169.3440166597,96709.7271145843,238149.10256293367,0.0,1091585.2529642282,3991.1
115,64.53105455341029,68.83961473095768,70.21806592289379,43.34209732772155,68126.72804518201,295440.0554068819,89365.97334891441,244216.0297245989,0.0,1095166.615103774,4065.0
116,64.41339523137091,68.79844827373508,70.05934097375287,43.44104591487039,66642.46248520777,289834.22668925027,83842.90023973073,250070.93136945178,0.0,1088242.973342325,4081.5
117,64.30378856503049,68.80328218482987,68.99060748604575,43.890216091537724,65198.481553017176,284315.5913256666,78910.26931404743,255695.14368522045,0.0,1075073.9777918344,4014.5000000000005
118,64.20470302682689,68.80437255804254,66.15669490569415,44.252141780677114,63796.05703705313,278896.40165602445,72508.99386475916,261086.29187195675,0.0,1065767.5494909685,3983.2000000000003
