day,min_zn_inrice,max_zn_inrice,zn_actual
1,2648.158139534884,28506.139534883725,333.09000000000003
2,2983.510733549092,29933.136124661592,675.99
3,3443.190820246311,32344.58341483416,1038.93
4,3990.5082253514097,35239.37737402566,1427.3
5,4632.860114897335,38597.10266196393,1845.8399999999997
6,5313.880991291242,41900.64232774803,2292.7299999999996
7,6117.338284903247,45785.263494850165,2774.2099999999996
8,6941.524336189228,49445.04646449757,3284.2099999999996
9,7700.433824566173,55415.33361656898,3851.8399999999997
10,8484.776989016069,61670.13789084896,4478.299999999999
11,9386.891953799874,68885.48530191307,5168.18
12,9833.707389812207,72861.3741468316,5887.93
13,10323.805571699097,77212.70757597589,6633.17
14,11122.723502788162,83929.72925029793,7437.120000000001
15,11667.478039637987,88829.44555551859,8276.36
16,12241.992979633398,94021.81344515816,9147.9
17,12936.546913478851,100201.54396459945,10069.25
18,13837.577254130376,108054.29992681087,11049.27
19,14543.525941962602,114493.41975889643,12078.869999999999
20,15321.106746563837,121570.40039552806,13163.869999999999
21,16137.765776778982,129038.82413632172,14298.87
22,17533.63102849904,141183.16565958806,15542.97
23,19227.705934383484,155847.94452208653,16911.67
24,21112.83503870434,172181.441784748,18429.57
25,22332.26173712885,183315.5559268607,20035.269999999997
26,23468.430117212905,193877.55627805737,21711.17
27,24644.28615611706,204849.73910846649,23470.17
28,26870.948058258713,224436.99974405294,25393.069999999996
29,29688.962042041516,245181.03456260762,27499.069999999996
30,31480.257553233918,257355.11150271905,29691.469999999998
31,33253.22754127246,269132.325246647,31951.07
32,35166.523691717055,281756.3227479758,34298.57
33,37605.14987556151,298151.4558981223,36760.869999999995
34,41915.0790237892,328449.7939392639,39495.27
35,44195.84241559885,342937.7409161109,42326.270000000004
36,46644.14769843522,358404.9257845713,45250.67
37,49669.189353378504,377843.17456086725,48320.270000000004
38,53698.29464380247,404266.02980054845,51594.27
39,58053.19757383861,432547.20341120043,55099.67
40,63531.25600334121,468292.16254560347,58910.770000000004
41,67474.98815157234,492459.39331394644,62884.47
42,70647.95486508914,510747.7915924753,66967.87
43,75417.10850229932,539712.1306928229,71258.57
44,78927.75691003888,559491.158800683,75667.37
45,82362.53101906601,578362.8435130221,80182.47
46,86123.15665778183,599074.9700603466,84808.57
47,91706.18670191537,631536.3867449824,89679.47
48,99681.41523698014,679197.2142420753,94936.67000000001
49,108335.30882731295,730466.1302509798,100622.47
50,115226.57985919705,769431.418781105,106598.47
51,120214.54333618775,795495.8078848553,112708.17
52,124887.04950560161,819084.9124839967,118937.37
53,132176.75039213733,858726.9357359416,125437.47
54,137619.44162563988,886105.2779328843,132088.07
55,142726.62504301342,910890.7272560195,138859.17
56,150461.23508212116,951285.8180209947,145897.17
57,160993.9748071446,1007890.0165256938,153379.47
58,170580.46815740556,1057780.3309217882,161211.66999999998
59,176574.1878681503,1085397.728074085,169168.66999999998
60,182907.57629181736,1114494.5903361063,177263.07
61,188895.84863544675,1141042.3671490396,185465.66999999998
62,195896.55442177592,1172935.387068957,193829.66999999998
63,202827.64981118357,1203830.8110955786,202341.47
64,209877.40357273567,1234817.4145059283,210999.06999999998
65,219204.30036022433,1277986.8397820883,219926.26999999996
66,227561.06936797412,1315075.1474627876,229054.46999999997
67,237317.2267342837,1359583.9710642535,238456.16999999995
68,246490.53514547797,1400413.5051799507,246437.53570205648
69,251738.7906881373,1421100.9532643212,255892.43186839382
70,258351.4542659191,1447526.928941608,265478.71494557324
71,263244.1839259197,1464161.794048351,275007.4794856054
72,268384.57895232306,1482120.8133521762,284525.28498189966
73,273940.8047923452,1502302.2873757365,294016.7945549556
74,280407.34412881575,1527515.5264115487,303584.63005453895
75,286510.18926292175,1550608.9448467966,313081.9871547743
76,294641.73139919306,1585236.5538870858,322728.75944477995
77,303043.1309626546,1621395.7217380567,332493.47346274095
78,307404.7494804423,1635253.4972906157,342404.30092053075
79,313879.23649608943,1664436.1668984604,352015.06345725997
80,319495.2943826171,1690343.1240257816,498096.65075857425
81,308945.3888252281,1703531.355593891,503924.4599139763
82,298258.55149010924,1717733.56908031,510284.3405887714
83,287310.71244242194,1730597.4431964816,516066.6767459834
84,276546.83896723395,1746613.9886520735,522661.9073756575
85,264412.4897047048,1752547.5735702675,526988.7431350842
86,252438.8858102216,1763756.0334390933,667585.4000116779
87,240984.86700068187,1778159.5598221095,670376.5715192362
88,229297.22313314187,1790748.927551903,671392.6364823171
89,231817.51814435088,1801601.3799522757,672661.9939912724
90,233309.72314663933,1804315.7761421304,673442.527502487
91,235308.91807346122,1811630.354917287,675941.0749283342
92,236860.13906948353,1813771.842989639,813666.2438224221
93,238160.09650082944,1813912.5145576298,812967.2351568082
94,239892.86338205932,1817600.5441768367,811255.0864993137
95,242320.57910357375,1827473.1136330804,802326.7003494026
96,242226.4837275363,1824142.7175927516,801290.4615710985
97,244835.3142655464,1835179.8657826497,799520.6247566554
98,248328.68907184462,1853786.2341418816,796519.3001740918
99,251177.42770530353,1868870.3750394022,793470.4928818002
100,253710.03515264328,1881930.2654025112,789110.2573212151
