das,solute_uptake,all_solute_uptake
1,3.1656e-06,3.1656e-06
2,3.2628e-06,6.428399999999999e-06
3,3.4572e-06,9.885599999999999e-06
4,3.7027e-06,1.35883e-05
5,3.9937e-06,1.7582000000000002e-05
6,4.2687e-06,2.1850700000000004e-05
7,4.603e-06,2.6453700000000004e-05
8,4.8871e-06,3.13408e-05
9,5.4399e-06,3.6780700000000005e-05
10,6.0073e-06,4.2788000000000004e-05
11,6.6321e-06,4.9420100000000005e-05
12,6.9235e-06,5.634360000000001e-05
13,7.1948e-06,6.35384e-05
14,7.7656e-06,7.130400000000001e-05
15,8.1148e-06,7.94188e-05
16,8.4515e-06,8.78703e-05
17,8.9358e-06,9.68061e-05
18,9.53e-06,0.0001063361
19,1.0014e-05,0.0001163501
20,1.0556e-05,0.00012690610000000001
21,1.1069e-05,0.0001379751
22,1.213e-05,0.00015010510000000002
23,1.337e-05,0.0001634751
24,1.4821e-05,0.00017829610000000002
25,1.5681e-05,0.00019397710000000002
26,1.6399e-05,0.00021037610000000003
27,1.7213e-05,0.00022758910000000003
28,1.8845e-05,0.00024643410000000005
29,2.0633e-05,0.00026706710000000004
30,2.1481e-05,0.00028854810000000005
31,2.2179e-05,0.00031072710000000004
32,2.3041e-05,0.00033376810000000005
33,2.4203e-05,0.00035797110000000004
34,2.6865e-05,0.00038483610000000003
35,2.7816e-05,0.00041265210000000004
36,2.8773e-05,0.00044142510000000004
37,3.0201e-05,0.00047162610000000003
38,3.2245e-05,0.0005038711000000001
39,3.4516e-05,0.0005383871
40,3.7517e-05,0.0005759041000000001
41,3.916e-05,0.0006150641
42,4.0246e-05,0.0006553101
43,4.2326e-05,0.0006976361
44,4.3496e-05,0.0007411321
45,4.4547e-05,0.0007856791
46,4.5684e-05,0.0008313631
47,4.8096e-05,0.0008794591
48,5.1939e-05,0.0009313981
49,5.6157e-05,0.0009875551
50,5.9016e-05,0.0010465711
51,6.0394e-05,0.0011069651000000002
52,6.1585e-05,0.0011685501000000002
53,6.4305e-05,0.0012328551000000002
54,6.5798e-05,0.0012986531000000001
55,6.6995e-05,0.0013656481000000002
56,6.9676e-05,0.0014353241000000002
57,7.406e-05,0.0015093841000000002
58,7.7564e-05,0.0015869481000000002
59,7.8806e-05,0.0016657541000000002
60,8.017e-05,0.0017459241000000003
61,8.125e-05,0.0018271741000000002
62,8.2854e-05,0.0019100281000000003
63,8.4325e-05,0.0019943531000000004
64,8.5776e-05,0.0020801291000000005
65,8.8444e-05,0.0021685731000000005
66,9.044e-05,0.0022590131000000003
67,9.3148e-05,0.0023521611
68,9.6222e-05,0.0024483831
69,9.6028e-05,0.0025444111000000004
70,9.6787e-05,0.0026411981000000005
71,9.6555e-05,0.0027377531000000004
72,9.6438e-05,0.0028341911000000003
73,9.66e-05,0.0029307911000000003
74,9.725e-05,0.0030280411000000004
75,9.7723e-05,0.0031257641000000005
76,9.935e-05,0.0032251141000000007
77,0.00010111,0.003326224100000001
78,0.00010047,0.003426694100000001
79,0.0001016,0.003528294100000001
80,0.00010218,0.0036304741000000008
81,7.3682e-05,0.0037041561000000006
82,7.3879e-05,0.0037780351000000004
83,7.3996e-05,0.0038520311
84,7.4337e-05,0.0039263681
85,7.3982e-05,0.0040003501
86,7.4059e-05,0.0040744091
87,4.8926e-05,0.0041233351
88,4.8415e-05,0.0041717501
89,4.8408e-05,0.0042201580999999995
90,4.8457e-05,0.0042686150999999995
91,4.8864e-05,0.0043174790999999995
92,4.857e-05,0.0043660491
93,3.1078e-05,0.0043971271
94,3.0405e-05,0.0044275321
95,3.0639e-05,0.0044581711
96,3.0929e-05,0.0044891001
97,3.1351e-05,0.0045204511
98,3.2759e-05,0.0045532101
99,3.4111e-05,0.0045873211
100,3.5338e-05,0.0046226591
101,3.6795e-05,0.0046594541
102,3.7798e-05,0.0046972521
103,3.8497e-05,0.0047357491000000005
104,3.9395e-05,0.004775144100000001
105,4.0465e-05,0.004815609100000001
106,4.0338e-05,0.004855947100000001
107,4.0306e-05,0.004896253100000001
108,4.0661e-05,0.004936914100000001
109,4.1255e-05,0.004978169100000001
110,4.0525e-05,0.0050186941
111,4.08e-05,0.0050594941
112,3.9917e-05,0.0050994111
113,3.998e-05,0.0051393911000000006
114,4.0698e-05,0.0051800891
115,4.0847e-05,0.0052209361
116,4.018e-05,0.0052611161
117,3.9864e-05,0.0053009801
118,3.9499e-05,0.0053404791
119,3.9799e-05,0.0053802781
120,3.9229e-05,0.0054195071
121,3.9182e-05,0.0054586891
122,3.906e-05,0.005497749099999999
123,3.8705e-05,0.005536454099999999
124,3.782e-05,0.005574274099999999
125,3.718e-05,0.0056114541
126,3.7043e-05,0.005648497099999999
127,3.6448e-05,0.005684945099999999
128,3.5117e-05,0.005720062099999999
129,3.4403e-05,0.005754465099999999
130,3.3635e-05,0.005788100099999999
131,3.2913e-05,0.005821013099999999
132,3.2199e-05,0.005853212099999999
133,3.1562e-05,0.0058847740999999985
134,3.1251e-05,0.005916025099999999
135,3.0668e-05,0.005946693099999999
136,3.0084e-05,0.005976777099999999
137,2.916e-05,0.006005937099999999
138,2.815e-05,0.006034087099999999
139,2.7407e-05,0.006061494099999999
140,2.6465e-05,0.006087959099999999
141,2.5569e-05,0.006113528099999999
142,2.5096e-05,0.006138624099999998
143,2.4389e-05,0.006163013099999998
144,2.3701e-05,0.006186714099999998
145,2.313e-05,0.006209844099999998
146,2.2431e-05,0.006232275099999998
147,2.1385e-05,0.006253660099999997
