day,ZRTC,ZSTC,ZLFC,ZERC,ZART,ZAST,ZALF,ZAER,TZDMI,TZDMX,ZU
2,2.7094895347725525,2.7094895347725525,6.7737238369313815,0.0,166.85414623436554,80.02972970498195,466.5861240606524,0.0,2633.2266312292363,28555.911229235884,713.4699999999999
3,5.585584161013097,5.585584161013096,12.270403403206103,0.0,364.8563433466669,174.9992745051,896.5343821482331,0.0,2286.776126121261,29576.56668522868,722.9200000000001
4,8.61556198934447,8.61033749288306,16.140977043255873,0.0,611.9817815686004,294.27082897384946,1283.7473894575503,0.0,2054.9258558674146,31535.344474723875,753.61
5,11.880820825436109,11.73196810301551,18.637446158466002,0.0,921.1632080709606,440.73243187429205,1621.6243600547475,0.0,1876.1589995257968,33881.42595903593,793.52
6,15.344224345291256,14.780696558604122,20.099577764063174,0.0,1296.7109140269545,612.2752363490401,1913.2338496240056,0.0,1734.912255628375,36481.05559622937,838.6999999999999
7,18.879095494485203,17.631696287527877,20.960961219741105,0.0,1729.1891294207276,804.1146392660633,2173.2762313132093,0.0,1611.8113625204658,39169.89198628868,884.3599999999999
8,22.250737191873615,20.147839667170675,21.419387001693536,0.0,2207.3108047513297,1015.3461678761445,2420.573027372526,0.0,1537.980979316855,42163.99345132264,936.6499999999999
9,25.44854039259723,22.4090825405804,21.688201905792866,0.0,2722.5956554431814,1246.1253742160372,2662.4089703407817,0.0,1490.5400985277352,45289.010775522125,987.9
10,26.793987166175278,23.6554980312597,22.78741133760247,0.0,3138.805151790246,1486.498641669225,3093.7262065405293,0.0,1262.6210212041983,50288.48037123085,1087.9
11,28.05041022458138,24.955416778664883,23.884398861952214,0.0,3578.3969588315954,1764.0615866468356,3567.871454521569,0.0,971.9594534891976,55554.79832001275,1191.3
12,29.746332915473918,25.65687489005555,24.376738990490555,0.0,4142.3713345962415,2053.589682306395,4021.868983097363,0.0,793.7795910086163,61686.65861363556,1307.5
13,33.6574576764071,26.559189008058883,25.031400500787807,0.0,4924.762166235919,2284.9286289811525,4371.139204782928,0.0,440.9863446975364,65233.48525045552,1363.0
14,37.702245281081325,26.9669830571837,25.344523918464454,0.0,5802.895561518765,2502.888450604446,4693.545987876787,0.0,294.0025736288121,69207.61851251201,1418.5
15,40.41445210766113,26.88276240511661,25.308427259898338,0.0,6671.910863001874,2778.23358774157,5088.385549256555,0.0,413.59736186504733,75562.40414384956,1539.2
16,44.09133702038167,27.282662957820634,25.61115473383296,0.0,7646.498460015427,3048.0364607421548,5457.595079242417,0.0,253.75815989951252,80235.37843969352,1613.6
17,47.61553581101893,27.66510408509425,25.7721180666309,0.0,8673.255906879225,3347.0349907612244,5821.33910235955,0.0,189.33999930752543,85295.75869224904,1689.5
18,50.58951992057933,27.82517325740041,25.85999830036592,0.0,9727.470347255003,3682.4766017230986,6230.3830510218995,0.0,201.84676433648474,91463.2901874872,1798.6999999999998
19,52.744659683622004,27.553205415785673,25.88366786742496,0.0,10799.627884077681,4056.7996286163525,6723.602487305967,0.0,263.67579116380784,99471.7935242372,1939.7
20,55.54232740855004,28.036967869912974,26.046333976495962,0.0,11952.024219899662,4500.124038691695,7183.281741408644,0.0,171.1122812779622,106198.88892382802,2055.4
21,58.109281239739005,28.47702279444618,26.15694389130418,0.0,13154.970724476845,4997.020846544891,7669.638428978265,0.0,147.12205198713218,113654.94804283102,2186.2
22,60.50180445734071,28.92495244572163,26.25323035752348,0.0,14406.565746072149,5548.611884631595,8182.852369296258,0.0,122.59538173759302,121661.57136707273,2316.4
23,61.07705643914424,28.165426698527817,26.184928223848626,0.0,15655.284451287307,6146.239098813961,8917.906449898732,0.0,331.49830379104515,134943.9880455954,2581.4
24,61.06165480177509,27.665153374755214,26.09677249486195,0.0,16930.625117617074,6913.707568060184,9760.797314322745,0.0,534.1012975480298,150624.65388275287,2885.7
25,60.84892248408309,27.58322386159646,26.039307259313176,0.0,18257.234099167476,7891.550444205914,10692.745456626613,0.0,743.9518900306102,168079.34325380923,3236.3999999999996
26,62.80533138486887,28.25362817083036,26.422792566269482,0.0,19879.682081525927,8848.894276736342,11566.153641737736,0.0,250.60355988000083,180387.01539477898,3453.2000000000003
27,65.22632143967166,29.313312837961657,26.607969442982093,0.0,21649.925326419645,9941.385788714042,12337.61888486632,0.0,25.879819613439395,191920.24704041093,3634.2
28,67.56441569550232,30.331410244198395,26.835173729159603,0.0,23483.228312641575,11109.311372976403,13170.790314382028,0.0,0.0,203904.63387780378,3834.3999999999996
29,67.89243903131889,30.011213114140148,26.66767769064795,0.0,25333.380974194504,12363.0738871354,14306.875138670099,0.0,241.39662652223706,225264.61604458076,4240.0
30,67.97722923822978,29.695829560023867,26.67029914065887,0.0,27267.836988497747,13763.911775554603,15683.081235947651,0.0,394.01099803505167,249240.8563728075,4711.5
31,70.04942798445165,30.817896539075655,26.940182296950237,0.0,29418.144895537946,15390.829679361645,16809.355425100413,0.0,0.0,261988.13027376618,4903.5
32,72.12243576285631,31.92790425566873,27.253644825071426,0.0,31602.65626414177,17093.353470508493,17985.02026534974,0.0,0.0,274287.8935654396,5062.7
33,73.97385008189217,32.887435011238765,27.50063896593963,0.0,33831.11754160035,18890.48875199113,19221.223706408513,0.0,0.0,287683.8198253871,5261.799999999999
34,75.10109100913009,33.370595182816885,27.442003460694288,0.0,36124.036609585215,20827.71404559351,20545.07934482127,0.0,0.0,305834.4069315868,5554.0
35,74.61571874329377,32.8408108282473,26.78515590816264,0.0,38531.32273702441,23008.74503941214,22101.862223563443,0.0,83.7554278260759,336286.69340201915,6145.1
36,76.35176394007229,33.90033311656692,27.137388468768524,0.0,41016.87216216388,25326.668458267195,23653.78937956892,0.0,0.0,351306.1069922213,6355.4
37,77.89812824078419,34.81310788730779,27.410140218625106,0.0,43544.4808199475,27759.021096483724,25269.728083568774,0.0,0.0,367591.7720806663,6575.900000000001
38,78.87420581398102,35.3357852703743,27.42939415496789,0.0,46142.50282981457,30365.605082750255,26987.322087435172,0.0,0.0,388783.4115208968,6922.2
39,79.10596872898223,35.375133492355886,27.12598295976525,0.0,48842.25985536933,33221.31377871348,28852.65636591719,0.0,0.0,417429.84716073493,7420.8
40,79.3906963722615,35.49759094854966,26.885681715987197,0.0,51649.714892978955,36343.06234839733,30874.352758623714,0.0,0.0,447269.3930371255,7950.9
41,79.29544427272714,35.37536576317272,26.70249766450116,0.0,54492.55898659685,39678.34217993226,33276.02883347089,0.0,280.063254778579,481832.65331219975,8579.8
42,80.33318050579877,36.07057379017278,26.825873029481475,0.0,57494.981980132856,43336.67252627818,35570.57549358897,0.0,0.0,507045.700967968,8955.3
43,82.00077844966107,37.198343011536636,27.257131839576072,0.0,60520.45802774862,47124.93900425476,37925.432967996625,0.0,0.0,525033.6800184413,9168.6
44,82.62960142977555,37.530200637019945,27.162131724787333,0.0,63614.391649048805,51190.99212334003,40431.74622761117,0.0,0.0,556056.3860102758,9666.300000000001
45,84.15740257219151,38.550514313693405,27.534410281111125,0.0,66724.55314166086,55410.05841280222,43005.31844553693,0.0,0.0,575796.846136013,9902.8
46,85.76101722157344,39.612456725375715,27.938355552592405,0.0,69836.53058816926,59768.63476417851,45633.76464765223,0.0,0.0,594056.9036585113,10099.0
47,87.15300816919869,40.46820357266228,28.245857506351808,21.634242394779175,72941.72269561047,64294.07413041187,48317.81970714253,19.313466835117207,17.85453493835123,614811.4372631162,10334.0
48,87.63282913501654,40.51718184613849,28.155157981729253,17.99593839223738,76080.09194760247,69175.32618815766,51125.550456198915,95.9614080409521,87.33438441819162,649390.0578337637,10904.0
49,87.50926161992615,40.05208109896003,27.864198445507903,15.222791785816952,79284.33064877064,74581.71483347043,54095.166077718124,229.7184400408048,205.84714754191157,695483.5741506533,11714.0
50,87.50910811699228,39.73488338696591,27.723601172961647,13.77278944564539,82561.49400038004,80559.10460137829,57204.767079789024,406.56431845264524,360.66932426381925,742465.221370605,12541.0
51,88.16183571362737,40.02593045559875,27.937204131546967,12.64841038896767,85885.19770601997,87007.10034366089,60383.40107318297,577.2308771361829,506.1683639714819,779695.1351458466,13121.000000000002
52,89.65533521342746,41.08994124645875,28.54187874594324,11.922945062920686,89197.09317248799,93703.61477980108,63531.47530971134,711.7467379996037,616.6800806741885,800839.758024444,13291.0
53,91.29846899709652,42.25189095324094,29.213970172992926,12.145204185702497,92453.82487532111,100571.78985959828,66594.22545799823,912.0898070823862,790.2285159958967,818212.4297294586,13388.000000000002
54,92.12485320058344,42.5638554895582,29.549143438977655,12.980089674304416,95642.10149127709,107798.8253249933,69573.1397942638,1372.863389465801,1203.2474885967683,852287.5455311824,13855.0
55,93.6561155560913,43.72144363020784,30.17235411560403,11.690987319096397,98853.21297145347,115358.9900310796,72544.14518928858,1599.5818081783566,1363.5724042255556,870988.6116727815,13969.000000000002
56,95.24557525639433,45.00616664498361,30.810366973469137,12.443192353282436,101929.45888805095,122900.91843811443,75348.29627858725,2158.25639524737,1869.3935704398734,885483.6718175033,13981.0
57,96.2075483251664,45.65348898653787,31.202833789380815,12.649801533350907,104912.69030103814,130660.53160245573,78035.75851205071,3032.9495844554276,2636.9960463962825,913975.8048572397,14305.0
58,96.83136611988849,46.012708133995176,30.7594663847086,12.587089138948228,107810.22390314618,138722.8579026606,78775.91284539568,4229.168693392129,3686.90223625793,958632.8612473807,15014.999999999998
59,97.81247157015054,46.80852202891552,31.95518696411031,11.981526496048712,110771.03650674944,147309.2126681503,81165.31193720919,5237.933390514648,4514.180315170382,974982.8015694616,15079.000000000002
60,99.44766377448246,48.36999137196142,32.57153094080242,11.980599896368002,113703.6306592075,156019.27293191812,83424.744323835,6108.152659804673,4958.805859005571,985833.3942267341,14983.0
61,101.0016673331621,49.84886087133567,33.17909911779937,11.989596546178074,116536.2915425113,164719.14318721017,85519.1993977063,7139.13614279417,5800.732039188662,997326.4440723289,14906.000000000002
62,102.60368159800734,51.42195178401448,33.8030538670237,12.295503508357518,119254.77461182635,173341.46173048895,87446.48460712012,8330.579982786283,6411.476041772014,1004712.3486090506,14736.0
63,104.07572502786803,52.84799977246059,34.399670239510336,12.449708049253685,121859.0843489542,181927.97232839413,89215.30565299449,9717.736622429951,7280.607980794106,1015022.6520803573,14639.000000000002
64,105.55325250895913,54.31240439266433,34.99951835603364,12.72477080693745,124339.11270077103,190440.39157835516,90801.45966860114,11313.714708248504,8064.453532351228,1023456.6864553572,14501.0
65,107.03634470372761,55.82584708430181,35.611809799796156,13.130868397919548,126684.91228366192,198835.24896231963,92210.3302519912,13125.97594930192,8678.833463784957,1029404.4278891892,14308.999999999998
66,108.41207499774625,57.20155183735541,36.186111128139515,13.268780839478591,128897.09006941578,207158.11854535664,93344.56892154437,15213.04227667214,9804.604426867667,1039858.3133764901,14227.0
67,109.80696618259734,58.767431848520204,36.743284141640586,13.588650870908122,130969.6706096649,215306.31041771686,94303.94073356061,17581.596750703622,10663.841186930533,1045933.8814248131,14049.0
68,111.1909716309989,60.46051798941729,37.234236869860894,13.950935619514206,132897.48035602615,223204.0547781463,95057.01549187288,20252.847677219335,11452.796682938464,1050174.92826801,13831.0
69,112.52810349128026,62.209368197484544,37.64827334577608,14.208129210780863,134680.41116073917,230815.53876858027,95526.44633624516,23273.44045815547,12507.8910701395,1055502.7674544454,13645.000000000002
70,113.8648991751766,64.11073978689537,38.146034429567756,14.834617969770374,136308.8585042615,238052.77874230515,96018.81790106386,26599.1855547187,12587.524224483313,1053161.3829341554,13289.000000000002
71,115.09465941095154,65.95939220174067,38.59229769739925,15.535682843059138,137781.01730988716,244917.10203268394,96529.8478605165,30221.042791156262,12306.143675348692,1050641.2724041792,12934.0
72,115.44193235174222,67.75705277196775,39.003387938127176,16.597580666915285,138196.74136964127,251592.0849669084,97088.5165048989,34091.08889683581,10858.545350013173,1023971.390320551,12018.0
73,114.97787208174786,69.50331048768248,39.41975969369067,17.571991344740777,137641.2099799125,258076.20140368448,97621.06206367782,38215.68966487837,9405.050971587429,999540.9322718603,11179.0
74,114.54321398095087,72.00251487910808,92.2551912675019,18.928820001765633,137120.87623361798,267356.1216167631,227076.920595161,43738.1220450581,7997.568257145627,979074.6918524366,10454.0
75,112.95835046937566,74.01176286500636,89.28959668658241,20.442096540792402,135223.6195925216,274816.76031498064,216664.66775882302,50455.992932026114,5626.670681892079,821922.8047668231,3425.1
76,110.59652751113786,75.81435112034625,85.11964316126563,21.910771241572046,132396.25669351913,281510.0404820521,205062.68610445113,57313.471881479585,1859.3466327782517,812114.6055526726,3152.5
77,108.38420430933654,77.29821287974619,82.76318369106315,22.96153923225976,129747.86151234838,287019.84143379226,195466.22466730958,64332.77080295484,0.0,806957.372274621,3052.6
78,106.30957840390876,78.5113914986126,80.05208473346609,23.989994590512303,127264.30520095894,291524.5553443145,186385.60484150305,71407.58833025774,0.0,802707.440931811,2946.5
79,104.35422444925537,79.48361152256334,77.14420365577966,25.456864930369015,124923.53058594305,295134.55390336545,176790.50185746475,78347.3298594604,0.0,792411.5682071496,2705.8
80,103.01928494030572,80.9122501220111,134.03066800434837,26.875117871637244,123325.46057529631,300439.3029913891,300047.22125407757,86768.5642935331,0.0,783041.0422663882,2519.8
81,101.5034553424785,81.79204678111466,125.5497596610862,28.334190095784958,121510.84515242641,303706.1197544459,277656.3208615672,95499.78379590882,0.0,734168.6991827933,0.0
82,100.01855112189482,82.43740516907812,124.90393737665732,29.665722408193794,119733.25082123106,306102.4321047638,264083.38447954244,103967.99991407391,0.0,722522.92062255,0.0
83,98.58302541176113,82.90299804814832,120.96495089426504,30.729006163046208,118014.76801995264,307831.248196946,251410.68611486044,112280.29449767694,0.0,713479.9524546512,0.0
84,97.19645112888557,83.21539986529051,114.39331193702468,31.754121451265867,116354.88548284734,308991.24293264933,233638.6024346154,120398.68793892315,0.0,704048.3661295112,0.0
85,95.82487900738566,83.35778347420421,111.73730243871631,32.3496103909168,114712.96218960932,309519.93459744577,218296.09911991644,128308.67891091718,0.0,699022.3325363875,0.0
86,94.4865871898543,83.37264038710286,110.31637428480376,33.14974658416517,113110.87909539216,309575.10054016946,207083.0258109464,135941.42670454166,0.0,690797.5543804225,0.0
87,93.18473599637304,83.28157204890628,103.73965182399989,33.67190907114951,111552.4194523301,309236.95016107225,189915.80137617825,143360.25074832616,0.0,685505.524268053,0.0
88,92.2624770787666,83.4915247631119,176.90159096363362,34.45672387356747,110448.3736821678,310016.5360336931,303995.49245846266,151993.47649907944,0.0,680461.6299223255,0.0
89,89.95655075542362,81.96640673172597,172.11905305237113,35.2604699238346,107687.92522784437,304353.5443650862,282046.9312513232,160028.63895440853,0.0,684916.394178879,0.0
90,88.69068793132364,81.98588932239494,166.8197565329923,35.8957921256765,104525.26447381589,298337.3684193191,259233.0064528742,167645.84929182642,0.0,669256.1126699585,0.0
91,87.82508208363248,81.90267438528382,165.09412012108064,36.637468960447464,101435.01356701549,292073.86751145194,240401.92125282402,174785.41635298732,0.0,650772.0614798893,0.0
92,86.95674048900203,81.73320750877484,163.3058740523042,37.09393627594872,98423.46608898195,285640.1395481582,224765.58146247637,181503.15624072088,0.0,636040.8380483689,0.0
93,86.1024549621578,81.50361165829601,156.530778236965,37.69556430174565,95507.39791210895,279140.9959672763,205201.28491579098,187784.4901856149,0.0,619307.1505196368,0.0
94,85.26009662046302,81.21842364004225,156.52613676548998,38.28579826232447,92681.56846379799,272600.9728943908,189990.44464482082,193575.62433266194,0.0,602418.6567053488,0.0
95,84.43980741819747,80.89456383631297,144.87079312704213,38.73465750892288,89954.07958067997,266083.6925788203,165218.17752639813,198923.7183609211,0.0,587296.9035013693,0.0
96,83.62923180017235,80.5241536127668,148.24325001360324,39.0024586523848,87308.75858893256,259568.00873363597,147014.49400680343,203750.62580030228,0.0,574200.8900820045,0.0
97,82.84742765921924,80.13212350500898,143.15637551399942,39.340447537089624,84762.70542489858,253138.2213235128,126904.85061062404,208106.84047959017,0.0,560058.1928746868,0.0
98,82.09533842016003,79.72352912923888,141.8116659208347,39.47274210092237,82313.3647018093,246810.51804329568,107910.35477575182,211993.47150280277,0.0,548449.2855759729,0.0
99,81.38015245537635,79.30947380714319,144.65680717588688,39.47994629094505,79964.35378071584,240618.09956585526,92425.7736482622,215431.2561347174,0.0,538386.8007648885,0.0
100,80.71363454607108,78.90532928967241,150.99441020890976,39.57543240714394,77723.24288385107,234604.12077576018,81677.39599668201,218448.079715557,0.0,526953.8138046584,0.0
101,80.10618635728736,78.52454605801691,152.5985383685898,39.73863196833397,75595.53427976019,228802.52332809902,72701.5440144647,221081.44784905907,0.0,514409.08440537547,0.0
102,79.56318150643524,78.17491337193783,144.82121719403574,39.874021594764436,73581.44306592326,223228.09836678108,61229.51212582497,223350.63478113714,0.0,502045.38320521277,0.0
103,79.08754968591201,77.86132345391172,152.84937165779823,40.05354198908123,71678.73890622756,217885.9909505594,53166.84008371599,225249.45730265204,0.0,488796.2713151794,0.0
104,78.68578039842515,77.59202616306041,133.92070329221553,40.291316249930055,69888.31466629483,212789.7454761254,39908.68572663725,226804.78908740502,0.0,474530.10844587354,0.0
105,78.35983491880744,77.3702820851523,151.86329918876353,40.50517314731002,68206.8352989463,207937.99798142677,30586.544182983707,228008.61594191325,0.0,460335.35133527673,0.0
106,78.115775922532,77.2033006211133,215.6820028606764,40.661969861239626,66634.51078930692,203339.43924391372,30475.320385954674,228891.2439854303,0.0,446749.12731995445,0.0
107,77.95970141101314,77.09805373828705,160.75012626768682,40.76714453330357,65171.34821211953,199000.99335209042,22713.58544113188,229483.28518772885,0.0,433715.6211153993,0.0
108,77.89457715339921,77.05801523507212,160.15184130560388,40.81882645136017,63814.56867107999,194919.69533994305,14969.806818091387,229774.2090794118,0.0,421181.10133361485,0.0
109,79.48426240142776,78.63062779088992,330.5193846138988,40.81882645136017,63814.56867107999,194919.69533994305,14969.806818091387,229774.2090794118,0.0,402582.4914449247,0.0
