day,min_zn_inrice,max_zn_inrice,zn_actual
1,2559.5813953488378,28801.39534883721,336.54999999999995
2,2912.45782416741,30333.47784215301,684.06
3,3397.0920825490966,32931.99491064997,1053.6899999999998
4,3974.606751588003,36037.67798150845,1451.07
5,4654.361821507513,39638.12401390596,1881.2399999999998
6,5380.381624587357,43197.79826741545,2342.47
7,6239.557803371772,47383.267462258395,2841.46
8,7131.0410201458635,51368.8766624906,3372.25
9,7953.084521527405,57867.2175513258,3966.33
10,8804.352818133888,64688.206404914206,4625.17
11,9790.262252485847,72616.16838476098,5354.619999999999
12,10278.263764388928,76944.71208365294,6117.09
13,10813.762531754204,81690.14805414955,6908.109999999999
14,11693.8659715442,89114.86499081121,7764.799999999999
15,12295.887611397042,94512.78241684206,8661.099999999999
16,12932.127876719289,100240.2032823933,9593.949999999999
17,13699.230068561044,107049.46877903392,10582.3
18,14699.660008653582,115756.21310521953,11636.699999999999
19,15488.187106858892,122901.12481292088,12746.8
20,16364.785709078586,130817.79736440573,13920.0
21,17285.477700978456,139169.17799951017,15150.2
22,18860.785273424,152825.50033138832,16504.1
23,20764.712293431134,169257.04404998658,17998.9
24,22888.166072518048,187601.213399929,19662.100000000002
25,24260.9177933092,200048.95939355408,21424.2
26,25531.93137783897,211779.68830832653,23265.0
27,26839.231245464915,223900.3199923196,25197.8
28,29342.792048826435,245858.68674386267,27315.399999999998
29,32271.672591337556,271464.1265721288,29664.5
30,34265.710802251604,285131.90493991884,32110.899999999998
31,36248.59547055776,298411.1085022764,34633.7
32,38391.31587906701,312663.44403147453,37256.4
33,41147.34551256095,331388.21005216445,40011.7
34,45980.58832197512,365721.4190059473,43076.2
35,48533.849127063375,381984.5510225323,46249.1
36,51287.737746852006,399414.49324510514,49527.8
37,54702.101005101315,421397.45602421137,52971.399999999994
38,59247.110807019926,451247.6755497826,56646.49999999999
39,64140.28694018117,483013.74668302224,60581.5
40,70294.74675436519,523181.8041947308,64860.2
41,74761.2507255403,550516.417987321,69323.5
42,78346.55045951292,571092.8667433871,73910.5
43,83788.53430975629,604134.4074687071,78735.6
44,87770.4627649216,626476.0276986704,83694.5
45,91636.38817422895,647570.5265078184,88771.6
46,95904.36196902217,670968.9620318989,93974.6
47,102311.54929160647,708192.7035844801,99460.6
48,111474.69486126829,762941.6959135691,105393.0
49,121391.37429971807,821637.5763904257,111817.79999999999
50,129259.3836623224,865992.9608307945,118573.90000000001
51,134798.56855634289,894577.5908846782,125471.90000000001
52,139954.3266352304,920187.5184707845,132494.1
53,148134.55394934397,964337.3408086789,139816.1
54,154079.43402951796,993666.1016637797,147291.80000000002
55,159610.19517199823,1019835.7750251996,154885.2
56,168100.6970127323,1063502.9212056766,162760.9
57,179682.45086809187,1124921.4009201964,171113.7
58,190042.69074321125,1177836.92869528,179828.1
59,196324.8553861934,1205645.0046699303,188650.8
60,203032.21717270726,1235360.4063286616,197599.3
61,209164.45413374816,1261162.8112828238,206630.40000000002
62,216291.28747523922,1292105.120133272,215795.80000000002
63,223272.1903386042,1321580.8435814849,225077.5
64,230176.81065553182,1350016.0205326676,234462.3
65,239389.39427925163,1390581.9062289745,244074.39999999997
66,247517.18965548984,1424439.3796427415,252266.84719979463
67,255312.91305147085,1457505.087023331,262070.48456948678
68,264124.9371429316,1494057.7194829413,272023.80075926275
69,270593.3752255656,1517532.8083288064,281987.3405002035
70,276865.93416545674,1539614.6493632684,291974.7934082794
71,281307.9549455081,1551698.9770071788,301845.86739923555
72,286124.09167787124,1565572.979603041,311355.5087223447
73,291178.94827558886,1580769.9948516255,321346.20872234466
74,297673.0320577641,1602669.2063952792,467000.1195648407
75,303440.681887026,1620850.9164829676,472762.9126106651
76,311242.0965967049,1649448.7019398091,479622.4201075955
77,319716.69525602116,1680771.1436920725,486396.9264381481
78,323603.436380555,1688884.2796514295,492853.7669953742
79,329023.92027343577,1707168.869699999,499772.73263150116
80,317330.03822296706,1709917.0400339079,506416.3814026114
81,305388.14405985136,1711350.3391014521,647979.8942653772
82,293566.31958770746,1713996.4459733646,649183.7419890094
83,281165.09426869784,1713774.9196891694,651211.120910879
84,269658.67247144046,1718475.537598345,651469.4158390602
85,256110.94079580504,1712128.4917460745,654275.9599055056
86,244544.8999995233,1716021.9833952556,657064.6886922917
87,233160.21355744882,1721036.3448461303,658595.6990740752
88,235785.50067548998,1726243.6211548543,657959.0061795495
89,237244.67944019477,1726253.8551834929,660453.7769016575
90,238781.06448877516,1724470.1332584163,662780.7668949582
91,241046.8347560676,1727224.4768074185,799374.774839466
92,242158.77703563258,1723596.2063848772,793929.4646592977
93,242190.53603981624,1715267.5850566765,788534.0298143233
94,242678.73328977925,1709867.8916366596,785652.5974062571
95,244716.6050334533,1712516.7222505347,781392.7318989445
96,245401.32311351976,1708083.474960127,776880.0840009125
97,247163.2684424203,1710496.7857985608,771097.2857789444
98,249665.52189686074,1718563.9179533264,767871.0591657043
99,252477.43855048882,1727071.1142404936,766053.5409698131
100,255396.13307622832,1735485.3166853152,762341.0186867277
101,257739.32190251746,1742229.4958936372,760624.5593538183
102,260346.45609972122,1749273.5511382518,759282.08985054
103,262740.6694701135,1754991.9076476693,757818.9517447329
104,264991.42377854546,1760207.4094248014,754591.8670072452
105,264481.8472659591,1750798.079214804,742102.5431200389
106,262221.0628917969,1728572.61995371,728148.9180646461
107,259961.1688560947,1706340.5521141249,716530.18655833
108,258284.19269372008,1686195.8565479014,707274.3791960534
109,257383.50892783416,1669112.765153021,698740.9036459588
110,255256.33953557408,1644736.7453228354,688318.4508784716
111,253908.58088936572,1627991.7007584048,679776.2807293428
112,251690.44570593885,1604706.7938956455,671715.4231278179
113,251382.41992449455,1593032.2592738254,667109.7248449795
114,252379.00526492184,1585806.6654513674,657681.3570261198
115,250851.1663083211,1570283.3550035362,646700.5070805601
116,247273.3147723775,1545636.9103717941,636696.4491225851
117,244142.86447846037,1523128.0282031265,629370.4539740499
118,241891.2780686319,1502777.473063543,621945.1941779321
119,240619.680362125,1489116.6984413115,615093.7556130702
120,239293.10006653814,1475026.275225388,611499.5222961626
121,239366.85660962889,1465295.980590778,604418.9651109017
122,237725.6630974248,1451021.9729941166,597610.408455147
123,235830.7963925423,1435493.079282456,594357.1360463651
124,234766.85340257402,1420017.2702201796,587820.7902244888
125,233019.4915597979,1406051.6560192276,580235.5297434933
126,230617.63391541745,1390753.962407692,577229.006623476
127,229811.0001109062,1377839.540068841,570478.7933025789
128,226663.0779634926,1357671.2358917994,567545.3501309367
129,225461.2843258115,1342999.6538846795,560428.9316886778
130,222742.38348190064,1327124.9355712782,557587.1787304163
131,222063.70018207477,1316183.7942454927,551018.0968678831
132,218879.07073093907,1297435.8972112811,548248.7189136033
133,218092.99010931383,1286404.48419711,542921.7592200503
134,216044.55847045302,1272691.5045341859,540235.305833944
135,215204.94440717582,1261841.6124885636,537572.788768345
136,214269.31531394727,1250635.0180670223,532571.6268423684
137,211793.58526455882,1234796.0998250348,528463.8177848944
138,209832.70842868503,1220522.2005707708,525844.7642025657
139,208606.30645955176,1208254.0764744089,521662.967711123
140,206643.60108616666,1194628.1107020057,519056.99386718404
