field_name,soil_init_zn,sumbot_flow,soilzncontent,allplantzn,allricezn,addzn,mass_balance,soilzn,sprinklezn
1,31.89855,-0.05861895372299996,31.89899311814997,0.0061771326,0.0032750085475313565,0.02740486297568512,-0.03783434149728393,0,3
2,31.89855,-0.048737407164000005,32.30863987817999,0.005711169900000001,0.002309421001841755,0.47740261298693504,0.012864157742946247,3,3
3,31.89855,-0.048737407164000005,32.16807374768999,0.0056823823,0.0022977420907941176,0.32740336298318506,0.003459825829196461,2,3
4,31.89855,-0.048737407164000005,31.857624510689988,0.0068463343499999985,0.0017597835545180333,0.0,-0.014658252203989974,0,0
5,31.89855,-0.048737407164000005,32.03367008093999,0.005700149399999998,0.0022859060319740023,0.1774041129794351,-0.012153524524549653,1,3
6,31.89855,-0.048737407164000005,31.89836536759499,0.0056237729999999994,0.0022740566647770012,0.02740486297568512,-0.026771684783305716,0,3
7,31.89855,-0.05854704624499999,31.86168827566497,0.0077130588999999965,0.0021368830546832124,0.0,-0.029398380809968927,0,0
8,31.89855,-0.058546936244999986,32.307102009164964,0.005553991999999998,0.0029589469577537054,0.47740261298693504,0.0047496755769671495,3,3
9,31.89855,-0.058546936244999986,32.164797101984966,0.005523874800000001,0.002942814007929927,0.32740336298318506,-0.002914550046781983,2,3
10,31.89855,-0.05861895372299996,31.86168784930497,0.008279279600000002,0.0024015930343827753,0.0,-0.030036082627969307,0,0
11,31.89855,-0.05854703624499999,32.033624992754966,0.0055241103,0.0029322011030602805,0.1774041129794351,-0.021742026320531238,1,3
12,31.89855,-0.05854704624499999,31.898843008154973,0.005511308899999996,0.002912249100476832,0.02740486297568512,-0.03694650032428726,0,3
13_1,31.89855,-0.05861895372299996,32.271300730304965,0.0084546557,0.0024746248036589076,0.4499977500112499,0.010173410283286444,3,0
13_2,31.89855,-0.05861895372299996,32.31101168008497,0.0062918607,0.0033331274150229908,0.47740261298693504,3.011847896772224e-05,3,3
13_3,31.89855,-0.05861895372299996,32.31101168008497,0.0062918607,0.0033331274150229908,0.479922600386998,0.0025501058790311504,3,3
13_4,31.89855,-0.05861895372299996,32.30649998266497,0.004929641499999998,0.003950459746613375,0.4742526287368563,0.0027540508488925752,3,3
14,31.89855,-0.05861895372299996,32.17201691011497,0.006253660100000002,0.003313636667102226,0.32740336298318506,-0.010936160954784668,2,3
