field,repeat,×ÑÁ£,Ó±¿Ç
2,1,19.6,65.9
2,2,22.3,57.8
2,3,17.2,56.7
3,1,19.4,57.8
3,2,19.3,58.9
3,3,,60.2
4,1,13.8,22.3
4,2,16.4,21.8
4,3,12.7,20.1
5,1,20.3,67.2
5,2,18.1,63.1
5,3,20.8,64.9
6,1,21.3,66.4
6,2,18.4,64
6,3,20.4,57.2
7,1,27.2,49
7,2,18.5,38.2
7,3,25.7,33.3
8,1,29.8,
8,2,28.3,61.9
8,3,28.4,55.3
9,1,25,68.2
9,2,29.1,52.9
9,3,25.2,46.5
11,1,26.6,56.1
11,2,29.2,58
11,3,30.5,52.5
12,1,25.2,58.8
12,2,30.2,48.6
12,3,30.2,46.6
1,1,,62.3
1,2,29.1,62.1
1,3,29.2,62.7
10,1,24.5,25.7
10,2,,
10,3,29.9,28.9
13_1,1,26,27.6
13_1,2,21.6,26
13_1,3,20.8,28.6
13_1,4,32.4,
13_2,1,41.2,89.35
13_2,2,36.2,94
13_2,3,25.7,82
13_2,4,27.8,85.2
13_2,5,32.9,
13_3,1,30.3,58.2
13_3,2,29.1,36.1
13_3,3,31.1,46.5
13_4,1,37,81.5
13_4,2,36.3,91.2
13_4,3,37.5,85.1
14,1,32.3,46.3
14,2,33.5,62.2
14,3,34.8,48.6
14,4,,38.2
14,5,,42.7
