"field","day","observed_lai","observed_DVS","observed_TAGP","observed_TWSO","observed_WLV","observed_TWST"
"11",2020-06-12,0.100804639,0.3333,185.1,0,155.484,29.616
"11",2020-06-21,0.53648631,0.4256,579.98,0,281.969,298.011
"11",2020-06-26,1.167905995,0.4769,1100.111,0,536.79,563.321
"11",2020-07-01,1.480918359,0.5282,1474.013,0,760.144,713.869
"11",2020-07-06,1.96297264,0.5795,2223.051,0,1112.451,1110.6
"11",2020-07-13,2.925622031,0.6513,5594.6475,0,2869.05,2725.5975
"11",2020-07-20,1.610554931,0.7231,3436.3815,0,1640.9115,1795.47
"11",2020-08-02,5.637486941,0.8564,5495.619,0,2676.546,2819.073
"11",2020-08-14,2.388395721,0.9795,8793.1755,581.214,3532.6335,4679.328
"11",2020-08-25,6.089494664,1.1324,11705.107,1693.665,3996.926,6014.516
"11",2020-09-17,NA,1.4706,13271.053,6609.921,2384.088,4277.044
"11",2020-10-23,NA,2,15598.377,8033.34,1267.0095,6298.0275
"12",2020-06-12,0.05742478,0.3333,132.748,0,107.462666666667,25.2853333333333
"12",2020-06-21,0.195960529,0.4256,270.668,0,138.494666666667,132.173333333333
"12",2020-06-26,0.54194637,0.4769,654.545333333333,0,298.252,356.293333333333
"12",2020-07-01,1.098234949,0.5282,1237.832,0,624.662666666667,613.169333333333
"12",2020-07-06,1.048486052,0.5795,1775.72,0,806.832,968.888
"12",2020-07-13,2.67091449,0.6513,3742.22933333333,0,2044.08933333333,1698.14
"12",2020-07-20,2.824866847,0.7231,2899.768,0,1596.424,1303.344
"12",2020-08-02,5.671536998,0.8564,5633.45733333333,0,2772.76666666667,2860.69066666667
"12",2020-08-14,7.814809882,0.9795,9571.648,924.064,4108.292,4539.292
"12",2020-08-25,4.847498778,1.1324,7451.99,1106.808,2492.904,3852.278
"12",2020-09-17,NA,1.4706,12906.1513333333,6676.47733333333,1615.388,4614.286
"12",2020-10-23,NA,2,15916.83,7421.82,1836.06,6658.95
"7",2020-06-12,0.150215625,0.3333,235.305,0,182.434,52.871
"7",2020-06-21,0.40255781,0.4256,459.571,0,244.601,214.97
"7",2020-06-26,0.793370406,0.4769,766.339,0,369.516,396.823
"7",2020-07-01,1.205742807,0.5282,1185.821,0,607.145,578.676
"7",2020-07-06,1.331090828,0.5795,1785.994,0,876.148,909.846
"7",2020-07-13,1.958373116,0.6513,3467.989,0,1642.487,1825.502
"7",2020-07-20,2.857324797,0.7231,4509.722,0,2117.164,2392.558
"7",2020-08-02,5.440304192,0.8564,5743.185,0,2579.64,3163.545
"7",2020-08-14,4.044541696,0.9795,6478.731,615.86,2504.691,3358.18
"7",2020-08-25,4.731564201,1.1324,7347.326,1213.709,2016.651,4116.966
"7",2020-09-17,NA,1.4706,10933.258,4049.57,1748.81,5134.878
"7",2020-10-23,NA,2,14076.468,5819.877,1347.339,6909.252
"8",2020-06-12,0.24322399,0.3333,270.976,0,228.288,42.688
"8",2020-06-21,0.733266836,0.4256,798.08,0,406.464,391.616
"8",2020-06-26,1.104580292,0.4769,1103.08266666667,0,588.970666666667,514.112
"8",2020-07-01,1.809753331,0.5282,1596.77866666667,0,860.565333333333,736.213333333333
"8",2020-07-06,1.40219127,0.5795,1763.81866666667,0,965.12,798.698666666667
"8",2020-07-13,2.831049459,0.6513,3591.36,0,1739.072,1852.288
"8",2020-07-20,3.19540947,0.7231,3462.05866666667,0,1619.05066666667,1843.008
"8",2020-08-02,5.990582455,0.8564,6015.296,12.3733333333333,3067.968,2934.95466666667
"8",2020-08-14,2.925370925,0.9795,6927.21066666667,116.928,3319.76533333333,3490.51733333333
"8",2020-08-25,4.979895884,1.1324,9371.872,1372.512,3056.832,4942.528
"8",2020-09-17,NA,1.4706,12188.0426666667,4085.056,2365.472,5737.51466666667
"8",2020-10-23,NA,2,14634.8693333333,6155.424,1725.46133333333,6753.984
"9",2020-06-12,0.11559774,0.3333,185.645,0,150.366666666667,35.2783333333333
"9",2020-06-21,0.394341702,0.4256,566.188333333333,0,304.203333333333,261.985
"9",2020-06-26,1.062387751,0.4769,935.743333333333,0,474.233333333333,461.51
"9",2020-07-01,1.58429954,0.5282,1500.775,0,709.615,791.16
"9",2020-07-06,1.070493895,0.5795,1475.6175,0,750.3875,725.23
"9",2020-07-13,2.026460815,0.6513,3893.34,0,1706.08333333333,2187.25666666667
"9",2020-07-20,2.826958945,0.7231,4511.28916666667,0,2108.8925,2402.39666666667
"9",2020-08-02,4.728754186,0.8564,6285.0375,0,2971.1875,3313.85
"9",2020-08-14,6.662844864,0.9795,9606.11666666667,567.923333333333,3991.07833333333,5047.115
"9",2020-08-25,3.86345918,1.1324,9222.10333333333,824.703333333333,3128.205,5269.195
"9",2020-09-17,NA,1.4706,13371.645,5832.49166666667,2221.37833333333,5317.775
"9",2020-10-23,NA,2,14860.275,6721.39,1964.02,6174.865
