day,ZRTC,ZSTC,ZLFC,ZERC,ZART,ZAST,ZALF,ZAER,TZDMI,TZDMX,ZU
2,3.519243982373946,8.798109955934866,3.519243982373946,0.0,216.71995500758624,259.86827136694745,242.41177362546622,0.0,2043.0524385382064,18953.682923588043,719.0
3,6.6758131525856905,16.169595252156043,6.6758131525856905,0.0,436.07126945093194,506.60188023291386,487.7668503161542,0.0,1509.1742285171817,19385.690285207773,711.44
4,9.41236575646556,21.574823768079337,9.4023159381817,0.0,668.580456102708,737.3510365238412,747.7985073734507,0.0,1062.4791501308018,20461.408874544923,723.29
5,11.817737132780156,25.522251510596863,11.794176272995546,0.0,916.2721001620264,958.7891712969661,1026.1987285410073,0.0,648.6424819905438,21813.885804590496,747.53
6,13.890566678680276,28.625051327551652,13.846017442080527,0.0,1173.865097963801,1185.7634718086165,1317.9714302275825,0.0,248.40815382902326,23353.119593303338,776.3399999999999
7,15.75771528268489,31.188012413363943,15.589482756427161,0.0,1443.2931905707585,1422.3666822651421,1616.3501271640991,0.0,0.0,24971.12804118933,804.41
8,17.378209322076753,33.19025352385551,17.05310784981568,0.0,1723.9477898224316,1672.6158875085375,1927.1463226690307,0.0,0.0,26817.96858951778,841.6999999999999
9,18.82550985601913,34.81926092514041,18.315763270808056,0.0,2014.0350116272255,1936.2311898174949,2248.4137985552793,0.0,0.0,28772.17535772086,874.97
10,19.84805394287597,35.47882825100016,19.109915073056392,0.0,2325.117705794689,2229.4702877713626,2594.4520064339486,0.0,0.0,31660.269743897334,950.36
11,20.825684273581505,36.12744645580423,19.84797462564851,0.0,2656.737091312297,2553.7958785288706,2964.9070301588326,0.0,0.0,34683.7702490521,1026.4
12,21.617423562768558,36.41444022732499,20.378706087976123,0.0,3010.3675619005676,2914.630837085382,3362.24160101405,0.0,0.0,38257.11660102027,1111.8
13,23.032217261716784,38.21514085671216,21.56065233302353,0.0,3370.0760546313795,3287.7084227817986,3765.055522586821,0.0,0.0,40013.70545807488,1135.6
14,24.265672285297146,39.58345672918252,22.529628739105,0.0,3734.821651915717,3673.862088035089,4172.256260049193,0.0,0.0,42050.12775971457,1158.1
15,24.962976002933942,39.69300687119935,22.9093849725506,0.0,4121.069124558489,4102.124745447812,4606.046129993699,0.0,0.0,45702.5408204478,1248.3
16,26.043408021663794,40.75269530053992,23.694983110818058,0.0,4516.553427244692,4552.917042650869,5049.269530104439,0.0,0.0,48166.73830785742,1289.5
17,27.018466731002405,41.56814222301358,24.358776929602698,0.0,4921.462547424641,5029.080176001497,5502.097276573862,0.0,0.0,50880.98132687867,1333.9
18,27.78699694766607,41.90738593494544,24.796793849596355,0.0,5342.948287946347,5546.163781883096,5974.227930170558,0.0,0.0,54337.00534495263,1410.7
19,28.262710035262636,41.581190884152484,24.92490968983785,0.0,5786.874978571563,6122.211814949568,6474.5532064788695,0.0,0.0,59035.22135979287,1520.3
20,29.030286467352656,42.02136233338051,25.35734240154442,0.0,6246.959808079858,6744.714466001431,6993.265725918713,0.0,0.0,62815.34674689935,1601.3
21,29.708998426994672,42.29801129665631,25.693512103225892,0.0,6725.621040608812,7422.266215905295,7533.752743485894,0.0,0.0,67070.11221778538,1696.6999999999998
22,30.329469088936875,42.52067310172254,25.970405877943257,0.0,7221.991052867143,8156.649956727926,8094.698990404932,0.0,0.0,71664.6634850241,1791.7
23,30.2818628440434,41.32500107613284,25.58848791418739,0.0,7761.853700508978,9017.911927673113,8714.77437181791,0.0,0.0,79859.94028420304,2021.1999999999998
24,30.11796079453958,40.13112462877421,25.137656963094226,0.0,8350.836628564717,10029.037479109138,9402.065892326144,0.0,0.0,89616.21718003643,2287.4
25,29.98105677375879,39.19912100751415,24.755363325611828,0.0,8995.577073729231,11214.854447453468,10165.5084788173,0.0,0.0,100506.05398134544,2594.0
