0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.8577E-04,0.7688E-01,0.8644E-04,0.7688E-01,0.8683E-04,0.7688E-01,0.8461E-04,0.7688E-01,0.5805E-04,0.7003E-01,0.5976E-04,0.7003E-01,0.5930E-04,0.7003E-01,0.28960E-06,0.28960E-06
0.8577E-04,0.7688E-01,0.8644E-04,0.7688E-01,0.8683E-04,0.7688E-01,0.8460E-04,0.7688E-01,0.5806E-04,0.7003E-01,0.5976E-04,0.7003E-01,0.5930E-04,0.7003E-01,0.28960E-06,0.28960E-06
0.8577E-04,0.7688E-01,0.8644E-04,0.7688E-01,0.8683E-04,0.7688E-01,0.8461E-04,0.7688E-01,0.5805E-04,0.7003E-01,0.5976E-04,0.7003E-01,0.5930E-04,0.7003E-01,0.28960E-06,0.28960E-06
0.6911E-04,0.7688E-01,0.6951E-04,0.7688E-01,0.6987E-04,0.7688E-01,0.6804E-04,0.7688E-01,0.4655E-04,0.6999E-01,0.4796E-04,0.6999E-01,0.4758E-04,0.6999E-01,0.23244E-06,0.23244E-06
0.2519E-03,0.7685E-01,0.2593E-03,0.7685E-01,0.2585E-03,0.7685E-01,0.2542E-03,0.7685E-01,0.1818E-03,0.6996E-01,0.1856E-03,0.6996E-01,0.1846E-03,0.6996E-01,0.89720E-06,0.89720E-06
0.8592E-04,0.7688E-01,0.8640E-04,0.7688E-01,0.8684E-04,0.7688E-01,0.8459E-04,0.7688E-01,0.5804E-04,0.7003E-01,0.5976E-04,0.7003E-01,0.5930E-04,0.7003E-01,0.28960E-06,0.28960E-06
0.8577E-04,0.7688E-01,0.8644E-04,0.7688E-01,0.8683E-04,0.7688E-01,0.8461E-04,0.7688E-01,0.5805E-04,0.7003E-01,0.5976E-04,0.7003E-01,0.5930E-04,0.7003E-01,0.34506E-06,0.34506E-06
0.8577E-04,0.7688E-01,0.8644E-04,0.7688E-01,0.8683E-04,0.7688E-01,0.8461E-04,0.7688E-01,0.5805E-04,0.7003E-01,0.5976E-04,0.7003E-01,0.5930E-04,0.7003E-01,0.28960E-06,0.28960E-06
0.2096E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2096E-03,0.7685E-01,0.1500E-03,0.6997E-01,0.1532E-03,0.6997E-01,0.1524E-03,0.6997E-01,0.88247E-06,0.88247E-06
0.2096E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2096E-03,0.7685E-01,0.1501E-03,0.6997E-01,0.1532E-03,0.6997E-01,0.1524E-03,0.6997E-01,0.88247E-06,0.88247E-06
0.2532E-03,0.7685E-01,0.2589E-03,0.7685E-01,0.2586E-03,0.7685E-01,0.2540E-03,0.7685E-01,0.1818E-03,0.6996E-01,0.1856E-03,0.6996E-01,0.1846E-03,0.6996E-01,0.10690E-05,0.10690E-05
0.6921E-04,0.7688E-01,0.6948E-04,0.7688E-01,0.6988E-04,0.7688E-01,0.6803E-04,0.7688E-01,0.4655E-04,0.6999E-01,0.4796E-04,0.6999E-01,0.4758E-04,0.6999E-01,0.27695E-06,0.27695E-06
0.2087E-03,0.7685E-01,0.2137E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2096E-03,0.7685E-01,0.1501E-03,0.6997E-01,0.1532E-03,0.6997E-01,0.1524E-03,0.6997E-01,0.88247E-06,0.88247E-06
0.2096E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2096E-03,0.7685E-01,0.1501E-03,0.6997E-01,0.1532E-03,0.6997E-01,0.1524E-03,0.6997E-01,0.74066E-06,0.74066E-06
0.2096E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2096E-03,0.7685E-01,0.1501E-03,0.6997E-01,0.1532E-03,0.6997E-01,0.1524E-03,0.6997E-01,0.88247E-06,0.88247E-06
0.2096E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2134E-03,0.7685E-01,0.2096E-03,0.7685E-01,0.1501E-03,0.6997E-01,0.1532E-03,0.6997E-01,0.1524E-03,0.6997E-01,0.88247E-06,0.88247E-06
0.2654E-03,0.7684E-01,0.2796E-03,0.7684E-01,0.2769E-03,0.7684E-01,0.2736E-03,0.7684E-01,0.1998E-03,0.6995E-01,0.2029E-03,0.6995E-01,0.2021E-03,0.6995E-01,0.47334E-05,0.47334E-05
0.2654E-03,0.7684E-01,0.2796E-03,0.7684E-01,0.2769E-03,0.7684E-01,0.2737E-03,0.7684E-01,0.1997E-03,0.6995E-01,0.2029E-03,0.6995E-01,0.2020E-03,0.6995E-01,0.47334E-05,0.47334E-05
0.2654E-03,0.7684E-01,0.2796E-03,0.7684E-01,0.2769E-03,0.7684E-01,0.2736E-03,0.7684E-01,0.1998E-03,0.6995E-01,0.2029E-03,0.6995E-01,0.2021E-03,0.6995E-01,0.47334E-05,0.47334E-05
0.4852E-03,0.7678E-01,0.5366E-03,0.7678E-01,0.5248E-03,0.7678E-01,0.5210E-03,0.7678E-01,0.3810E-03,0.6991E-01,0.3855E-03,0.6991E-01,0.3843E-03,0.6991E-01,0.89899E-05,0.89899E-05
0.2559E-04,0.7663E-01,0.2565E-04,0.7663E-01,0.2582E-04,0.7663E-01,0.2507E-04,0.7663E-01,0.1695E-04,0.7000E-01,0.1751E-04,0.7000E-01,0.1736E-04,0.7000E-01,0.41044E-06,0.41044E-06
0.2690E-03,0.7684E-01,0.2786E-03,0.7684E-01,0.2772E-03,0.7684E-01,0.2733E-03,0.7684E-01,0.1996E-03,0.6995E-01,0.2029E-03,0.6995E-01,0.2020E-03,0.6995E-01,0.47334E-05,0.47334E-05
0.2654E-03,0.7684E-01,0.2796E-03,0.7684E-01,0.2769E-03,0.7684E-01,0.2736E-03,0.7684E-01,0.1998E-03,0.6995E-01,0.2029E-03,0.6995E-01,0.2021E-03,0.6995E-01,0.77357E-05,0.77357E-05
0.2654E-03,0.7684E-01,0.2796E-03,0.7684E-01,0.2769E-03,0.7684E-01,0.2736E-03,0.7684E-01,0.1998E-03,0.6995E-01,0.2029E-03,0.6995E-01,0.2021E-03,0.6995E-01,0.47334E-05,0.47334E-05
0.5959E-04,0.7692E-01,0.5988E-04,0.7692E-01,0.6029E-04,0.7692E-01,0.5836E-04,0.7692E-01,0.3862E-04,0.6994E-01,0.4003E-04,0.6994E-01,0.3966E-04,0.6994E-01,0.15368E-05,0.15368E-05
0.5959E-04,0.7692E-01,0.5988E-04,0.7692E-01,0.6029E-04,0.7692E-01,0.5837E-04,0.7692E-01,0.3862E-04,0.6994E-01,0.4004E-04,0.6994E-01,0.3966E-04,0.6994E-01,0.15368E-05,0.15368E-05
0.2562E-04,0.7663E-01,0.2564E-04,0.7663E-01,0.2583E-04,0.7663E-01,0.2507E-04,0.7663E-01,0.1694E-04,0.7000E-01,0.1751E-04,0.7000E-01,0.1736E-04,0.7000E-01,0.67124E-06,0.67124E-06
0.4977E-03,0.7678E-01,0.5332E-03,0.7678E-01,0.5256E-03,0.7678E-01,0.5206E-03,0.7678E-01,0.3800E-03,0.6991E-01,0.3857E-03,0.6991E-01,0.3842E-03,0.6991E-01,0.14682E-04,0.14682E-04
0.5942E-04,0.7692E-01,0.5993E-04,0.7692E-01,0.6027E-04,0.7692E-01,0.5838E-04,0.7692E-01,0.3863E-04,0.6994E-01,0.4003E-04,0.6994E-01,0.3966E-04,0.6994E-01,0.15368E-05,0.15368E-05
0.5959E-04,0.7692E-01,0.5988E-04,0.7692E-01,0.6029E-04,0.7692E-01,0.5837E-04,0.7692E-01,0.3862E-04,0.6994E-01,0.4004E-04,0.6994E-01,0.3966E-04,0.6994E-01,0.93979E-06,0.93979E-06
