Fast first order indexes
                    	               conc0	               conc6	               conc9	              conc15	              conc20	              conc30	              conc40	              conc60	   all_solute_uptake	
              Diffus	              0.2404	              0.0152	              0.0952	              0.1850	              0.0229	              0.5230	              0.2993	              0.0912	              0.0019	
                Disp	              0.0028	           4.37e-005	           6.19e-005	           5.18e-005	              0.0015	            0.000462	              0.0038	              0.0503	              0.0059	
                  Kd	              0.6522	              0.9390	              0.8913	              0.7847	              0.6442	              0.1315	              0.3446	              0.3279	              0.4987	
                yita	              0.0013	           8.51e-005	           9.62e-005	            0.000142	              0.0019	              0.0020	              0.0012	              0.0109	              0.0022	
               alpha	              0.0479	              0.0078	              0.0036	            0.000336	              0.0486	              0.0788	              0.0737	              0.0063	              0.0028	
                  Km	              0.0010	            0.000554	              0.0017	              0.0040	              0.0115	              0.0093	              0.0108	              0.0800	              0.4003	

Fast total order Indexes
                    	               conc0	               conc6	               conc9	              conc15	              conc20	              conc30	              conc40	              conc60	   all_solute_uptake	
              Diffus	            0.277274	            0.062261	            0.131969	            0.214008	            0.253479	            0.776739	            0.480267	            0.576866	            0.074290	
                Disp	            0.029288	            0.020300	            0.023909	            0.023478	            0.033923	            0.028140	            0.036721	            0.405924	            0.184810	
                  Kd	            0.693738	            0.988131	            0.928214	            0.827622	            0.904922	            0.413622	            0.591345	            0.899618	            0.563705	
                yita	            0.038582	            0.016417	            0.016254	            0.017700	            0.031742	            0.040508	            0.022722	            0.282149	            0.073398	
               alpha	            0.075613	            0.022790	            0.018737	            0.016950	            0.074027	            0.157179	            0.213573	            0.348645	            0.085562	
                  Km	            0.023764	            0.018571	            0.022500	            0.028366	            0.056550	            0.039297	            0.043032	            0.561076	            0.472135	
