Fast first order indexes
                    	                ZRTC	                ZSTC	                ZLFC	                ZERC	                ZART	                ZAST	                ZALF	                ZAER	               TZDMI	               TZDMX	                SUMZ	              SUMTZA	
             MIZRTT1	              0.0389	              0.0120	              0.1367	              0.0129	              0.0389	              0.0120	              0.1367	              0.0129	                   0	              0.0559	            0.000149	              0.0149	
             MIZRTT2	              0.0548	              0.0034	              0.0239	              0.0183	              0.0548	              0.0034	              0.0239	              0.0183	                   0	              0.0711	            0.000148	              0.0127	
             MIZRTT3	              0.0243	              0.0079	              0.0925	              0.0209	              0.0243	              0.0079	              0.0925	              0.0209	                   0	              0.0457	             0.00015	              0.0394	
             MIZRTT4	              0.0571	              0.0410	              0.0636	              0.0045	              0.0571	              0.0410	              0.0636	              0.0045	                   0	              0.0421	            0.000151	              0.0450	
             MIZRTT5	              0.0503	              0.0495	              0.0635	              0.0243	              0.0503	              0.0495	              0.0635	              0.0243	                   0	              0.0356	            0.000149	              0.0278	
             MIZRTT6	              0.0379	              0.0053	              0.0666	              0.0066	              0.0379	              0.0053	              0.0666	              0.0066	                   0	              0.0608	            0.000152	              0.0118	
             MIZSTT1	              0.0388	              0.0081	              0.0268	              0.0061	              0.0388	              0.0081	              0.0268	              0.0061	                   0	              0.0832	            0.000149	              0.0047	
             MIZSTT2	              0.0335	              0.0133	              0.1485	              0.0284	              0.0335	              0.0133	              0.1485	              0.0284	                   0	              0.0291	            0.000154	              0.0219	
             MIZSTT3	              0.0759	              0.0128	              0.0725	              0.0074	              0.0759	              0.0128	              0.0725	              0.0074	                   0	              0.0593	            0.000152	              0.0050	
             MIZSTT4	              0.0265	              0.0128	              0.0372	              0.0236	              0.0265	              0.0128	              0.0372	              0.0236	                   0	              0.0395	            0.000154	              0.0359	
             MIZSTT5	              0.0185	              0.0554	              0.1221	              0.0057	              0.0185	              0.0554	              0.1221	              0.0057	              0.1096	              0.0430	            0.000149	              0.0448	
             MIZSTT6	              0.0279	              0.0109	              0.1200	              0.0040	              0.0279	              0.0109	              0.1200	              0.0040	                   0	              0.0706	            0.000149	              0.0091	
             MIZLFT1	              0.0150	              0.0043	              0.1391	              0.0311	              0.0150	              0.0043	              0.1391	              0.0311	                   0	              0.0534	            0.000149	              0.0167	
             MIZLFT2	              0.0121	              0.0106	              0.1226	              0.0192	              0.0121	              0.0106	              0.1226	              0.0192	                   0	              0.0552	            0.000152	              0.0362	
             MIZLFT3	              0.0117	              0.0166	              0.0456	              0.0030	              0.0117	              0.0166	              0.0456	              0.0030	                   0	              0.0651	            0.000151	              0.0100	
             MIZLFT4	              0.0915	              0.0117	              0.0495	              0.0072	              0.0915	              0.0117	              0.0495	              0.0072	                   0	              0.0522	            0.000148	              0.0125	
             MIZLFT5	              0.0488	              0.0263	              0.0483	              0.0128	              0.0488	              0.0263	              0.0483	              0.0128	                   0	              0.0502	            0.000149	              0.0133	
             MIZLFT6	              0.0109	              0.0265	              0.1001	              0.0209	              0.0109	              0.0265	              0.1001	              0.0209	                   0	              0.0427	            0.000149	              0.0248	
             MIZERT1	              0.0910	              0.0226	              0.0645	              0.0297	              0.0910	              0.0226	              0.0645	              0.0297	                   0	              0.0293	            0.000148	              0.0184	
             MIZERT2	              0.0241	              0.0259	              0.1178	              0.0066	              0.0241	              0.0259	              0.1178	              0.0066	                   0	              0.0422	            0.000152	              0.0483	
             MIZERT3	              0.0448	              0.0140	              0.0165	              0.0266	              0.0448	              0.0140	              0.0165	              0.0266	                   0	              0.0493	            0.000149	              0.0338	
             MIZERT4	              0.1225	              0.0095	              0.0336	              0.0124	              0.1225	              0.0095	              0.0336	              0.0124	              0.1096	              0.0523	            0.000149	              0.0447	
             MIZERT5	              0.0403	              0.0175	              0.0841	              0.0263	              0.0403	              0.0175	              0.0841	              0.0263	                   0	              0.0315	            0.000151	              0.0267	
             MIZERT6	              0.0648	              0.0074	              0.0323	              0.0447	              0.0648	              0.0074	              0.0323	              0.0447	                   0	              0.0303	            0.000154	              0.0307	
             MXZRTT1	              0.0264	              0.0229	              0.1683	              0.0185	              0.0264	              0.0229	              0.1683	              0.0185	                   0	              0.0387	            0.000149	              0.0302	
             MXZRTT2	              0.0275	              0.0019	              0.0322	              0.0118	              0.0275	              0.0019	              0.0322	              0.0118	                   0	              0.0644	            0.000152	              0.0084	
             MXZRTT3	              0.0288	              0.0133	              0.1040	              0.0038	              0.0288	              0.0133	              0.1040	              0.0038	              0.1096	              0.0720	            0.000149	              0.0128	
             MXZRTT4	              0.0147	              0.0415	              0.1016	              0.0101	              0.0147	              0.0415	              0.1016	              0.0101	                   0	              0.0380	             0.00015	              0.0385	
             MXZRTT5	              0.0740	              0.0074	              0.0938	              0.0087	              0.0740	              0.0074	              0.0938	              0.0087	                   0	              0.0596	            0.000153	              0.0088	
             MXZRTT6	              0.2663	              0.0320	              0.0889	              0.0043	              0.2663	              0.0320	              0.0889	              0.0043	                   0	              0.0518	            0.000149	              0.0704	
             MXZSTT1	              0.0590	              0.0405	              0.0506	              0.0049	              0.0590	              0.0405	              0.0506	              0.0049	              0.1096	              0.0492	            0.000149	              0.0363	
             MXZSTT2	              0.0425	              0.0079	              0.0804	              0.0030	              0.0425	              0.0079	              0.0804	              0.0030	                   0	              0.0841	            0.000155	              0.0044	
             MXZSTT3	              0.0262	              0.0204	              0.0918	              0.0051	              0.0262	              0.0204	              0.0918	              0.0051	                   0	              0.0519	             0.00015	              0.0309	
             MXZSTT4	              0.0518	              0.0163	              0.0950	              0.0235	              0.0518	              0.0163	              0.0950	              0.0235	                   0	              0.0375	            0.000153	              0.0237	
             MXZSTT5	              0.0690	              0.0051	              0.0818	              0.0063	              0.0690	              0.0051	              0.0818	              0.0063	                   0	              0.0868	            0.000152	              0.0074	
             MXZSTT6	              0.0384	              0.8244	              0.0330	              0.0253	              0.0384	              0.8244	              0.0330	              0.0253	                   0	              0.0191	            0.000148	              0.5236	
             MXZLFT1	              0.0582	              0.0080	              0.1015	              0.0175	              0.0582	              0.0080	              0.1015	              0.0175	                   0	              0.0590	            0.000152	              0.0222	
             MXZLFT2	              0.1476	              0.0291	              0.1267	              0.0155	              0.1476	              0.0291	              0.1267	              0.0155	                   0	              0.0286	            0.000151	              0.0637	
             MXZLFT3	              0.0669	              0.0141	              0.0511	              0.0097	              0.0669	              0.0141	              0.0511	              0.0097	                   0	              0.0477	            0.000149	              0.0604	
             MXZLFT4	              0.0169	              0.0248	              0.0454	              0.0116	              0.0169	              0.0248	              0.0454	              0.0116	                   0	              0.0509	             0.00015	              0.0146	
             MXZLFT5	              0.0522	              0.0183	              0.1043	              0.0042	              0.0522	              0.0183	              0.1043	              0.0042	                   0	              0.0731	            0.000152	              0.0084	
             MXZLFT6	              0.0223	              0.0146	              0.1642	              0.0077	              0.0223	              0.0146	              0.1642	              0.0077	                   0	              0.0541	            0.000155	              0.0165	
             MXZERT1	              0.0349	              0.0153	              0.0624	              0.0253	              0.0349	              0.0153	              0.0624	              0.0253	                   0	              0.0314	            0.000149	              0.0169	
             MXZERT2	              0.0212	              0.0051	              0.0486	              0.0387	              0.0212	              0.0051	              0.0486	              0.0387	                   0	              0.0438	            0.000154	              0.0312	
             MXZERT3	              0.0495	              0.0071	              0.1000	              0.0180	              0.0495	              0.0071	              0.1000	              0.0180	                   0	              0.0543	            0.000154	              0.0524	
             MXZERT4	              0.0863	              0.0360	              0.0757	              0.0038	              0.0863	              0.0360	              0.0757	              0.0038	                   0	              0.0357	            0.000155	              0.0269	
             MXZERT5	              0.0844	              0.0282	              0.0753	              0.0392	              0.0844	              0.0282	              0.0753	              0.0392	              0.1096	              0.0580	            0.000154	              0.0458	
             MXZERT6	              0.0634	              0.0232	              0.0791	              0.5807	              0.0634	              0.0232	              0.0791	              0.5807	                   0	              0.0522	            0.000149	              0.2028	
               FRTT1	              0.0517	              0.0176	              0.0794	              0.0060	              0.0517	              0.0176	              0.0794	              0.0060	                   0	              0.0435	            0.000149	              0.0258	
               FRTT2	              0.0162	              0.0334	              0.1049	              0.0280	              0.0162	              0.0334	              0.1049	              0.0280	                   0	              0.0433	            0.000154	              0.0366	
               FRTT3	              0.0567	              0.0093	              0.0484	              0.0174	              0.0567	              0.0093	              0.0484	              0.0174	                   0	              0.0407	            0.000152	              0.0480	
               FRTT4	              0.0495	              0.0083	              0.0470	              0.0178	              0.0495	              0.0083	              0.0470	              0.0178	                   0	              0.0422	            0.000148	              0.0353	
               FRTT5	              0.0282	              0.0175	              0.1056	              0.0103	              0.0282	              0.0175	              0.1056	              0.0103	                   0	              0.0496	            0.000151	              0.0161	
               FRTT6	              0.0574	              0.0034	              0.1421	              0.0214	              0.0574	              0.0034	              0.1421	              0.0214	              0.1096	              0.0505	            0.000153	              0.0184	
               FSTT1	              0.0524	              0.0141	              0.0620	              0.0037	              0.0524	              0.0141	              0.0620	              0.0037	                   0	              0.0773	            0.000153	              0.0077	
               FSTT2	              0.0152	              0.0036	              0.0613	              0.0031	              0.0152	              0.0036	              0.0613	              0.0031	                   0	              0.0853	            0.000151	              0.0027	
               FSTT3	              0.0129	              0.0155	              0.0476	              0.0102	              0.0129	              0.0155	              0.0476	              0.0102	                   0	              0.0501	            0.000149	              0.0148	
               FSTT4	              0.0572	              0.0028	              0.1245	              0.0094	              0.0572	              0.0028	              0.1245	              0.0094	                   0	              0.0667	            0.000152	              0.0069	
               FSTT5	              0.0675	              0.0106	              0.0673	              0.0143	              0.0675	              0.0106	              0.0673	              0.0143	                   0	              0.0774	            0.000153	              0.0153	
               FSTT6	              0.0610	              0.0155	              0.0274	              0.0309	              0.0610	              0.0155	              0.0274	              0.0309	                   0	              0.0480	             0.00015	              0.0418	
               FLFT1	              0.0200	              0.0262	              0.0609	              0.0126	              0.0200	              0.0262	              0.0609	              0.0126	                   0	              0.0394	            0.000155	              0.0222	
               FLFT2	              0.0254	              0.0072	              0.0658	              0.0090	              0.0254	              0.0072	              0.0658	              0.0090	                   0	              0.0771	            0.000149	              0.0066	
               FLFT3	              0.0305	              0.0067	              0.0533	              0.0144	              0.0305	              0.0067	              0.0533	              0.0144	                   0	              0.0438	            0.000151	              0.0152	
               FLFT4	              0.0234	              0.0137	              0.0513	              0.0080	              0.0234	              0.0137	              0.0513	              0.0080	                   0	              0.0599	            0.000149	              0.0456	
               FLFT5	              0.0358	              0.0063	              0.0787	              0.0313	              0.0358	              0.0063	              0.0787	              0.0313	                   0	              0.0435	            0.000152	              0.0217	
               FLFT6	              0.0411	              0.0045	              0.0664	              0.0035	              0.0411	              0.0045	              0.0664	              0.0035	                   0	              0.0788	            0.000149	              0.0022	
                  ZU	              0.2141	              0.1558	              0.0962	              0.1051	              0.2141	              0.1558	              0.0962	              0.1051	                   0	              0.4575	              0.9841	              0.5387	

Fast total order Indexes
                    	                ZRTC	                ZSTC	                ZLFC	                ZERC	                ZART	                ZAST	                ZALF	                ZAER	               TZDMI	               TZDMX	                SUMZ	              SUMTZA	
             MIZRTT1	            0.338235	            0.099903	            0.609855	            0.139891	            0.338235	            0.099903	            0.609855	            0.139891	                   0	            0.559005	            0.015950	            0.139248	
             MIZRTT2	            0.362503	            0.083620	            0.564101	            0.171397	            0.362503	            0.083620	            0.564101	            0.171397	                   0	            0.618966	            0.015949	            0.163673	
             MIZRTT3	            0.413871	            0.108476	            0.656902	            0.198336	            0.413871	            0.108476	            0.656902	            0.198336	                   0	            0.474672	            0.015962	            0.464267	
             MIZRTT4	            0.700502	            0.306382	            0.577229	            0.068145	            0.700502	            0.306382	            0.577229	            0.068145	                   0	            0.458879	            0.015965	            0.475669	
             MIZRTT5	            0.343094	            0.355394	            0.461129	            0.324563	            0.343094	            0.355394	            0.461129	            0.324563	                   0	            0.422484	            0.015955	            0.344073	
             MIZRTT6	            0.403105	            0.099747	            0.641216	            0.097112	            0.403105	            0.099747	            0.641216	            0.097112	                   0	            0.585981	            0.015972	            0.199177	
             MIZSTT1	            0.325548	            0.073063	            0.483759	            0.071346	            0.325548	            0.073063	            0.483759	            0.071346	                   0	            0.705686	            0.015955	            0.076327	
             MIZSTT2	            0.500963	            0.236503	            0.652908	            0.476354	            0.500963	            0.236503	            0.652908	            0.476354	                   0	            0.360214	            0.015990	            0.362222	
             MIZSTT3	            0.397722	            0.070798	            0.599614	            0.121881	            0.397722	            0.070798	            0.599614	            0.121881	                   0	            0.582364	            0.015979	            0.091925	
