PARA,ZRTC,ZSTC,ZLFC,ZERC,ZART,ZAST,ZALF,ZAER,TZDMI,TZDMX,SUMZ,SUMTZA
MIZRTT1,0.338235,0.099903,0.609855,0.139891,0.338235,0.099903,0.609855,0.139891,0,0.559005,0.01595,0.139248
MIZRTT2,0.362503,0.08362,0.564101,0.171397,0.362503,0.08362,0.564101,0.171397,0,0.618966,0.015949,0.163673
MIZRTT3,0.413871,0.108476,0.656902,0.198336,0.413871,0.108476,0.656902,0.198336,0,0.474672,0.015962,0.464267
MIZRTT4,0.700502,0.306382,0.577229,0.068145,0.700502,0.306382,0.577229,0.068145,0,0.458879,0.015965,0.475669
MIZRTT5,0.343094,0.355394,0.461129,0.324563,0.343094,0.355394,0.461129,0.324563,0,0.422484,0.015955,0.344073
MIZRTT6,0.403105,0.099747,0.641216,0.097112,0.403105,0.099747,0.641216,0.097112,0,0.585981,0.015972,0.199177
MIZSTT1,0.325548,0.073063,0.483759,0.071346,0.325548,0.073063,0.483759,0.071346,0,0.705686,0.015955,0.076327
MIZSTT2,0.500963,0.236503,0.652908,0.476354,0.500963,0.236503,0.652908,0.476354,0,0.360214,0.01599,0.362222
MIZSTT3,0.397722,0.070798,0.599614,0.121881,0.397722,0.070798,0.599614,0.121881,0,0.582364,0.015979,0.091925
MIZSTT4,0.442234,0.119396,0.650583,0.34038,0.442234,0.119396,0.650583,0.34038,0,0.433787,0.01599,0.444106
MIZSTT5,0.5898,0.329789,0.744642,0.054193,0.5898,0.329789,0.744642,0.054193,0.890411,0.457156,0.015952,0.364384
MIZSTT6,0.326173,0.126242,0.62631,0.045881,0.326173,0.126242,0.62631,0.045881,0,0.68525,0.015954,0.073297
MIZLFT1,0.315527,0.097229,0.723257,0.25195,0.315527,0.097229,0.723257,0.25195,0,0.527663,0.015954,0.189907
MIZLFT2,0.252655,0.090726,0.771465,0.220987,0.252655,0.090726,0.771465,0.220987,0,0.576902,0.01598,0.346824
MIZLFT3,0.257818,0.096065,0.598104,0.039744,0.257818,0.096065,0.598104,0.039744,0,0.646953,0.01597,0.078377
MIZLFT4,0.699017,0.130353,0.56735,0.104964,0.699017,0.130353,0.56735,0.104964,0,0.526838,0.015949,0.125733
MIZLFT5,0.432607,0.175534,0.615749,0.121966,0.432607,0.175534,0.615749,0.121966,0,0.509993,0.015956,0.159028
MIZLFT6,0.359758,0.278102,0.602513,0.218152,0.359758,0.278102,0.602513,0.218152,0,0.444921,0.015955,0.28843
MIZERT1,0.62253,0.225852,0.490615,0.408302,0.62253,0.225852,0.490615,0.408302,0,0.364188,0.015949,0.33306
MIZERT2,0.426586,0.295293,0.875847,0.098867,0.426586,0.295293,0.875847,0.098867,0,0.453184,0.015973,0.474354
MIZERT3,0.405575,0.090042,0.531519,0.235233,0.405575,0.090042,0.531519,0.235233,0,0.522356,0.015955,0.320813
MIZERT4,0.848593,0.121278,0.780055,0.183566,0.848593,0.121278,0.780055,0.183566,0.890411,0.519993,0.015949,0.492178
MIZERT5,0.600473,0.238729,0.567808,0.413603,0.600473,0.238729,0.567808,0.413603,0,0.389825,0.015972,0.355254
MIZERT6,0.410551,0.228257,0.662851,0.476896,0.410551,0.228257,0.662851,0.476896,0,0.378565,0.015993,0.42006
MXZRTT1,0.535804,0.150143,0.837653,0.202931,0.535804,0.150143,0.837653,0.202931,0,0.440659,0.015954,0.265888
MXZRTT2,0.402517,0.069772,0.634893,0.120129,0.402517,0.069772,0.634893,0.120129,0,0.607887,0.015977,0.165101
MXZRTT3,0.152282,0.144471,0.612292,0.05431,0.152282,0.144471,0.612292,0.05431,0.890411,0.672513,0.015952,0.13025
MXZRTT4,0.312392,0.332951,0.823817,0.134509,0.312392,0.332951,0.823817,0.134509,0,0.434099,0.015958,0.389839
MXZRTT5,0.611559,0.109531,0.700583,0.096959,0.611559,0.109531,0.700583,0.096959,0,0.573046,0.015985,0.106095
MXZRTT6,0.706535,0.252457,0.767343,0.076766,0.706535,0.252457,0.767343,0.076766,0,0.536562,0.015949,0.437882
MXZSTT1,0.663114,0.281632,0.469497,0.052695,0.663114,0.281632,0.469497,0.052695,0.890411,0.501022,0.015952,0.253888
MXZSTT2,0.299061,0.063898,0.677392,0.045072,0.299061,0.063898,0.677392,0.045072,0,0.796912,0.016,0.052743
MXZSTT3,0.287719,0.245987,0.51502,0.052531,0.287719,0.245987,0.51502,0.052531,0,0.492645,0.015962,0.302348
MXZSTT4,0.602228,0.12001,0.607911,0.276303,0.602228,0.12001,0.607911,0.276303,0,0.433457,0.015985,0.256592
MXZSTT5,0.519957,0.054759,0.544089,0.048308,0.519957,0.054759,0.544089,0.048308,0,0.753225,0.01598,0.05576
