day,sumZnbot,sumZnbotsum
1,-0.0013566,-0.0013566
2,-0.0022842,-0.0036408
3,-0.0012819,-0.0049227
4,-0.0012067,-0.0061294
5,-0.00071592,-0.00684532
6,-0.00074989,-0.00759521
7,-0.00045716,-0.00805237
8,-0.0006276,-0.00867997
9,-0.00076093,-0.0094409
10,-0.00036596,-0.00980686
11,-0.0004042,-0.010211060000000001
12,-0.00016591,-0.010376970000000001
13,-7.0256e-07,-0.01037767256
14,-6.1657e-06,-0.01038383826
15,-0.00070674,-0.011090578260000001
16,-0.0019256,-0.01301617826
17,-0.00089478,-0.01391095826
18,-0.00060442,-0.01451537826
19,-0.00051473,-0.01503010826
20,-0.00072194,-0.01575204826
21,-0.00066988,-0.01642192826
22,-0.0001208,-0.01654272826
23,-6.3814e-08,-0.016542792074
24,0.0,-0.016542792074
25,-0.00032979,-0.016872582074
26,-0.0013407,-0.018213282074
27,-0.00042798,-0.018641262074000003
28,-3.1086e-05,-0.018672348074000002
29,0.0,-0.018672348074000002
30,0.0,-0.018672348074000002
31,-0.0013401,-0.020012448074000003
32,-0.0027693,-0.022781748074
33,-0.0011343,-0.023916048074000003
34,-0.00038414,-0.024300188074000004
35,-0.00033753,-0.024637718074000003
36,-0.00081297,-0.025450688074000003
37,-0.00047138,-0.025922068074000004
38,-0.00022474,-0.026146808074000005
39,-0.00010791,-0.026254718074000004
40,-5.4803e-05,-0.026309521074000003
41,-3.7506e-05,-0.026347027074000003
42,-3.1901e-05,-0.026378928074000003
43,-7.3373e-05,-0.026452301074000005
44,-0.0010519,-0.027504201074000006
45,-0.0015235,-0.029027701074000007
46,-0.00087872,-0.029906421074000007
47,-0.00038314,-0.030289561074000007
48,-0.00011484,-0.03040440107400001
49,-1.915e-07,-0.03040459257400001
50,-3.0367e-05,-0.030434959574000008
51,-0.00069496,-0.03112991957400001
52,-0.00097081,-0.03210072957400001
53,-0.00024661,-0.03234733957400001
54,-7.664e-07,-0.03234810597400001
55,-4.7649e-05,-0.032395754974000004
56,-0.00015476,-0.032550514974
57,-3.8278e-07,-0.032550897754000004
58,0.0,-0.032550897754000004
59,-1.5533e-06,-0.032552451054
60,-3.173e-05,-0.032584181054
61,-1.1994e-05,-0.032596175054000004
62,-4.7839e-05,-0.032644014054000005
63,0.0,-0.032644014054000005
64,0.0,-0.032644014054000005
65,0.0,-0.032644014054000005
66,-9.0949e-05,-0.032734963054000005
67,-2.7982e-05,-0.03276294505400001
68,-3.152e-05,-0.03279446505400001
69,-0.00016141,-0.03295587505400001
70,-0.00090792,-0.03386379505400001
71,-0.0011328,-0.03499659505400001
72,-0.0022024,-0.03719899505400001
73,-0.0026236,-0.03982259505400001
74,-0.0012229,-0.04104549505400001
75,-0.00066087,-0.04170636505400001
76,-0.00032827,-0.04203463505400001
77,-0.00011948,-0.042154115054000005
78,-5.0673e-05,-0.042204788054000006
79,-1.0967e-05,-0.042215755054000006
80,0.0,-0.042215755054000006
81,0.0,-0.042215755054000006
82,0.0,-0.042215755054000006
83,0.0,-0.042215755054000006
84,-7.3734e-05,-0.042289489054000005
85,-3.7006e-05,-0.042326495054000005
86,-0.00012472,-0.042451215054000006
87,-2.5247e-05,-0.042476462054000005
88,-0.00043065,-0.042907112054
89,-0.0011894,-0.044096512054
90,-0.0011421,-0.045238612054
91,-0.00036874,-0.045607352054
92,-4.135e-05,-0.045648702054000005
93,-1.9111e-07,-0.045648893164000004
94,0.0,-0.045648893164000004
95,-1.7071e-05,-0.045665964164000004
96,-0.00035446,-0.046020424164000005
97,-0.00021818,-0.046238604164000004
98,-0.00011011,-0.046348714164
99,-8.2852e-05,-0.046431566164
100,-7.8746e-05,-0.046510312164
101,-7.9463e-05,-0.046589775164
102,-7.5827e-05,-0.046665602164
103,-6.2943e-05,-0.046728545164000004
104,-0.00010265,-0.04683119516400001
105,-0.00089528,-0.047726475164000005
106,-0.00068858,-0.048415055164000007
107,-0.00029861,-0.048713665164000004
108,-2.3752e-05,-0.048737417164000006
